Date,Value,Open,Close,High,Low
15/07/15,4750.0,47.5,47.5,47.5,47.5
16/07/15,145375.0,41.0,41.0,46.85,37.1
20/07/15,99415.0,39.2,43.4,44.8,37.5
21/07/15,91605.0,43.5,44.0,44.0,39.0
27/07/15,44000.0,44.0,44.0,44.0,44.0
28/07/15,86320.0,39.0,43.0,43.0,39.0
30/07/15,34360.0,42.95,42.95,42.95,42.95
03/08/15,55260.0,36.0,40.0,40.0,36.0
04/08/15,84000.0,42.95,41.5,42.95,41.5
05/08/15,34000.0,38.0,40.0,40.0,36.0
10/08/15,3995.0000000000005,39.95,39.95,39.95,39.95
13/08/15,15650.0,39.0,39.5,39.5,39.0
14/08/15,19550.0,39.0,39.5,39.5,39.0
24/08/15,3500.0,35.0,35.0,35.0,35.0
27/08/15,14000.0,35.0,35.0,35.0,35.0
28/08/15,35000.0,35.0,35.0,35.0,35.0
01/09/15,10700.0,35.0,37.0,37.0,35.0
02/09/15,3650.0,36.5,36.5,36.5,36.5
07/09/15,3650.0,36.5,36.5,36.5,36.5
15/09/15,7000.0,35.0,35.0,35.0,35.0
15/09/15,7000.0,35.0,35.0,35.0,35.0
15/09/15,7000.0,35.0,35.0,35.0,35.0
16/09/15,3800.0,38.0,38.0,38.0,38.0
21/09/15,22800.0,38.0,38.0,38.0,38.0
29/09/15,18500.0,37.0,37.0,37.0,37.0
13/10/15,16690.0,19.0,25.5,25.5,19.0
14/10/15,24135.0,25.5,30.8,30.8,25.5
15/10/15,24500.0,35.0,35.0,35.0,35.0
16/10/15,15610.0,29.0,34.0,34.0,29.0
20/10/15,6580.0,33.0,32.8,33.0,32.8
23/10/15,130430.0,29.0,31.5,33.0,29.0
26/10/15,9650.0,32.5,32.0,32.5,32.0
28/10/15,3200.0,32.0,32.0,32.0,32.0
05/11/15,124900.0,26.0,30.0,30.0,26.0
09/11/15,26975.0,30.0,29.95,30.0,29.95
11/11/15,2990.0,29.9,29.9,29.9,29.9
12/11/15,10540.0,23.2,29.5,29.5,23.2
13/11/15,65800.0,29.0,30.0,30.0,29.0
17/11/15,13900.0,23.0,24.0,24.0,23.0
23/11/15,106500.0,26.0,24.0,26.0,22.5
24/11/15,2100.0,21.0,21.0,21.0,21.0
25/11/15,2700.0,27.0,27.0,27.0,27.0
26/11/15,10800.0,27.0,27.0,27.0,27.0
27/11/15,14770.0,29.0,29.9,29.9,29.0
