Date,Value,Open,Close,High,Low
15/07/15,690.0,0.69,0.69,0.69,0.69
16/07/15,23450.0,0.67,0.67,0.67,0.67
20/07/15,4040.0,0.68,0.66,0.68,0.66
21/07/15,31020.0,0.66,0.66,0.66,0.66
22/07/15,146520.0,0.66,0.66,0.66,0.66
23/07/15,4690.0,0.67,0.67,0.67,0.67
23/07/15,4690.0,0.67,0.67,0.67,0.67
23/07/15,4690.0,0.67,0.67,0.67,0.67
24/07/15,3360.0,0.68,0.67,0.68,0.67
27/07/15,39720.0,0.69,0.66,0.69,0.66
28/07/15,4020.0,0.67,0.67,0.67,0.67
29/07/15,13600.000000000002,0.68,0.68,0.68,0.68
30/07/15,87440.0,0.67,0.66,0.67,0.66
31/07/15,1350.0,0.67,0.68,0.68,0.67
03/08/15,14270.0,0.68,0.68,0.68,0.67
04/08/15,27510.0,0.66,0.68,0.73,0.66
06/08/15,11820.0,0.66,0.65,0.66,0.62
07/08/15,48750.0,0.65,0.65,0.65,0.65
10/08/15,180440.0,0.63,0.63,0.7,0.63
11/08/15,24120.0,0.67,0.67,0.67,0.67
12/08/15,23970.0,0.67,0.67,0.67,0.64
13/08/15,685000.0,0.65,0.64,0.65,0.64
17/08/15,115870.0,0.67,0.64,0.67,0.64
18/08/15,21760.0,0.64,0.64,0.64,0.64
19/08/15,12150.0,0.64,0.64,0.64,0.63
20/08/15,8820.0,0.63,0.63,0.63,0.63
24/08/15,128660.0,0.63,0.6,0.63,0.6
26/08/15,36750.0,0.67,0.65,0.67,0.65
28/08/15,600.0,0.6,0.6,0.6,0.6
01/09/15,70050.0,0.64,0.58,0.64,0.55
02/09/15,32150.0,0.63,0.59,0.63,0.58
03/09/15,2950.0,0.59,0.59,0.59,0.59
04/09/15,79060.0,0.59,0.59,0.59,0.59
07/09/15,3830.0,0.64,0.63,0.64,0.63
08/09/15,122630.0,0.64,0.56,0.64,0.56
09/09/15,9300.0,0.62,0.62,0.62,0.62
10/09/15,591640.0,0.62,0.55,0.62,0.55
11/09/15,26200.0,0.61,0.6,0.61,0.6
14/09/15,21160.0,0.61,0.6,0.61,0.58
15/09/15,1200.0,0.6,0.6,0.6,0.6
15/09/15,1200.0,0.6,0.6,0.6,0.6
15/09/15,1200.0,0.6,0.6,0.6,0.6
16/09/15,18100.0,0.6,0.58,0.6,0.58
17/09/15,69260.0,0.58,0.59,0.61,0.57
18/09/15,14180.0,0.58,0.6,0.6,0.58
21/09/15,19760.0,0.61,0.6,0.61,0.58
22/09/15,12480.0,0.58,0.61,0.61,0.58
23/09/15,6710.0,0.61,0.61,0.61,0.61
24/09/15,15050.0,0.61,0.6,0.61,0.6
28/09/15,9859.999999999998,0.58,0.58,0.58,0.58
30/09/15,20390.0,0.6,0.6,0.6,0.59
01/10/15,6000.0,0.6,0.6,0.6,0.6
05/10/15,27870.0,0.59,0.6,0.61,0.59
06/10/15,221590.0,0.61,0.61,0.62,0.61
07/10/15,44400.0,0.6,0.6,0.6,0.6
08/10/15,6000.0,0.6,0.6,0.6,0.6
09/10/15,138140.0,0.62,0.62,0.62,0.6
12/10/15,102100.0,0.6,0.64,0.64,0.6
13/10/15,14260.0,0.62,0.62,0.62,0.62
14/10/15,3780.0,0.64,0.62,0.64,0.62
15/10/15,137130.0,0.62,0.61,0.62,0.61
16/10/15,9150.0,0.61,0.61,0.61,0.61
19/10/15,140720.0,0.62,0.61,0.65,0.61
20/10/15,70150.0,0.61,0.61,0.61,0.61
21/10/15,33180.0,0.61,0.62,0.62,0.61
22/10/15,7320.0,0.61,0.61,0.61,0.61
23/10/15,4270.0,0.61,0.61,0.61,0.61
26/10/15,143970.0,0.61,0.58,0.64,0.58
27/10/15,22000.0,0.58,0.63,0.63,0.58
28/10/15,1860.0,0.62,0.62,0.62,0.62
29/10/15,1240.0,0.62,0.62,0.62,0.62
30/10/15,9150.0,0.61,0.61,0.61,0.61
04/11/15,590.0,0.59,0.59,0.59,0.59
05/11/15,19470.0,0.59,0.59,0.59,0.59
06/11/15,17310.0,0.61,0.63,0.63,0.61
