Date,Value,Open,Close,High,Low
15/07/15,84898392.0,291.4,295.0,295.0,291.0
16/07/15,132945794.0,294.0,295.0,295.4,292.8
20/07/15,36362784.0,293.2,290.6,293.6,290.2
21/07/15,52717542.0,290.2,294.2,294.8,290.0
22/07/15,86793348.0,294.2,294.6,294.6,291.2
23/07/15,94981980.0,294.4,294.8,296.0,292.2
23/07/15,94981980.0,294.4,294.8,296.0,292.2
23/07/15,94981980.0,294.4,294.8,296.0,292.2
24/07/15,65959586.0,294.8,294.8,294.8,292.0
27/07/15,305539416.0,293.0,298.0,299.0,292.6
28/07/15,137837128.0,298.0,296.2,298.6,293.0
29/07/15,161763728.0,296.2,298.0,298.8,296.2
30/07/15,134065032.0,298.6,298.2,299.0,297.4
31/07/15,245262276.0,298.0,299.0,302.0,297.0
03/08/15,130643996.0,299.0,299.8,301.0,297.6
04/08/15,395658958.0,299.8,308.0,310.0,299.8
05/08/15,258946486.0,309.0,308.0,310.0,303.0
06/08/15,278101664.0,308.0,303.2,308.0,303.0
07/08/15,128231924.0,303.2,302.0,304.0,301.4
10/08/15,81909382.0,302.2,306.0,308.0,302.2
11/08/15,39277594.0,306.0,306.4,309.6,304.8
12/08/15,404096354.0,305.0,300.0,306.0,300.0
13/08/15,203748974.0,300.0,299.0,304.0,295.0
14/08/15,46382366.0,299.0,297.4,299.0,295.4
17/08/15,93032638.0,297.0,290.0,297.0,290.0
18/08/15,117590156.0,290.0,288.6,292.6,287.2
19/08/15,158139546.0,288.6,291.4,293.0,288.6
20/08/15,193368630.0,290.0,282.0,290.0,280.0
24/08/15,467969384.0,278.0,268.0,278.0,267.0
25/08/15,227242662.0,267.0,270.0,271.0,265.2
26/08/15,204496812.0,270.0,278.6,278.6,269.6
27/08/15,675528890.0,282.0,283.0,288.2,282.0
28/08/15,252996768.0,283.0,284.0,287.6,283.0
01/09/15,85092136.0,283.4,281.0,284.0,275.0
02/09/15,90544848.0,276.0,279.2,280.0,270.0
03/09/15,181293754.0,282.0,281.6,288.0,281.6
04/09/15,87883540.0,281.8,279.0,289.0,278.8
07/09/15,17483406.0,279.0,278.0,282.8,278.0
08/09/15,71700002.0,280.0,277.0,280.0,276.6
09/09/15,105418306.0,280.0,276.8,281.0,276.6
10/09/15,144589044.0,278.0,283.0,285.8,277.0
11/09/15,140477618.0,285.0,285.4,287.8,284.4
14/09/15,192932400.0,285.6,286.8,294.2,285.6
15/09/15,109850384.0,286.8,293.0,293.6,286.8
15/09/15,109850384.0,286.8,293.0,293.6,286.8
15/09/15,109850384.0,286.8,293.0,293.6,286.8
16/09/15,334305420.0,294.2,298.8,299.6,294.0
17/09/15,212052520.0,299.0,299.2,300.0,297.2
18/09/15,126780204.0,297.0,298.4,298.8,296.0
21/09/15,50223364.0,298.2,295.6,298.4,294.6
22/09/15,88430036.0,295.6,295.0,296.0,293.4
23/09/15,116129164.0,294.0,293.0,294.0,288.0
24/09/15,105345400.0,290.0,293.0,294.0,290.0
28/09/15,158986078.0,295.0,290.0,299.0,290.0
29/09/15,106274632.0,295.0,298.0,298.8,289.4
30/09/15,96304852.0,295.0,296.4,297.8,295.0
01/10/15,38413112.0,296.4,296.6,297.6,295.0
02/10/15,125840838.0,296.0,297.6,298.0,295.2
05/10/15,370383990.0,298.0,301.0,302.0,296.8
06/10/15,216236720.0,302.0,300.4,307.0,300.4
07/10/15,156770252.0,305.0,303.0,305.8,302.0
08/10/15,65201710.0,304.8,303.2,304.8,302.4
09/10/15,13849528.0,303.0,301.2,303.2,300.4
12/10/15,113024124.0,302.0,303.0,305.0,302.0
13/10/15,127477404.0,303.0,304.0,304.8,302.8
14/10/15,50985144.0,304.0,305.0,305.0,302.4
15/10/15,251043328.0,305.0,308.0,308.8,304.0
16/10/15,177630782.0,308.2,309.8,310.0,308.0
19/10/15,117209658.0,309.8,310.0,310.0,308.4
20/10/15,179585916.0,309.2,311.8,315.0,309.2
21/10/15,99355374.0,311.0,311.8,314.6,310.8
22/10/15,164848704.0,314.0,317.8,317.8,313.2
23/10/15,255608114.0,317.8,320.0,324.0,317.8
26/10/15,230531446.0,320.0,313.0,323.0,313.0
27/10/15,197686182.0,313.0,318.0,319.2,309.8
28/10/15,493324596.0,318.0,328.8,331.0,318.0
29/10/15,140309424.0,328.8,324.0,328.8,323.2
30/10/15,169903670.0,324.0,325.0,329.0,324.0
02/11/15,162457852.0,325.0,321.0,325.0,319.4
03/11/15,196562482.0,321.0,329.0,329.8,321.0
04/11/15,70983954.0,330.0,328.2,331.0,327.0
05/11/15,101662842.0,328.2,325.0,328.2,323.0
06/11/15,126847770.0,324.2,326.0,327.0,323.0
09/11/15,175525270.0,326.0,329.6,331.0,326.0
10/11/15,403701120.0,330.0,337.0,339.4,326.4
11/11/15,279109448.0,339.0,343.8,343.8,339.0
12/11/15,239457154.0,342.4,325.0,343.2,319.0
13/11/15,1325745116.0,310.0,300.0,310.0,291.4
16/11/15,211263496.0,296.6,296.0,300.0,293.0
17/11/15,180140286.0,296.8,296.2,299.6,295.6
20/11/15,163173536.0,299.0,297.8,300.0,295.6
23/11/15,189390766.0,298.6,303.8,305.0,297.8
24/11/15,52244188.0,305.0,303.0,305.0,301.0
25/11/15,40734612.0,303.0,302.6,303.0,301.2
26/11/15,159973982.0,303.0,305.0,305.0,300.6
27/11/15,63385246.0,305.2,305.8,305.8,301.2
01/12/15,80382058.0,305.4,306.2,307.0,302.0
02/12/15,154219830.0,303.4,312.2,315.0,303.0
03/12/15,141392468.0,305.4,312.2,314.0,305.4
04/12/15,28327034.0,312.2,312.2,313.0,310.0
07/12/15,51846094.0,313.0,315.2,316.0,312.0
08/12/15,87070448.0,309.0,314.0,315.0,309.0
09/12/15,61807302.0,314.0,315.2,316.0,312.6
10/12/15,149925074.0,316.0,320.6,322.0,315.4
11/12/15,99287588.0,321.0,318.0,323.0,317.4
14/12/15,49230484.0,318.0,316.8,318.0,315.0
15/12/15,41422136.0,316.0,316.0,316.8,314.0
16/12/15,38812562.0,316.0,323.6,323.6,316.0
17/12/15,36288892.0,323.6,319.0,324.0,315.4
18/12/15,57904348.0,319.0,317.0,319.0,315.2
21/12/15,26914038.0,317.0,317.0,320.0,315.0
22/12/15,30070464.0,316.0,315.8,317.4,314.2
23/12/15,31177132.0,315.8,312.0,315.8,312.0
28/12/15,17165288.0,312.0,322.0,322.0,311.0
29/12/15,23165986.0,321.8,320.0,321.8,316.0
04/01/16,9184260.0,317.0,316.0,320.0,312.4
05/01/16,18499268.0,316.0,315.4,316.0,313.0
06/01/16,56699624.0,315.4,318.0,318.6,315.0
07/01/16,40333282.0,316.4,312.0,316.4,310.0
08/01/16,104684652.0,312.0,310.0,315.6,309.0
11/01/16,91927906.0,309.2,301.0,309.2,301.0
12/01/16,65111942.0,301.2,304.8,306.8,301.2
13/01/16,17870386.0,304.4,308.6,310.0,304.4
14/01/16,47599324.0,307.6,310.2,311.0,302.0
15/01/16,62784292.0,310.4,315.0,316.0,310.4
18/01/16,36015346.0,310.0,310.0,311.0,307.0
19/01/16,44517890.0,309.8,309.0,311.0,308.0
20/01/16,75579584.0,309.0,305.0,310.0,303.0
21/01/16,72059086.0,302.0,301.6,305.0,301.0
22/01/16,63666966.0,302.0,307.0,308.0,301.2
25/01/16,53182822.0,309.8,313.8,313.8,309.8
26/01/16,39126150.0,309.0,306.0,309.0,302.2
27/01/16,40228212.0,307.0,307.2,310.0,307.0
28/01/16,37563214.0,308.0,309.2,311.0,306.6
29/01/16,43707270.0,306.8,310.0,311.2,306.8
01/02/16,137892146.0,310.6,310.0,312.0,303.4
02/02/16,45128744.0,310.0,305.0,310.0,304.8
03/02/16,124257826.0,305.0,305.4,308.0,305.0
04/02/16,16504480.0,305.4,306.8,308.0,305.4
05/02/16,64216310.0,309.8,312.8,315.0,307.0
09/02/16,60120876.0,313.0,315.0,316.0,312.4
10/02/16,15403184.0,314.0,312.2,315.0,311.0
11/02/16,54355250.0,312.2,317.2,318.4,312.2
12/02/16,66869522.0,315.0,317.2,320.0,313.8
15/02/16,42056540.0,319.0,319.6,325.0,318.0
16/02/16,95887470.0,319.0,322.0,325.0,319.0
17/02/16,51413956.0,322.0,322.0,323.0,319.4
18/02/16,21235264.0,321.8,322.0,322.0,320.4
19/02/16,34192550.0,321.0,320.2,322.0,320.0
22/02/16,65228414.0,319.8,320.4,323.6,319.8
23/02/16,44473136.0,320.6,319.0,321.0,319.0
24/02/16,25693174.0,319.0,319.0,319.2,316.0
26/02/16,239483296.0,320.0,330.2,332.0,320.0
29/02/16,67400114.0,330.2,325.0,331.0,325.0
01/03/16,208158964.0,325.0,332.0,332.0,325.0
02/03/16,130384010.0,332.2,331.0,337.8,331.0
03/03/16,35595364.0,330.0,328.8,330.0,328.0
04/03/16,30131862.0,329.0,327.0,329.0,326.0
07/03/16,38124832.0,327.0,327.0,330.0,325.6
08/03/16,49744590.0,325.2,329.0,329.0,323.8
09/03/16,40639918.0,329.0,327.0,329.2,325.2
10/03/16,38422288.0,327.0,327.0,329.2,326.2
11/03/16,72691856.0,328.0,326.4,329.8,326.2
14/03/16,71878966.0,327.2,329.8,330.8,327.2
15/03/16,99935238.0,330.0,329.0,332.0,328.0
16/03/16,59588194.0,329.0,325.2,329.0,324.4
17/03/16,93515290.0,326.6,326.4,329.0,326.4
18/03/16,286717596.0,324.0,315.0,324.0,315.0
21/03/16,128579526.0,315.2,321.2,324.0,315.2
22/03/16,80542116.0,321.0,318.0,325.0,318.0
23/03/16,28946256.0,320.0,320.0,322.0,318.4
28/03/16,19020448.0,320.0,320.0,320.6,319.6
29/03/16,75283692.0,320.0,326.0,326.0,320.0
30/03/16,130054952.0,326.0,325.0,327.0,324.0
