Date,Value,Open,Close,High,Low
15/07/15,340540.0,2.04,2.07,2.07,2.03
20/07/15,60299.99999999999,2.01,2.01,2.01,2.01
21/07/15,22270.0,2.03,2.02,2.03,2.02
24/07/15,2009.9999999999998,2.01,2.01,2.01,2.01
27/07/15,222040.0,2.0,2.0,2.0,1.97
28/07/15,760320.0,1.97,2.0,2.0,1.96
29/07/15,453760.0,2.0,2.0,2.0,1.99
30/07/15,30000.0,2.0,2.0,2.0,2.0
03/08/15,40000.0,2.0,2.0,2.0,2.0
04/08/15,243580.0,2.0,2.0,2.0,1.99
05/08/15,200000.0,2.0,2.0,2.0,2.0
06/08/15,2000.0,2.0,2.0,2.0,2.0
11/08/15,111990.0,1.99,2.0,2.0,1.99
12/08/15,6000.0,2.0,2.0,2.0,2.0
13/08/15,239580.0,2.0,2.0,2.0,1.99
14/08/15,168000.0,2.0,2.0,2.0,2.0
17/08/15,40000.0,2.0,2.0,2.0,2.0
18/08/15,40000.0,2.0,2.0,2.0,2.0
19/08/15,199600.0,1.99,2.0,2.0,1.99
20/08/15,119500.0,1.99,2.0,2.0,1.99
24/08/15,290480.0,1.8,1.99,2.0,1.8
25/08/15,10000.0,2.0,2.0,2.0,2.0
26/08/15,141610.0,2.0,2.0,2.0,1.91
27/08/15,40000.0,2.0,2.0,2.0,2.0
28/08/15,40000.0,2.0,2.0,2.0,2.0
01/09/15,20000.0,2.0,2.0,2.0,2.0
02/09/15,118500.0,1.97,2.0,2.0,1.96
03/09/15,277900.0,2.0,2.0,2.0,1.97
04/09/15,130000.0,2.0,2.0,2.0,2.0
07/09/15,20000.0,2.0,2.0,2.0,2.0
08/09/15,30000.0,2.0,2.0,2.0,2.0
09/09/15,60000.0,2.0,2.0,2.0,2.0
10/09/15,176180.0,1.98,2.0,2.0,1.97
11/09/15,59800.0,2.0,2.0,2.0,1.98
14/09/15,22060.0,2.0,2.06,2.06,2.0
15/09/15,63540.0,1.98,2.0,2.0,1.98
15/09/15,63540.0,1.98,2.0,2.0,1.98
15/09/15,63540.0,1.98,2.0,2.0,1.98
16/09/15,12050.0,2.0,2.05,2.05,2.0
17/09/15,46150.0,2.0,2.05,2.05,2.0
18/09/15,110200.0,2.05,2.05,2.05,2.0
21/09/15,9920.0,2.0,1.97,2.0,1.97
22/09/15,358840.0,2.06,2.06,2.06,2.0
28/09/15,2050.0,2.05,2.05,2.05,2.05
29/09/15,10000.0,2.0,2.0,2.0,2.0
30/09/15,102000.0,2.0,2.0,2.0,2.0
01/10/15,80399.99999999999,2.01,2.01,2.01,2.01
02/10/15,202000.0,2.02,2.02,2.02,2.02
05/10/15,84200.0,2.01,2.0,2.01,2.0
06/10/15,2050.0,2.05,2.05,2.05,2.05
08/10/15,80000.0,2.0,2.0,2.0,2.0
13/10/15,12150.0,2.0,2.05,2.05,2.0
14/10/15,100499.99999999999,2.01,2.01,2.01,2.01
15/10/15,50000.0,2.0,2.0,2.0,2.0
16/10/15,100000.0,2.0,2.0,2.0,2.0
20/10/15,20000.0,2.0,2.0,2.0,2.0
21/10/15,110000.0,2.0,2.0,2.0,2.0
22/10/15,60000.0,2.0,2.0,2.0,2.0
23/10/15,69900.0,2.0,2.0,2.0,1.99
26/10/15,16000.0,2.0,2.0,2.0,2.0
27/10/15,29950.0,2.0,1.99,2.0,1.99
29/10/15,20000.0,2.0,2.0,2.0,2.0
30/10/15,39900.0,2.0,1.99,2.0,1.99
02/11/15,119450.0,2.0,1.99,2.0,1.97
04/11/15,4000.0,2.0,2.0,2.0,2.0
05/11/15,4000.0,2.0,2.0,2.0,2.0
06/11/15,235000.0,1.97,2.0,2.0,1.97
09/11/15,77960.0,2.0,2.0,2.0,1.99
10/11/15,20000.0,2.0,2.0,2.0,2.0
11/11/15,21980.0,1.98,2.0,2.0,1.98
12/11/15,20000.0,2.0,2.0,2.0,2.0
13/11/15,41900.0,2.0,2.0,2.0,1.99
16/11/15,20000.0,2.0,2.0,2.0,2.0
17/11/15,20000.0,2.0,2.0,2.0,2.0
20/11/15,66000.0,2.0,2.0,2.0,2.0
23/11/15,26060.0,2.0,2.02,2.02,2.0
24/11/15,20000.0,2.0,2.0,2.0,2.0
25/11/15,40000.0,2.0,2.0,2.0,2.0
26/11/15,6000.0,2.0,2.0,2.0,2.0
27/11/15,14069.999999999998,2.01,2.01,2.01,2.01
01/12/15,20000.0,2.0,2.0,2.0,2.0
02/12/15,16000.0,2.0,2.0,2.0,2.0
03/12/15,20000.0,2.0,2.0,2.0,2.0
04/12/15,44120.0,2.01,2.0,2.01,2.0
07/12/15,188100.0,2.0,2.0,2.0,1.97
08/12/15,282070.0,2.0,1.96,2.0,1.96
09/12/15,461490.0,2.0,2.0,2.0,1.95
14/12/15,330700.0,1.95,1.98,1.98,1.93
15/12/15,435500.0,1.95,1.98,1.98,1.92
17/12/15,133420.0,1.93,1.98,1.98,1.93
22/12/15,19700.0,1.97,1.97,1.97,1.97
23/12/15,39400.0,1.97,1.97,1.97,1.97
28/12/15,259210.0,1.97,1.99,1.99,1.97
29/12/15,201060.0,1.94,2.0,2.0,1.94
04/01/16,574950.0,1.94,1.95,1.95,1.94
05/01/16,138000.0,1.93,1.99,1.99,1.92
06/01/16,326160.0,1.98,1.98,1.98,1.95
07/01/16,157720.0,1.98,1.98,2.0,1.91
08/01/16,1980.0,1.98,1.98,1.98,1.98
11/01/16,201000.0,1.91,1.98,1.98,1.9
12/01/16,9900.0,1.98,1.98,1.98,1.98
14/01/16,36100.0,1.9,1.9,1.9,1.9
15/01/16,99400.0,1.9,1.95,1.95,1.9
18/01/16,38000.0,1.9,1.9,1.9,1.9
21/01/16,16920.0,1.88,1.88,1.88,1.88
22/01/16,9850.0,1.97,1.97,1.97,1.97
28/01/16,206680.0,1.88,1.98,1.98,1.88
29/01/16,231170.0,1.95,1.97,1.97,1.9
01/02/16,17620.0,1.93,1.98,1.98,1.93
02/02/16,9700.0,1.94,1.94,1.94,1.94
05/02/16,19400.0,1.94,1.94,1.94,1.94
09/02/16,1970.0,1.97,1.97,1.97,1.97
17/02/16,135750.0,1.81,1.81,1.81,1.81
18/02/16,1960.0,1.96,1.96,1.96,1.96
26/02/16,19000.0,1.9,1.9,1.9,1.9
29/02/16,1960.0,1.96,1.96,1.96,1.96
02/03/16,1950.0,1.95,1.95,1.95,1.95
03/03/16,19500.0,1.95,1.95,1.95,1.95
04/03/16,9550.0,1.91,1.91,1.91,1.91
09/03/16,3720.0,1.86,1.86,1.86,1.86
10/03/16,202090.0,1.9,1.87,1.9,1.87
14/03/16,132230.0,1.95,1.85,1.95,1.85
17/03/16,18800.0,1.88,1.88,1.88,1.88
18/03/16,1940.0,1.94,1.94,1.94,1.94
29/03/16,3880.0,1.94,1.94,1.94,1.94
30/03/16,79120.0,1.94,1.9,1.94,1.9
31/03/16,30860.0,1.91,1.94,1.94,1.91
04/04/16,1536050.0,1.93,1.96,2.08,1.93
05/04/16,481300.0,1.96,1.96,2.02,1.96
06/04/16,176800.0,2.0,1.96,2.0,1.96
07/04/16,86240.0,1.96,1.96,1.96,1.96
11/04/16,272240.0,1.99,2.01,2.03,1.99
12/04/16,12000.0,2.0,2.0,2.0,2.0
13/04/16,45340.0,1.97,2.0,2.0,1.97
15/04/16,183400.0,1.99,2.0,2.0,1.99
18/04/16,20000.0,2.0,2.0,2.0,2.0
19/04/16,131180.0,2.0,1.98,2.0,1.98
21/04/16,20000.0,2.0,2.0,2.0,2.0
25/04/16,69650.0,1.99,1.99,1.99,1.99
26/04/16,7960.0,2.02,1.98,2.02,1.98
27/04/16,124710.0,1.98,1.98,1.98,1.97
28/04/16,665370.0,1.98,2.0,2.0,1.97
02/05/16,118500.0,1.97,2.0,2.0,1.97
03/05/16,41840.0,1.99,2.0,2.0,1.99
04/05/16,274920.0,1.98,1.97,1.98,1.97
10/05/16,72000.0,2.0,2.0,2.0,2.0
11/05/16,658120.0,2.0,2.02,2.02,2.0
12/05/16,20000.0,2.0,2.0,2.0,2.0
13/05/16,1016000.0,2.0,2.0,2.0,2.0
16/05/16,640000.0,2.0,2.0,2.0,2.0
17/05/16,25900.0,1.99,2.0,2.0,1.99
18/05/16,241690.0,2.01,2.1,2.18,2.01
20/05/16,167120.0,2.0,1.98,2.0,1.98
23/05/16,12000.0,2.0,2.0,2.0,2.0
24/05/16,48000.0,2.0,2.0,2.0,2.0
25/05/16,166200.0,2.0,2.02,2.02,2.0
26/05/16,660440.0,2.04,2.0,2.05,2.0
31/05/16,239800.0,2.0,1.99,2.0,1.99
01/06/16,103020.0,2.02,2.02,2.02,2.02
02/06/16,132140.0,2.01,2.03,2.03,2.0
06/06/16,323550.0,2.0,1.99,2.0,1.99
07/06/16,241940.0,1.99,2.0,2.0,1.99
08/06/16,70000.0,2.0,2.0,2.0,2.0
09/06/16,122570.0,1.98,2.0,2.0,1.95
13/06/16,19500.0,1.95,1.95,1.95,1.95
15/06/16,413500.0,1.99,1.95,1.99,1.95
16/06/16,181600.0,1.96,1.95,1.96,1.95
20/06/16,9800.0,1.96,1.96,1.96,1.96
21/06/16,9800.0,1.96,1.96,1.96,1.96
22/06/16,7840.0,1.96,1.96,1.96,1.96
24/06/16,494300.0,1.96,1.97,1.97,1.9
29/06/16,352200.0,1.97,2.0,2.0,1.97
30/06/16,139800.0,2.0,2.0,2.0,1.99
01/07/16,85400.0,1.98,2.0,2.0,1.98
04/07/16,24100.0,2.0,2.05,2.05,2.0
05/07/16,88000.0,2.0,2.0,2.0,2.0
07/07/16,67520.0,1.99,1.98,1.99,1.98
08/07/16,15900.0,1.98,1.99,1.99,1.98
11/07/16,24360.0,2.03,2.03,2.03,2.03
12/07/16,2020.0,2.02,2.02,2.02,2.02
13/07/16,246310.0,1.99,1.99,1.99,1.98
14/07/16,45640.0,1.99,1.98,1.99,1.98
