Date,Value,Open,Close,High,Low
15/07/15,1718600.0,0.013,0.013,0.013,0.013
16/07/15,1319500.0,0.013,0.013,0.013,0.013
20/07/15,684100.0,0.013,0.012,0.013,0.012
21/07/15,765700.0,0.013,0.013,0.013,0.013
22/07/15,627900.0,0.013,0.013,0.013,0.013
23/07/15,201500.0,0.013,0.013,0.013,0.013
23/07/15,201500.0,0.013,0.013,0.013,0.013
23/07/15,201500.0,0.013,0.013,0.013,0.013
24/07/15,689600.0,0.012,0.013,0.014,0.012
27/07/15,765100.0,0.014,0.013,0.014,0.013
28/07/15,206600.0,0.013,0.013,0.013,0.012
29/07/15,517400.0,0.013,0.013,0.013,0.013
30/07/15,171900.0,0.014,0.014,0.014,0.013
31/07/15,1476200.0,0.013,0.014,0.014,0.012
03/08/15,70200.0,0.013,0.013,0.013,0.013
04/08/15,218500.0,0.013,0.013,0.014,0.013
05/08/15,243100.0,0.013,0.013,0.013,0.013
06/08/15,14300.0,0.013,0.013,0.013,0.013
10/08/15,11300.0,0.012,0.013,0.013,0.012
11/08/15,14600.0,0.012,0.013,0.013,0.012
12/08/15,10000.0,0.012,0.013,0.013,0.012
13/08/15,1306400.0,0.012,0.012,0.013,0.012
14/08/15,735600.0,0.013,0.013,0.013,0.012
17/08/15,7200.0,0.012,0.012,0.012,0.012
18/08/15,6000.0,0.012,0.012,0.012,0.012
19/08/15,490800.0,0.012,0.012,0.012,0.012
20/08/15,1199000.0,0.012,0.013,0.013,0.012
24/08/15,1268100.0,0.012,0.011,0.012,0.011
25/08/15,522700.0,0.011,0.012,0.012,0.011
26/08/15,196900.0,0.012,0.012,0.012,0.011
27/08/15,36000.0,0.012,0.012,0.012,0.012
28/08/15,318800.0,0.011,0.012,0.012,0.011
01/09/15,3600.0,0.012,0.012,0.012,0.012
02/09/15,627500.0,0.011,0.012,0.012,0.011
03/09/15,787600.0,0.011,0.011,0.011,0.011
04/09/15,257400.0,0.011,0.011,0.011,0.011
07/09/15,13200.0,0.011,0.011,0.011,0.011
08/09/15,7700.0,0.011,0.011,0.011,0.011
09/09/15,15400.0,0.011,0.012,0.012,0.011
10/09/15,177100.0,0.011,0.011,0.011,0.011
11/09/15,20900.0,0.011,0.011,0.011,0.011
14/09/15,916200.0,0.011,0.011,0.011,0.01
15/09/15,3300.0,0.011,0.011,0.011,0.011
15/09/15,3300.0,0.011,0.011,0.011,0.011
15/09/15,3300.0,0.011,0.011,0.011,0.011
16/09/15,2215100.0,0.011,0.01,0.011,0.01
17/09/15,1236100.0,0.01,0.01,0.011,0.01
18/09/15,305600.0,0.01,0.01,0.01,0.0099
21/09/15,12000.0,0.01,0.01,0.01,0.01
22/09/15,1081080.0,0.011,0.0099,0.011,0.0099
23/09/15,401800.0,0.0098,0.0098,0.0098,0.0098
24/09/15,304800.0,0.0098,0.01,0.01,0.0098
28/09/15,229450.0,0.01,0.01,0.01,0.0095
29/09/15,4000.0,0.01,0.01,0.01,0.01
30/09/15,280390.0,0.0098,0.0098,0.0099,0.0097
01/10/15,9900.0,0.0099,0.0099,0.0099,0.0099
02/10/15,58800.0,0.0099,0.0099,0.0099,0.0097
06/10/15,9800.0,0.0098,0.0098,0.0098,0.0098
07/10/15,730700.0,0.0098,0.0097,0.0098,0.0097
08/10/15,281300.0,0.0097,0.0097,0.0097,0.0097
09/10/15,242500.0,0.0097,0.0097,0.0097,0.0097
12/10/15,3665500.0,0.0098,0.01,0.01,0.0097
13/10/15,1929100.0,0.01,0.01,0.011,0.01
14/10/15,282000.0,0.01,0.01,0.01,0.01
15/10/15,739000.0,0.01,0.011,0.011,0.01
16/10/15,78000.0,0.011,0.011,0.011,0.01
19/10/15,45400.0,0.011,0.01,0.011,0.01
20/10/15,152300.0,0.01,0.011,0.011,0.01
21/10/15,1150000.0,0.01,0.011,0.011,0.01
22/10/15,6400.0,0.011,0.01,0.011,0.01
23/10/15,6100.0,0.011,0.01,0.011,0.01
26/10/15,3111000.0,0.01,0.01,0.01,0.01
27/10/15,468100.0,0.01,0.01,0.011,0.01
28/10/15,9200300.0,0.01,0.011,0.012,0.01
29/10/15,566500.0,0.011,0.011,0.011,0.011
30/10/15,1239600.0,0.011,0.01,0.011,0.01
02/11/15,19000.0,0.01,0.01,0.01,0.01
03/11/15,36200.0,0.011,0.01,0.011,0.01
04/11/15,23100.0,0.01,0.011,0.011,0.01
05/11/15,31100.0,0.01,0.011,0.011,0.01
06/11/15,144300.0,0.01,0.011,0.011,0.01
09/11/15,310000.0,0.01,0.01,0.011,0.01
10/11/15,30000.0,0.01,0.01,0.01,0.01
11/11/15,20000.0,0.01,0.01,0.01,0.01
12/11/15,100000.0,0.01,0.01,0.01,0.01
13/11/15,20400.0,0.01,0.011,0.011,0.01
16/11/15,3301100.0,0.011,0.011,0.011,0.011
17/11/15,11200.0,0.01,0.011,0.011,0.01
20/11/15,12600.0,0.011,0.01,0.011,0.01
23/11/15,1100.0,0.011,0.011,0.011,0.011
24/11/15,26000.0,0.01,0.01,0.01,0.01
25/11/15,24000.0,0.01,0.01,0.01,0.01
26/11/15,3135800.0,0.011,0.01,0.011,0.01
01/12/15,24100.0,0.01,0.01,0.011,0.01
02/12/15,343200.0,0.011,0.011,0.011,0.011
03/12/15,1188200.0,0.011,0.01,0.011,0.01
04/12/15,498000.0,0.01,0.011,0.011,0.01
07/12/15,51000.0,0.01,0.01,0.01,0.01
08/12/15,54000.0,0.01,0.01,0.01,0.01
09/12/15,305000.0,0.01,0.01,0.01,0.01
10/12/15,431000.0,0.01,0.01,0.01,0.01
11/12/15,12200.0,0.011,0.01,0.011,0.01
14/12/15,5214000.0,0.01,0.01,0.01,0.01
15/12/15,232000.0,0.01,0.01,0.01,0.01
16/12/15,311400.0,0.01,0.011,0.011,0.01
17/12/15,2200.0,0.011,0.011,0.011,0.011
18/12/15,720000.0,0.01,0.01,0.01,0.01
21/12/15,2742000.0,0.01,0.01,0.01,0.01
22/12/15,1019000.0,0.01,0.01,0.01,0.01
23/12/15,892200.0,0.01,0.011,0.011,0.01
28/12/15,882600.0,0.01,0.01,0.011,0.01
29/12/15,2228100.0,0.011,0.01,0.011,0.01
04/01/16,400500.0,0.01,0.01,0.011,0.01
05/01/16,56000.0,0.01,0.01,0.01,0.01
06/01/16,200000.0,0.01,0.01,0.01,0.01
07/01/16,415000.0,0.01,0.01,0.01,0.01
