Date,Value,Open,Close,High,Low
15/07/15,51804505.0,24.0,24.05,24.3,23.95
16/07/15,2360455.0,24.05,24.2,24.3,24.0
20/07/15,7706975.0,23.95,24.7,24.7,23.85
21/07/15,32482070.0,24.5,25.4,25.5,24.3
22/07/15,10504650.0,25.4,24.9,25.4,24.65
23/07/15,8899620.0,24.6,24.8,24.9,24.6
23/07/15,8899620.0,24.6,24.8,24.9,24.6
23/07/15,8899620.0,24.6,24.8,24.9,24.6
24/07/15,15945885.0,24.95,24.9,24.95,24.85
27/07/15,6911895.0,24.85,24.75,24.85,24.55
28/07/15,14937200.0,24.75,24.7,24.75,24.35
29/07/15,13589315.0,24.35,25.0,25.0,24.35
30/07/15,72373990.0,24.65,25.0,25.0,24.65
31/07/15,477759885.0,24.85,24.95,25.1,24.8
03/08/15,17625025.0,25.2,25.15,25.2,24.85
04/08/15,6393520.0,24.95,25.1,25.1,24.95
05/08/15,3684165.0,24.95,25.05,25.1,24.95
06/08/15,5861175.0,25.05,24.9,25.1,24.9
07/08/15,11653495.0,24.75,24.9,25.0,24.75
10/08/15,5019080.0,24.75,24.75,24.9,24.75
11/08/15,17002710.0,24.75,24.75,24.95,24.75
12/08/15,23484030.0,24.75,24.45,24.95,24.45
13/08/15,27033340.0,24.5,24.0,24.5,23.65
14/08/15,1373845.0,24.5,24.05,24.5,24.05
17/08/15,9458815.0,24.5,24.0,24.5,23.7
18/08/15,13421595.0,24.0,24.1,24.1,23.7
19/08/15,6564170.0,24.1,24.0,24.4,23.8
20/08/15,11191160.0,23.95,23.65,24.0,23.65
24/08/15,31849835.0,23.5,21.6,23.5,21.3
25/08/15,27000420.0,21.2,21.0,21.7,21.0
26/08/15,47403875.0,21.1,21.35,21.9,21.1
27/08/15,31346335.0,21.55,22.6,22.6,21.55
28/08/15,21577670.0,22.4,22.6,23.0,22.35
01/09/15,25382740.0,23.0,22.5,23.0,22.3
02/09/15,56654775.0,22.3,21.55,22.3,21.2
03/09/15,21754160.0,21.6,22.1,22.2,21.6
04/09/15,19911615.0,22.0,22.2,22.2,21.65
07/09/15,2981230.0,22.15,21.95,22.4,21.65
08/09/15,49611675.0,21.75,21.25,21.95,20.7
09/09/15,3371730.0,21.5,21.35,21.5,21.15
10/09/15,46856155.0,21.5,20.0,21.5,20.0
11/09/15,14286660.0,20.15,20.7,20.75,20.15
14/09/15,4834910.0,21.0,21.3,21.3,21.0
15/09/15,15865930.0,21.35,22.0,22.0,21.35
15/09/15,15865930.0,21.35,22.0,22.0,21.35
15/09/15,15865930.0,21.35,22.0,22.0,21.35
16/09/15,19419320.0,22.1,22.65,22.8,22.1
17/09/15,20330150.0,22.7,23.0,23.0,22.0
18/09/15,26113090.0,23.0,23.0,23.05,22.6
21/09/15,3543335.0,22.8,23.3,23.3,22.7
22/09/15,26382520.0,22.85,23.0,23.0,22.6
23/09/15,22017435.0,23.0,23.0,23.25,22.6
24/09/15,25123345.0,22.8,21.75,22.8,21.75
28/09/15,13949950.0,21.75,22.2,22.3,21.75
29/09/15,33342795.0,22.0,21.95,22.2,21.75
30/09/15,81855855.0,22.0,21.75,22.0,21.75
01/10/15,123449200.0,21.75,21.8,22.0,21.75
02/10/15,18078825.0,21.8,21.8,22.3,21.75
05/10/15,5431320.0,21.8,22.5,22.5,21.8
06/10/15,14797670.0,22.55,22.9,23.0,22.55
07/10/15,46422420.0,22.5,22.65,23.0,22.5
08/10/15,78945465.0,22.65,22.85,23.05,22.6
09/10/15,21810180.0,23.0,23.0,23.05,22.85
12/10/15,26950255.0,22.95,23.15,23.3,22.95
13/10/15,97886430.0,23.05,23.25,23.5,23.05
14/10/15,17720285.0,23.5,23.3,23.5,23.3
15/10/15,53417290.0,23.45,23.45,23.6,23.35
16/10/15,86246360.0,23.6,23.9,24.0,23.5
19/10/15,26549680.0,24.0,24.45,24.45,24.0
20/10/15,32942220.0,24.35,24.4,24.45,24.35
21/10/15,16884145.0,24.35,24.6,24.65,24.35
22/10/15,72958690.0,24.55,23.9,24.6,23.9
23/10/15,133010825.0,24.0,24.3,24.4,24.0
26/10/15,14868430.0,24.2,24.45,24.55,24.2
27/10/15,36397100.0,24.3,24.25,24.45,24.1
28/10/15,39534485.0,24.25,24.25,24.3,23.9
29/10/15,100348585.0,24.3,24.3,24.4,24.05
30/10/15,61756570.0,24.0,23.8,24.0,23.8
02/11/15,6628390.0,23.75,23.3,23.8,23.25
03/11/15,80951300.0,23.15,22.5,23.2,22.5
04/11/15,66173650.0,22.6,23.0,23.05,22.6
05/11/15,12843435.0,22.85,23.45,23.7,22.85
06/11/15,77409415.0,23.4,24.25,24.3,23.4
09/11/15,26857965.0,24.35,24.0,24.4,23.95
10/11/15,31235745.0,24.2,24.0,24.2,23.55
11/11/15,18923295.0,24.05,23.95,24.05,23.7
12/11/15,163337635.0,24.05,23.95,24.05,23.9
13/11/15,34578725.0,23.95,23.9,24.05,23.75
16/11/15,52143765.0,23.6,23.9,24.1,23.55
17/11/15,43660300.0,24.0,24.0,24.05,23.85
20/11/15,82964780.0,24.0,24.0,24.2,24.0
23/11/15,22848090.0,24.0,24.15,24.4,24.0
24/11/15,176100180.0,24.35,24.6,24.6,24.05
25/11/15,20487545.0,24.6,24.75,24.8,24.6
26/11/15,7862350.0,24.8,24.65,24.8,24.45
27/11/15,522633555.0,24.6,24.5,24.6,24.45
01/12/15,72811480.0,24.3,24.5,24.5,24.15
02/12/15,141757255.0,24.7,24.5,24.7,24.2
03/12/15,4050450.0,24.5,24.55,24.55,24.5
04/12/15,54343605.0,24.55,24.6,24.75,24.45
07/12/15,27560840.0,24.6,24.8,24.9,24.6
08/12/15,52167765.0,24.95,25.15,25.25,24.6
09/12/15,57187450.0,25.05,25.55,25.75,25.05
10/12/15,47649345.0,25.25,25.0,25.25,24.85
11/12/15,292913435.0,24.7,24.9,25.0,24.7
14/12/15,136166890.0,24.55,24.75,24.95,24.5
15/12/15,15414150.0,24.5,24.75,24.8,24.5
16/12/15,38832650.0,24.7,24.8,25.05,24.65
17/12/15,120439895.0,24.85,24.9,25.2,24.8
18/12/15,81832335.0,24.75,23.95,24.75,23.95
21/12/15,11471615.0,23.95,24.05,24.45,23.95
22/12/15,26860655.0,24.0,24.75,24.85,24.0
23/12/15,6458780.0,24.85,24.8,24.9,24.55
28/12/15,13227340.0,24.6,24.5,24.75,24.5
29/12/15,7909350.0,24.3,24.8,24.9,24.3
04/01/16,21583160.0,24.75,24.8,24.95,24.7
05/01/16,2253870.0,24.8,24.8,24.8,24.55
06/01/16,33510495.0,24.75,24.75,24.95,24.75
07/01/16,51145910.0,24.8,24.9,25.1,24.6
08/01/16,50755105.0,24.75,24.9,25.05,24.65
11/01/16,20393320.0,24.95,24.0,24.95,24.0
12/01/16,79442020.0,24.05,24.0,24.65,23.95
13/01/16,19171685.0,24.0,24.65,24.75,24.0
14/01/16,51962700.0,24.15,24.05,24.5,23.95
15/01/16,6802480.0,24.0,24.85,24.85,24.0
18/01/16,88543130.0,24.1,24.0,24.55,23.7
19/01/16,54567015.0,24.0,24.0,24.5,23.85
20/01/16,16509350.0,24.45,24.35,24.45,23.95
21/01/16,39026310.0,24.35,24.7,24.7,24.25
22/01/16,5822220.0,24.2,24.7,24.7,24.2
25/01/16,41863565.0,24.7,24.85,25.6,24.7
26/01/16,17552750.0,24.8,24.25,24.85,24.25
27/01/16,8329615.0,24.2,24.85,25.0,24.2
28/01/16,23428225.0,24.85,24.8,24.85,24.3
29/01/16,18397890.0,24.75,24.3,25.7,24.3
01/02/16,13279240.0,24.8,24.75,24.9,24.5
02/02/16,1722680.0,24.9,24.75,24.95,24.7
03/02/16,17192745.0,24.9,24.55,25.0,24.5
04/02/16,23035105.0,24.65,24.8,25.0,24.65
05/02/16,65430535.0,24.65,26.0,26.4,24.65
09/02/16,5721045.0,25.9,25.9,26.0,25.8
10/02/16,1613995.0,25.9,25.9,25.9,25.75
11/02/16,74766840.0,25.85,26.0,26.4,25.55
12/02/16,33842950.0,26.0,26.0,26.15,25.9
15/02/16,47575115.0,26.0,26.15,26.5,26.0
