Date,Value,Open,Close,High,Low
15/07/15,2378720.0,3.2,3.2,3.24,3.18
16/07/15,1989420.0,3.2,3.23,3.25,3.15
20/07/15,635130.0,3.25,3.18,3.25,3.1
21/07/15,310980.0,3.12,3.09,3.2,3.07
22/07/15,2042390.0,3.18,3.08,3.18,3.06
23/07/15,553980.0,3.05,3.09,3.13,3.05
23/07/15,553980.0,3.05,3.09,3.13,3.05
23/07/15,553980.0,3.05,3.09,3.13,3.05
24/07/15,1135770.0,3.08,3.09,3.14,3.08
27/07/15,1017310.0,3.09,3.09,3.11,3.08
28/07/15,6160040.0,3.1,3.26,3.38,3.09
29/07/15,3161140.0,3.28,3.18,3.3,3.16
30/07/15,1226180.0,3.18,3.17,3.25,3.16
31/07/15,2116220.0,3.15,3.03,3.15,3.03
03/08/15,9486210.0,3.05,3.0,3.06,2.89
04/08/15,11021680.0,3.0,2.81,3.0,2.76
05/08/15,1259630.0,2.81,2.85,2.87,2.73
06/08/15,2774540.0,2.88,2.75,2.88,2.75
07/08/15,2682900.0,2.75,2.72,2.83,2.66
10/08/15,2905920.0,2.67,2.75,2.75,2.65
11/08/15,2525290.0,2.79,2.71,2.79,2.66
12/08/15,2970580.0,2.79,2.72,2.79,2.67
13/08/15,1016350.0,2.7,2.69,2.77,2.69
14/08/15,6539450.0,2.7,2.64,2.7,2.64
17/08/15,7722300.0,2.64,2.5,2.64,2.3
18/08/15,1784810.0,2.5,2.51,2.55,2.5
19/08/15,1397170.0,2.51,2.52,2.58,2.47
20/08/15,2657000.0,2.5,2.55,2.56,2.5
24/08/15,2231270.0,2.48,2.11,2.48,2.1
25/08/15,84340.0,2.11,2.1,2.11,2.1
26/08/15,552690.0,2.14,2.15,2.16,2.13
27/08/15,842430.0,2.2,2.12,2.2,2.1
28/08/15,1608930.0,2.28,2.32,2.39,2.28
01/09/15,74660.0,2.28,2.26,2.28,2.17
02/09/15,1514430.0,2.2,2.12,2.2,2.11
03/09/15,210830.0,2.21,2.14,2.24,2.14
04/09/15,1247490.0,2.14,2.18,2.28,2.12
07/09/15,71920.0,2.18,2.16,2.18,2.16
08/09/15,677970.0,2.13,2.13,2.13,2.11
09/09/15,673700.0,2.12,2.11,2.15,2.1
10/09/15,1810200.0,2.1,2.05,2.1,2.05
11/09/15,952710.0,2.06,2.04,2.06,2.0
14/09/15,952580.0,2.03,1.94,2.03,1.94
15/09/15,412850.0,1.95,2.0,2.03,1.94
15/09/15,412850.0,1.95,2.0,2.03,1.94
15/09/15,412850.0,1.95,2.0,2.03,1.94
16/09/15,458380.0,2.04,2.0,2.07,2.0
17/09/15,424100.0,2.0,2.02,2.06,2.0
18/09/15,1104440.0,2.02,2.25,2.25,2.01
21/09/15,660200.0,2.25,2.09,2.25,2.08
22/09/15,539920.0,2.06,2.05,2.08,2.05
23/09/15,512350.0,2.04,2.03,2.06,2.0
24/09/15,371600.0,2.02,2.1,2.14,2.02
28/09/15,523470.0,2.04,2.0,2.1,2.0
30/09/15,303040.0,2.0,1.96,2.0,1.96
01/10/15,544560.0,1.99,1.96,2.0,1.96
02/10/15,789700.0,1.97,1.94,1.97,1.9
05/10/15,2625130.0,1.94,1.94,1.94,1.88
06/10/15,427840.0,1.93,1.92,1.94,1.92
07/10/15,341750.0,1.91,1.9,1.93,1.88
08/10/15,895940.0,1.94,1.95,2.0,1.9
09/10/15,766200.0,1.91,1.99,2.03,1.91
12/10/15,8650350.0,2.05,2.33,2.51,2.05
13/10/15,3913680.0,2.5,2.23,2.5,2.23
14/10/15,930930.0,2.3,2.23,2.3,2.2
15/10/15,1220490.0,2.22,2.23,2.34,2.21
16/10/15,1407950.0,2.23,2.26,2.35,2.23
19/10/15,2374700.0,2.28,2.34,2.37,2.27
20/10/15,907660.0,2.32,2.26,2.32,2.24
21/10/15,1306380.0,2.33,2.21,2.33,2.21
22/10/15,1366150.0,2.2,2.3,2.32,2.2
23/10/15,784950.0,2.27,2.28,2.32,2.27
26/10/15,11820940.0,2.32,2.57,2.62,2.32
27/10/15,20893650.0,2.57,3.2,3.3,2.44
28/10/15,11860670.0,3.23,2.85,3.23,2.81
29/10/15,5258320.0,2.88,2.74,2.99,2.74
30/10/15,3204990.0,2.98,2.8,2.99,2.75
02/11/15,3199530.0,2.95,2.84,2.95,2.68
03/11/15,5689070.0,2.93,3.04,3.08,2.85
04/11/15,1226200.0,3.01,2.97,3.06,2.97
05/11/15,9386240.0,2.97,3.01,3.26,2.95
06/11/15,1093510.0,3.02,2.83,3.09,2.83
09/11/15,1170150.0,2.81,2.75,2.9,2.73
10/11/15,773510.0,2.87,2.71,2.87,2.61
11/11/15,1183560.0,2.63,2.62,2.82,2.6
12/11/15,159060.0,2.62,2.65,2.73,2.62
13/11/15,630500.0,2.65,2.59,2.65,2.5
16/11/15,1641130.0,2.5,2.38,2.5,2.35
17/11/15,452880.0,2.38,2.43,2.46,2.38
20/11/15,832280.0,2.38,2.36,2.39,2.33
23/11/15,2679980.0,2.31,2.17,2.31,2.17
24/11/15,2037570.0,2.17,2.1,2.18,2.1
25/11/15,650610.0,2.21,2.12,2.23,2.11
26/11/15,1078100.0,2.11,2.25,2.25,2.11
27/11/15,1371980.0,2.27,2.16,2.33,2.16
01/12/15,204880.0,2.16,2.15,2.16,2.15
02/12/15,209960.0,2.12,2.13,2.15,2.11
03/12/15,88510.0,2.19,2.24,2.25,2.14
04/12/15,41980.0,2.24,2.18,2.24,2.18
07/12/15,291390.0,2.16,2.18,2.18,2.15
08/12/15,191380.0,2.14,2.11,2.15,2.11
09/12/15,70940.0,2.19,2.11,2.19,2.1
10/12/15,608300.0,2.17,2.03,2.17,2.03
11/12/15,333550.0,2.03,2.02,2.05,2.02
14/12/15,691480.0,2.01,2.01,2.03,2.0
15/12/15,1335140.0,2.01,2.01,2.03,2.0
16/12/15,161420.0,2.0,2.06,2.06,2.0
17/12/15,322100.0,2.04,2.09,2.14,2.04
18/12/15,74070.0,2.13,2.1,2.13,2.1
21/12/15,48870.0,2.04,2.03,2.04,2.03
22/12/15,778770.0,2.03,1.99,2.1,1.99
23/12/15,191850.0,1.99,2.0,2.04,1.99
28/12/15,612300.0,2.0,2.05,2.05,2.0
29/12/15,239150.0,2.01,2.0,2.04,1.97
04/01/16,2512170.0,2.0,1.9,2.0,1.88
05/01/16,1214310.0,1.9,1.83,1.9,1.83
06/01/16,233960.0,1.84,1.82,1.84,1.81
07/01/16,1257030.0,1.83,1.65,1.83,1.64
08/01/16,2100800.0,1.64,1.62,1.64,1.6
11/01/16,1321130.0,1.6,1.59,1.61,1.59
12/01/16,643080.0,1.58,1.58,1.59,1.57
13/01/16,447320.0,1.58,1.57,1.58,1.55
14/01/16,286090.0,1.54,1.5,1.54,1.5
15/01/16,916300.0,1.5,1.5,1.55,1.5
18/01/16,195180.0,1.5,1.45,1.5,1.45
19/01/16,146360.0,1.5,1.46,1.6,1.46
20/01/16,240870.0,1.46,1.42,1.6,1.42
21/01/16,294200.0,1.42,1.4,1.53,1.4
22/01/16,520370.0,1.4,1.45,1.49,1.36
25/01/16,229320.0,1.45,1.39,1.45,1.39
26/01/16,357110.0,1.4,1.38,1.41,1.38
27/01/16,2283750.0,1.37,1.65,1.8,1.37
28/01/16,1066880.0,1.69,1.72,1.8,1.63
29/01/16,1506480.0,1.77,1.72,1.8,1.72
01/02/16,558950.0,1.8,1.7,1.8,1.68
02/02/16,126760.0,1.74,1.68,1.74,1.68
03/02/16,369490.0,1.65,1.63,1.7,1.56
04/02/16,3459370.0,1.63,1.82,1.94,1.63
05/02/16,1104050.0,1.84,1.81,1.87,1.79
09/02/16,945680.0,1.79,1.8,1.8,1.73
10/02/16,881080.0,1.75,1.72,1.75,1.72
11/02/16,823060.0,1.73,1.75,1.75,1.7
12/02/16,599620.0,1.7,1.74,1.75,1.69
15/02/16,1317040.0,1.74,1.83,1.85,1.74
16/02/16,2055510.0,1.92,1.82,1.94,1.82
17/02/16,1879710.0,1.82,1.89,1.93,1.82
18/02/16,2874500.0,1.94,1.91,2.06,1.9
19/02/16,1909940.0,1.9,1.81,1.92,1.8
22/02/16,561550.0,1.82,1.82,1.83,1.8
23/02/16,450910.0,1.86,1.84,1.9,1.83
24/02/16,615500.0,1.85,1.85,1.86,1.84
26/02/16,927090.0,1.86,1.87,1.89,1.82
29/02/16,1628940.0,1.87,1.87,1.95,1.87
01/03/16,497770.0,1.87,1.85,1.9,1.84
02/03/16,2884570.0,1.92,2.08,2.09,1.92
03/03/16,1752840.0,2.08,2.01,2.15,1.95
04/03/16,3032710.0,2.12,2.13,2.16,2.06
07/03/16,5974360.0,2.3,2.35,2.38,2.26
08/03/16,3864500.0,2.36,2.25,2.47,2.2
09/03/16,1268190.0,2.05,2.18,2.2,2.05
10/03/16,1136150.0,2.24,2.24,2.29,2.21
11/03/16,1825240.0,2.3,2.31,2.35,2.27
14/03/16,924790.0,2.32,2.32,2.36,2.27
15/03/16,2181150.0,2.24,2.27,2.3,2.24
16/03/16,2731370.0,2.27,2.13,2.27,2.13
17/03/16,560850.0,2.17,2.11,2.17,2.11
18/03/16,1037950.0,2.16,2.12,2.25,2.12
21/03/16,757610.0,2.12,2.13,2.16,2.1
22/03/16,408240.0,2.13,2.09,2.13,2.09
23/03/16,1005920.0,2.08,2.07,2.11,2.07
28/03/16,366350.0,2.07,2.09,2.12,2.07
29/03/16,989590.0,2.13,2.1,2.24,2.06
30/03/16,1662640.0,2.1,2.09,2.13,2.08
31/03/16,805140.0,2.1,2.06,2.15,2.06
01/04/16,740580.0,2.06,2.06,2.06,2.04
04/04/16,1182600.0,2.1,2.04,2.1,2.02
05/04/16,1231820.0,2.04,2.02,2.04,1.95
06/04/16,1140130.0,1.95,1.96,2.0,1.94
07/04/16,1408570.0,2.02,1.97,2.04,1.96
08/04/16,1390280.0,2.04,2.04,2.1,2.0
11/04/16,854450.0,2.05,2.06,2.15,2.04
12/04/16,1550460.0,2.08,2.13,2.17,2.08
13/04/16,2071280.0,2.18,2.21,2.24,2.18
14/04/16,1091150.0,2.21,2.18,2.25,2.17
15/04/16,852830.0,2.24,2.17,2.24,2.17
18/04/16,777880.0,2.17,2.05,2.17,2.05
19/04/16,2482210.0,2.05,2.18,2.2,2.05
20/04/16,4077790.0,2.22,2.18,2.33,2.14
