Date,Value,Open,Close,High,Low
15/07/15,1643090.0,25.85,25.9,25.9,25.6
16/07/15,726200.0,25.9,25.5,25.95,25.5
20/07/15,2702020.0,25.5,25.5,25.5,24.75
21/07/15,1743505.0,25.3,25.6,25.6,25.0
22/07/15,1487630.0,25.6,25.5,25.6,25.05
23/07/15,3669685.0,25.5,25.4,25.5,24.95
23/07/15,3669685.0,25.5,25.4,25.5,24.95
23/07/15,3669685.0,25.5,25.4,25.5,24.95
24/07/15,486205.0,24.95,25.4,25.4,24.8
27/07/15,2025060.0,25.3,25.0,25.3,24.7
28/07/15,1773275.0,24.9,25.2,25.2,24.8
29/07/15,859365.0,24.9,25.5,25.5,24.75
30/07/15,7074090.0,25.5,25.45,25.5,24.5
31/07/15,1594095.0,25.45,25.4,25.45,24.8
03/08/15,1402415.0,25.4,25.5,25.5,24.9
04/08/15,8481340.0,24.95,25.5,25.65,24.9
05/08/15,1337455.0,25.55,25.8,25.8,25.05
06/08/15,13506070.0,25.5,26.55,26.9,25.5
07/08/15,79767900.0,26.55,27.1,28.4,26.55
10/08/15,11302410.0,27.5,26.9,27.5,26.45
11/08/15,16762830.0,27.15,26.85,27.15,25.4
12/08/15,10970455.0,26.5,25.65,26.5,25.5
13/08/15,6066445.0,25.5,25.2,25.65,24.95
14/08/15,4242780.0,25.55,25.9,25.9,24.8
17/08/15,11959355.0,26.05,25.0,26.05,24.5
18/08/15,2767305.0,25.0,24.4,25.0,24.35
19/08/15,2267010.0,24.15,24.6,24.75,24.15
20/08/15,8464490.0,24.6,23.8,25.0,23.75
24/08/15,35711545.0,23.2,21.7,23.2,21.0
25/08/15,996225.0,21.4,22.5,22.5,21.2
26/08/15,7482885.0,22.8,21.9,22.8,21.5
27/08/15,9587895.0,22.55,22.0,22.6,21.9
28/08/15,11484940.0,22.05,22.0,22.25,21.8
01/09/15,7356665.0,22.0,21.65,22.0,21.5
02/09/15,13985025.0,21.5,21.0,21.5,20.8
03/09/15,11495500.0,21.0,21.95,21.95,20.85
04/09/15,3287055.0,21.85,21.8,22.0,21.05
07/09/15,15976505.0,21.5,20.75,21.5,20.1
08/09/15,20758610.0,20.7,19.68,20.75,19.64
09/09/15,3049765.0,20.0,20.95,20.95,20.0
10/09/15,1074195.0,20.85,20.8,20.85,20.2
11/09/15,1078465.0,20.8,21.0,21.0,20.3
14/09/15,1797790.0,21.2,21.5,21.5,21.2
15/09/15,1784070.0,21.5,21.75,21.75,21.2
15/09/15,1784070.0,21.5,21.75,21.75,21.2
15/09/15,1784070.0,21.5,21.75,21.75,21.2
16/09/15,1747660.0,21.8,22.0,22.0,21.7
17/09/15,2929060.0,21.8,22.0,22.0,21.2
18/09/15,2754410.0,22.1,21.9,22.75,21.5
21/09/15,1773050.0,21.8,22.5,22.5,21.5
22/09/15,13048560.0,21.5,21.9,21.9,21.0
