Date,Value,Open,Close,High,Low
15/07/15,820605.0,5.68,5.71,5.88,5.68
16/07/15,392845.0,5.71,5.8,5.9,5.71
20/07/15,554464.0,5.94,5.96,6.02,5.85
21/07/15,1692346.0,6.05,5.9,6.11,5.85
22/07/15,3191530.0,5.92,5.7,5.92,5.7
23/07/15,221349.0,5.94,5.89,5.94,5.8
23/07/15,221349.0,5.94,5.89,5.94,5.8
23/07/15,221349.0,5.94,5.89,5.94,5.8
24/07/15,90523.0,5.87,5.86,5.87,5.8
27/07/15,205810.0,5.86,5.72,5.86,5.72
28/07/15,728894.0,5.71,5.8,5.8,5.7
29/07/15,2241306.0,5.8,5.8,5.8,5.74
30/07/15,1929267.0,5.8,6.0,6.0,5.8
31/07/15,7407005.0,6.0,6.18,6.18,5.88
03/08/15,519763.0,6.2,6.31,6.6,6.2
04/08/15,1562429.0,6.4,6.46,6.53,6.4
05/08/15,3487850.0,6.52,6.4,6.52,6.4
06/08/15,310530.0,6.52,6.46,6.52,6.4
07/08/15,1668958.0,6.4,6.47,6.48,6.05
10/08/15,3089423.0,6.47,6.47,6.47,6.15
11/08/15,1375515.0,6.05,6.44,6.5,6.05
12/08/15,682946.0,6.47,6.1,6.47,6.08
13/08/15,3488586.0,6.1,6.1,6.11,6.05
14/08/15,96137.0,6.39,6.14,6.45,6.08
17/08/15,872114.0,6.4,5.9,6.4,5.81
18/08/15,408280.0,6.3,5.82,6.3,5.81
19/08/15,3570277.0,5.85,5.76,5.85,5.76
20/08/15,60338.0,5.89,5.8,5.89,5.8
24/08/15,32219955.0,5.8,5.28,5.8,5.1
25/08/15,680997.0,5.15,5.21,5.27,5.15
26/08/15,23810978.0,5.28,5.76,5.78,5.28
27/08/15,4803854.0,5.99,5.9,5.99,5.33
28/08/15,24616532.0,5.99,5.9,6.3,5.8
01/09/15,5477208.0,5.9,5.9,5.99,5.8
02/09/15,12845633.0,5.8,5.69,5.8,5.5
03/09/15,5864290.0,5.69,5.79,5.8,5.69
04/09/15,1553314.0,5.71,5.5,5.71,5.5
07/09/15,5968324.0,5.5,5.5,5.6,5.5
08/09/15,1261170.0,5.5,5.5,5.6,5.5
09/09/15,543886.0,5.6,5.62,5.62,5.55
10/09/15,8071024.0,5.55,5.5,5.6,5.5
11/09/15,56930.0,5.5,5.55,5.55,5.5
14/09/15,83855630.0,5.6,5.5,5.65,5.5
15/09/15,91557.0,5.7,5.7,5.7,5.57
15/09/15,91557.0,5.7,5.7,5.7,5.57
15/09/15,91557.0,5.7,5.7,5.7,5.57
16/09/15,41698689.0,5.7,5.6,5.7,5.5
17/09/15,27210.0,5.5,5.5,5.6,5.5
18/09/15,334796.0,5.51,5.6,5.6,5.5
21/09/15,96095.0,5.6,5.55,5.6,5.55
22/09/15,233594.0,5.55,5.55,5.6,5.5
23/09/15,398630.0,5.55,5.56,5.6,5.5
24/09/15,45324.0,5.5,5.51,5.59,5.5
28/09/15,108739.0,5.51,5.51,5.6,5.51
29/09/15,3349677.0,5.6,5.6,5.6,5.5
30/09/15,11048912.0,5.5,5.66,5.66,5.5
01/10/15,5575354.0,5.6,5.5,5.6,5.5
05/10/15,657198.0,5.51,5.52,5.65,5.51
06/10/15,28179339.0,5.51,5.69,5.78,5.51
07/10/15,70189.0,5.65,5.53,5.65,5.52
08/10/15,599006.0,5.6,5.62,5.62,5.53
09/10/15,101921.0,5.69,5.53,5.69,5.53
12/10/15,49033.0,5.62,5.54,5.62,5.53
13/10/15,540606.0,5.54,5.56,6.1,5.54
14/10/15,278602.0,5.56,5.51,5.56,5.5
15/10/15,245834.0,5.56,5.88,5.92,5.5
16/10/15,1282496.0,5.52,6.0,6.0,5.52
19/10/15,103172.0,5.58,5.8,5.8,5.58
20/10/15,104036.0,5.95,5.62,5.95,5.62
21/10/15,56690.0,5.72,5.8,5.8,5.72
22/10/15,1441767.0,5.85,6.0,6.0,5.84
23/10/15,48503523.0,6.0,6.0,6.02,5.95
26/10/15,253496.0,6.0,6.18,6.2,5.88
