Date,Value,Open,Close,High,Low
15/07/15,86338350.0,4.8,4.81,4.9,4.8
16/07/15,127059000.0,4.81,4.88,4.93,4.81
20/07/15,27437720.0,4.9,4.88,4.93,4.82
21/07/15,74000220.0,4.88,4.92,4.96,4.84
22/07/15,49985480.0,4.92,4.83,4.92,4.83
23/07/15,44078860.0,4.89,4.85,4.9,4.84
23/07/15,44078860.0,4.89,4.85,4.9,4.84
23/07/15,44078860.0,4.89,4.85,4.9,4.84
24/07/15,83859010.0,4.85,4.84,4.92,4.83
27/07/15,114260010.0,4.83,4.62,4.83,4.62
28/07/15,165692150.0,4.67,4.6,4.69,4.57
29/07/15,91482670.0,4.6,4.55,4.72,4.55
30/07/15,118264670.0,4.59,4.64,4.68,4.55
31/07/15,74259250.0,4.68,4.74,4.74,4.64
03/08/15,64690700.0,4.75,4.8,4.8,4.69
04/08/15,395481640.0,4.8,4.92,4.95,4.8
05/08/15,205519250.0,4.92,4.85,4.96,4.82
06/08/15,94308380.0,4.84,4.77,4.86,4.76
07/08/15,156936750.0,4.77,4.65,4.77,4.64
10/08/15,104892890.0,4.68,4.75,4.76,4.59
11/08/15,83699430.0,4.75,4.68,4.75,4.66
12/08/15,242440950.0,4.68,4.52,4.68,4.5
13/08/15,144382810.0,4.55,4.55,4.62,4.5
14/08/15,141478920.0,4.56,4.6,4.61,4.56
17/08/15,171883150.0,4.62,4.49,4.66,4.39
18/08/15,132120920.0,4.45,4.28,4.47,4.27
19/08/15,242315520.0,4.3,4.35,4.38,4.2
20/08/15,91477310.0,4.35,4.29,4.4,4.25
24/08/15,309734490.0,4.1,3.8,4.1,3.8
25/08/15,257126530.0,3.77,4.12,4.13,3.76
26/08/15,304922690.0,4.12,4.22,4.26,4.1
27/08/15,363114000.0,4.3,4.3,4.41,4.23
28/08/15,129148690.0,4.36,4.33,4.38,4.29
01/09/15,122526960.0,4.32,4.29,4.37,4.25
02/09/15,99373310.0,4.26,4.3,4.3,4.1
03/09/15,77752580.0,4.35,4.34,4.36,4.28
04/09/15,83403410.0,4.31,4.18,4.37,4.18
07/09/15,49417270.0,4.18,4.22,4.24,4.15
08/09/15,82535590.0,4.22,4.2,4.3,4.19
09/09/15,155374500.0,4.25,4.31,4.32,4.21
10/09/15,129227860.0,4.34,4.3,4.4,4.27
11/09/15,110526790.0,4.36,4.23,4.36,4.22
14/09/15,124929120.0,4.26,4.25,4.32,4.25
15/09/15,241458480.0,4.25,4.42,4.5,4.25
15/09/15,241458480.0,4.25,4.42,4.5,4.25
15/09/15,241458480.0,4.25,4.42,4.5,4.25
16/09/15,181003530.0,4.48,4.49,4.56,4.47
17/09/15,165266200.0,4.5,4.5,4.54,4.48
18/09/15,201124330.0,4.52,4.5,4.68,4.5
21/09/15,61966950.0,4.55,4.45,4.55,4.43
22/09/15,201028050.0,4.45,4.25,4.45,4.2
23/09/15,75769060.0,4.27,4.25,4.32,4.23
24/09/15,90451730.0,4.3,4.25,4.3,4.21
28/09/15,128344380.0,4.3,4.34,4.35,4.27
29/09/15,96006390.0,4.28,4.35,4.38,4.25
30/09/15,67094720.0,4.37,4.37,4.39,4.3
01/10/15,123931280.0,4.39,4.37,4.5,4.37
02/10/15,38775030.0,4.4,4.4,4.44,4.35
05/10/15,64647900.0,4.4,4.46,4.5,4.4
06/10/15,158777150.0,4.46,4.57,4.68,4.46
07/10/15,174414890.0,4.65,4.68,4.68,4.53
08/10/15,165213480.0,4.68,4.69,4.75,4.65
09/10/15,108237640.0,4.7,4.75,4.8,4.68
12/10/15,116002760.0,4.79,4.6,4.85,4.58
13/10/15,142163130.0,4.7,4.47,4.7,4.47
14/10/15,120932030.0,4.5,4.43,4.52,4.43
15/10/15,134369670.0,4.45,4.51,4.56,4.45
16/10/15,138013760.0,4.59,4.41,4.6,4.41
19/10/15,40801510.0,4.47,4.4,4.5,4.38
20/10/15,118748980.0,4.4,4.32,4.42,4.32
21/10/15,64050760.0,4.37,4.44,4.49,4.37
22/10/15,223341620.0,4.51,4.6,4.63,4.42
23/10/15,139279080.0,4.65,4.73,4.73,4.65
26/10/15,235240470.0,4.74,4.79,4.85,4.74
27/10/15,145855410.0,4.8,4.79,4.8,4.75
28/10/15,78634660.0,4.79,4.8,4.87,4.77
29/10/15,195087520.0,4.84,4.8,4.94,4.8
30/10/15,94009870.0,4.81,4.69,4.82,4.69
02/11/15,120507180.0,4.7,4.76,4.85,4.67
03/11/15,28648940.0,4.77,4.77,4.83,4.74
04/11/15,124008640.0,4.8,4.83,4.84,4.74
05/11/15,120084620.0,4.82,4.66,4.82,4.63
06/11/15,86707800.0,4.66,4.65,4.71,4.65
09/11/15,72025650.0,4.67,4.53,4.67,4.52
10/11/15,56869390.0,4.53,4.52,4.57,4.5
11/11/15,106121050.0,4.52,4.42,4.54,4.42
12/11/15,134358880.0,4.42,4.42,4.52,4.42
13/11/15,73615190.0,4.44,4.37,4.51,4.37
16/11/15,65755080.0,4.37,4.37,4.4,4.33
17/11/15,72743200.0,4.4,4.36,4.49,4.36
20/11/15,99146830.0,4.41,4.49,4.53,4.39
23/11/15,140545360.0,4.55,4.61,4.68,4.48
24/11/15,88162210.0,4.61,4.45,4.65,4.45
25/11/15,143069750.0,4.51,4.56,4.64,4.46
26/11/15,79937150.0,4.63,4.57,4.63,4.55
27/11/15,159225010.0,4.57,4.44,4.57,4.44
01/12/15,239463680.0,4.41,4.65,4.7,4.41
02/12/15,65210350.0,4.65,4.62,4.65,4.5
03/12/15,75001860.0,4.6,4.61,4.61,4.49
04/12/15,100077460.0,4.57,4.54,4.61,4.51
07/12/15,101465360.0,4.64,4.59,4.69,4.56
08/12/15,48523110.0,4.56,4.51,4.56,4.5
09/12/15,53581470.0,4.51,4.47,4.54,4.47
10/12/15,153595540.0,4.5,4.34,4.5,4.31
11/12/15,124945870.0,4.37,4.2,4.41,4.18
14/12/15,83929540.0,4.19,4.2,4.2,4.03
15/12/15,51894180.0,4.2,4.15,4.29,4.15
16/12/15,185442150.0,4.22,4.27,4.29,4.19
17/12/15,102479440.0,4.32,4.33,4.37,4.27
18/12/15,100048730.0,4.3,4.29,4.3,4.24
21/12/15,47142490.0,4.29,4.35,4.38,4.23
22/12/15,74354870.0,4.36,4.29,4.36,4.27
23/12/15,35265180.0,4.3,4.31,4.35,4.26
28/12/15,126388120.0,4.33,4.3,4.33,4.25
29/12/15,53109520.0,4.27,4.25,4.32,4.23
04/01/16,108676430.0,4.25,4.13,4.3,4.08
