Date,Value,Open,Close,High,Low
15/07/15,74258004.0,5.48,5.7,5.73,5.44
16/07/15,84230806.0,5.75,5.9,5.9,5.69
20/07/15,74649952.0,5.93,6.3,6.3,5.87
21/07/15,124049546.0,6.27,6.8,6.8,6.21
22/07/15,155871567.0,6.82,7.12,7.22,6.82
23/07/15,117876737.0,7.18,7.49,7.51,7.05
23/07/15,117876737.0,7.18,7.49,7.51,7.05
23/07/15,117876737.0,7.18,7.49,7.51,7.05
24/07/15,81460238.0,7.49,7.85,7.87,7.25
27/07/15,101909706.0,7.85,7.15,7.85,7.15
28/07/15,62480021.0,7.0,7.1,7.27,6.72
29/07/15,42344808.0,7.16,7.85,7.85,7.15
30/07/15,103030204.0,7.86,8.1,8.22,7.86
31/07/15,156209396.0,8.1,8.0,8.2,7.9
03/08/15,25273772.0,8.0,7.89,8.09,7.6
04/08/15,20500971.0,7.86,7.85,7.87,7.3
05/08/15,42416637.0,7.75,7.6,7.99,7.6
06/08/15,21422959.0,7.59,7.3,7.84,7.3
07/08/15,128266060.0,7.3,7.5,7.65,7.3
10/08/15,84605079.0,7.5,7.6,7.85,7.33
11/08/15,25731714.0,7.55,7.2,7.55,7.19
12/08/15,83327939.0,7.16,6.75,7.16,6.71
13/08/15,61442699.0,6.71,6.21,6.71,6.21
14/08/15,115248030.0,6.21,6.11,6.5,6.01
17/08/15,11776921.0,6.2,6.35,6.35,5.88
18/08/15,2427610.0,6.34,6.3,6.34,6.1
19/08/15,4281207.0,6.3,6.4,6.5,6.2
20/08/15,8602418.0,6.4,6.3,6.41,6.28
24/08/15,11589277.0,6.1,5.8,6.3,5.73
25/08/15,4311036.0,5.71,5.86,5.87,5.68
26/08/15,20723714.0,5.82,5.75,6.26,5.75
27/08/15,6964690.0,5.8,5.82,5.96,5.74
28/08/15,7991077.0,6.0,6.01,6.24,5.91
01/09/15,4125772.0,5.98,5.95,6.01,5.9
02/09/15,8575122.0,5.95,5.67,5.95,5.66
03/09/15,2735754.0,5.73,5.66,5.94,5.66
04/09/15,6288800.0,5.75,5.51,5.84,5.51
07/09/15,9540899.0,5.5,5.3,5.5,5.29
08/09/15,9479643.0,5.3,5.06,5.3,5.02
09/09/15,3001633.0,5.29,5.15,5.29,5.09
10/09/15,4876345.0,5.15,5.16,5.17,5.02
11/09/15,3059929.0,5.12,5.0,5.2,5.0
