Date,Value,Open,Close,High,Low
15/07/15,255737290.0,4.82,4.9,4.92,4.81
16/07/15,34572230.0,4.86,4.78,4.9,4.77
20/07/15,75706730.0,4.76,4.78,4.81,4.76
21/07/15,35154820.0,4.76,4.83,4.83,4.75
22/07/15,86028420.0,4.83,4.8,4.83,4.73
23/07/15,95731280.0,4.8,4.87,4.87,4.78
23/07/15,95731280.0,4.8,4.87,4.87,4.78
23/07/15,95731280.0,4.8,4.87,4.87,4.78
24/07/15,107629140.0,4.86,4.8,4.86,4.79
27/07/15,40691070.0,4.81,4.66,4.81,4.66
28/07/15,133127790.0,4.6,4.6,4.69,4.6
29/07/15,81808800.0,4.61,4.6,4.74,4.6
30/07/15,96687710.0,4.61,4.74,4.86,4.6
31/07/15,143564670.0,4.75,4.85,4.87,4.71
03/08/15,365114970.0,4.76,5.0,5.04,4.76
04/08/15,315479744.0,5.0,5.04,5.11,5.0
05/08/15,164087961.0,5.03,5.03,5.05,5.02
06/08/15,141498029.0,5.03,4.98,5.07,4.9
07/08/15,145864920.0,4.98,4.99,4.99,4.8
10/08/15,201812220.0,4.99,5.03,5.03,4.97
11/08/15,143942977.0,5.0,5.04,5.1,4.99
12/08/15,136085686.0,5.03,5.0,5.03,4.98
13/08/15,247097751.0,5.01,5.08,5.12,4.96
14/08/15,65460527.0,5.05,5.01,5.05,5.0
17/08/15,145322684.0,4.99,4.96,5.02,4.89
18/08/15,146419740.0,4.86,4.92,4.94,4.82
19/08/15,104945370.0,4.92,5.01,5.05,4.9
20/08/15,133214842.0,5.0,5.03,5.03,5.0
24/08/15,271436354.0,4.89,4.61,4.89,4.61
25/08/15,162208030.0,4.5,4.7,5.0,4.5
26/08/15,209077330.0,4.66,4.7,4.75,4.66
27/08/15,320405120.0,4.73,4.98,5.0,4.73
28/08/15,181084660.0,5.0,5.0,5.0,4.85
01/09/15,333454514.0,5.04,5.05,5.15,5.01
02/09/15,95322272.0,5.0,5.01,5.06,4.89
03/09/15,103589989.0,5.01,5.02,5.1,4.99
04/09/15,91879570.0,5.02,4.99,5.04,4.97
07/09/15,64803830.0,4.84,4.9,4.95,4.84
08/09/15,183344300.0,4.9,4.9,4.92,4.7
09/09/15,234679710.0,4.91,5.0,5.0,4.91
10/09/15,168104304.0,4.91,4.95,4.98,4.88
11/09/15,113359420.0,5.0,5.04,5.04,4.93
14/09/15,71812245.0,4.92,5.03,5.04,4.92
15/09/15,185827352.0,4.97,5.08,5.15,4.97
15/09/15,185827352.0,4.97,5.08,5.15,4.97
15/09/15,185827352.0,4.97,5.08,5.15,4.97
16/09/15,88377095.0,5.08,5.07,5.16,5.02
17/09/15,64923615.0,5.05,5.04,5.14,5.0
18/09/15,137802579.0,5.1,5.13,5.15,5.05
21/09/15,41724942.0,5.12,5.1,5.12,5.0
22/09/15,162237706.0,5.01,5.0,5.02,4.95
23/09/15,166817074.0,4.99,5.0,5.01,4.93
24/09/15,146282594.0,4.97,4.98,5.0,4.92
28/09/15,162233780.0,4.89,4.9,4.98,4.89
29/09/15,106577760.0,4.8,4.98,5.0,4.8
30/09/15,207017790.0,4.98,4.98,5.01,4.96
01/10/15,78182890.0,4.98,5.0,5.14,4.97
02/10/15,71158639.0,5.0,5.0,5.06,4.93
05/10/15,159584270.0,4.96,4.99,5.01,4.96
06/10/15,242691350.0,5.03,5.07,5.15,4.98
07/10/15,276337985.0,5.1,5.18,5.18,5.08
08/10/15,108356491.0,5.18,5.16,5.19,5.12
09/10/15,140399179.0,5.15,5.21,5.25,5.13
12/10/15,107621452.0,5.21,5.15,5.29,5.08
13/10/15,103575543.0,5.24,5.11,5.24,5.11
14/10/15,38701757.0,5.11,5.06,5.16,5.06
15/10/15,101167676.0,5.06,5.07,5.12,5.06
16/10/15,125912493.0,5.08,5.06,5.18,5.06
19/10/15,90481521.0,5.06,5.15,5.17,5.06
20/10/15,124144913.0,5.15,5.19,5.2,5.14
21/10/15,70390947.0,5.19,5.2,5.2,5.15
22/10/15,141098099.0,5.2,5.18,5.21,5.15
23/10/15,173195599.0,5.18,5.23,5.25,5.18
26/10/15,216040027.0,5.23,5.28,5.39,5.23
27/10/15,197517751.0,5.27,5.34,5.34,5.23
28/10/15,183055515.0,5.3,5.34,5.42,5.3
29/10/15,197238535.0,5.34,5.37,5.4,5.3
30/10/15,158520208.0,5.37,5.22,5.4,5.2
02/11/15,88509697.0,5.22,5.34,5.39,5.22
03/11/15,366131602.0,5.34,5.44,5.58,5.34
04/11/15,154461533.0,5.44,5.43,5.54,5.4
05/11/15,60598546.0,5.4,5.35,5.43,5.3
06/11/15,105062048.0,5.3,5.3,5.37,5.24
09/11/15,40482179.0,5.26,5.25,5.3,5.21
10/11/15,100999174.0,5.16,5.3,5.38,5.16
11/11/15,129687149.0,5.29,5.25,5.29,5.23
12/11/15,115584975.0,5.2,5.25,5.35,5.2
13/11/15,92222846.0,5.2,5.31,5.31,5.16
16/11/15,115594308.0,5.2,5.16,5.29,5.0
17/11/15,118768961.0,5.16,5.26,5.32,5.16
20/11/15,139944030.0,5.27,5.3,5.37,5.27
23/11/15,122891688.0,5.27,5.34,5.34,5.2
24/11/15,97132561.0,5.3,5.33,5.33,5.2
25/11/15,134560056.0,5.35,5.33,5.37,5.27
26/11/15,229255647.0,5.33,5.3,5.35,5.27
27/11/15,293044983.0,5.3,5.24,5.3,5.2
01/12/15,75631015.0,5.21,5.29,5.33,5.21
02/12/15,100121743.0,5.3,5.3,5.32,5.26
03/12/15,130463626.0,5.27,5.27,5.3,5.22
04/12/15,74181376.0,5.27,5.26,5.28,5.2
07/12/15,41027634.0,5.26,5.25,5.28,5.22
08/12/15,90602831.0,5.21,5.26,5.3,5.21
09/12/15,40162429.0,5.22,5.22,5.25,5.2
10/12/15,92995653.0,5.21,5.2,5.23,5.17
11/12/15,172792825.0,5.19,5.05,5.19,5.04
14/12/15,91706782.0,5.06,5.08,5.12,5.04
15/12/15,45577233.0,5.08,5.1,5.19,5.06
16/12/15,108735387.0,5.1,5.2,5.22,5.1
17/12/15,223720887.0,5.26,5.33,5.39,5.25
18/12/15,195718539.0,5.33,5.33,5.4,5.28
21/12/15,83615564.0,5.33,5.25,5.33,5.23
22/12/15,59000952.0,5.25,5.24,5.25,5.2
23/12/15,35326339.0,5.3,5.24,5.3,5.19
28/12/15,58357554.0,5.21,5.22,5.24,5.2
29/12/15,85543423.0,5.22,5.2,5.28,5.19
04/01/16,57651862.0,5.23,5.24,5.29,5.21
05/01/16,161403685.0,5.24,5.28,5.34,5.22
06/01/16,96638178.0,5.27,5.26,5.37,5.26
07/01/16,117351405.0,5.26,5.2,5.3,5.2
08/01/16,146689212.0,5.19,5.19,5.3,5.13
