Date,Value,Open,Close,High,Low
24/11/15,781075810.0,4.3,4.0,4.49,4.0
25/11/15,180991610.0,4.03,4.01,4.07,3.97
26/11/15,117336380.0,4.02,3.98,4.03,3.97
27/11/15,195488290.0,3.99,3.82,4.0,3.81
01/12/15,50519750.0,3.82,3.84,3.89,3.81
02/12/15,24917220.0,3.87,3.95,3.96,3.87
03/12/15,23651590.0,3.95,3.88,3.95,3.88
04/12/15,16118750.0,3.88,3.86,3.88,3.84
07/12/15,19426390.0,3.88,3.88,3.95,3.87
08/12/15,22520000.0,3.88,3.85,3.89,3.83
09/12/15,25423560.0,3.84,3.83,3.86,3.8
10/12/15,58183830.0,3.83,3.84,3.87,3.8
11/12/15,39612030.0,3.83,3.84,3.85,3.8
14/12/15,62397570.0,3.81,3.74,3.81,3.69
15/12/15,11457510.0,3.74,3.74,3.75,3.69
16/12/15,22825040.0,3.74,3.74,3.77,3.73
17/12/15,18179870.0,3.75,3.78,3.79,3.75
18/12/15,12059780.0,3.78,3.73,3.78,3.73
21/12/15,14046670.0,3.74,3.7,3.75,3.63
22/12/15,23116760.0,3.69,3.69,3.7,3.66
23/12/15,17146780.0,3.7,3.83,3.85,3.69
28/12/15,17132230.0,3.83,3.9,3.9,3.83
29/12/15,87004900.0,3.9,3.98,3.98,3.87
04/01/16,11341780.0,3.96,3.89,3.96,3.85
05/01/16,5104570.0,3.88,3.85,3.88,3.8
06/01/16,8825020.0,3.85,3.9,3.94,3.85
07/01/16,10095350.0,3.9,3.78,3.9,3.76
08/01/16,9534870.0,3.76,3.78,3.79,3.6
11/01/16,13566090.0,3.79,3.6,3.79,3.5
12/01/16,9121410.0,3.54,3.6,3.62,3.54
13/01/16,7343350.0,3.62,3.57,3.67,3.56
14/01/16,3090750.0,3.58,3.52,3.58,3.5
15/01/16,2795050.0,3.53,3.52,3.56,3.51
18/01/16,6850330.0,3.5,3.5,3.5,3.12
19/01/16,2869460.0,3.49,3.47,3.5,3.42
20/01/16,5558060.0,3.45,3.24,3.48,3.22
21/01/16,13677640.0,3.23,3.0,3.23,2.93
22/01/16,16980120.0,3.05,2.95,3.05,2.9
25/01/16,7849550.0,2.95,3.02,3.19,2.95
26/01/16,8532870.0,3.0,3.0,3.11,2.92
27/01/16,11822150.0,3.0,3.03,3.09,3.0
28/01/16,16006050.0,3.08,3.05,3.16,3.02
29/01/16,11057070.0,3.1,3.15,3.35,3.1
01/02/16,14388620.0,3.23,3.28,3.4,3.23
02/02/16,11697070.0,3.35,3.35,3.44,3.24
03/02/16,6399780.0,3.28,3.33,3.35,3.16
04/02/16,5341980.0,3.39,3.4,3.5,3.38
05/02/16,10836000.0,3.42,3.47,3.52,3.4
09/02/16,2692870.0,3.38,3.38,3.4,3.29
10/02/16,1743040.0,3.38,3.4,3.4,3.27
11/02/16,2567990.0,3.41,3.38,3.41,3.28
12/02/16,9187660.0,3.25,3.3,3.38,3.19
15/02/16,3447870.0,3.3,3.37,3.41,3.3
16/02/16,3869320.0,3.35,3.4,3.45,3.35
17/02/16,3133260.0,3.45,3.45,3.5,3.41
18/02/16,7340140.0,3.45,3.54,3.57,3.44
19/02/16,2017830.0,3.51,3.52,3.54,3.48
22/02/16,7487260.0,3.52,3.52,3.53,3.5
23/02/16,5583230.0,3.52,3.59,3.63,3.51
24/02/16,3926950.0,3.59,3.5,3.59,3.45
26/02/16,907440.0,3.5,3.49,3.51,3.48
29/02/16,3419360.0,3.5,3.43,3.5,3.32
01/03/16,2165600.0,3.42,3.36,3.42,3.3
02/03/16,4030380.0,3.36,3.54,3.55,3.36
03/03/16,7338900.0,3.55,3.6,3.73,3.55
04/03/16,19911320.0,3.65,3.84,3.87,3.6
07/03/16,19476400.0,3.84,3.74,3.9,3.7
08/03/16,5812690.0,3.75,3.65,3.8,3.6
09/03/16,7558190.0,3.63,3.76,3.84,3.6
10/03/16,6888150.0,3.82,3.76,3.84,3.66
11/03/16,10139610.0,3.76,3.85,3.88,3.71
14/03/16,22881450.0,3.86,3.86,3.96,3.77
15/03/16,3955370.0,3.89,3.85,3.89,3.8
16/03/16,104260750.0,3.85,3.98,4.05,3.81
17/03/16,42702160.0,4.0,3.98,4.05,3.98
18/03/16,7288050.0,4.0,3.9,4.01,3.89
21/03/16,6547210.0,3.9,3.88,3.94,3.87
22/03/16,4260160.0,3.88,3.9,3.96,3.86
23/03/16,2714550.0,3.94,3.92,3.96,3.9
28/03/16,3256140.0,3.93,3.93,3.95,3.92
29/03/16,6852700.0,3.93,3.9,3.95,3.9
30/03/16,4731630.0,3.88,3.91,3.94,3.86
31/03/16,4277860.0,3.92,3.85,3.92,3.85
01/04/16,4831020.0,3.85,3.85,3.92,3.84
04/04/16,6657950.0,3.85,3.85,3.86,3.8
05/04/16,7145960.0,3.84,3.8,3.84,3.79
06/04/16,5267870.0,3.78,3.86,3.89,3.78
07/04/16,1747260.0,3.87,3.83,3.87,3.83
08/04/16,2612170.0,3.83,3.81,3.83,3.77
11/04/16,4896940.0,3.81,3.9,3.95,3.81
12/04/16,185580700.0,3.95,4.1,4.23,3.91
13/04/16,64770320.0,4.17,4.14,4.25,4.14
14/04/16,28253490.0,4.14,4.14,4.17,4.05
15/04/16,5475150.0,4.14,4.1,4.16,4.07
18/04/16,13034630.0,4.08,3.95,4.08,3.95
19/04/16,8426020.0,3.94,4.04,4.1,3.94
20/04/16,12255450.0,4.02,4.04,4.1,4.01
21/04/16,10216810.0,4.0,4.04,4.11,4.0
22/04/16,4939420.0,4.07,4.0,4.07,3.97
25/04/16,16250150.0,3.97,3.92,4.0,3.82
26/04/16,4154280.0,3.92,3.9,3.92,3.85
27/04/16,16103780.0,3.86,3.8,3.9,3.7
28/04/16,1881190.0,3.8,3.9,3.9,3.8
29/04/16,1563920.0,3.8,3.89,3.89,3.8
02/05/16,2925420.0,3.85,3.8,3.85,3.74
03/05/16,756000.0,3.8,3.82,3.82,3.75
04/05/16,1806860.0,3.82,3.82,3.82,3.75
05/05/16,2989720.0,3.82,3.75,3.82,3.73
06/05/16,2214050.0,3.75,3.74,3.78,3.71
06/05/16,2214050.0,3.75,3.74,3.78,3.71
10/05/16,19792210.0,3.74,4.04,4.07,3.7
11/05/16,17882770.0,4.04,4.01,4.1,3.98
12/05/16,3591480.0,4.0,4.0,4.0,3.92
13/05/16,56090250.0,4.0,4.06,4.13,3.98
16/05/16,9199790.0,4.06,4.05,4.1,4.01
17/05/16,10763850.0,4.08,4.0,4.08,4.0
18/05/16,5259960.0,4.0,3.98,4.0,3.93
19/05/16,9750770.0,3.98,3.88,3.98,3.88
20/05/16,1019650.0,3.86,3.93,3.95,3.86
23/05/16,3751560.0,3.86,3.92,3.95,3.86
24/05/16,2630790.0,3.9,3.9,3.93,3.88
25/05/16,12005510.0,3.91,3.99,4.02,3.9
26/05/16,2011000.0,4.0,3.99,4.01,3.98
27/05/16,2945690.0,3.99,3.95,3.99,3.93
30/05/16,3703350.0,3.95,3.96,3.97,3.88
31/05/16,3866700.0,3.96,3.96,3.96,3.93
01/06/16,3838140.0,3.98,3.98,4.03,3.94
02/06/16,664000.0,3.98,3.98,4.0,3.95
03/06/16,3437910.0,3.99,4.0,4.01,3.97
06/06/16,34477740.0,4.01,4.01,4.09,3.98
07/06/16,26707950.0,4.04,4.0,4.09,4.0
08/06/16,17035330.0,4.0,4.03,4.08,4.0
09/06/16,13406370.0,4.04,4.01,4.05,3.97
10/06/16,5091210.0,4.01,4.0,4.03,3.99
13/06/16,8400520.0,4.0,3.97,4.0,3.93
14/06/16,4372820.0,3.98,3.94,3.98,3.9
15/06/16,5403950.0,3.9,3.96,3.97,3.89
16/06/16,1829190.0,3.97,3.94,4.01,3.94
17/06/16,40547020.0,3.96,4.01,4.05,3.96
20/06/16,52590870.0,3.99,4.04,4.1,3.99
21/06/16,14249130.0,4.06,4.03,4.07,4.01
22/06/16,5823500.0,4.03,4.01,4.04,4.0
23/06/16,107822510.0,4.01,4.08,4.16,4.0
24/06/16,64532380.0,4.08,3.94,4.15,3.8
27/06/16,13135950.0,3.93,3.9,3.97,3.81
28/06/16,2375780.0,3.95,3.95,3.96,3.89
29/06/16,2858840.0,3.95,3.97,3.97,3.91
30/06/16,84229040.0,3.98,4.04,4.09,3.98
01/07/16,237325640.0,4.05,4.14,4.23,4.04
04/07/16,286292860.0,4.2,4.45,4.48,4.19
05/07/16,308517530.0,4.47,4.6,4.7,4.46
07/07/16,93717890.0,4.6,4.67,4.67,4.41
08/07/16,108231750.0,4.68,4.57,4.75,4.55
11/07/16,95741390.0,4.6,4.68,4.76,4.55
12/07/16,63572300.0,4.67,4.68,4.8,4.6
13/07/16,122313980.0,4.74,4.76,4.84,4.69
14/07/16,115285200.0,4.76,4.85,4.9,4.63
