Date,Value,Open,Close,High,Low
15/07/15,219258737.0,90.6,91.2,91.5,90.3
16/07/15,292685174.5,91.2,91.5,91.5,90.6
20/07/15,194524631.5,91.5,90.5,91.5,90.0
21/07/15,126435852.0,90.5,91.5,91.5,90.0
22/07/15,225994697.5,90.7,91.5,92.1,90.5
23/07/15,78913823.5,91.25,91.4,91.45,90.6
23/07/15,78913823.5,91.25,91.4,91.45,90.6
23/07/15,78913823.5,91.25,91.4,91.45,90.6
24/07/15,52289653.0,91.1,90.35,91.1,89.8
27/07/15,251357961.0,90.3,89.9,90.35,89.9
28/07/15,305429584.0,89.75,88.5,89.75,87.6
29/07/15,918947713.5,88.45,88.8,89.9,88.45
30/07/15,285593062.5,89.5,89.0,90.0,88.95
31/07/15,623955195.5,89.0,88.35,89.2,88.0
03/08/15,250416272.5,88.25,88.05,89.0,87.85
04/08/15,657203285.5,88.0,88.5,88.8,87.95
05/08/15,626728304.0,88.5,88.1,89.25,88.1
06/08/15,277747909.0,88.2,88.0,89.9,88.0
07/08/15,206313499.5,88.0,88.0,88.1,87.9
10/08/15,343774548.5,88.0,87.1,88.25,87.1
11/08/15,148337004.0,87.1,87.0,87.7,87.0
12/08/15,157067608.0,87.0,87.6,88.0,87.0
13/08/15,243493094.0,87.6,87.0,87.7,86.2
14/08/15,183909931.5,87.0,85.0,87.35,85.0
17/08/15,267267391.0,86.0,84.4,86.9,83.4
18/08/15,107036100.0,84.4,82.3,84.9,82.3
19/08/15,52132078.0,83.0,84.9,85.0,83.0
20/08/15,158287690.0,84.2,83.5,84.3,83.5
24/08/15,429642794.5,82.5,80.8,82.5,75.0
25/08/15,185033797.0,79.0,82.5,83.0,77.05
26/08/15,335028378.5,81.5,82.5,82.55,80.05
27/08/15,306447664.5,82.5,83.55,84.25,82.5
28/08/15,411665583.0,83.6,83.75,84.65,82.95
01/09/15,365128986.5,83.5,83.9,84.05,82.9
02/09/15,212361127.0,82.6,83.35,83.35,81.5
03/09/15,113398038.5,83.35,83.4,83.95,83.25
04/09/15,253807794.5,83.4,83.35,83.6,83.2
07/09/15,77808620.0,83.1,81.9,83.1,81.7
08/09/15,140166449.0,81.9,79.95,81.9,79.2
09/09/15,1087368042.5,80.1,81.85,82.0,80.0
10/09/15,357572956.5,81.8,80.95,81.8,80.7
11/09/15,139212136.5,80.95,81.0,81.1,80.55
14/09/15,92924397.5,81.0,82.5,83.0,81.0
15/09/15,174715772.5,82.95,86.0,86.0,82.9
15/09/15,174715772.5,82.95,86.0,86.0,82.9
15/09/15,174715772.5,82.95,86.0,86.0,82.9
16/09/15,179144749.5,86.0,84.85,86.1,84.8
17/09/15,109642397.0,84.85,84.5,85.8,84.1
