Date,Value,Open,Close,High,Low
15/07/15,155500.0,0.315,0.31,0.315,0.31
16/07/15,236350.0,0.31,0.325,0.325,0.31
20/07/15,246250.0,0.315,0.3,0.315,0.3
21/07/15,31000.0,0.31,0.31,0.31,0.31
22/07/15,42700.0,0.305,0.305,0.305,0.305
23/07/15,6400.0,0.32,0.32,0.32,0.32
23/07/15,6400.0,0.32,0.32,0.32,0.32
23/07/15,6400.0,0.32,0.32,0.32,0.32
27/07/15,73650.0,0.305,0.32,0.32,0.305
30/07/15,3200.0,0.32,0.32,0.32,0.32
31/07/15,34100.0,0.31,0.31,0.31,0.31
03/08/15,9300.0,0.31,0.31,0.31,0.31
04/08/15,52000.0,0.325,0.325,0.325,0.325
05/08/15,15750.0,0.315,0.315,0.315,0.315
06/08/15,40350.0,0.31,0.315,0.315,0.305
07/08/15,324700.0,0.3,0.3,0.305,0.3
10/08/15,198000.0,0.3,0.3,0.3,0.3
11/08/15,1208700.0,0.295,0.3,0.32,0.28
12/08/15,9000.0,0.3,0.3,0.3,0.3
13/08/15,17800.0,0.29,0.31,0.31,0.29
14/08/15,53400.0,0.295,0.31,0.31,0.295
18/08/15,26400.0,0.29,0.3,0.3,0.29
19/08/15,92100.0,0.295,0.305,0.305,0.295
20/08/15,8400.0,0.27,0.3,0.3,0.27
26/08/15,14700.0,0.29,0.3,0.3,0.29
28/08/15,18300.0,0.305,0.305,0.305,0.305
01/09/15,15000.0,0.3,0.3,0.3,0.3
02/09/15,107800.0,0.28,0.285,0.3,0.28
03/09/15,26450.0,0.285,0.305,0.305,0.285
07/09/15,45599.99999999999,0.285,0.285,0.285,0.285
08/09/15,128250.0,0.285,0.285,0.285,0.285
09/09/15,37500.0,0.28,0.29,0.29,0.28
10/09/15,56999.99999999999,0.285,0.285,0.285,0.285
11/09/15,6000.0,0.3,0.3,0.3,0.3
14/09/15,3000.0,0.3,0.3,0.3,0.3
16/09/15,42200.0,0.3,0.3,0.305,0.3
17/09/15,939550.0,0.31,0.325,0.36,0.305
18/09/15,43400.0,0.3,0.31,0.33,0.3
22/09/15,69200.0,0.31,0.315,0.315,0.31
23/09/15,9600.0,0.32,0.32,0.32,0.32
24/09/15,6200.0,0.31,0.31,0.31,0.31
28/09/15,18700.0,0.315,0.31,0.315,0.31
29/09/15,516000.0,0.3,0.3,0.3,0.3
30/09/15,30000.0,0.3,0.3,0.3,0.3
01/10/15,148500.0,0.3,0.3,0.3,0.295
02/10/15,38000.0,0.29,0.3,0.3,0.29
05/10/15,130200.0,0.305,0.29,0.305,0.29
06/10/15,174300.0,0.3,0.305,0.305,0.28
08/10/15,159500.0,0.285,0.3,0.31,0.28
09/10/15,80000.0,0.31,0.32,0.32,0.3
12/10/15,272000.0,0.31,0.31,0.32,0.295
13/10/15,494400.0,0.315,0.31,0.315,0.3
14/10/15,14259850.0,0.3,0.315,0.39,0.3
15/10/15,5348650.0,0.345,0.32,0.345,0.305
16/10/15,11266450.0,0.32,0.315,0.37,0.3
19/10/15,971700.0,0.32,0.3,0.32,0.3
20/10/15,635850.0,0.3,0.3,0.3,0.295
21/10/15,702150.0,0.3,0.3,0.32,0.3
22/10/15,5180100.0,0.315,0.3,0.345,0.3
23/10/15,601100.0,0.3,0.295,0.31,0.295
26/10/15,608500.0,0.3,0.295,0.3,0.29
27/10/15,1030300.0,0.295,0.29,0.305,0.285
28/10/15,533949.9999999999,0.29,0.285,0.29,0.285
29/10/15,83750.0,0.285,0.295,0.295,0.285
30/10/15,859700.0,0.28,0.28,0.29,0.28
02/11/15,53650.0,0.28,0.285,0.285,0.28
03/11/15,125500.0,0.28,0.28,0.28,0.275
04/11/15,408650.0,0.28,0.28,0.28,0.27
05/11/15,122600.00000000001,0.29,0.275,0.29,0.275
06/11/15,427300.0,0.275,0.28,0.285,0.27
09/11/15,156300.0,0.27,0.28,0.28,0.27
10/11/15,155550.0,0.275,0.265,0.275,0.265
11/11/15,143800.0,0.265,0.26,0.265,0.26
12/11/15,54450.0,0.255,0.26,0.26,0.255
13/11/15,129600.0,0.26,0.27,0.27,0.26
16/11/15,63400.0,0.26,0.26,0.26,0.25
17/11/15,2700.0,0.27,0.27,0.27,0.27
20/11/15,62850.0,0.25,0.26,0.265,0.25
23/11/15,101600.0,0.25,0.255,0.26,0.25
24/11/15,99500.0,0.255,0.255,0.26,0.255
25/11/15,22950.0,0.255,0.255,0.255,0.255
26/11/15,15250.0,0.255,0.255,0.255,0.25
27/11/15,22500.0,0.25,0.25,0.25,0.25
01/12/15,187800.0,0.25,0.255,0.26,0.25
02/12/15,115750.0,0.255,0.275,0.275,0.255
03/12/15,57200.0,0.27,0.27,0.27,0.255
04/12/15,89450.0,0.26,0.255,0.26,0.255
07/12/15,178500.0,0.255,0.255,0.255,0.255
08/12/15,293250.0,0.255,0.255,0.255,0.255
09/12/15,35700.0,0.255,0.255,0.255,0.255
10/12/15,39500.0,0.265,0.26,0.265,0.26
11/12/15,165750.0,0.255,0.255,0.255,0.255
14/12/15,18550.0,0.255,0.27,0.27,0.255
15/12/15,44300.0,0.255,0.265,0.265,0.255
16/12/15,339650.0,0.27,0.275,0.28,0.27
17/12/15,38500.0,0.275,0.275,0.275,0.275
18/12/15,130800.0,0.27,0.265,0.27,0.265
21/12/15,65000.0,0.26,0.26,0.26,0.26
22/12/15,220200.0,0.26,0.255,0.265,0.255
23/12/15,10450.0,0.255,0.28,0.28,0.255
29/12/15,88700.0,0.275,0.28,0.285,0.26
04/01/16,1640350.0,0.29,0.285,0.31,0.28
05/01/16,81500.0,0.28,0.265,0.28,0.265
06/01/16,8549.999999999998,0.285,0.285,0.285,0.285
07/01/16,57200.0,0.26,0.26,0.26,0.26
08/01/16,212200.0,0.255,0.26,0.26,0.255
11/01/16,275400.0,0.255,0.255,0.255,0.255
12/01/16,92200.0,0.28,0.29,0.29,0.28
15/01/16,99850.0,0.26,0.255,0.26,0.255
18/01/16,97100.0,0.255,0.26,0.26,0.255
19/01/16,103750.0,0.255,0.25,0.255,0.25
20/01/16,140250.0,0.255,0.25,0.255,0.25
21/01/16,64250.0,0.25,0.25,0.25,0.245
22/01/16,75150.0,0.25,0.26,0.26,0.245
25/01/16,67800.0,0.25,0.26,0.26,0.25
27/01/16,30100.0,0.25,0.255,0.255,0.25
28/01/16,58650.0,0.255,0.255,0.255,0.255
29/01/16,143600.0,0.25,0.25,0.255,0.245
01/02/16,64000.0,0.245,0.255,0.255,0.245
02/02/16,27500.0,0.25,0.25,0.25,0.25
03/02/16,62500.0,0.25,0.25,0.25,0.25
04/02/16,15000.0,0.25,0.25,0.25,0.25
05/02/16,12750.0,0.255,0.255,0.255,0.255
10/02/16,15150.0,0.255,0.255,0.255,0.25
11/02/16,25200.0,0.25,0.255,0.255,0.25
12/02/16,15100.0,0.25,0.26,0.26,0.25
15/02/16,187750.0,0.255,0.275,0.275,0.255
17/02/16,23400.0,0.26,0.26,0.26,0.26
18/02/16,2750.0,0.275,0.275,0.275,0.275
19/02/16,47700.0,0.265,0.265,0.265,0.265
22/02/16,31500.0,0.265,0.27,0.27,0.26
23/02/16,71550.0,0.275,0.28,0.28,0.275
24/02/16,2800.0,0.28,0.28,0.28,0.28
26/02/16,56700.0,0.27,0.27,0.27,0.27
29/02/16,74200.0,0.265,0.265,0.265,0.265
01/03/16,13250.0,0.265,0.265,0.265,0.265
02/03/16,45750.0,0.265,0.275,0.275,0.265
03/03/16,27500.0,0.275,0.275,0.28,0.27
04/03/16,55750.0,0.275,0.265,0.275,0.265
07/03/16,136400.0,0.26,0.27,0.27,0.26
08/03/16,97950.0,0.26,0.275,0.275,0.26
09/03/16,103950.0,0.265,0.28,0.28,0.26
10/03/16,193000.0,0.28,0.275,0.29,0.27
11/03/16,44400.0,0.275,0.275,0.28,0.275
14/03/16,75300.0,0.28,0.28,0.28,0.275
15/03/16,35750.0,0.275,0.275,0.275,0.275
16/03/16,21950.0,0.27,0.285,0.285,0.27
17/03/16,30750.0,0.285,0.285,0.285,0.27
18/03/16,62250.0,0.275,0.28,0.28,0.27
21/03/16,322200.0,0.27,0.285,0.285,0.265
22/03/16,346000.0,0.27,0.27,0.27,0.265
23/03/16,56700.0,0.27,0.27,0.27,0.27
28/03/16,10900.0,0.27,0.275,0.275,0.27
29/03/16,89500.0,0.28,0.28,0.28,0.27
30/03/16,138750.0,0.28,0.285,0.285,0.275
31/03/16,81300.0,0.285,0.28,0.285,0.28
01/04/16,16650.0,0.275,0.29,0.29,0.275
04/04/16,32200.0,0.29,0.295,0.295,0.29
05/04/16,66000.0,0.275,0.275,0.275,0.275
06/04/16,547150.0,0.27,0.3,0.3,0.27
07/04/16,5416300.0,0.3,0.31,0.325,0.3
08/04/16,1318150.0,0.315,0.31,0.32,0.3
11/04/16,352550.0,0.315,0.295,0.315,0.285
12/04/16,719750.0,0.3,0.295,0.3,0.28
13/04/16,340850.0,0.29,0.29,0.29,0.28
14/04/16,120450.0,0.285,0.29,0.29,0.285
15/04/16,114800.0,0.28,0.28,0.28,0.28
19/04/16,95350.0,0.28,0.3,0.3,0.28
21/04/16,56400.0,0.28,0.3,0.3,0.28
25/04/16,174450.0,0.285,0.295,0.295,0.285
26/04/16,58000.0,0.29,0.29,0.29,0.29
27/04/16,123900.0,0.28,0.29,0.29,0.28
28/04/16,58800.0,0.28,0.28,0.28,0.28
29/04/16,62800.0,0.285,0.285,0.29,0.28
02/05/16,16450.0,0.28,0.285,0.285,0.27
05/05/16,32550.0,0.27,0.285,0.285,0.27
10/05/16,56850.0,0.27,0.285,0.285,0.27
11/05/16,176700.0,0.285,0.285,0.285,0.285
12/05/16,143500.0,0.285,0.285,0.29,0.285
13/05/16,92250.0,0.27,0.285,0.285,0.27
16/05/16,156300.0,0.285,0.28,0.285,0.27
17/05/16,91850.0,0.28,0.28,0.28,0.275
18/05/16,1818550.0,0.28,0.29,0.31,0.28
19/05/16,69950.0,0.295,0.29,0.305,0.29
20/05/16,300600.0,0.29,0.29,0.305,0.275
23/05/16,28700.0,0.3,0.29,0.3,0.275
24/05/16,70200.0,0.28,0.29,0.29,0.275
25/05/16,188750.0,0.275,0.275,0.285,0.27
26/05/16,46000.0,0.28,0.27,0.28,0.27
27/05/16,249100.0,0.27,0.28,0.285,0.27
30/05/16,13750.0,0.275,0.275,0.275,0.275
31/05/16,78600.0,0.28,0.27,0.28,0.27
01/06/16,47950.0,0.265,0.27,0.27,0.265
02/06/16,53000.0,0.265,0.265,0.265,0.265
03/06/16,755250.0,0.265,0.265,0.265,0.265
06/06/16,314850.0,0.275,0.275,0.275,0.27
07/06/16,121500.0,0.27,0.27,0.27,0.27
08/06/16,106500.0,0.265,0.27,0.27,0.265
09/06/16,627150.0,0.265,0.265,0.265,0.26
10/06/16,13450.0,0.265,0.27,0.27,0.265
13/06/16,110750.0,0.27,0.27,0.275,0.27
15/06/16,124700.0,0.265,0.28,0.28,0.265
16/06/16,33450.0,0.285,0.285,0.285,0.27
17/06/16,29700.0,0.27,0.27,0.27,0.27
20/06/16,51300.0,0.27,0.27,0.27,0.27
21/06/16,15900.0,0.265,0.265,0.265,0.265
22/06/16,145200.0,0.265,0.275,0.275,0.265
24/06/16,45250.0,0.27,0.27,0.27,0.265
27/06/16,15900.0,0.265,0.265,0.265,0.265
28/06/16,116850.0,0.265,0.27,0.27,0.265
30/06/16,162050.0,0.275,0.27,0.275,0.27
04/07/16,33900.0,0.26,0.265,0.265,0.26
05/07/16,45700.0,0.265,0.27,0.27,0.265
08/07/16,782550.0,0.28,0.29,0.29,0.28
11/07/16,327050.0,0.295,0.285,0.295,0.28
12/07/16,2950.0,0.295,0.295,0.295,0.295
13/07/16,159600.0,0.28,0.28,0.28,0.28
14/07/16,5500.0,0.275,0.275,0.275,0.275
