Date,Value,Open,Close,High,Low
20/07/15,10870.0,0.99,0.97,0.99,0.97
21/07/15,14700.0,0.98,0.98,0.98,0.98
23/07/15,20000.0,1.0,1.0,1.0,1.0
23/07/15,20000.0,1.0,1.0,1.0,1.0
23/07/15,20000.0,1.0,1.0,1.0,1.0
24/07/15,798600.0,0.98,0.98,0.98,0.97
28/07/15,207760.0,0.98,0.98,0.98,0.98
29/07/15,725410.0,1.0,1.01,1.1,1.0
30/07/15,132920.0,1.01,1.01,1.01,0.97
31/07/15,194000.0,0.97,0.97,0.97,0.97
03/08/15,289120.0,0.97,0.98,0.98,0.97
12/08/15,6860.0,0.98,0.98,0.98,0.98
14/08/15,980.0,0.98,0.98,0.98,0.98
17/08/15,24500.0,0.98,0.98,0.98,0.98
19/08/15,9800.0,0.98,0.98,0.98,0.98
20/08/15,13590.0,0.98,0.97,0.98,0.97
24/08/15,585330.0,0.97,0.93,0.97,0.93
26/08/15,300930.0,0.93,0.93,0.93,0.91
28/08/15,5670.0,0.93,0.96,0.96,0.93
01/09/15,320870.0,0.93,0.91,1.0,0.91
02/09/15,36270.0,0.93,0.93,0.93,0.93
03/09/15,65100.0,0.93,0.93,0.93,0.93
04/09/15,67140.0,0.99,0.93,0.99,0.93
07/09/15,97920.0,0.96,0.96,0.96,0.96
08/09/15,37200.0,0.93,0.93,0.93,0.93
11/09/15,95880.0,0.93,0.96,0.96,0.93
17/09/15,3720.0,0.93,0.93,0.93,0.93
18/09/15,51810.0,0.96,0.96,0.96,0.93
21/09/15,40320.0,0.96,0.96,0.96,0.96
23/09/15,6045600.0,0.93,0.96,0.96,0.93
24/09/15,1933470.0,0.96,0.96,0.96,0.93
02/10/15,2880.0,0.96,0.96,0.96,0.96
06/10/15,26370.0,0.94,0.96,0.96,0.93
09/10/15,12180.0,0.93,0.96,0.96,0.93
14/10/15,48000.0,0.96,0.96,0.96,0.96
16/10/15,2880.0,0.96,0.96,0.96,0.96
20/10/15,632520.0,0.94,0.93,0.94,0.93
21/10/15,1876710.0,0.93,0.96,0.96,0.93
22/10/15,39900.0,0.95,0.95,0.95,0.95
23/10/15,192060.0,0.96,0.98,0.98,0.96
26/10/15,289700.0,0.94,0.95,0.95,0.94
27/10/15,298750.0,0.95,0.98,0.98,0.95
09/11/15,11520.0,0.96,0.96,0.96,0.96
13/11/15,242250.0,0.95,0.95,0.95,0.95
17/11/15,47500.0,0.95,0.95,0.95,0.95
20/11/15,153070.0,0.95,0.97,0.97,0.94
23/11/15,163490.0,0.94,0.93,0.95,0.93
24/11/15,71480.0,0.93,0.95,0.95,0.93
25/11/15,65300.0,0.94,0.93,0.94,0.93
01/12/15,2653140.0,0.96,0.93,0.96,0.93
02/12/15,182400.0,0.96,0.96,0.96,0.96
03/12/15,8640.0,0.96,0.96,0.96,0.96
07/12/15,34420.0,0.93,0.94,0.94,0.93
08/12/15,32900.0,0.94,0.94,0.94,0.94
09/12/15,18600.0,0.93,0.93,0.93,0.93
10/12/15,48360.0,0.93,0.93,0.93,0.93
15/12/15,269060.0,0.93,0.94,0.94,0.93
18/12/15,94000.0,0.94,0.94,0.94,0.94
21/12/15,95860.0,0.93,0.94,0.94,0.93
23/12/15,161470.0,0.93,0.94,0.94,0.93
07/01/16,159960.0,0.93,0.93,0.93,0.93
08/01/16,358550.0,0.93,0.93,0.94,0.93
11/01/16,810880.0,0.93,0.92,0.93,0.92
12/01/16,753520.0,0.91,0.9,0.92,0.9
13/01/16,140140.0,0.91,0.91,0.91,0.91
14/01/16,159090.0,0.91,0.9,0.91,0.9
18/01/16,27000.0,0.9,0.9,0.9,0.9
19/01/16,9000.0,0.9,0.9,0.9,0.9
20/01/16,54000.0,0.9,0.9,0.9,0.9
21/01/16,54000.0,0.9,0.9,0.9,0.9
26/01/16,353500.0,0.9,0.89,0.9,0.89
27/01/16,44590.0,0.91,0.91,0.91,0.91
28/01/16,102080.0,0.88,0.88,0.88,0.88
29/01/16,8280.0,0.92,0.92,0.92,0.92
01/02/16,27030.0,0.88,0.87,0.88,0.87
02/02/16,880.0,0.88,0.88,0.88,0.88
04/02/16,9000.0,0.9,0.9,0.9,0.9
05/02/16,9100.0,0.91,0.91,0.91,0.91
09/02/16,4450.0,0.89,0.89,0.89,0.89
15/02/16,67580.0,0.9,0.94,0.94,0.9
17/02/16,7440.0,0.92,0.95,0.95,0.92
23/02/16,1880.0,0.94,0.94,0.94,0.94
26/02/16,23000.0,0.92,0.92,0.92,0.92
29/02/16,18200.0,0.91,0.91,0.91,0.91
01/03/16,244700.0,0.91,0.9,0.91,0.9
04/03/16,21160.0,0.92,0.92,0.92,0.92
07/03/16,993310.0,0.92,0.91,0.92,0.91
08/03/16,950.0,0.95,0.95,0.95,0.95
09/03/16,31020.0,0.94,0.94,0.94,0.94
10/03/16,124420.0,0.92,0.95,0.95,0.92
14/03/16,20900.0,0.95,0.95,0.95,0.95
16/03/16,39490.0,0.95,0.94,0.95,0.94
17/03/16,960.0,0.96,0.96,0.96,0.96
18/03/16,2880.0,0.96,0.96,0.96,0.96
21/03/16,179520.0,0.96,0.96,0.96,0.96
22/03/16,228500.0,0.95,0.95,0.95,0.94
28/03/16,19950.0,0.95,0.95,0.95,0.95
30/03/16,1950.0,0.98,0.97,0.98,0.97
