Date,Value,Open,Close,High,Low
15/07/15,494390.0,3.69,3.65,3.69,3.62
16/07/15,3318910.0,3.65,3.69,3.7,3.65
20/07/15,3268960.0,3.72,3.7,3.79,3.69
21/07/15,1960030.0,3.78,3.72,3.78,3.71
22/07/15,1988020.0,3.75,3.76,3.79,3.73
23/07/15,3121180.0,3.76,3.83,3.87,3.76
23/07/15,3121180.0,3.76,3.83,3.87,3.76
23/07/15,3121180.0,3.76,3.83,3.87,3.76
24/07/15,3846310.0,3.85,3.85,3.9,3.82
27/07/15,1956540.0,3.86,3.82,3.86,3.8
28/07/15,1136390.0,3.82,3.81,3.85,3.75
29/07/15,2615450.0,3.82,3.82,3.84,3.77
30/07/15,3477120.0,3.83,3.81,3.85,3.76
31/07/15,4381690.0,3.84,3.83,3.85,3.82
03/08/15,17566390.0,3.85,3.98,3.98,3.83
04/08/15,33478710.0,3.98,3.87,4.03,3.87
05/08/15,8900760.0,3.95,3.88,3.95,3.87
06/08/15,7942190.0,3.89,3.89,3.98,3.87
07/08/15,18769340.0,3.95,3.9,3.97,3.89
10/08/15,9038360.0,3.95,3.88,3.95,3.87
11/08/15,14309390.0,3.93,3.9,3.93,3.87
12/08/15,10662880.0,3.92,3.73,3.94,3.68
13/08/15,2542550.0,3.72,3.75,3.85,3.7
14/08/15,11812750.0,3.8,3.6,3.82,3.56
17/08/15,4454420.0,3.66,3.5,3.67,3.49
18/08/15,3659490.0,3.55,3.4,3.62,3.39
19/08/15,11545900.0,3.4,3.49,3.58,3.38
20/08/15,12362940.0,3.56,3.6,3.6,3.45
24/08/15,3714010.0,3.45,3.19,3.58,3.02
25/08/15,832520.0,3.05,3.25,3.29,3.05
26/08/15,3883050.0,3.3,3.24,3.39,3.12
27/08/15,2593740.0,3.35,3.26,3.38,3.21
28/08/15,4686910.0,3.3,3.28,3.52,3.28
01/09/15,2094480.0,3.34,3.26,3.4,3.26
02/09/15,10035560.0,3.26,3.25,3.37,3.17
03/09/15,2021620.0,3.33,3.27,3.33,3.25
04/09/15,1948990.0,3.3,3.14,3.3,3.13
07/09/15,583030.0,3.16,3.17,3.25,3.12
08/09/15,857960.0,3.18,3.1,3.18,3.06
09/09/15,5796610.0,3.15,3.1,3.16,3.08
10/09/15,341870.0,3.13,3.07,3.13,3.03
