Date,Value,Open,Close,High,Low
15/07/15,36187532.0,10.88,11.18,11.18,10.88
16/07/15,33046752.0,11.2,11.5,11.6,11.2
20/07/15,33917974.0,11.58,11.5,11.72,11.0
21/07/15,16771020.0,11.5,11.38,11.5,11.38
22/07/15,47976342.0,11.4,10.9,11.4,10.78
23/07/15,38798062.0,10.9,10.6,10.9,10.44
23/07/15,38798062.0,10.9,10.6,10.9,10.44
23/07/15,38798062.0,10.9,10.6,10.9,10.44
24/07/15,10393704.0,10.6,10.74,10.82,10.5
27/07/15,28603090.0,10.74,10.52,10.74,10.46
28/07/15,16161028.0,10.58,10.5,10.76,10.48
29/07/15,16996724.0,10.76,10.64,10.76,10.52
30/07/15,27919730.0,10.64,10.64,10.78,10.58
31/07/15,14835438.0,10.66,10.54,10.66,10.48
03/08/15,19303916.0,10.54,10.42,10.62,10.42
04/08/15,13085104.0,10.46,10.4,10.46,10.34
05/08/15,15649620.0,10.42,10.2,10.42,10.2
06/08/15,11805272.0,10.2,10.28,10.36,10.2
07/08/15,13722206.0,10.3,10.36,10.36,10.2
10/08/15,6574262.0,10.26,10.08,10.34,10.08
11/08/15,41175912.0,10.14,10.0,10.28,10.0
12/08/15,103595167.0,9.94,9.45,9.94,9.45
13/08/15,39686337.0,9.5,9.4,9.69,9.4
14/08/15,39716893.0,9.4,9.11,9.4,8.98
17/08/15,16857294.0,9.12,8.6,9.2,8.56
18/08/15,31369978.0,8.57,8.3,8.65,8.1
19/08/15,39759062.0,8.3,8.1,8.32,7.86
20/08/15,84935789.0,8.0,8.18,8.25,7.83
24/08/15,110210963.0,7.8,6.8,7.8,6.7
25/08/15,94219851.0,6.45,6.7,7.28,6.4
26/08/15,151375513.0,6.84,6.7,6.99,6.69
27/08/15,96524090.0,6.98,6.82,7.1,6.53
28/08/15,138539263.0,7.2,8.05,8.1,7.1
01/09/15,60506843.0,8.04,7.6,8.04,7.5
02/09/15,111830051.0,7.5,8.26,8.39,7.2
03/09/15,69919504.0,8.42,8.2,8.59,8.11
04/09/15,26035605.0,8.15,8.07,8.26,8.03
07/09/15,27522810.0,8.0,7.8,8.0,7.76
08/09/15,13798003.0,7.76,7.82,7.91,7.71
09/09/15,34248252.0,8.0,8.0,8.1,7.92
10/09/15,47263230.0,7.78,7.53,7.88,7.47
11/09/15,54165722.0,7.64,7.48,7.75,7.29
14/09/15,31533333.0,7.41,7.38,7.49,7.31
15/09/15,19547200.0,7.38,7.41,7.6,7.38
15/09/15,19547200.0,7.38,7.41,7.6,7.38
15/09/15,19547200.0,7.38,7.41,7.6,7.38
16/09/15,38206131.0,7.45,7.5,7.7,7.44
17/09/15,26982353.0,7.5,7.54,7.65,7.41
18/09/15,35878651.0,7.65,7.46,7.67,7.45
21/09/15,17347317.0,7.46,7.24,7.5,7.14
22/09/15,36864611.0,7.23,6.97,7.24,6.93
23/09/15,18650515.0,6.96,6.83,6.97,6.76
24/09/15,36639269.0,6.83,7.18,7.58,6.75
28/09/15,20206126.0,7.19,7.06,7.19,6.86
29/09/15,17399016.0,7.06,6.86,7.06,6.85
30/09/15,42807151.0,6.84,6.4,6.86,6.4
01/10/15,47803919.0,6.5,6.67,6.8,6.5
02/10/15,34218629.0,6.6,6.46,6.67,6.38
05/10/15,71090967.0,6.4,6.47,6.55,6.35
06/10/15,35912926.0,6.45,6.41,6.55,6.36
07/10/15,60540182.0,6.37,6.36,6.5,6.32
08/10/15,71205914.0,6.36,6.71,6.75,6.36
09/10/15,58946271.0,6.75,6.87,6.96,6.68
12/10/15,79431374.0,7.06,7.21,7.33,7.05
13/10/15,49889842.0,7.39,7.1,7.4,7.07
14/10/15,22503112.0,7.02,6.8,7.02,6.8
15/10/15,26960038.0,6.8,6.89,6.97,6.8
16/10/15,112432777.0,7.05,7.23,7.35,6.96
19/10/15,90897474.0,7.34,7.7,7.83,7.26
20/10/15,31481678.0,7.7,7.58,7.7,7.42
21/10/15,36385050.0,7.69,7.87,8.0,7.64
22/10/15,157390283.0,7.89,8.31,8.55,7.88
23/10/15,73584296.0,8.59,8.77,8.84,8.5
26/10/15,90317787.0,8.81,8.8,8.98,8.68
27/10/15,42253141.0,8.76,8.6,8.77,8.51
28/10/15,29780155.0,8.64,8.47,8.64,8.22
29/10/15,53587575.0,8.53,7.91,8.54,7.9
30/10/15,50604171.0,7.88,7.95,8.25,7.81
02/11/15,30578108.0,7.9,7.85,7.9,7.68
03/11/15,53114235.0,7.86,8.06,8.12,7.75
04/11/15,14053529.0,8.06,8.05,8.15,7.9
05/11/15,36947821.0,7.94,7.96,8.1,7.78
06/11/15,30519901.0,7.81,7.78,7.86,7.75
09/11/15,24349949.0,7.74,7.6,7.74,7.56
10/11/15,30317624.0,7.54,7.22,7.54,7.22
11/11/15,18317084.0,7.22,7.26,7.5,7.04
12/11/15,18897171.0,7.26,7.42,7.47,7.2
13/11/15,21551135.0,7.26,6.96,7.28,6.95
16/11/15,12418199.0,6.9,6.76,6.95,6.7
17/11/15,7879436.0,6.72,7.0,7.2,6.72
20/11/15,16599064.0,6.6,6.73,7.0,6.6
23/11/15,33815718.0,6.71,6.69,6.72,6.64
24/11/15,25293616.0,6.6,6.55,6.64,6.49
25/11/15,55099239.0,6.59,6.35,6.8,6.33
26/11/15,37915524.0,6.5,6.75,6.84,6.41
27/11/15,27924260.0,6.9,6.54,7.04,6.53
01/12/15,12954822.0,6.78,6.7,6.78,6.49
02/12/15,19877001.0,6.76,6.7,6.83,6.56
03/12/15,24412711.0,6.58,6.46,6.6,6.42
04/12/15,23107026.0,6.46,6.57,6.72,6.46
07/12/15,16823940.0,6.61,6.65,6.75,6.61
08/12/15,19764045.0,6.51,6.46,6.52,6.36
09/12/15,24125675.0,6.6,6.34,6.6,6.34
10/12/15,2885284.0,6.34,6.38,6.56,6.34
11/12/15,21594446.0,6.38,6.4,6.48,6.36
14/12/15,32429558.0,6.4,6.2,6.4,6.2
15/12/15,11577178.0,6.16,6.24,6.38,6.16
16/12/15,15867738.0,6.28,6.3,6.36,6.27
17/12/15,14949913.0,6.4,6.34,6.45,6.34
18/12/15,11291125.0,6.3,6.24,6.3,6.23
21/12/15,17969400.0,6.25,6.22,6.36,6.22
22/12/15,23894544.0,6.22,6.16,6.29,6.15
23/12/15,15232786.0,6.3,6.25,6.34,6.15
28/12/15,4695050.0,6.25,6.17,6.35,6.17
29/12/15,3625889.0,6.2,6.25,6.25,6.18
04/01/16,36465456.0,6.2,5.92,6.25,5.88
05/01/16,13708332.0,5.9,5.74,5.91,5.73
06/01/16,21509708.0,5.75,5.3,5.75,5.28
07/01/16,34180204.0,5.28,4.8,5.28,4.8
08/01/16,24255720.0,4.8,4.86,4.9,4.59
11/01/16,13149580.0,4.92,4.46,4.92,4.45
12/01/16,21480230.0,4.44,4.38,4.61,4.3
13/01/16,11598490.0,4.39,4.4,4.5,4.35
14/01/16,11858840.0,4.41,4.33,4.42,4.29
15/01/16,9795030.0,4.4,4.15,4.4,4.15
18/01/16,24185980.0,4.09,3.94,4.09,3.81
19/01/16,26739480.0,4.0,4.0,4.22,3.98
20/01/16,19919060.0,4.01,3.75,4.03,3.69
