Date,Value,Open,Close,High,Low
15/07/15,80400.0,0.49,0.475,0.49,0.465
20/07/15,4650.0,0.465,0.465,0.465,0.465
21/07/15,23000.0,0.46,0.46,0.46,0.46
22/07/15,14150.0,0.465,0.485,0.485,0.465
23/07/15,23500.0,0.47,0.47,0.47,0.47
23/07/15,23500.0,0.47,0.47,0.47,0.47
23/07/15,23500.0,0.47,0.47,0.47,0.47
24/07/15,218800.0,0.47,0.46,0.47,0.46
27/07/15,59200.0,0.46,0.455,0.46,0.455
29/07/15,35600.0,0.445,0.445,0.445,0.445
30/07/15,17800.0,0.445,0.445,0.445,0.445
31/07/15,26750.0,0.445,0.47,0.47,0.44
04/08/15,9300.0,0.465,0.465,0.465,0.465
05/08/15,58050.0,0.445,0.465,0.465,0.445
06/08/15,150250.0,0.445,0.44,0.445,0.44
07/08/15,4600.0,0.46,0.46,0.46,0.46
10/08/15,132000.0,0.44,0.44,0.44,0.44
11/08/15,30800.0,0.435,0.47,0.47,0.435
12/08/15,4350.0,0.435,0.435,0.435,0.435
13/08/15,4300.0,0.43,0.43,0.43,0.43
17/08/15,17400.0,0.45,0.43,0.45,0.43
20/08/15,8600.0,0.43,0.43,0.43,0.43
24/08/15,58600.0,0.425,0.41,0.425,0.41
27/08/15,8100.000000000001,0.405,0.405,0.405,0.405
28/08/15,12450.0,0.405,0.42,0.42,0.405
01/09/15,28700.0,0.41,0.41,0.41,0.41
02/09/15,8200.0,0.41,0.41,0.41,0.41
04/09/15,20500.0,0.41,0.41,0.41,0.41
08/09/15,60600.0,0.41,0.41,0.41,0.4
10/09/15,12400.0,0.41,0.42,0.42,0.41
11/09/15,339100.0,0.42,0.44,0.46,0.42
15/09/15,4200.0,0.42,0.42,0.42,0.42
15/09/15,4200.0,0.42,0.42,0.42,0.42
15/09/15,4200.0,0.42,0.42,0.42,0.42
16/09/15,158550.0,0.41,0.475,0.475,0.41
17/09/15,4584850.0,0.475,0.56,0.61,0.475
18/09/15,2068255.0,0.56,0.48,0.56,0.48
21/09/15,204350.0,0.435,0.48,0.48,0.435
22/09/15,4439650.0,0.45,0.53,0.59,0.45
23/09/15,1030220.0,0.5,0.495,0.53,0.485
24/09/15,101300.0,0.48,0.495,0.495,0.48
28/09/15,150000.0,0.47,0.48,0.5,0.47
29/09/15,1260650.0,0.47,0.5,0.55,0.46
30/09/15,124820.0,0.5,0.5,0.5,0.485
01/10/15,265365.0,0.52,0.47,0.52,0.47
02/10/15,19350.0,0.485,0.485,0.485,0.48
05/10/15,259100.0,0.48,0.48,0.485,0.47
06/10/15,471600.0,0.485,0.48,0.5,0.48
07/10/15,307850.0,0.49,0.5,0.52,0.485
08/10/15,617880.0,0.495,0.53,0.55,0.495
09/10/15,6726960.0,0.53,0.57,0.63,0.52
12/10/15,79420540.0,0.6,0.84,0.85,0.59
13/10/15,32045760.0,0.86,0.78,0.89,0.75
