Date,Value,Open,Close,High,Low
15/07/15,41850.0,0.58,0.59,0.59,0.58
16/07/15,5870.0,0.59,0.66,0.66,0.59
20/07/15,5440.0,0.68,0.68,0.68,0.68
21/07/15,127860.0,0.66,0.6,0.66,0.6
22/07/15,30660.0,0.63,0.6,0.63,0.6
23/07/15,31000.0,0.62,0.62,0.62,0.62
23/07/15,31000.0,0.62,0.62,0.62,0.62
23/07/15,31000.0,0.62,0.62,0.62,0.62
24/07/15,126520.0,0.62,0.64,0.64,0.62
27/07/15,620.0,0.62,0.62,0.62,0.62
28/07/15,124000.0,0.62,0.62,0.62,0.62
29/07/15,61200.0,0.61,0.65,0.65,0.6
30/07/15,3900.0,0.65,0.65,0.65,0.65
31/07/15,126000.0,0.63,0.63,0.63,0.63
03/08/15,630.0,0.63,0.63,0.63,0.63
04/08/15,62370.0,0.63,0.63,0.63,0.63
07/08/15,63650.0,0.62,0.6,0.62,0.6
10/08/15,12000.0,0.6,0.6,0.6,0.6
11/08/15,37170.0,0.59,0.59,0.59,0.59
12/08/15,50150.0,0.59,0.59,0.59,0.59
13/08/15,247800.0,0.59,0.59,0.59,0.59
14/08/15,17700.0,0.59,0.59,0.59,0.59
17/08/15,52200.0,0.58,0.58,0.58,0.58
18/08/15,13700.0,0.62,0.58,0.62,0.58
24/08/15,121510.0,0.58,0.55,0.58,0.55
26/08/15,16500.0,0.55,0.55,0.55,0.55
28/08/15,10800.0,0.54,0.54,0.54,0.54
02/09/15,2650.0,0.53,0.53,0.53,0.53
03/09/15,9180.0,0.51,0.51,0.51,0.51
04/09/15,37500.0,0.5,0.5,0.5,0.5
11/09/15,77640.0,0.59,0.51,0.6,0.51
15/09/15,154720.0,0.53,0.51,0.53,0.5
15/09/15,154720.0,0.53,0.51,0.53,0.5
15/09/15,154720.0,0.53,0.51,0.53,0.5
16/09/15,26000.0,0.52,0.52,0.52,0.52
17/09/15,921480.0,0.52,0.6,0.65,0.52
18/09/15,352550.0,0.61,0.58,0.61,0.53
21/09/15,104500.0,0.55,0.55,0.55,0.55
22/09/15,1099230.0,0.54,0.62,0.68,0.53
23/09/15,141800.0,0.62,0.62,0.62,0.6
24/09/15,117910.0,0.59,0.6,0.6,0.59
28/09/15,147210.0,0.59,0.59,0.63,0.59
29/09/15,32200.0,0.59,0.58,0.59,0.58
01/10/15,12980.0,0.59,0.59,0.59,0.59
05/10/15,49680.0,0.59,0.58,0.59,0.58
06/10/15,97410.0,0.58,0.57,0.58,0.57
07/10/15,10440.0,0.58,0.58,0.58,0.58
08/10/15,149330.0,0.58,0.61,0.63,0.56
09/10/15,47700.0,0.6,0.59,0.6,0.59
12/10/15,72590.0,0.59,0.6,0.6,0.59
14/10/15,7200.0,0.6,0.6,0.6,0.6
15/10/15,11800.0,0.59,0.59,0.59,0.59
16/10/15,644240.0,0.59,0.63,0.67,0.59
19/10/15,53800.0,0.61,0.6,0.64,0.6
20/10/15,610.0,0.61,0.61,0.61,0.61
21/10/15,98540.0,0.6,0.67,0.67,0.6
23/10/15,193500.0,0.67,0.64,0.68,0.62
26/10/15,303780.0,0.63,0.6,0.63,0.6
27/10/15,82840.0,0.6,0.64,0.64,0.6
29/10/15,101500.0,0.61,0.59,0.61,0.59
02/11/15,24710.0,0.66,0.6,0.66,0.6
03/11/15,697710.0,0.66,0.63,0.66,0.6
04/11/15,426740.0,0.64,0.64,0.65,0.63
05/11/15,19220.0,0.62,0.62,0.62,0.62
06/11/15,61000.0,0.61,0.61,0.61,0.61
09/11/15,1180.0,0.59,0.59,0.59,0.59
10/11/15,56050.0,0.59,0.59,0.59,0.59
11/11/15,23779.999999999996,0.58,0.58,0.58,0.58
13/11/15,35380.0,0.58,0.58,0.58,0.58
16/11/15,11220.0,0.57,0.56,0.57,0.56
25/11/15,5600.000000000001,0.56,0.56,0.56,0.56
01/12/15,187840.0,0.56,0.59,0.59,0.55
02/12/15,11210.0,0.59,0.59,0.59,0.59
07/12/15,3920.0,0.56,0.56,0.56,0.56
08/12/15,5600.000000000001,0.56,0.56,0.56,0.56
09/12/15,2915090.0000000005,0.56,0.6,0.6,0.56
10/12/15,170320.0,0.6,0.56,0.6,0.56
15/12/15,108660.0,0.55,0.54,0.55,0.54
22/12/15,5940.0,0.54,0.54,0.54,0.54
23/12/15,540.0,0.54,0.54,0.54,0.54
28/12/15,570.0,0.57,0.57,0.57,0.57
29/12/15,570.0,0.57,0.57,0.57,0.57
04/01/16,4320.0,0.54,0.54,0.54,0.54
06/01/16,530.0,0.53,0.53,0.53,0.53
08/01/16,2700.0,0.54,0.54,0.54,0.54
11/01/16,81900.0,0.53,0.51,0.53,0.51
13/01/16,59670.0,0.51,0.51,0.51,0.51
14/01/16,63000.0,0.5,0.5,0.5,0.5
19/01/16,90740.0,0.51,0.48,0.51,0.48
29/01/16,166300.0,0.455,0.445,0.46,0.44
04/02/16,52900.0,0.445,0.485,0.485,0.445
09/02/16,118600.0,0.53,0.53,0.55,0.53
10/02/16,7850.0,0.49,0.55,0.55,0.49
11/02/16,91560.0,0.55,0.58,0.58,0.54
12/02/16,142950.0,0.58,0.57,0.58,0.55
15/02/16,23720.0,0.57,0.54,0.57,0.54
16/02/16,17290.0,0.54,0.55,0.55,0.54
19/02/16,540.0,0.54,0.54,0.54,0.54
22/02/16,86100.0,0.54,0.56,0.56,0.54
23/02/16,2800.0,0.56,0.56,0.56,0.56
26/02/16,1650.0,0.55,0.55,0.55,0.55
29/02/16,11000.0,0.55,0.55,0.55,0.55
01/03/16,39050.0,0.55,0.55,0.55,0.55
04/03/16,181200.0,0.53,0.54,0.58,0.53
07/03/16,4810.0,0.53,0.54,0.54,0.53
08/03/16,21600.0,0.54,0.54,0.54,0.54
09/03/16,5500.0,0.55,0.55,0.55,0.55
15/03/16,2700.0,0.54,0.54,0.54,0.54
17/03/16,2700.0,0.54,0.54,0.54,0.54
18/03/16,27000.0,0.54,0.54,0.54,0.54
21/03/16,79580.0,0.54,0.52,0.54,0.52
28/03/16,570.0,0.57,0.57,0.57,0.57
31/03/16,173870.0,0.57,0.59,0.59,0.57
01/04/16,387130.0,0.61,0.6,0.61,0.57
04/04/16,267190.0,0.55,0.59,0.59,0.52
07/04/16,4420.0,0.54,0.59,0.59,0.54
11/04/16,6630.0,0.54,0.55,0.59,0.54
12/04/16,4400.0,0.55,0.55,0.55,0.55
14/04/16,29900.0,0.56,0.58,0.58,0.56
15/04/16,130700.0,0.55,0.56,0.56,0.55
18/04/16,34120.0,0.56,0.58,0.58,0.56
19/04/16,1831230.0,0.56,0.63,0.66,0.56
20/04/16,882870.0,0.64,0.65,0.67,0.64
21/04/16,149890.0,0.67,0.67,0.67,0.65
22/04/16,231420.0,0.67,0.67,0.67,0.66
25/04/16,2582350.0,0.66,0.69,0.7,0.66
26/04/16,638460.0,0.69,0.6,0.69,0.6
27/04/16,5800.0,0.58,0.58,0.58,0.58
28/04/16,182460.0,0.62,0.62,0.64,0.59
29/04/16,27750.0,0.6,0.57,0.62,0.57
02/05/16,25760.0,0.56,0.56,0.56,0.56
03/05/16,610.0,0.61,0.61,0.61,0.61
05/05/16,9860.0,0.61,0.6,0.61,0.56
10/05/16,131100.0,0.57,0.57,0.57,0.57
11/05/16,165730.0,0.6,0.58,0.6,0.57
12/05/16,60000.0,0.6,0.6,0.6,0.6
13/05/16,165100.0,0.6,0.6,0.61,0.6
16/05/16,68880.0,0.6,0.63,0.63,0.6
17/05/16,482160.0,0.63,0.65,0.65,0.63
18/05/16,335980.0,0.66,0.64,0.67,0.6
19/05/16,122890.0,0.66,0.61,0.66,0.61
24/05/16,14400.0,0.6,0.6,0.6,0.6
25/05/16,1220.0,0.6,0.62,0.62,0.6
26/05/16,16120.0,0.62,0.62,0.62,0.62
31/05/16,68340.0,0.6,0.6,0.6,0.59
01/06/16,204000.0,0.6,0.6,0.6,0.6
02/06/16,88810.0,0.59,0.6,0.6,0.57
06/06/16,18240.0,0.57,0.57,0.57,0.57
07/06/16,1790.0,0.59,0.6,0.6,0.59
08/06/16,3530.0,0.58,0.59,0.59,0.58
09/06/16,76240.0,0.58,0.57,0.58,0.57
10/06/16,143400.0,0.6,0.6,0.6,0.6
13/06/16,1800.0,0.6,0.6,0.6,0.6
16/06/16,15080.0,0.58,0.58,0.58,0.58
20/06/16,138340.0,0.58,0.57,0.58,0.57
21/06/16,532380.0,0.57,0.57,0.57,0.57
22/06/16,82200.0,0.57,0.56,0.57,0.56
23/06/16,161230.0,0.56,0.55,0.56,0.55
28/06/16,6050.0,0.55,0.55,0.55,0.55
30/06/16,33020.0,0.56,0.55,0.56,0.55
01/07/16,55000.0,0.55,0.55,0.55,0.55
04/07/16,32420.0,0.55,0.54,0.55,0.53
05/07/16,21840.0,0.54,0.55,0.55,0.54
07/07/16,27500.0,0.55,0.55,0.55,0.55
08/07/16,644520.0,0.55,0.58,0.58,0.54
11/07/16,10830.0,0.57,0.57,0.57,0.57
12/07/16,62130.0,0.57,0.57,0.57,0.57
13/07/16,268440.0,0.54,0.56,0.56,0.52
14/07/16,9630.0,0.54,0.57,0.57,0.54
