Date,Value,Open,Close,High,Low
15/07/15,6160.0,2.06,2.05,2.06,2.05
16/07/15,204810.0,2.02,1.99,2.04,1.99
20/07/15,276330.0,2.05,2.02,2.05,1.98
21/07/15,128840.0,1.99,2.02,2.02,1.97
22/07/15,103040.0,2.02,2.04,2.04,2.02
23/07/15,18180.0,2.02,2.02,2.02,2.02
23/07/15,18180.0,2.02,2.02,2.02,2.02
23/07/15,18180.0,2.02,2.02,2.02,2.02
24/07/15,68060.0,2.01,2.0,2.01,2.0
27/07/15,76650.0,1.96,2.01,2.01,1.96
29/07/15,2000.0,2.0,2.0,2.0,2.0
30/07/15,260090.0,1.97,1.97,1.98,1.97
31/07/15,488910.0,1.97,1.95,1.97,1.95
03/08/15,125600.0,1.95,1.99,1.99,1.95
04/08/15,44890.0,1.95,1.99,1.99,1.95
05/08/15,50820.0,1.95,1.99,1.99,1.95
06/08/15,258440.0,1.95,1.93,1.95,1.92
07/08/15,21350.0,1.95,1.94,1.95,1.94
10/08/15,1165760.0,1.93,1.91,1.95,1.9
11/08/15,80290.0,1.91,1.91,1.92,1.91
12/08/15,185520.0,1.91,1.88,1.91,1.88
13/08/15,9500.0,1.9,1.9,1.9,1.9
14/08/15,524590.0,1.9,1.84,1.9,1.84
17/08/15,754230.0,1.83,1.7,1.83,1.7
18/08/15,116130.0,1.69,1.64,1.7,1.64
19/08/15,218090.0,1.64,1.64,1.68,1.64
20/08/15,628370.0,1.63,1.6,1.63,1.58
24/08/15,1228360.0,1.57,1.4,1.57,1.32
25/08/15,1316170.0,1.3,1.35,1.35,1.18
26/08/15,1446270.0,1.35,1.35,1.4,1.26
27/08/15,487010.0,1.36,1.31,1.4,1.31
28/08/15,2281270.0,1.36,1.36,1.4,1.32
01/09/15,1878770.0,1.36,1.27,1.36,1.26
02/09/15,2134960.0,1.25,1.24,1.3,1.2
03/09/15,3301480.0,1.25,1.32,1.33,1.24
04/09/15,631880.0,1.33,1.26,1.33,1.26
07/09/15,2280230.0,1.25,1.26,1.28,1.24
08/09/15,272790.0,1.28,1.27,1.28,1.27
09/09/15,133000.0,1.26,1.28,1.3,1.25
10/09/15,242580.0,1.28,1.27,1.28,1.27
11/09/15,768250.0,1.3,1.31,1.33,1.3
14/09/15,165450.0,1.28,1.27,1.28,1.27
15/09/15,228150.0,1.33,1.28,1.33,1.28
15/09/15,228150.0,1.33,1.28,1.33,1.28
15/09/15,228150.0,1.33,1.28,1.33,1.28
16/09/15,107200.0,1.27,1.27,1.3,1.27
17/09/15,334490.0,1.27,1.28,1.31,1.27
18/09/15,334630.0,1.28,1.34,1.34,1.28
21/09/15,331460.0,1.34,1.35,1.39,1.34
22/09/15,272530.0,1.38,1.34,1.38,1.34
23/09/15,393660.0,1.34,1.34,1.34,1.32
24/09/15,325640.0,1.31,1.35,1.35,1.3
28/09/15,54410.0,1.33,1.32,1.33,1.31
29/09/15,158890.0,1.32,1.29,1.32,1.28
30/09/15,93010.0,1.28,1.27,1.28,1.27
01/10/15,500780.0,1.27,1.4,1.43,1.27
02/10/15,238920.0,1.43,1.35,1.43,1.35
05/10/15,264410.0,1.34,1.32,1.34,1.3
06/10/15,117880.0,1.3,1.3,1.32,1.3
07/10/15,130990.0,1.3,1.31,1.31,1.3
08/10/15,201530.0,1.34,1.38,1.4,1.31
09/10/15,210180.0,1.35,1.36,1.4,1.34
12/10/15,2909070.0,1.43,1.54,1.59,1.4
13/10/15,1352450.0,1.55,1.46,1.56,1.45
14/10/15,1164060.0,1.45,1.38,1.45,1.37
15/10/15,138880.0,1.38,1.44,1.45,1.38
16/10/15,132540.0,1.44,1.37,1.44,1.37
19/10/15,139300.0,1.4,1.38,1.46,1.37
20/10/15,190420.0,1.43,1.37,1.43,1.37
21/10/15,150700.0,1.37,1.37,1.37,1.37
22/10/15,135770.0,1.37,1.4,1.44,1.37
23/10/15,194990.0,1.44,1.41,1.45,1.41
26/10/15,147000.0,1.5,1.48,1.5,1.42
27/10/15,2095830.0,1.48,1.63,1.69,1.44
28/10/15,697080.0,1.68,1.54,1.68,1.5
29/10/15,488820.0,1.63,1.54,1.63,1.48
30/10/15,200940.0,1.51,1.51,1.51,1.49
02/11/15,293460.0,1.49,1.5,1.5,1.46
03/11/15,1893200.0,1.5,1.45,1.5,1.44
04/11/15,185410.0,1.44,1.45,1.45,1.42
05/11/15,26110.0,1.46,1.44,1.46,1.44
06/11/15,118350.0,1.43,1.44,1.44,1.4
09/11/15,71000.0,1.42,1.42,1.42,1.42
10/11/15,119050.0,1.4,1.45,1.45,1.4
13/11/15,26620.0,1.41,1.4,1.41,1.4
16/11/15,159300.0,1.39,1.38,1.39,1.38
17/11/15,42700.0,1.38,1.44,1.44,1.36
20/11/15,8340.0,1.38,1.44,1.44,1.38
23/11/15,66880.0,1.41,1.4,1.41,1.38
24/11/15,217520.0,1.37,1.35,1.37,1.34
25/11/15,217250.0,1.35,1.38,1.38,1.3
26/11/15,8330.0,1.38,1.43,1.43,1.38
01/12/15,31170.000000000004,1.36,1.35,1.36,1.35
02/12/15,1420.0,1.42,1.42,1.42,1.42
03/12/15,65320.0,1.42,1.42,1.42,1.42
04/12/15,96530.0,1.35,1.37,1.37,1.35
08/12/15,490050.0,1.35,1.31,1.35,1.31
09/12/15,138860.0,1.31,1.31,1.31,1.31
10/12/15,1036800.0,1.31,1.31,1.31,1.3
11/12/15,524030.0,1.39,1.28,1.39,1.28
14/12/15,25400.0,1.27,1.27,1.27,1.27
15/12/15,204580.0,1.35,1.27,1.35,1.27
16/12/15,1227070.0,1.27,1.26,1.27,1.25
17/12/15,142910.0,1.26,1.27,1.34,1.26
18/12/15,12700.0,1.27,1.27,1.27,1.27
28/12/15,130810.0,1.27,1.27,1.27,1.27
29/12/15,1455510.0,1.4,1.4,1.45,1.3
04/01/16,567200.0,1.28,1.28,1.3,1.28
05/01/16,856400.0,1.27,1.25,1.28,1.25
06/01/16,227430.0,1.25,1.27,1.27,1.2
07/01/16,419090.0,1.22,1.15,1.23,1.15
08/01/16,434700.0,1.15,1.15,1.15,1.15
11/01/16,453990.0,1.14,1.07,1.14,1.07
12/01/16,861080.0,1.06,1.06,1.2,1.05
13/01/16,1163870.0,1.06,1.05,1.1,1.05
14/01/16,897450.0,1.03,0.92,1.05,0.92
15/01/16,1375730.0,0.95,0.89,1.04,0.88
18/01/16,1927240.0,0.89,1.03,1.03,0.81
19/01/16,283040.0,1.03,0.93,1.03,0.93
20/01/16,163970.0,0.95,1.01,1.03,0.95
21/01/16,98720.0,0.94,0.95,0.96,0.94
22/01/16,78280.0,0.96,0.96,0.96,0.95
25/01/16,308820.0,1.0,0.96,1.0,0.96
26/01/16,82470.0,1.05,0.97,1.05,0.96
27/01/16,512110.0,1.03,1.14,1.17,1.02
28/01/16,342430.0,1.14,1.16,1.2,1.14
29/01/16,246560.0,1.15,1.1,1.15,1.01
01/02/16,51110.0,1.12,1.15,1.15,1.12
02/02/16,201770.0,1.16,1.19,1.24,1.15
