Date,Value,Open,Close,High,Low
15/07/15,13100.0,0.01,0.011,0.011,0.01
16/07/15,207100.0,0.01,0.011,0.011,0.01
20/07/15,97100.0,0.011,0.011,0.011,0.01
21/07/15,279500.0,0.01,0.011,0.011,0.01
22/07/15,41300.0,0.01,0.011,0.011,0.01
23/07/15,377000.0,0.01,0.011,0.011,0.01
23/07/15,377000.0,0.01,0.011,0.011,0.01
23/07/15,377000.0,0.01,0.011,0.011,0.01
24/07/15,1376160.0,0.011,0.01,0.011,0.0096
27/07/15,214560.0,0.01,0.0096,0.01,0.0096
28/07/15,134000.0,0.0096,0.0096,0.0096,0.0095
29/07/15,59900.0,0.01,0.0099,0.01,0.0099
30/07/15,820000.0,0.01,0.01,0.01,0.01
31/07/15,15200.0,0.0095,0.0095,0.0095,0.0095
04/08/15,9500.0,0.0095,0.0095,0.0095,0.0095
05/08/15,28500.0,0.0092,0.0097,0.0097,0.0092
06/08/15,29100.0,0.0097,0.0097,0.0097,0.0097
07/08/15,190000.0,0.0095,0.0095,0.0095,0.0095
11/08/15,65200.0,0.0095,0.0093,0.0096,0.0092
12/08/15,9200.0,0.0092,0.0092,0.0092,0.0092
13/08/15,18500.0,0.0093,0.0092,0.0093,0.0092
14/08/15,18400.0,0.0092,0.0092,0.0092,0.0092
17/08/15,662400.0,0.0092,0.009,0.0092,0.009
18/08/15,9100.0,0.0091,0.0091,0.0091,0.0091
20/08/15,18200.0,0.0091,0.0091,0.0091,0.0091
24/08/15,681800.0,0.0085,0.008,0.0085,0.008
26/08/15,40800.0,0.0088,0.008,0.0088,0.008
27/08/15,62400.0,0.0087,0.009,0.009,0.0087
28/08/15,126000.0,0.009,0.009,0.009,0.009
01/09/15,146400.0,0.0091,0.0091,0.0092,0.0091
02/09/15,57500.0,0.0081,0.0089,0.0089,0.0081
04/09/15,5457500.0,0.0083,0.0085,0.0085,0.0081
10/09/15,1033700.0,0.0085,0.0084,0.0085,0.0084
11/09/15,88000.0,0.0088,0.0088,0.0088,0.0088
14/09/15,51000.0,0.0085,0.0085,0.0085,0.0085
15/09/15,99000.0,0.009,0.009,0.009,0.009
15/09/15,99000.0,0.009,0.009,0.009,0.009
15/09/15,99000.0,0.009,0.009,0.009,0.009
16/09/15,193100.0,0.0091,0.0092,0.0092,0.0091
17/09/15,66400.0,0.0094,0.0095,0.0095,0.0094
18/09/15,76000.0,0.0095,0.0095,0.0095,0.0095
24/09/15,25800.0,0.0086,0.0086,0.0086,0.0086
08/10/15,663800.0,0.0087,0.0095,0.0095,0.0084
09/10/15,132100.0,0.0094,0.0094,0.0097,0.0094
12/10/15,145500.0,0.0094,0.0088,0.0094,0.0088
13/10/15,1477000.0,0.0094,0.01,0.011,0.0094
14/10/15,173310.0,0.01,0.0099,0.01,0.0099
15/10/15,58800.0,0.0098,0.0098,0.0098,0.0098
19/10/15,50000.0,0.01,0.01,0.01,0.01
20/10/15,1122000.0,0.01,0.01,0.01,0.01
21/10/15,101000.0,0.01,0.01,0.01,0.01
22/10/15,114000.0,0.01,0.01,0.01,0.01
23/10/15,107100.0,0.01,0.01,0.011,0.01
26/10/15,47000.0,0.01,0.01,0.01,0.01
27/10/15,212200.0,0.01,0.011,0.011,0.01
28/10/15,82300.0,0.011,0.011,0.011,0.01
29/10/15,39600.0,0.01,0.011,0.011,0.01
30/10/15,332100.0,0.01,0.011,0.011,0.01
02/11/15,10000.0,0.01,0.01,0.01,0.01
03/11/15,231000.0,0.01,0.011,0.011,0.01
04/11/15,605100.0,0.01,0.011,0.011,0.01
05/11/15,464500.0,0.01,0.011,0.011,0.01
06/11/15,281000.0,0.01,0.01,0.01,0.01
09/11/15,888200.0,0.01,0.011,0.011,0.01
10/11/15,9900.0,0.011,0.011,0.011,0.011
12/11/15,6200.0,0.011,0.011,0.011,0.01
13/11/15,223200.0,0.011,0.011,0.011,0.01
17/11/15,30000.0,0.01,0.01,0.01,0.01
20/11/15,7100.0,0.01,0.011,0.011,0.01
23/11/15,9000.0,0.01,0.01,0.01,0.01
24/11/15,325300.0,0.011,0.011,0.011,0.01
25/11/15,20900.0,0.011,0.011,0.011,0.011
26/11/15,402200.0,0.011,0.01,0.011,0.01
27/11/15,204400.0,0.011,0.01,0.011,0.01
01/12/15,201000.0,0.01,0.01,0.01,0.01
02/12/15,7000.0,0.01,0.01,0.01,0.01
03/12/15,12000.0,0.01,0.01,0.01,0.01
04/12/15,515000.0,0.01,0.01,0.011,0.01
07/12/15,15200.0,0.01,0.011,0.011,0.01
08/12/15,2100.0,0.01,0.011,0.011,0.01
09/12/15,3277200.0,0.011,0.01,0.011,0.01
11/12/15,1000.0,0.01,0.01,0.01,0.01
14/12/15,1023960.0,0.011,0.01,0.011,0.0099
15/12/15,10900.0,0.0099,0.01,0.01,0.0099
16/12/15,32670.0,0.0099,0.0099,0.0099,0.0099
17/12/15,405900.00000000006,0.0099,0.0099,0.0099,0.0099
21/12/15,120000.0,0.01,0.01,0.01,0.01
22/12/15,30000.0,0.01,0.01,0.01,0.01
23/12/15,47030.0,0.0095,0.0094,0.0095,0.0094
28/12/15,10000.0,0.01,0.01,0.01,0.01
04/01/16,109040.0,0.0094,0.0094,0.0094,0.0094
05/01/16,235000.0,0.0094,0.0094,0.0094,0.0094
08/01/16,1156200.0,0.0094,0.0094,0.0094,0.0094
11/01/16,9700.0,0.0097,0.0097,0.0097,0.0097
