Date,Value,Open,Close,High,Low
20/07/15,4460.0,4.46,4.46,4.46,4.46
21/07/15,70310.0,4.68,4.65,4.7,4.65
23/07/15,310600.0,4.5,4.5,4.6,4.5
23/07/15,310600.0,4.5,4.5,4.6,4.5
23/07/15,310600.0,4.5,4.5,4.6,4.5
27/07/15,81000.0,4.5,4.5,4.5,4.5
29/07/15,22500.0,4.5,4.5,4.5,4.5
30/07/15,9480.0,4.74,4.74,4.74,4.74
04/08/15,505600.0,4.74,4.8,4.9,4.74
05/08/15,44130.0,4.9,4.9,4.93,4.9
06/08/15,214000.0,4.65,4.6,4.65,4.5
07/08/15,55130.0,4.53,4.6,4.6,4.53
10/08/15,4659170.0,4.8,5.28,5.7,4.75
11/08/15,1773644.0,5.3,5.0,5.38,4.9
12/08/15,412285.0,5.05,5.12,5.14,5.0
13/08/15,239207.0,5.12,5.02,5.15,5.02
14/08/15,733808.0,5.02,5.1,5.12,5.02
17/08/15,1331108.0,5.04,4.95,5.06,4.95
18/08/15,118800.0,4.95,4.95,4.95,4.95
19/08/15,232700.0,4.95,4.95,5.0,4.95
20/08/15,153070.0,4.96,4.9,5.0,4.9
24/08/15,393540.0,4.9,4.4,4.9,4.4
25/08/15,17430.0,4.36,4.35,4.36,4.35
26/08/15,167590.0,4.35,4.4,4.46,4.3
27/08/15,41399.99999999999,4.6,4.6,4.6,4.6
28/08/15,111080.0,4.73,4.65,4.73,4.61
01/09/15,107450.0,4.65,4.62,4.76,4.62
02/09/15,166850.0,4.61,4.61,4.61,4.3
04/09/15,4340.0,4.34,4.34,4.34,4.34
07/09/15,232540.0,4.4,4.5,4.5,4.4
08/09/15,47490.0,4.45,4.78,4.8,4.45
09/09/15,50920.0,4.79,4.5,4.79,4.5
10/09/15,22500.0,4.5,4.5,4.5,4.5
11/09/15,55030.0,4.8,4.5,4.8,4.48
14/09/15,4500.0,4.5,4.5,4.5,4.5
15/09/15,9000.0,4.5,4.5,4.5,4.5
15/09/15,9000.0,4.5,4.5,4.5,4.5
15/09/15,9000.0,4.5,4.5,4.5,4.5
16/09/15,31180.0,4.45,4.45,4.46,4.45
17/09/15,13350.0,4.45,4.45,4.45,4.45
