Date,Value,Open,Close,High,Low
23/07/15,2200.0,22.0,22.0,22.0,22.0
23/07/15,2200.0,22.0,22.0,22.0,22.0
23/07/15,2200.0,22.0,22.0,22.0,22.0
28/07/15,11000.0,22.0,22.0,22.0,22.0
30/07/15,27400.0,23.0,23.0,23.0,22.0
03/08/15,9200.0,23.0,23.0,23.0,23.0
07/08/15,4600.0,23.0,23.0,23.0,23.0
13/08/15,4600.0,23.0,23.0,23.0,23.0
14/08/15,4000.0,20.0,20.0,20.0,20.0
25/08/15,3840.0,19.2,19.2,19.2,19.2
03/09/15,20500.0,20.0,21.0,21.0,20.0
08/09/15,4200.0,21.0,21.0,21.0,21.0
11/09/15,4200.0,21.0,21.0,21.0,21.0
15/09/15,5706.0,19.02,19.02,19.02,19.02
15/09/15,5706.0,19.02,19.02,19.02,19.02
15/09/15,5706.0,19.02,19.02,19.02,19.02
21/09/15,17340.0,19.28,19.28,19.28,19.22
29/09/15,7800.0,19.5,19.5,19.5,19.5
01/10/15,15406.0,19.28,19.22,19.28,19.22
05/10/15,3804.0,19.02,19.02,19.02,19.02
19/10/15,1434000.0,19.12,19.12,19.12,19.12
23/11/15,5850.0,19.5,19.5,19.5,19.5
23/12/15,49000.0,19.6,19.6,19.6,19.6
21/03/16,3920.0,19.6,19.6,19.6,19.6
22/03/16,1032.0,10.32,10.32,10.32,10.32
08/04/16,1548.0,15.48,15.48,15.48,15.48
12/04/16,16240.0,23.2,23.2,23.2,23.2
13/04/16,380165.0,28.0,34.8,34.8,28.0
14/04/16,159295.0,40.0,27.05,40.0,27.05
15/04/16,63280.0,27.1,27.05,31.2,27.05
18/04/16,27830.0,31.1,26.45,31.1,26.45
19/04/16,13220.0,22.0,22.05,22.05,22.0
20/04/16,46415.0,22.05,28.25,29.15,22.05
21/04/16,8450.0,28.0,28.25,28.25,28.0
22/04/16,30880.0,28.25,28.0,28.25,28.0
26/04/16,573660.0,28.25,34.5,36.9,28.25
27/04/16,50385.0,26.25,28.55,28.55,26.25
28/04/16,62575.0,28.6,28.0,28.6,28.0
29/04/16,16800.0,28.0,28.0,28.0,28.0
02/05/16,8345.0,27.0,29.45,29.45,27.0
11/05/16,29090.0,31.95,31.3,31.95,28.05
12/05/16,262545.0,30.0,34.25,34.9,30.0
13/05/16,397900.0,34.25,31.0,35.0,30.05
16/05/16,116710.0,31.05,30.5,31.05,30.5
17/05/16,1075195.0,30.55,45.75,45.75,30.5
18/05/16,2287105.0,45.75,68.6,68.6,33.2
19/05/16,5493800.0,71.0,47.0,102.9,46.0
20/05/16,205445.0,53.5,42.0,53.5,30.0
23/05/16,98260.0,34.0,40.0,40.0,34.0
24/05/16,260930.0,37.0,38.9,39.45,36.15
25/05/16,2233130.0,39.35,58.35,58.35,36.9
26/05/16,3824756.0,58.0,49.15,65.0,45.0
27/05/16,1840990.0,49.15,48.0,60.0,48.0
30/05/16,1961510.0,48.0,47.5,53.0,44.0
31/05/16,1155975.0,44.5,44.5,48.5,42.0
01/06/16,941285.0,44.5,44.5,47.0,41.2
02/06/16,180770.0,41.6,44.8,46.0,41.55
03/06/16,326360.0,44.8,44.8,46.5,41.8
06/06/16,502320.0,41.9,43.35,44.9,41.9
07/06/16,457945.0,41.7,43.9,44.5,41.7
08/06/16,572060.0,42.05,41.9,43.8,41.9
09/06/16,790290.0,42.05,43.2,45.0,42.0
10/06/16,16820.0,41.9,41.9,42.5,41.9
13/06/16,13080.0,43.0,44.8,44.8,43.0
14/06/16,38500.0,42.0,43.0,43.0,42.0
15/06/16,42030.0,43.0,43.0,43.0,41.0
16/06/16,88815.0,41.0,40.2,42.7,40.05
17/06/16,65520.0,41.9,41.0,41.9,40.2
20/06/16,242195.0,40.35,42.9,43.0,40.3
21/06/16,20985.0,42.9,40.6,42.9,40.55
22/06/16,1249560.0,42.9,42.7,47.0,40.3
23/06/16,156065.0,41.2,41.0,42.5,40.7
24/06/16,134735.0,41.0,41.0,41.0,40.75
27/06/16,210405.0,40.7,40.5,40.7,40.25
28/06/16,193275.0,40.5,40.0,40.5,40.0
29/06/16,67000.0,39.25,39.5,39.5,39.25
30/06/16,1871680.0,39.5,38.3,39.5,38.3
01/07/16,138380.0,38.0,40.2,40.2,37.5
04/07/16,49385.0,37.6,40.0,40.0,37.6
05/07/16,91890.0,37.6,40.0,40.0,36.0
07/07/16,63775.0,36.25,37.0,39.5,36.25
08/07/16,7445.0,37.15,37.3,37.3,37.15
11/07/16,14890.0,37.0,37.3,37.3,37.0
12/07/16,25630.0,36.5,36.5,37.3,36.5
13/07/16,3700.0,37.0,37.0,37.0,37.0
14/07/16,93545.0,37.1,39.5,39.75,37.1
