Date,Value,Open,Close,High,Low
15/07/15,274484.0,18.18,18.84,18.84,18.16
16/07/15,1830062.0,18.82,18.88,19.1,18.82
20/07/15,379354.0,19.1,19.46,19.46,19.08
21/07/15,675151.0,19.46,20.0,21.0,19.46
22/07/15,1910.0000000000002,19.1,19.1,19.1,19.1
23/07/15,28000.0,20.0,20.0,20.0,20.0
23/07/15,28000.0,20.0,20.0,20.0,20.0
23/07/15,28000.0,20.0,20.0,20.0,20.0
24/07/15,527425.0,20.0,20.2,20.2,20.0
28/07/15,6050.0,20.15,20.2,20.2,20.15
30/07/15,99400.0,19.88,19.88,19.88,19.88
03/08/15,2356603.0,19.88,20.95,20.95,19.88
04/08/15,108930.0,20.95,20.9,20.95,20.9
05/08/15,1000266715.0,20.95,20.9,20.95,19.88
06/08/15,2741682.0,20.9,19.88,20.9,19.88
07/08/15,103500.0,20.7,20.7,20.7,20.7
10/08/15,135770.0,20.7,20.9,20.9,20.7
11/08/15,2284800.0,21.0,21.0,21.0,21.0
12/08/15,4195.0,21.0,20.95,21.0,20.95
13/08/15,1071770.0,19.9,19.8,19.9,19.8
17/08/15,79200.0,19.8,19.8,19.8,19.8
19/08/15,41056.0,19.96,19.38,19.96,19.38
20/08/15,44756.0,19.38,19.98,20.0,19.38
24/08/15,266870.0,19.38,18.88,19.38,18.88
25/08/15,55140.0,18.38,18.38,18.38,18.38
26/08/15,104992.0,18.38,18.78,18.78,18.24
27/08/15,225360.0,18.78,18.78,18.78,18.78
28/08/15,9600.0,19.2,19.2,19.2,19.2
01/09/15,83690.0,18.18,18.8,18.8,18.18
02/09/15,1301396.0,18.2,18.2,19.16,18.2
03/09/15,9600.0,19.18,19.28,19.28,19.18
04/09/15,57058.0,19.28,19.0,19.3,19.0
07/09/15,59520.0,18.28,19.48,20.0,18.28
08/09/15,13294.0,18.98,19.0,19.0,18.98
09/09/15,11400.0,19.0,19.0,19.0,19.0
10/09/15,3780.0,18.8,19.0,19.0,18.8
15/09/15,7680.0,19.2,19.2,19.2,19.2
15/09/15,7680.0,19.2,19.2,19.2,19.2
15/09/15,7680.0,19.2,19.2,19.2,19.2
17/09/15,1900.0,19.0,19.0,19.0,19.0
23/09/15,30078.0,18.6,19.0,19.1,18.6
02/10/15,22364.0,18.52,18.82,18.82,18.52
05/10/15,29802.0,18.84,18.5,18.88,18.5
06/10/15,54122.0,18.9,18.6,18.92,18.6
07/10/15,25956.0,18.7,18.7,18.7,18.48
12/10/15,1880000.0,18.8,18.8,18.8,18.8
14/10/15,20900.0,19.0,19.0,19.0,19.0
15/10/15,238212448.0,18.42,19.0,19.2,18.42
19/10/15,13168.0,18.4,18.88,18.88,18.4
20/10/15,12854.0,18.38,18.36,18.38,18.36
21/10/15,25560.0,18.32,18.88,18.88,18.18
02/11/15,36360.0,18.18,18.18,18.18,18.18
04/11/15,136254.0,18.18,18.14,18.18,18.14
10/11/15,10884.0,18.14,18.14,18.14,18.14
11/11/15,207562.0,18.1,18.1,18.1,17.98
12/11/15,73800.0,18.0,18.0,18.0,18.0
16/11/15,163348.0,17.98,17.92,17.98,17.92
24/11/15,35760.0,17.88,17.88,17.88,17.88
25/11/15,12516.0,17.88,17.88,17.88,17.88
26/11/15,195508.0,17.86,17.86,17.86,17.68
27/11/15,23710.0,17.68,18.0,18.98,17.68
03/12/15,9356.0,17.68,18.98,18.98,17.68
07/12/15,3568.0,17.68,18.0,18.0,17.68
08/12/15,3796.0,18.98,18.98,18.98,18.98
14/12/15,9912600.0,17.7,18.48,18.48,17.7
15/12/15,10686.0,17.68,18.46,18.46,17.68
16/12/15,18320.0,18.4,18.0,18.4,18.0
17/12/15,57648.0,18.0,18.48,18.48,18.0
18/12/15,9046.0,18.0,18.46,18.46,18.0
22/12/15,28800.0,18.0,18.0,18.0,18.0
23/12/15,12600.0,18.0,18.0,18.0,18.0
28/12/15,90000.0,18.0,18.0,18.0,18.0
29/12/15,18480.0,18.48,18.48,18.48,18.48
04/01/16,628260.0,18.5,17.58,18.5,17.58
07/01/16,47546.0,17.58,18.5,18.5,17.56
08/01/16,29938.0,17.56,18.0,18.0,17.54
13/01/16,293140.0,17.8,18.0,18.0,17.8
14/01/16,33326.0,17.54,17.54,17.54,17.54
15/01/16,105080.0,17.52,17.5,17.52,17.5
18/01/16,34960.0,17.48,17.48,17.48,17.48
19/01/16,18705840.0,18.3,17.6,18.3,17.6
20/01/16,22752510.0,17.6,17.6,18.18,17.6
22/01/16,942820.0,17.5,17.42,17.5,17.42
25/01/16,147990.0,18.48,18.5,18.5,18.48
26/01/16,348400.00000000006,17.42,17.42,17.42,17.42
27/01/16,6435636.0,17.9,17.52,18.9,17.52
28/01/16,424250.0,17.88,18.0,18.0,17.88
29/01/16,12928.0,18.9,18.4,18.9,18.38
01/02/16,95728.0,18.4,18.88,18.88,18.4
02/02/16,58650.0,18.78,18.1,18.78,18.1
03/02/16,119618.0,18.8,18.48,18.8,18.1
05/02/16,12810.0,18.3,18.3,18.3,18.3
09/02/16,2140444.0,17.48,17.9,18.28,16.52
17/02/16,156610.0,17.4,18.28,18.28,17.38
19/02/16,7232.0,18.08,18.08,18.08,18.08
24/02/16,12600.0,18.0,18.0,18.0,18.0
01/03/16,51360.0,17.12,17.12,17.12,17.12
02/03/16,49864.0,18.0,17.1,18.0,17.1
04/03/16,76528.0,17.08,17.0,17.08,17.0
08/03/16,216632.0,17.0,17.12,17.12,17.0
09/03/16,46204.0,17.02,17.12,17.12,17.02
10/03/16,226300.0,17.12,17.2,17.2,17.1
11/03/16,1738.0,17.38,17.38,17.38,17.38
14/03/16,1746.0,17.46,17.46,17.46,17.46
15/03/16,174700.0,17.46,17.48,17.48,17.46
17/03/16,38456.0,17.48,17.48,17.48,17.48
23/03/16,274750.0,17.5,17.5,17.5,17.5
28/03/16,5260.0,17.5,17.6,17.6,17.5
29/03/16,12250.0,17.5,17.5,17.5,17.5
30/03/16,408250.0,17.5,17.5,17.6,17.5
31/03/16,40930.0,17.7,17.8,17.8,17.7
01/04/16,25060.0,17.9,17.9,17.9,17.9
04/04/16,36000.0,18.0,18.0,18.0,18.0
05/04/16,62300.0,17.8,17.8,17.8,17.8
06/04/16,994350.0,17.88,17.5,18.0,17.5
08/04/16,14686780.0,17.8,17.8,17.8,17.8
11/04/16,3469220.0,17.8,17.8,17.8,17.8
12/04/16,9923500.0,17.8,17.8,17.8,17.8
13/04/16,1774500.0,17.8,17.58,17.8,17.58
14/04/16,140216800.0,17.58,17.5,17.58,17.5
15/04/16,13963082.0,17.5,17.5,17.5,17.38
18/04/16,14000000.0,17.5,17.5,17.5,17.5
19/04/16,105005250.0,17.5,17.5,17.5,17.5
20/04/16,18063500.0,17.5,17.5,17.5,17.5
21/04/16,17500000.0,17.5,17.5,17.5,17.5
22/04/16,17500000.0,17.5,17.5,17.5,17.5
25/04/16,12534940.0,17.5,17.0,17.5,17.0
26/04/16,5668250.0,17.5,17.5,17.5,17.5
27/04/16,12250000.0,17.5,17.5,17.5,17.5
28/04/16,17503458.0,17.5,17.6,17.6,16.98
29/04/16,17506980.0,17.5,17.6,17.6,17.0
02/05/16,120552.0,17.9,16.96,17.9,16.96
