Date,Value,Open,Close,High,Low
20/07/15,428100.0,0.032,0.03,0.032,0.03
21/07/15,78100.0,0.031,0.03,0.031,0.03
22/07/15,60000.0,0.03,0.03,0.03,0.03
23/07/15,12000.0,0.03,0.03,0.03,0.03
23/07/15,12000.0,0.03,0.03,0.03,0.03
23/07/15,12000.0,0.03,0.03,0.03,0.03
28/07/15,81000.0,0.03,0.03,0.03,0.03
30/07/15,9100.0,0.031,0.03,0.031,0.03
04/08/15,31900.0,0.029,0.029,0.029,0.029
05/08/15,17200.0,0.03,0.028,0.03,0.028
11/08/15,42000.0,0.028,0.028,0.028,0.028
12/08/15,169000.0,0.029,0.028,0.029,0.028
13/08/15,162700.0,0.028,0.029,0.029,0.028
14/08/15,1718200.0,0.031,0.038,0.038,0.031
17/08/15,10276900.0,0.038,0.044,0.046,0.034
18/08/15,22983500.0,0.045,0.051,0.054,0.043
19/08/15,6643600.0,0.052,0.05,0.053,0.047
20/08/15,32220690.0,0.049,0.057,0.058,0.047
24/08/15,10933880.0,0.052,0.05,0.054,0.049
25/08/15,3728310.0,0.048,0.05,0.052,0.048
26/08/15,68693690.0,0.051,0.043,0.054,0.043
27/08/15,10578300.0,0.044,0.041,0.044,0.039
28/08/15,8084400.0,0.042,0.043,0.046,0.04
01/09/15,23947900.0,0.044,0.046,0.05,0.044
02/09/15,8160200.0,0.044,0.045,0.047,0.044
03/09/15,7280000.0,0.046,0.043,0.047,0.043
04/09/15,7050600.0,0.043,0.041,0.043,0.04
07/09/15,3432300.0,0.04,0.04,0.042,0.04
08/09/15,5057300.0,0.04,0.038,0.041,0.037
09/09/15,2521600.0,0.039,0.037,0.039,0.037
10/09/15,2419200.0,0.036,0.035,0.037,0.034
11/09/15,775000.0,0.036,0.034,0.036,0.034
14/09/15,2110400.0,0.034,0.037,0.038,0.034
15/09/15,75921200.0,0.038,0.036,0.044,0.036
15/09/15,75921200.0,0.038,0.036,0.044,0.036
15/09/15,75921200.0,0.038,0.036,0.044,0.036
16/09/15,6060400.0,0.038,0.037,0.038,0.036
17/09/15,3512100.0,0.037,0.038,0.039,0.037
18/09/15,3366200.0,0.038,0.036,0.038,0.035
21/09/15,2727400.0,0.036,0.034,0.036,0.033
22/09/15,1838100.0,0.034,0.034,0.036,0.033
23/09/15,2861400.0,0.034,0.035,0.036,0.034
24/09/15,594400.0,0.035,0.035,0.036,0.035
28/09/15,822400.0,0.036,0.035,0.036,0.034
29/09/15,2343200.0,0.034,0.035,0.035,0.034
30/09/15,910700.0,0.035,0.035,0.036,0.035
01/10/15,1001500.0,0.035,0.036,0.036,0.035
02/10/15,23628300.0,0.036,0.04,0.042,0.035
05/10/15,35461300.0,0.045,0.039,0.047,0.039
06/10/15,6433800.0,0.039,0.037,0.04,0.037
07/10/15,1436400.0,0.038,0.038,0.039,0.038
08/10/15,5540500.0,0.038,0.036,0.039,0.036
09/10/15,3191700.0,0.036,0.037,0.037,0.035
12/10/15,6925300.0,0.037,0.035,0.038,0.035
13/10/15,3989700.0,0.036,0.036,0.037,0.035
14/10/15,8555400.0,0.036,0.036,0.039,0.036
15/10/15,2437800.0,0.036,0.036,0.038,0.036
16/10/15,7210400.0,0.037,0.036,0.038,0.036
19/10/15,6550200.0,0.038,0.037,0.039,0.037
20/10/15,12804200.0,0.037,0.033,0.037,0.033
21/10/15,3117000.0,0.034,0.034,0.035,0.033
22/10/15,3201700.0,0.034,0.033,0.035,0.033
23/10/15,1134600.0,0.034,0.034,0.034,0.033
26/10/15,1903100.0,0.034,0.032,0.034,0.032
27/10/15,3945700.0,0.033,0.031,0.034,0.031
28/10/15,2700800.0,0.032,0.032,0.032,0.03
29/10/15,2014300.0,0.031,0.03,0.031,0.03
30/10/15,1811500.0,0.03,0.03,0.031,0.03
02/11/15,711800.0,0.03,0.03,0.031,0.029
03/11/15,6747800.0,0.031,0.033,0.034,0.03
04/11/15,730700.0,0.033,0.031,0.033,0.031
05/11/15,585200.0,0.032,0.031,0.032,0.031
06/11/15,668200.0,0.031,0.03,0.032,0.03
09/11/15,971100.0,0.031,0.03,0.032,0.03
10/11/15,612300.0,0.03,0.03,0.031,0.03
11/11/15,39498400.0,0.031,0.04,0.042,0.031
12/11/15,45389800.0,0.041,0.034,0.043,0.034
13/11/15,9499900.0,0.034,0.032,0.034,0.031
16/11/15,6991700.0,0.032,0.03,0.032,0.03
17/11/15,2110100.0,0.031,0.031,0.033,0.03
20/11/15,1416100.0,0.032,0.031,0.033,0.031
23/11/15,1283400.0,0.031,0.031,0.032,0.031
24/11/15,2377700.0,0.031,0.031,0.031,0.03
25/11/15,900500.0,0.031,0.031,0.031,0.03
26/11/15,458000.0,0.03,0.031,0.031,0.03
27/11/15,454700.0,0.03,0.03,0.031,0.03
01/12/15,971400.0,0.031,0.031,0.031,0.03
02/12/15,2990700.0,0.03,0.032,0.033,0.03
03/12/15,1067500.0,0.032,0.031,0.033,0.031
04/12/15,1013700.0,0.031,0.031,0.031,0.031
07/12/15,1105900.0,0.031,0.032,0.032,0.03
08/12/15,10696000.0,0.032,0.032,0.035,0.032
09/12/15,1512800.0,0.033,0.032,0.033,0.031
10/12/15,1125000.0,0.032,0.031,0.032,0.031
11/12/15,605800.0,0.031,0.031,0.033,0.031
14/12/15,1308300.0,0.031,0.031,0.031,0.03
15/12/15,713600.0,0.031,0.031,0.031,0.03
16/12/15,679900.0,0.031,0.03,0.031,0.03
17/12/15,607700.0,0.031,0.031,0.032,0.031
18/12/15,755300.0,0.031,0.031,0.031,0.03
21/12/15,419400.0,0.03,0.03,0.031,0.03
22/12/15,310400.0,0.03,0.03,0.031,0.03
23/12/15,340400.0,0.031,0.03,0.031,0.03
28/12/15,828600.0,0.03,0.03,0.031,0.03
29/12/15,821100.0,0.03,0.031,0.031,0.03
04/01/16,439000.0,0.03,0.031,0.031,0.03
05/01/16,1523400.0,0.031,0.031,0.031,0.03
06/01/16,251100.0,0.031,0.031,0.031,0.03
07/01/16,2567500.0,0.031,0.03,0.031,0.03
08/01/16,1981900.0,0.03,0.029,0.03,0.029
11/01/16,2662200.0,0.029,0.029,0.029,0.028
12/01/16,505200.0,0.029,0.029,0.029,0.028
13/01/16,1275700.0,0.029,0.029,0.03,0.028
14/01/16,878600.0,0.028,0.029,0.029,0.028
15/01/16,1101500.0,0.029,0.029,0.029,0.028
18/01/16,492900.0,0.028,0.029,0.029,0.028
19/01/16,183300.0,0.029,0.029,0.029,0.028
20/01/16,1112000.0,0.029,0.028,0.029,0.028
21/01/16,756000.0,0.028,0.027,0.028,0.026
22/01/16,504400.0,0.026,0.027,0.027,0.026
25/01/16,664200.0,0.027,0.027,0.027,0.027
26/01/16,249500.0,0.027,0.026,0.027,0.026
27/01/16,715800.0,0.026,0.027,0.028,0.026
28/01/16,271900.0,0.027,0.028,0.028,0.026
29/01/16,1780400.0,0.028,0.028,0.03,0.028
01/02/16,404200.0,0.028,0.029,0.03,0.028
02/02/16,324700.0,0.029,0.03,0.03,0.028
03/02/16,112400.0,0.029,0.029,0.029,0.028
04/02/16,439800.0,0.028,0.029,0.029,0.028
05/02/16,345900.0,0.028,0.029,0.029,0.028
09/02/16,410000.0,0.028,0.029,0.029,0.028
10/02/16,185600.0,0.029,0.029,0.029,0.028
11/02/16,8084300.0,0.028,0.031,0.033,0.028
12/02/16,9390500.0,0.03,0.032,0.035,0.03
15/02/16,3336100.0,0.033,0.03,0.033,0.03
16/02/16,916000.0,0.031,0.03,0.032,0.03
17/02/16,1760700.0,0.03,0.031,0.031,0.03
18/02/16,256100.0,0.03,0.03,0.031,0.03
19/02/16,502200.0,0.03,0.03,0.031,0.03
22/02/16,3406900.0,0.03,0.031,0.033,0.03
23/02/16,591500.0,0.03,0.031,0.031,0.03
24/02/16,4638400.0,0.031,0.033,0.033,0.031
26/02/16,1086300.0,0.033,0.032,0.033,0.031
29/02/16,3058400.0,0.031,0.031,0.032,0.03
01/03/16,1101200.0,0.03,0.03,0.031,0.03
02/03/16,276500.0,0.03,0.03,0.031,0.03
03/03/16,330100.0,0.031,0.031,0.031,0.03
04/03/16,1003700.0,0.031,0.03,0.031,0.03
07/03/16,1122200.0,0.03,0.03,0.031,0.03
08/03/16,1066300.0,0.03,0.031,0.032,0.03
09/03/16,1383000.0,0.031,0.031,0.032,0.03
10/03/16,403700.0,0.031,0.031,0.032,0.031
11/03/16,1524200.0,0.031,0.032,0.032,0.03
14/03/16,4637100.0,0.032,0.033,0.034,0.031
15/03/16,2587100.0,0.034,0.034,0.034,0.032
16/03/16,13189900.0,0.034,0.037,0.037,0.033
17/03/16,6774400.0,0.036,0.035,0.037,0.034
18/03/16,2592900.0,0.035,0.033,0.035,0.033
21/03/16,1745400.0,0.035,0.034,0.035,0.033
22/03/16,1597800.0,0.034,0.033,0.035,0.033
23/03/16,5689100.0,0.033,0.033,0.036,0.033
28/03/16,3128000.0,0.033,0.033,0.035,0.032
29/03/16,896500.0,0.032,0.033,0.033,0.032
30/03/16,2710300.0,0.033,0.035,0.035,0.032
31/03/16,1099800.0,0.035,0.034,0.035,0.033
01/04/16,1275700.0,0.034,0.033,0.034,0.033
04/04/16,1617200.0,0.033,0.033,0.035,0.033
05/04/16,1036900.0,0.033,0.034,0.034,0.033
06/04/16,347900.0,0.034,0.033,0.034,0.033
07/04/16,503100.0,0.033,0.033,0.034,0.033
08/04/16,2498100.0,0.033,0.034,0.035,0.033
11/04/16,10362500.0,0.034,0.036,0.037,0.034
12/04/16,8053800.0,0.037,0.036,0.039,0.035
13/04/16,1673800.0,0.036,0.035,0.036,0.034
14/04/16,2290600.0,0.035,0.034,0.036,0.034
15/04/16,1073000.0,0.033,0.035,0.035,0.033
18/04/16,3003900.0,0.035,0.033,0.035,0.033
19/04/16,1133400.0,0.033,0.033,0.034,0.033
20/04/16,725800.0,0.033,0.033,0.033,0.032
21/04/16,376400.0,0.033,0.033,0.034,0.033
22/04/16,389400.0,0.033,0.033,0.033,0.033
25/04/16,935500.0,0.033,0.033,0.033,0.032
26/04/16,323400.0,0.033,0.033,0.034,0.033
27/04/16,534600.0,0.033,0.033,0.033,0.033
28/04/16,188000.0,0.032,0.034,0.034,0.032
29/04/16,158700.0,0.033,0.033,0.034,0.033
02/05/16,412300.0,0.033,0.033,0.034,0.032
03/05/16,370400.0,0.033,0.032,0.033,0.032
04/05/16,151400.0,0.032,0.032,0.033,0.032
05/05/16,486000.0,0.033,0.032,0.033,0.032
06/05/16,1030500.0,0.033,0.032,0.033,0.032
06/05/16,1030500.0,0.033,0.032,0.033,0.032
10/05/16,129000.0,0.033,0.032,0.033,0.032
11/05/16,223200.0,0.033,0.032,0.033,0.032
12/05/16,1058700.0,0.032,0.034,0.034,0.032
13/05/16,359100.0,0.034,0.034,0.034,0.033
16/05/16,142900.0,0.034,0.033,0.034,0.033
17/05/16,1860300.0,0.033,0.032,0.033,0.032
18/05/16,709500.0,0.032,0.032,0.033,0.032
19/05/16,573300.0,0.033,0.032,0.033,0.032
20/05/16,1943400.0,0.032,0.032,0.033,0.032
