Date,Value,Open,Close,High,Low
15/07/15,11850.0,3.95,3.95,3.95,3.95
16/07/15,70200.0,3.9,3.9,3.9,3.9
21/07/15,117010.0,3.91,3.9,3.91,3.9
30/07/15,78000.0,3.9,3.9,3.9,3.9
31/07/15,19500.0,3.9,3.9,3.9,3.9
04/08/15,34920.0,3.88,3.88,3.88,3.88
14/08/15,42360.0,3.86,3.85,3.86,3.85
17/08/15,16000.0,4.0,4.0,4.0,4.0
18/08/15,283930.0,3.85,3.5,3.85,3.5
19/08/15,11970.0,3.99,3.99,3.99,3.99
20/08/15,11600.0,3.99,3.62,3.99,3.62
24/08/15,7240.0,3.62,3.62,3.62,3.62
25/08/15,133200.0,3.6,3.6,3.6,3.6
26/08/15,54000.0,3.6,3.6,3.6,3.6
27/08/15,7900.0,3.95,3.95,3.95,3.95
28/08/15,3940.0,3.94,3.94,3.94,3.94
01/09/15,221000.0,3.68,3.7,3.7,3.68
04/09/15,3940.0,3.94,3.94,3.94,3.94
09/09/15,11700.0,3.9,3.9,3.9,3.9
11/09/15,259880.0,3.9,3.94,3.94,3.9
16/09/15,15600.0,3.9,3.9,3.9,3.9
17/09/15,390000.0,3.9,3.9,3.9,3.9
18/09/15,3940.0,3.94,3.94,3.94,3.94
22/09/15,7400.0,3.7,3.7,3.7,3.7
23/09/15,80900.0,3.8,3.91,3.94,3.8
24/09/15,11490.0,3.83,3.83,3.83,3.83
28/09/15,11480.0,3.83,3.82,3.83,3.82
30/09/15,15280.0,3.82,3.82,3.82,3.82
01/10/15,38160.0,3.82,3.81,3.82,3.81
02/10/15,3930.0,3.93,3.93,3.93,3.93
05/10/15,223770.0,3.93,3.93,3.93,3.9
07/10/15,7620.0,3.81,3.81,3.81,3.81
09/10/15,3930.0,3.93,3.93,3.93,3.93
15/10/15,81900.0,3.9,3.9,3.9,3.9
16/10/15,7780.0,3.92,3.86,3.92,3.86
20/10/15,19650.0,3.93,3.93,3.93,3.93
21/10/15,31200.0,3.9,3.9,3.9,3.9
23/10/15,172780.0,3.86,3.93,3.93,3.86
27/10/15,154000.0,3.85,3.85,3.85,3.85
28/10/15,30880.0,3.86,3.86,3.86,3.86
04/11/15,356140.0,4.0,4.0,4.42,4.0
20/11/15,20000.0,4.0,4.0,4.0,4.0
24/11/15,15750.0,3.94,3.93,3.94,3.93
26/11/15,19650.0,3.93,3.93,3.93,3.93
27/11/15,15680.0,3.92,3.92,3.92,3.92
01/12/15,180270.0,4.3,4.4,4.4,4.3
09/12/15,4370.0,4.37,4.37,4.37,4.37
11/12/15,43030.0,3.91,3.93,3.93,3.91
15/12/15,31330.0,3.92,3.91,3.92,3.91
21/12/15,28020.0,4.01,4.0,4.01,4.0
28/12/15,3950.0,3.95,3.95,3.95,3.95
05/01/16,20000.0,4.0,4.0,4.0,4.0
08/01/16,175850.0,3.95,4.0,4.0,3.95
13/01/16,7900.0,4.0,3.9,4.0,3.9
15/01/16,78000.0,3.9,3.9,3.9,3.9
19/01/16,11700.0,3.9,3.9,3.9,3.9
20/01/16,7960.0,3.98,3.98,3.98,3.98
21/01/16,42900.0,3.9,3.9,3.9,3.9
29/01/16,4040.0,4.04,4.04,4.04,4.04
02/02/16,16200.0,4.05,4.05,4.05,4.05
10/02/16,79000.0,3.95,3.95,3.95,3.95
11/02/16,19750.0,3.95,3.95,3.95,3.95
17/02/16,3980.0,3.98,3.98,3.98,3.98
18/02/16,208000.0,4.0,4.0,4.0,4.0
19/02/16,63200.0,3.95,3.95,3.95,3.95
22/02/16,169010.0,3.96,3.92,4.05,3.92
23/02/16,52550.0,4.0,4.09,4.09,4.0
26/02/16,12070.0,4.05,4.01,4.05,4.01
01/03/16,12030.0,4.01,4.01,4.01,4.01
02/03/16,11910.0,3.97,3.97,3.97,3.97
10/03/16,24000.0,4.0,4.0,4.0,4.0
14/03/16,20500.0,4.1,4.1,4.1,4.1
16/03/16,4010.0,4.01,4.01,4.01,4.01
18/03/16,4100.0,4.1,4.1,4.1,4.1
22/03/16,66300.0,4.1,4.17,4.17,4.1
23/03/16,84410.0,4.2,4.22,4.25,4.2
28/03/16,377300.0,4.28,4.35,4.49,4.28
29/03/16,53070.0,4.49,4.49,4.49,4.4
30/03/16,1166410.0,4.49,4.68,4.98,4.49
31/03/16,1002690.0,4.84,4.9,5.04,4.68
01/04/16,135450.0,5.0,4.75,5.0,4.75
04/04/16,154700.0,4.7,4.63,4.7,4.2
07/04/16,18560.0,4.64,4.64,4.64,4.64
08/04/16,34350.0,4.11,4.61,4.61,4.11
11/04/16,74010.0,4.22,4.44,4.5,4.2
12/04/16,4270.0,4.27,4.27,4.27,4.27
13/04/16,26560.0,4.49,4.29,4.5,4.29
14/04/16,8900.0,4.5,4.4,4.5,4.4
18/04/16,4490.0,4.49,4.49,4.49,4.49
22/04/16,8970.0,4.48,4.49,4.49,4.48
25/04/16,4400.0,4.4,4.4,4.4,4.4
27/04/16,34240.0,4.4,4.29,4.4,4.25
29/04/16,12750.0,4.25,4.25,4.25,4.25
02/05/16,4350.0,4.35,4.35,4.35,4.35
03/05/16,148490.0,4.34,4.67,4.67,4.34
04/05/16,8650.0,4.25,4.4,4.4,4.25
05/05/16,38550.0,4.3,4.3,4.3,4.25
06/05/16,52800.0,4.4,4.4,4.4,4.4
06/05/16,52800.0,4.4,4.4,4.4,4.4
11/05/16,340000.0,4.25,4.25,4.25,4.25
12/05/16,79470.0,4.4,4.67,4.67,4.4
16/05/16,97900.0,4.67,4.65,4.67,4.65
18/05/16,43300.0,4.33,4.33,4.33,4.33
23/05/16,4600.0,4.6,4.6,4.6,4.6
24/05/16,88000.0,4.4,4.4,4.4,4.4
27/05/16,140150.0,4.16,4.59,4.59,4.04
03/06/16,90510.0,4.12,4.12,4.12,4.11
06/06/16,71520.0,4.25,4.2,4.25,4.2
09/06/16,21380.0,4.25,4.3,4.3,4.25
10/06/16,127900.0,4.29,4.5,4.55,4.29
13/06/16,4480.0,4.48,4.48,4.48,4.48
14/06/16,90000.0,4.5,4.5,4.5,4.5
15/06/16,8700.0,4.35,4.35,4.35,4.35
16/06/16,29410.0,4.16,4.45,4.45,4.16
17/06/16,8860.0,4.43,4.43,4.43,4.43
20/06/16,42020.0,4.21,4.2,4.21,4.2
22/06/16,29210.0,4.17,4.18,4.18,4.17
23/06/16,42830.0,4.25,4.3,4.3,4.25
24/06/16,46800.0,4.2,4.3,4.3,4.2
28/06/16,8820.0,4.41,4.41,4.41,4.41
29/06/16,1173520.0,4.4,4.35,4.4,4.35
30/06/16,29490.0,4.22,4.21,4.22,4.21
05/07/16,42500.0,4.25,4.25,4.25,4.25
11/07/16,43000.0,4.3,4.3,4.3,4.3
12/07/16,4400.0,4.4,4.4,4.4,4.4
14/07/16,131700.0,4.39,4.39,4.39,4.39
