Date,Value,Open,Close,High,Low
15/07/15,3698850.0,4.88,4.94,5.0,4.88
16/07/15,4698370.0,4.95,4.93,5.0,4.87
20/07/15,2549980.0,4.9,4.8,4.9,4.7
21/07/15,1529650.0,4.8,4.8,4.82,4.68
22/07/15,2314790.0,4.7,4.8,4.82,4.7
23/07/15,7991020.0,4.75,4.8,4.83,4.73
23/07/15,7991020.0,4.75,4.8,4.83,4.73
23/07/15,7991020.0,4.75,4.8,4.83,4.73
24/07/15,1962560.0,4.84,4.65,4.84,4.65
27/07/15,1389540.0,4.62,4.65,4.67,4.61
28/07/15,2595520.0,4.62,4.6,4.62,4.58
29/07/15,629850.0,4.58,4.74,4.74,4.58
30/07/15,1153000.0,4.66,4.69,4.74,4.55
31/07/15,1504370.0,4.65,4.77,4.85,4.63
03/08/15,516370.0,4.77,4.74,4.8,4.65
04/08/15,427760.0,4.7,4.7,4.73,4.66
05/08/15,578120.0,4.7,4.7,4.72,4.7
06/08/15,2504660.0,4.7,4.7,4.7,4.65
07/08/15,2961170.0,4.65,4.61,4.65,4.6
10/08/15,1595600.0,4.61,4.59,4.61,4.59
11/08/15,7643640.0,4.59,4.57,4.59,4.57
12/08/15,7103630.0,4.57,4.56,4.57,4.55
13/08/15,4351240.0,4.55,4.55,4.56,4.55
14/08/15,638130.0,4.55,4.64,4.64,4.55
17/08/15,882820.0,4.64,4.58,4.64,4.58
18/08/15,13698470.0,4.6,4.58,4.64,4.55
19/08/15,32083560.0,4.55,4.5,4.55,4.46
20/08/15,497070.0,4.4,4.35,4.41,4.35
24/08/15,27051160.0,4.36,4.0,4.36,4.0
25/08/15,9519650.0,4.0,4.0,4.06,4.0
26/08/15,22350890.0,4.0,4.0,4.05,3.92
27/08/15,6113430.0,4.0,4.01,4.14,4.0
28/08/15,2429500.0,4.02,4.39,4.39,4.02
01/09/15,546890.0,4.15,4.23,4.23,4.15
02/09/15,6258700.0,4.02,4.05,4.09,4.01
03/09/15,563210.0,4.05,4.05,4.1,4.03
04/09/15,1041330.0,4.05,4.05,4.09,4.05
07/09/15,12696230.0,4.03,4.03,4.03,4.0
08/09/15,1512220.0,4.0,4.03,4.1,4.0
09/09/15,6955510.0,4.05,4.06,4.15,4.03
10/09/15,6032200.0,4.03,4.05,4.09,4.03
11/09/15,425070.0,4.03,4.05,4.05,4.03
14/09/15,9012590.0,4.04,4.05,4.05,4.03
15/09/15,991770.0,4.04,4.05,4.06,4.04
15/09/15,991770.0,4.04,4.05,4.06,4.04
15/09/15,991770.0,4.04,4.05,4.06,4.04
16/09/15,496640.0,4.04,4.06,4.1,4.04
17/09/15,5912270.0,4.06,4.1,4.12,4.06
18/09/15,2723060.0,4.1,4.09,4.1,4.09
21/09/15,2570830.0,4.1,4.1,4.14,4.09
22/09/15,1098690.0,4.1,4.1,4.14,4.09
23/09/15,1319390.0,4.06,4.1,4.13,4.06
24/09/15,3940810.0,4.08,4.1,4.14,4.06
28/09/15,15270270.0,4.1,4.09,4.1,4.08
29/09/15,10921550.0,4.06,4.06,4.12,4.05
30/09/15,6141850.0,4.04,4.1,4.14,4.04
