Date,Value,Open,Close,High,Low
15/07/15,1680610.0,4.39,4.2,4.41,4.1
16/07/15,63860.0,4.27,4.24,4.28,4.23
20/07/15,63600.0,4.2,4.25,4.25,4.2
21/07/15,200160.0,4.26,4.26,4.26,4.25
22/07/15,224590.0,4.26,4.24,4.26,4.22
23/07/15,135660.0,4.24,4.24,4.24,4.23
23/07/15,135660.0,4.24,4.24,4.24,4.23
23/07/15,135660.0,4.24,4.24,4.24,4.23
24/07/15,279580.0,4.24,4.23,4.24,4.21
27/07/15,108780.0,4.19,4.23,4.23,4.18
28/07/15,192060.0,4.16,4.18,4.18,4.16
29/07/15,276580.0,4.18,4.18,4.2,4.18
30/07/15,95910.0,4.17,4.17,4.17,4.17
31/07/15,137190.0,4.16,4.15,4.18,4.15
03/08/15,95450.0,4.15,4.15,4.15,4.15
04/08/15,933180.0,4.16,4.12,4.27,4.11
05/08/15,128270.0,4.15,4.15,4.15,4.12
06/08/15,41540.0,4.15,4.19,4.19,4.15
07/08/15,194300.0,4.15,4.12,4.15,4.12
10/08/15,504900.0,4.12,4.1,4.12,4.02
11/08/15,57580.0,4.12,4.12,4.12,4.07
12/08/15,110760.0,4.1,4.11,4.11,4.1
14/08/15,82320.0,4.11,4.13,4.13,4.11
17/08/15,125180.0,4.05,4.1,4.1,4.0
18/08/15,100210.0,4.02,4.0,4.02,4.0
19/08/15,99600.0,3.98,3.99,3.99,3.98
20/08/15,99880.0,3.99,3.99,4.0,3.99
24/08/15,3970.0,3.97,3.97,3.97,3.97
26/08/15,10079010.0,3.89,3.97,4.0,3.89
27/08/15,933760.0,3.97,4.0,4.02,3.97
28/08/15,24060.0,4.01,4.01,4.01,4.01
01/09/15,99620.0,4.01,3.96,4.03,3.96
02/09/15,51480.0,3.96,3.96,3.96,3.96
03/09/15,27863510.0,3.9,3.76,3.9,3.76
04/09/15,11700.0,3.9,3.9,3.9,3.9
07/09/15,11670.0,3.89,3.89,3.89,3.89
08/09/15,148910.0,3.85,3.8,3.85,3.8
09/09/15,80090.0,3.81,3.85,3.85,3.81
10/09/15,193870.0,3.82,3.76,3.82,3.76
14/09/15,22640.0,3.76,3.78,3.78,3.76
15/09/15,22760.0,3.86,3.78,3.86,3.78
15/09/15,22760.0,3.86,3.78,3.86,3.78
15/09/15,22760.0,3.86,3.78,3.86,3.78
16/09/15,429300.0,3.8,3.78,3.8,3.78
17/09/15,102060.0,3.78,3.78,3.78,3.78
18/09/15,56800.0,3.8,3.78,3.8,3.78
21/09/15,57120.0,3.87,3.86,3.87,3.78
24/09/15,30480.0,3.78,3.86,3.86,3.78
28/09/15,103420.0,3.86,3.78,3.86,3.78
29/09/15,7520.0,3.76,3.76,3.76,3.76
30/09/15,184800.0,3.85,3.85,3.85,3.85
01/10/15,123230.0,3.85,3.5,3.88,3.5
02/10/15,636010.0,3.03,3.24,3.32,3.03
05/10/15,174880.0,3.4,3.2,3.45,3.2
06/10/15,45670.0,3.49,3.6,3.6,3.49
07/10/15,533130.0,3.6,4.0,4.0,3.6
08/10/15,322680.0,3.76,3.87,4.01,3.76
09/10/15,194400.0,4.0,3.89,4.03,3.89
12/10/15,67380.0,4.01,4.0,4.01,3.87
13/10/15,23800.0,3.9,4.0,4.0,3.9
14/10/15,44410.0,4.04,4.05,4.05,4.03
15/10/15,7850.0,3.95,3.9,3.95,3.9
16/10/15,23550.0,3.91,4.04,4.04,3.9
19/10/15,42840.0,4.04,3.88,4.04,3.88
20/10/15,11610.0,3.87,3.87,3.87,3.87
21/10/15,11700.0,3.9,3.9,3.9,3.9
22/10/15,8000.0,4.0,4.0,4.0,4.0
23/10/15,4000.0,4.0,4.0,4.0,4.0
26/10/15,99800.0,4.0,4.0,4.0,3.96
27/10/15,15580.0,3.86,4.0,4.0,3.86
28/10/15,149090.0,3.85,4.04,4.04,3.85
29/10/15,68000.0,4.0,4.0,4.0,4.0
30/10/15,101300.0,3.9,3.88,4.0,3.88
02/11/15,66410.0,3.88,3.88,4.0,3.88
03/11/15,100720.0,4.0,3.85,4.0,3.85
04/11/15,93250.0,3.85,3.95,3.95,3.85
05/11/15,138340.0,3.85,3.99,3.99,3.81
06/11/15,11990.0,3.99,4.0,4.0,3.99
09/11/15,259170.0,3.9,3.79,3.9,3.79
10/11/15,37600.0,3.76,3.76,3.76,3.76
11/11/15,31090.0,3.89,3.88,3.9,3.88
12/11/15,50550.0,3.88,3.99,3.99,3.83
16/11/15,193480.0,3.77,3.54,3.77,3.54
17/11/15,7200.0,3.6,3.6,3.6,3.6
23/11/15,21600.0,3.6,3.6,3.6,3.6
24/11/15,3600.0,3.6,3.6,3.6,3.6
26/11/15,14400.0,3.6,3.6,3.6,3.6
27/11/15,168240.0,3.56,3.55,3.56,3.5
01/12/15,39330.0,3.5,3.63,3.63,3.5
02/12/15,32420.0,3.64,3.67,3.67,3.56
04/12/15,58780.0,3.67,3.68,3.68,3.67
08/12/15,14220.0,3.57,3.55,3.57,3.55
09/12/15,31960.0,3.56,3.55,3.56,3.55
10/12/15,39040.0,3.56,3.54,3.56,3.54
11/12/15,120480.0,3.57,3.54,3.59,3.54
14/12/15,17700.0,3.54,3.54,3.54,3.54
17/12/15,148490.0,3.58,3.52,3.59,3.5
18/12/15,49250.0,3.55,3.5,3.55,3.5
04/01/16,208640.0,3.5,3.5,3.5,3.46
07/01/16,75160.0,3.45,3.39,3.45,3.39
08/01/16,242360.0,3.38,3.38,3.38,3.34
11/01/16,26010.0,3.26,3.25,3.26,3.25
13/01/16,63800.0,3.33,3.3,3.33,3.03
14/01/16,13760.0,2.61,3.29,3.29,2.61
15/01/16,16250.0,3.25,3.25,3.25,3.25
18/01/16,121340.0,3.2,3.18,3.2,3.18
19/01/16,22320.0,3.2,3.12,3.2,3.12
25/01/16,58210.0,3.21,3.26,3.26,3.21
26/01/16,47360.0,3.15,3.17,3.17,3.15
27/01/16,3180.0,3.18,3.18,3.18,3.18
28/01/16,1036670.0,3.23,3.31,3.31,3.23
29/01/16,93640.0,3.31,3.35,3.37,3.31
01/02/16,37030.0,3.35,3.37,3.37,3.35
