Date,Value,Open,Close,High,Low
15/07/15,39496075.0,8.29,8.2,8.3,8.17
16/07/15,35896629.0,8.2,8.25,8.25,8.13
20/07/15,6639467.0,8.25,8.15,8.27,8.15
21/07/15,28256916.0,8.16,8.2,8.3,8.16
22/07/15,16730966.0,8.2,8.24,8.3,8.19
23/07/15,29446452.0,8.24,8.2,8.26,8.14
23/07/15,29446452.0,8.24,8.2,8.26,8.14
23/07/15,29446452.0,8.24,8.2,8.26,8.14
24/07/15,19430762.0,8.2,8.1,8.2,8.1
27/07/15,15392772.0,8.1,7.99,8.2,7.99
28/07/15,20042760.0,7.98,7.81,7.98,7.78
29/07/15,77262412.0,7.81,7.5,7.81,7.43
30/07/15,26922667.0,7.6,7.45,7.81,7.45
31/07/15,79464002.0,7.45,10.0,10.0,7.32
03/08/15,56051995.0,7.65,7.78,7.88,7.48
04/08/15,31337668.0,7.8,7.75,7.84,7.65
05/08/15,4955330.0,7.75,7.72,7.78,7.69
06/08/15,15709965.0,7.72,7.72,7.78,7.7
07/08/15,36909470.0,7.73,7.68,7.77,7.68
10/08/15,89145766.0,7.68,8.1,8.4,7.54
11/08/15,118484639.0,8.3,8.99,9.0,8.3
12/08/15,22759643.0,8.88,8.51,8.88,8.47
13/08/15,43588268.0,8.6,8.5,8.62,8.19
14/08/15,23867708.0,8.5,8.4,8.74,8.31
17/08/15,11012930.0,8.4,8.35,8.4,8.08
18/08/15,9841921.0,8.3,8.29,8.3,8.03
19/08/15,10147929.0,8.15,8.3,8.4,8.08
20/08/15,5210203.0,8.4,8.19,8.4,8.15
24/08/15,14749485.0,8.0,7.69,8.0,7.4
25/08/15,8728141.0,7.41,7.96,7.96,7.4
26/08/15,11867198.0,7.89,7.8,7.89,7.6
27/08/15,33882857.0,7.8,7.62,7.92,7.6
28/08/15,29159160.0,7.8,7.91,7.99,7.8
01/09/15,52228268.0,8.2,7.71,8.34,7.71
02/09/15,15856178.0,7.65,7.55,7.78,7.5
03/09/15,31587997.0,7.64,7.59,7.66,7.56
04/09/15,14439281.0,7.6,7.5,7.62,7.48
07/09/15,13216661.0,7.59,7.45,7.64,7.45
08/09/15,11955301.0,7.45,7.4,7.58,7.39
09/09/15,22941437.0,7.51,7.3,7.58,7.3
10/09/15,5866681.0,7.4,7.28,7.45,7.24
11/09/15,12808736.0,7.28,7.15,7.3,7.15
14/09/15,2241867.0,7.15,7.2,7.25,7.15
15/09/15,7858284.0,7.18,7.18,7.29,7.18
15/09/15,7858284.0,7.18,7.18,7.29,7.18
15/09/15,7858284.0,7.18,7.18,7.29,7.18
16/09/15,10642812.0,7.2,7.15,7.29,7.15
17/09/15,30371441.0,7.2,6.9,7.25,6.9
18/09/15,26223973.0,7.0,6.86,7.2,6.86
21/09/15,11971166.0,7.0,6.99,7.05,6.9
22/09/15,30004251.0,7.08,6.92,7.08,6.9
23/09/15,18269362.0,6.92,6.88,6.95,6.87
24/09/15,5951090.0,6.9,6.9,6.94,6.86
28/09/15,12262089.0,6.9,7.05,7.05,6.88
29/09/15,8177431.0,7.05,6.9,7.05,6.89
30/09/15,21892272.0,6.9,6.95,7.0,6.88
01/10/15,3551446.0,6.94,6.89,6.96,6.88
02/10/15,7346306.0,6.89,6.84,6.89,6.81
05/10/15,6852962.0,6.84,6.8,6.88,6.8
06/10/15,7978903.0,6.79,6.75,6.94,6.75
07/10/15,33999321.0,6.95,6.9,7.11,6.88
08/10/15,18212620.0,7.15,7.0,7.2,6.99
09/10/15,11428663.0,7.14,7.1,7.35,7.07
12/10/15,8117273.0,7.19,7.34,7.49,7.12
13/10/15,12757058.0,7.3,7.11,7.3,7.01
14/10/15,11141865.0,7.05,7.01,7.24,7.01
15/10/15,5001884.0,7.02,7.02,7.09,7.02
16/10/15,40993113.0,7.1,7.34,7.34,7.06
19/10/15,11114051.0,7.34,7.42,7.42,7.29
20/10/15,9200024.0,7.42,7.41,7.42,7.35
21/10/15,2628598.0,7.41,7.36,7.41,7.34
22/10/15,5922644.0,7.36,7.31,7.38,7.28
23/10/15,8058879.0,7.31,7.25,7.33,7.24
26/10/15,6837698.0,7.25,7.25,7.39,7.25
27/10/15,38554474.0,7.27,7.56,7.69,7.25
28/10/15,61921079.0,7.68,7.96,8.03,7.68
29/10/15,51273123.0,8.0,8.19,8.33,8.0
30/10/15,20676818.0,8.12,8.1,8.12,7.94
02/11/15,15954033.0,8.09,8.11,8.2,7.95
03/11/15,30058063.0,8.12,8.16,8.32,8.12
04/11/15,32246063.0,8.3,8.3,8.32,8.27
05/11/15,25033076.0,8.29,8.36,8.45,8.29
06/11/15,12201666.0,8.36,8.35,8.42,8.31
09/11/15,9395858.0,8.35,8.31,8.35,8.22
10/11/15,11539345.0,8.3,8.1,8.3,8.06
11/11/15,5460907.0,8.14,8.05,8.14,8.0
12/11/15,5288050.0,8.05,7.99,8.18,7.98
13/11/15,26143610.0,7.9,7.7,7.9,7.63
16/11/15,9654349.0,7.7,7.5,7.7,7.48
17/11/15,5586817.0,7.68,7.8,7.97,7.68
20/11/15,2384289.0,7.85,7.77,7.87,7.7
23/11/15,5924649.0,7.87,7.69,7.94,7.69
24/11/15,6670376.0,7.69,7.55,7.7,7.52
25/11/15,10406969.0,7.52,7.73,7.74,7.52
26/11/15,6773677.0,7.73,7.65,7.84,7.64
27/11/15,6652069.0,7.72,7.46,7.75,7.46
01/12/15,5481221.0,7.6,7.47,7.6,7.41
02/12/15,7418981.0,7.47,7.48,7.6,7.43
03/12/15,6851925.0,7.46,7.37,7.46,7.37
04/12/15,9823779.0,7.37,7.36,7.45,7.31
07/12/15,4616728.0,7.36,7.28,7.45,7.25
08/12/15,14053236.0,7.24,7.22,7.25,7.18
09/12/15,662634.0,7.25,7.21,7.39,7.21
10/12/15,2651953.0,7.3,7.15,7.36,7.15
11/12/15,4460902.0,7.15,7.02,7.15,7.02
14/12/15,4586737.0,7.02,7.12,7.12,6.99
15/12/15,2934105.0,7.12,7.0,7.25,6.99
16/12/15,10103311.0,7.0,7.02,7.05,6.98
17/12/15,4418593.0,7.14,7.0,7.14,7.0
18/12/15,10456456.0,6.97,7.0,7.06,6.97
21/12/15,4798072.0,7.0,6.98,7.15,6.97
22/12/15,8283462.0,6.98,6.94,7.12,6.94
23/12/15,7123512.0,6.94,6.98,7.05,6.94
28/12/15,59232514.0,7.05,7.11,7.15,7.0
29/12/15,44286424.0,7.15,6.99,7.2,6.99
04/01/16,9827694.0,6.99,6.97,7.02,6.95
05/01/16,6505203.0,6.97,6.9,7.0,6.87
06/01/16,9094859.0,6.9,6.83,6.92,6.83
07/01/16,20676406.0,6.84,6.41,6.84,6.41
08/01/16,13079724.0,6.45,6.46,6.79,6.41
11/01/16,15761125.0,6.44,5.85,6.44,5.84
12/01/16,17345975.0,5.85,5.85,6.0,5.69
13/01/16,17794202.0,5.85,5.9,6.1,5.85
14/01/16,12568319.0,5.9,5.85,5.96,5.8
15/01/16,23633024.0,5.9,5.73,5.93,5.72
18/01/16,22888008.0,5.7,5.48,5.7,5.4
19/01/16,17130154.0,5.48,5.52,5.62,5.48
20/01/16,9414829.0,5.5,5.49,5.57,5.47
21/01/16,18241340.0,5.49,5.36,5.49,5.22
22/01/16,42876629.0,5.46,5.56,5.63,5.45
25/01/16,38521907.0,5.71,5.9,5.9,5.58
26/01/16,7159816.0,5.88,5.69,5.88,5.6
27/01/16,10741122.0,5.7,5.9,5.93,5.7
28/01/16,90459371.0,5.94,6.3,6.55,5.9
29/01/16,31936919.0,6.48,6.5,6.79,6.32
01/02/16,23134659.0,6.5,6.69,6.78,6.5
02/02/16,46708033.0,6.69,6.5,6.78,6.5
03/02/16,21631663.0,6.46,6.27,6.46,6.26
04/02/16,41739741.0,6.31,6.53,6.6,6.31
05/02/16,66846445.0,6.54,6.69,6.82,6.54
09/02/16,3557331.0,6.69,6.62,6.69,6.5
10/02/16,18212790.0,6.65,6.7,6.76,6.6
11/02/16,163405338.0,6.7,7.11,7.16,6.7
12/02/16,370421802.0,7.05,7.64,7.92,6.89
15/02/16,184897054.0,7.82,8.42,8.43,7.82
16/02/16,210432414.0,8.42,8.5,8.9,8.31
17/02/16,92134812.0,8.51,8.57,8.7,8.4
18/02/16,171714637.0,8.58,8.95,9.08,8.58
19/02/16,179221411.0,8.94,9.2,9.28,8.85
