Date,Value,Open,Close,High,Low
15/07/15,269890.0,18.9,18.9,18.9,18.26
16/07/15,831688.0,18.9,18.9,18.9,18.5
20/07/15,888468.0,18.9,18.86,18.9,18.84
21/07/15,1175064.0,18.86,18.84,18.86,18.3
22/07/15,2470806.0,18.4,18.8,18.84,18.4
23/07/15,2366802.0,18.8,18.78,18.8,18.42
23/07/15,2366802.0,18.8,18.78,18.8,18.42
23/07/15,2366802.0,18.8,18.78,18.8,18.42
24/07/15,1292016.0,18.78,18.76,18.78,18.5
27/07/15,8947668.0,18.58,18.9,18.9,18.4
28/07/15,2130674.0,18.9,18.86,18.9,18.42
29/07/15,28290.0,18.86,18.86,18.86,18.86
30/07/15,4192352.0,18.76,18.86,18.86,18.5
31/07/15,2300956.0,18.86,18.9,18.9,18.5
03/08/15,1224234.0,18.9,18.9,18.9,18.5
04/08/15,548948.0,18.9,18.9,18.9,18.8
05/08/15,961537.9999999999,18.9,18.9,18.9,18.54
06/08/15,953904.0,18.9,18.9,18.9,18.6
07/08/15,2016642.0,18.9,18.9,18.9,18.7
10/08/15,6364136.0,18.9,19.0,19.0,18.6
11/08/15,4702658.0,18.9,18.9,19.0,18.54
12/08/15,2293902.0,18.9,18.9,18.9,18.6
13/08/15,4532580.0,18.9,18.88,18.9,18.72
14/08/15,7886524.0,18.86,18.4,18.86,17.9
17/08/15,5864806.0,18.4,18.4,18.4,17.5
18/08/15,6838104.0,18.4,18.42,18.42,17.9
19/08/15,11908788.0,18.4,18.42,18.42,18.04
20/08/15,9466320.0,18.4,18.6,18.6,18.2
24/08/15,3636228.0,18.4,18.5,18.56,18.0
25/08/15,3102078.0,17.92,18.0,18.48,17.1
26/08/15,4660540.0,17.7,18.02,18.02,17.68
27/08/15,1013370.0,18.04,18.22,18.22,17.8
28/08/15,1791074.0,18.28,18.48,18.48,18.06
01/09/15,1799746.0,18.0,18.54,18.54,18.0
02/09/15,1919048.0,17.8,18.54,18.54,17.72
03/09/15,610488.0,18.3,18.58,18.58,18.3
04/09/15,347102.0,18.58,18.58,18.58,18.34
07/09/15,1726418.0,18.36,18.34,18.54,18.0
08/09/15,2962808.0,18.34,18.06,18.34,17.7
09/09/15,757978.0,18.26,18.4,18.44,18.1
10/09/15,778406.0,18.4,18.36,18.4,18.0
11/09/15,196994.0,18.36,18.48,18.48,18.3
14/09/15,1710630.0,18.48,18.54,18.54,18.2
15/09/15,861730.0,18.2,18.54,18.54,18.2
15/09/15,861730.0,18.2,18.54,18.54,18.2
15/09/15,861730.0,18.2,18.54,18.54,18.2
16/09/15,788864.0,18.5,18.6,18.6,18.3
17/09/15,1970566.0,18.58,18.68,18.68,18.4
18/09/15,2795586.0,18.4,18.8,18.8,18.4
21/09/15,557478.0,18.8,18.8,18.8,18.48
22/09/15,589558.0,18.8,18.84,18.84,18.6
23/09/15,1901986.0,18.8,18.48,18.82,17.9
24/09/15,1798872.0,17.92,18.7,18.7,17.9
28/09/15,429130.0,18.7,18.68,18.7,18.1
29/09/15,5361420.0,18.68,18.82,18.84,18.2
30/09/15,9468052.0,18.76,18.6,18.78,18.22
01/10/15,2877726.0,18.3,18.76,18.76,18.22
02/10/15,795178.0,18.74,18.72,18.74,18.6
05/10/15,2175766.0,18.72,18.84,18.84,18.5
06/10/15,3315158.0,18.84,18.9,18.9,18.8
07/10/15,1015616.0,18.88,18.9,18.9,18.6
08/10/15,1017046.0,18.88,18.9,18.9,18.6
09/10/15,1986562.0,18.9,18.92,18.92,18.88
12/10/15,1018424.0,18.9,18.92,18.92,18.6
13/10/15,6537856.0,18.6,18.9,18.9,18.6
14/10/15,492810.0,18.88,18.9,18.9,18.88
15/10/15,900462.0,18.88,18.9,18.9,18.62
16/10/15,22477232.0,18.9,19.04,19.04,18.78
19/10/15,6017377.0,19.1,20.45,21.0,19.0
20/10/15,1975835.0,21.0,20.5,21.0,19.5
21/10/15,4560365.0,20.6,20.9,21.5,20.0
22/10/15,2089705.0,21.4,20.3,21.4,20.0
