Date,Value,Open,Close,High,Low
15/07/15,5127234.0,5.78,5.97,6.0,5.78
16/07/15,2466210.0,5.97,5.9,5.97,5.87
20/07/15,1477730.0,5.9,5.71,5.9,5.64
21/07/15,2891276.0,5.7,5.68,5.7,5.6
22/07/15,5904656.0,5.68,5.58,5.68,5.5
23/07/15,4797379.0,5.56,5.64,5.64,5.5
23/07/15,4797379.0,5.56,5.64,5.64,5.5
23/07/15,4797379.0,5.56,5.64,5.64,5.5
24/07/15,4123270.0,5.63,5.54,5.64,5.5
27/07/15,3918736.0,5.54,5.55,5.6,5.5
28/07/15,1789555.0,5.55,5.55,5.55,5.45
29/07/15,2424221.0,5.54,5.48,5.54,5.48
30/07/15,1334022.0,5.45,5.45,5.54,5.44
31/07/15,3954728.0,5.42,5.39,5.44,5.39
03/08/15,2045182.0,5.39,5.35,5.4,5.35
04/08/15,2044687.0,5.4,5.36,5.4,5.33
05/08/15,779814.0,5.36,5.36,5.37,5.33
06/08/15,2752171.0,5.33,5.29,5.36,5.28
07/08/15,964083.0,5.3,5.4,5.4,5.27
10/08/15,954888.0,5.38,5.45,5.55,5.38
11/08/15,13675680.0,5.56,5.4,5.56,5.36
12/08/15,2298553.0,5.44,5.35,5.44,5.35
13/08/15,1191386.0,5.41,5.27,5.41,5.27
14/08/15,1820251.0,5.3,5.3,5.3,5.25
17/08/15,3637464.0,5.27,5.03,5.27,5.0
18/08/15,7315941.0,5.03,4.76,5.05,4.75
19/08/15,2985870.0,4.72,4.77,4.77,4.64
20/08/15,1370890.0,4.77,5.1,5.1,4.77
24/08/15,12046078.0,5.31,4.97,5.4,4.94
25/08/15,1779930.0,4.93,4.95,4.97,4.9
26/08/15,1919140.0,4.95,4.98,5.04,4.89
27/08/15,2410020.0,5.0,5.0,5.1,5.0
28/08/15,1323222.0,5.01,5.1,5.15,5.01
01/09/15,2154760.0,5.17,5.2,5.3,5.02
02/09/15,1914836.0,5.2,5.16,5.2,5.03
03/09/15,6006275.0,5.18,5.28,5.4,5.17
04/09/15,12300473.0,5.31,4.99,5.31,4.99
07/09/15,439110.0,4.99,5.07,5.07,4.99
08/09/15,1860623.0,5.1,5.06,5.15,5.05
09/09/15,1459802.0,5.13,5.12,5.15,5.1
10/09/15,4640204.0,5.12,5.15,5.16,5.06
11/09/15,4684601.0,5.17,5.09,5.17,5.08
14/09/15,6662256.0,5.1,4.97,5.1,4.91
15/09/15,544280.0,4.97,4.98,5.03,4.97
15/09/15,544280.0,4.97,4.98,5.03,4.97
15/09/15,544280.0,4.97,4.98,5.03,4.97
16/09/15,4757820.0,4.92,5.05,5.09,4.92
17/09/15,1665454.0,5.05,5.05,5.1,4.96
18/09/15,1106289.0,5.1,5.15,5.16,5.07
21/09/15,1049268.0,5.15,5.09,5.16,5.04
22/09/15,3450534.0,5.06,4.97,5.06,4.97
23/09/15,1540250.0,4.92,5.0,5.02,4.87
24/09/15,3559280.0,5.0,5.0,5.03,4.9
28/09/15,5137163.0,4.93,4.95,5.0,4.92
29/09/15,1958080.0,4.9,4.81,4.9,4.8
30/09/15,834930.0,4.82,4.77,4.97,4.77
01/10/15,966570.0,4.77,4.77,4.8,4.77
02/10/15,172320.0,4.83,4.77,4.83,4.77
05/10/15,407940.0,4.8,4.8,4.8,4.77
06/10/15,7787280.0,4.84,4.85,4.9,4.83
07/10/15,3582650.0,4.82,4.8,4.97,4.8
08/10/15,218230.0,4.93,4.86,4.93,4.83
09/10/15,880340.0,4.85,4.96,4.96,4.85
12/10/15,8210380.0,4.98,5.33,5.38,4.98
13/10/15,1489099.0,5.4,5.2,5.4,5.1
14/10/15,4623168.0,5.17,5.0,5.3,5.0
15/10/15,15895116.0,5.2,5.3,5.48,5.2
16/10/15,2885127.0,5.49,5.3,5.5,5.28
19/10/15,5936319.0,5.3,5.22,5.4,5.2
20/10/15,1607009.0,5.18,5.24,5.25,5.17
21/10/15,1818343.0,5.24,5.24,5.25,5.18
22/10/15,1079829.0,5.26,5.28,5.31,5.26
23/10/15,1416389.0,5.29,5.37,5.4,5.28
26/10/15,10094310.0,5.37,5.4,5.57,5.02
27/10/15,1604602.0,5.4,5.47,5.49,5.34
28/10/15,13393431.0,5.49,5.7,5.7,5.49
29/10/15,4759259.0,5.7,5.54,5.75,5.5
30/10/15,2978650.0,5.52,5.4,5.52,5.38
02/11/15,1126052.0,5.4,5.35,5.41,5.34
03/11/15,440261.0,5.46,5.47,5.47,5.4
04/11/15,3375916.0,5.46,5.3,5.48,5.3
05/11/15,7128611.0,5.34,5.15,5.34,5.15
06/11/15,389803.0,5.15,5.15,5.15,5.12
09/11/15,2193887.0,5.15,5.18,5.19,5.08
10/11/15,1612833.0,5.14,5.08,5.14,5.04
11/11/15,2252051.0,5.08,5.03,5.1,5.03
12/11/15,320764.0,5.1,5.14,5.15,5.1
13/11/15,1294176.0,5.15,5.03,5.15,5.02
16/11/15,2825170.0,5.03,4.99,5.1,4.99
17/11/15,606810.0,4.98,5.05,5.3,4.98
20/11/15,2701066.0,5.1,5.0,5.12,4.98
23/11/15,593751.0,5.16,5.0,5.16,4.98
24/11/15,1269285.0,4.98,4.91,5.0,4.91
25/11/15,175200.0,5.0,5.1,5.1,5.0
26/11/15,209654.0,4.99,5.04,5.06,4.99
27/11/15,496216.0,5.03,5.0,5.07,5.0
01/12/15,1714287.0,5.05,5.0,5.05,5.0
02/12/15,107480.0,5.01,5.03,5.05,5.01
03/12/15,574943.0,5.03,5.0,5.03,5.0
