Date,Value,Open,Close,High,Low
15/07/15,1378110.0,1.72,1.77,1.77,1.69
16/07/15,821300.0,1.74,1.72,1.77,1.7
20/07/15,1086080.0,1.75,1.73,1.75,1.7
21/07/15,1557220.0,1.7,1.7,1.75,1.7
22/07/15,1596760.0,1.71,1.7,1.72,1.69
23/07/15,715900.0,1.69,1.68,1.72,1.68
23/07/15,715900.0,1.69,1.68,1.72,1.68
23/07/15,715900.0,1.69,1.68,1.72,1.68
24/07/15,3940580.0,1.69,1.73,1.78,1.65
27/07/15,2382480.0,1.7,1.66,1.7,1.65
28/07/15,1838140.0,1.68,1.63,1.68,1.63
29/07/15,702000.0,1.65,1.65,1.69,1.65
30/07/15,747380.0,1.65,1.66,1.67,1.64
31/07/15,1223740.0,1.64,1.64,1.66,1.63
03/08/15,1258390.0,1.64,1.63,1.7,1.63
04/08/15,580580.0,1.63,1.65,1.66,1.63
05/08/15,1160350.0,1.65,1.64,1.66,1.63
06/08/15,1237690.0,1.63,1.63,1.66,1.62
07/08/15,3206380.0,1.66,1.64,1.66,1.6
10/08/15,1868860.0,1.64,1.65,1.65,1.6
11/08/15,1937390.0,1.66,1.6,1.66,1.6
12/08/15,1658700.0,1.6,1.6,1.64,1.59
13/08/15,991280.0,1.59,1.59,1.6,1.58
14/08/15,1104290.0,1.58,1.59,1.62,1.57
17/08/15,3767000.0,1.58,1.5,1.58,1.47
18/08/15,1655320.0,1.49,1.46,1.49,1.43
19/08/15,866590.0,1.43,1.46,1.46,1.4
20/08/15,132820.0,1.53,1.46,1.53,1.42
24/08/15,1209140.0,1.45,1.22,1.45,1.2
25/08/15,627320.0,1.2,1.2,1.2,1.15
26/08/15,1197360.0,1.21,1.42,1.45,1.21
27/08/15,1036470.0,1.41,1.42,1.44,1.4
28/08/15,6043080.0,1.5,1.67,1.79,1.5
01/09/15,8039980.0,1.77,1.71,1.84,1.6
02/09/15,3734140.0,1.56,1.68,1.68,1.51
03/09/15,1084390.0,1.68,1.65,1.71,1.6
04/09/15,1629940.0,1.62,1.57,1.64,1.57
07/09/15,1191280.0,1.56,1.5,1.56,1.49
08/09/15,357870.0,1.5,1.53,1.58,1.49
09/09/15,650640.0,1.53,1.5,1.58,1.5
10/09/15,530360.0,1.49,1.48,1.5,1.47
11/09/15,342500.0,1.48,1.46,1.48,1.45
14/09/15,1530880.0,1.46,1.38,1.46,1.38
15/09/15,1152020.0,1.41,1.37,1.44,1.35
15/09/15,1152020.0,1.41,1.37,1.44,1.35
15/09/15,1152020.0,1.41,1.37,1.44,1.35
16/09/15,1574430.0,1.37,1.36,1.39,1.36
17/09/15,1233270.0,1.4,1.38,1.45,1.36
18/09/15,1060660.0,1.39,1.43,1.46,1.39
21/09/15,753290.0,1.4,1.38,1.4,1.35
22/09/15,1266410.0,1.38,1.33,1.38,1.32
23/09/15,885740.0,1.32,1.39,1.46,1.32
24/09/15,296530.0,1.39,1.38,1.45,1.36
28/09/15,763910.0,1.38,1.35,1.38,1.34
29/09/15,189050.0,1.36,1.37,1.37,1.33
30/09/15,383210.0,1.35,1.32,1.38,1.32
01/10/15,1392350.0,1.38,1.42,1.49,1.32
02/10/15,1108290.0,1.4,1.35,1.4,1.28
05/10/15,194890.0,1.33,1.33,1.35,1.32
06/10/15,655190.0,1.32,1.33,1.35,1.3
