Date,Value,Open,Close,High,Low
20/07/15,5260.0,26.3,26.3,26.3,26.3
21/07/15,27950.0,27.95,27.95,27.95,27.95
22/07/15,276800.0,26.3,26.95,26.95,25.6
24/07/15,36420.0,26.05,26.0,26.05,26.0
27/07/15,20820.0,26.05,26.0,26.05,26.0
29/07/15,156000.0,26.0,26.0,26.0,26.0
30/07/15,278270.0,26.0,26.1,26.1,26.0
31/07/15,5220.0,26.1,26.1,26.1,26.1
03/08/15,260000.0,26.0,26.0,26.0,26.0
04/08/15,52000.0,26.0,26.0,26.0,26.0
05/08/15,26000.0,26.0,26.0,26.0,26.0
06/08/15,156000.0,26.0,26.0,26.0,26.0
07/08/15,260000.0,26.0,26.0,26.0,26.0
11/08/15,31200.0,26.0,26.0,26.0,26.0
12/08/15,25850.0,25.85,25.85,25.85,25.85
13/08/15,64500.0,25.8,25.8,25.8,25.8
18/08/15,5170.0,25.7,26.0,26.0,25.7
24/08/15,252500.0,25.0,25.5,25.5,25.0
25/08/15,275000.0,25.0,25.5,25.5,25.0
26/08/15,1250000.0,25.0,25.0,25.0,25.0
27/08/15,12875.0,25.75,25.75,25.75,25.75
28/08/15,462500.0,25.0,25.0,25.0,25.0
01/09/15,10000.0,25.0,25.0,25.0,25.0
02/09/15,2450.0,24.5,24.5,24.5,24.5
04/09/15,242500.0,24.5,24.0,24.5,24.0
07/09/15,698400.0,24.0,24.0,24.0,24.0
08/09/15,2107200.0,24.0,24.0,24.0,24.0
09/09/15,891370.0,26.0,27.75,28.4,25.05
10/09/15,18535.0,27.8,27.05,27.8,24.25
16/09/15,7530.0,25.1,25.1,25.1,25.1
21/09/15,2480.0,24.8,24.8,24.8,24.8
22/09/15,1188855.0,24.75,24.0,24.75,24.0
23/09/15,249870.0,24.05,24.0,24.05,24.0
24/09/15,120000.0,24.0,24.0,24.0,24.0
28/09/15,4800.0,24.0,24.0,24.0,24.0
29/09/15,120000.0,24.0,24.0,24.0,24.0
01/10/15,11950.0,23.9,23.9,23.9,23.9
02/10/15,249600.0,24.0,24.0,24.0,24.0
06/10/15,26180.0,23.8,23.8,23.8,23.8
07/10/15,240500.0,24.1,24.0,24.1,24.0
09/10/15,58880.0,25.6,25.6,25.6,25.6
12/10/15,125000.0,25.0,25.0,25.0,25.0
13/10/15,14400.0,24.0,24.0,24.0,24.0
15/10/15,9780.0,24.45,24.45,24.45,24.45
16/10/15,288010.0,24.1,24.0,24.1,24.0
20/10/15,24000.0,24.0,24.0,24.0,24.0
21/10/15,1655760.0,24.0,23.5,24.0,23.0
29/10/15,1088025.0,25.45,24.0,25.45,24.0
30/10/15,840000.0,24.0,24.0,24.0,24.0
02/11/15,708000.0,24.0,24.0,24.0,24.0
03/11/15,960000.0,24.0,24.0,24.0,24.0
04/11/15,228000.0,24.0,24.0,24.0,24.0
05/11/15,2360.0,23.6,23.6,23.6,23.6
10/11/15,129840.0,24.0,23.6,24.0,23.6
11/11/15,834275.0,23.55,23.5,23.55,23.5
12/11/15,117500.0,23.5,23.5,23.5,23.5
26/11/15,221285.0,23.1,23.05,23.1,23.05
27/11/15,6900.0,23.0,23.0,23.0,23.0
02/12/15,115000.0,23.0,23.0,23.0,23.0
03/12/15,805000.0,23.0,23.0,23.0,23.0
04/12/15,115000.0,23.0,23.0,23.0,23.0
09/12/15,20700.0,23.0,23.0,23.0,23.0
10/12/15,416100.0,23.0,23.0,23.0,22.7
11/12/15,749280.0,23.0,22.45,23.0,22.45
14/12/15,22500.0,22.5,22.5,22.5,22.5
05/01/16,6730.0,22.5,22.4,22.5,22.4
06/01/16,22120.0,22.4,22.0,22.4,22.0
12/01/16,21630400.0,22.0,22.0,22.0,22.0
15/01/16,11000.0,22.0,22.0,22.0,22.0
18/01/16,2200.0,22.0,22.0,22.0,22.0
21/01/16,165000.0,22.0,22.0,22.0,22.0
22/01/16,220000.0,22.0,22.0,22.0,22.0
25/01/16,56680.0,21.8,21.8,21.8,21.8
16/02/16,2470.0,24.7,24.7,24.7,24.7
22/02/16,2300.0,23.0,23.0,23.0,23.0
03/03/16,2305.0,23.05,23.05,23.05,23.05
21/03/16,35630.0,25.45,25.45,25.45,25.45
22/03/16,23600.0,23.6,23.6,23.6,23.6
30/03/16,18920.0,23.65,23.65,23.65,23.65
01/04/16,2365.0,23.65,23.65,23.65,23.65
07/04/16,21330.0,23.7,23.7,23.7,23.7
12/04/16,75010000.0,25.0,25.0,25.0,25.0
13/04/16,2616160.0,25.4,25.0,26.0,25.0
14/04/16,944970.0,25.5,25.0,25.5,24.95
15/04/16,142500.0,25.0,24.5,25.0,24.5
19/04/16,5040.0,25.2,25.2,25.2,25.2
25/04/16,12250.0,24.5,24.5,24.5,24.5
26/04/16,9800.0,24.5,24.5,24.5,24.5
28/04/16,500000.0,25.0,25.0,25.0,25.0
11/05/16,168000.0,24.0,24.0,24.0,24.0
16/05/16,192000.0,24.0,24.0,24.0,24.0
17/05/16,204000.0,24.0,24.0,24.0,24.0
18/05/16,217600.0,24.0,24.2,24.2,24.0
19/05/16,113830.0,24.2,24.5,24.5,24.2
20/05/16,144200.0,24.0,24.0,24.2,24.0
23/05/16,94800.0,23.7,23.7,23.7,23.7
24/05/16,185130.0,24.0,23.7,24.0,23.7
25/05/16,28740.0,24.0,24.0,24.0,23.7
01/06/16,121000.0,24.2,24.2,24.2,24.2
10/06/16,51650.0,23.2,24.0,24.0,23.0
15/06/16,1393815.0,23.15,23.0,23.15,23.0
16/06/16,50600.0,23.0,23.0,23.0,23.0
17/06/16,27600.0,23.0,23.0,23.0,23.0
20/06/16,23000.0,23.0,23.0,23.0,23.0
21/06/16,78200.0,23.0,23.0,23.0,23.0
23/06/16,373920.0,22.8,22.8,22.8,22.8
28/06/16,22800.0,22.8,22.8,22.8,22.8
29/06/16,3618175.0,22.8,22.2,22.8,22.0
30/06/16,1756400.0,22.8,22.0,22.8,22.0
04/07/16,6137810.0,22.3,22.0,22.3,22.0
05/07/16,10379700.0,22.1,22.0,22.5,22.0
07/07/16,38737880.0,22.0,23.8,23.8,22.0
08/07/16,155685.0,23.8,22.25,23.8,22.25
11/07/16,92920.0,23.8,23.8,24.0,23.8
12/07/16,72810.0,23.1,23.5,23.5,23.1
13/07/16,136310.0,23.15,23.1,23.15,23.1
14/07/16,46200.0,23.1,23.1,23.1,23.1
