Date,Value,Open,Close,High,Low
15/07/15,5465360.0,18.2,17.9,18.2,17.9
16/07/15,6758850.0,18.0,17.9,18.0,17.9
20/07/15,5174630.0,17.9,17.9,18.0,17.9
21/07/15,4835810.0,17.9,18.4,19.1,17.9
22/07/15,5443150.0,18.4,18.6,19.1,18.4
23/07/15,1337490.0,19.0,18.88,19.0,18.6
23/07/15,1337490.0,19.0,18.88,19.0,18.6
23/07/15,1337490.0,19.0,18.88,19.0,18.6
24/07/15,772686.0,18.72,18.54,18.72,18.52
27/07/15,1419600.0,18.56,18.56,18.9,18.54
28/07/15,4567924.0,18.58,18.9,18.9,18.58
29/07/15,30319732.0,18.6,19.22,19.3,18.6
30/07/15,14193112.0,19.32,19.8,20.8,19.3
31/07/15,10282044.0,19.98,19.0,19.98,18.8
03/08/15,298912.0,19.0,19.08,19.1,19.0
04/08/15,1088602.0,19.36,19.36,19.36,19.08
05/08/15,4695658.0,19.1,19.0,19.1,19.0
06/08/15,1712986.0,19.0,19.0,19.1,19.0
07/08/15,571210.0,19.0,19.0,19.1,18.9
10/08/15,2167080.0,19.0,18.96,19.1,18.96
11/08/15,20878536.0,18.96,18.9,19.1,18.88
12/08/15,2714820.0,18.86,18.8,18.86,18.8
13/08/15,37680.0,18.84,18.84,18.84,18.84
14/08/15,152602.0,18.82,18.86,18.86,18.82
17/08/15,71674068.0,18.84,18.5,18.84,18.2
18/08/15,2323600.0,18.52,18.8,19.0,18.5
19/08/15,6729310.0,19.0,18.9,19.1,18.9
20/08/15,3992604.0,18.9,19.2,19.2,18.9
24/08/15,3524412.0,18.6,18.0,18.6,18.0
26/08/15,646096.0,18.04,18.5,18.5,18.04
27/08/15,5782740.0,18.6,18.6,18.6,18.6
28/08/15,12632642.0,18.6,18.68,18.88,18.6
01/09/15,1318068.0,18.68,18.66,18.7,18.66
02/09/15,9436596.0,18.66,18.6,18.68,18.5
03/09/15,1513060.0,18.4,18.52,18.6,18.4
04/09/15,9458070.0,18.6,18.5,18.6,18.4
07/09/15,25964152.0,18.6,18.64,18.66,18.54
08/09/15,2927060.0,18.6,18.6,18.62,18.56
09/09/15,3790810.0,18.68,18.56,18.68,18.56
10/09/15,3958990.0,14.0,14.7,14.82,14.0
11/09/15,20741808.0,14.7,16.5,16.5,14.7
14/09/15,2430346.0,17.0,16.8,17.98,16.8
15/09/15,4025692.0,17.46,17.2,17.5,16.82
15/09/15,4025692.0,17.46,17.2,17.5,16.82
15/09/15,4025692.0,17.46,17.2,17.5,16.82
16/09/15,2506334.0,17.4,17.26,17.4,16.88
17/09/15,2131896.0,17.26,17.32,17.32,17.16
18/09/15,663168.0,17.3,17.1,17.3,17.1
21/09/15,575948.0,17.1,16.8,17.1,16.8
22/09/15,1860020.0,16.98,16.7,16.98,16.5
23/09/15,2121532.0,16.8,16.66,17.1,16.6
24/09/15,2026134.0,16.68,16.68,16.72,16.68
28/09/15,2278196.0,16.7,16.6,16.7,16.58
29/09/15,278880.0,16.6,16.6,16.6,16.6
30/09/15,884902.0,16.7,16.5,16.7,16.5
01/10/15,668746.0,16.4,16.4,16.5,16.3
02/10/15,1128810.0,16.5,16.5,16.5,16.0
05/10/15,2227500.0,16.5,16.5,16.5,16.5
06/10/15,2276646.0,16.22,16.4,16.5,16.2
07/10/15,21510128.0,16.72,17.5,17.9,16.5
08/10/15,52432836.0,17.5,19.2,20.0,17.5
09/10/15,15920136.0,19.24,18.5,19.5,18.5
12/10/15,5376194.0,18.4,17.82,18.4,17.8
13/10/15,7076396.0,18.2,17.8,18.2,17.52
14/10/15,15985480.0,17.62,18.0,18.8,17.5
15/10/15,19531028.0,18.02,18.46,18.76,18.0
16/10/15,11728864.0,18.9,18.24,18.9,18.22
19/10/15,1085912.0,18.5,18.2,18.5,18.0
20/10/15,897198.0,18.02,18.28,18.28,18.02
21/10/15,3987054.0,18.42,18.3,18.72,18.3
22/10/15,4908736.0,18.3,18.54,18.68,18.3
23/10/15,3665264.0,18.4,18.42,18.54,18.4
26/10/15,3450730.0,18.6,18.58,18.72,18.5
27/10/15,4617074.0,18.6,18.6,18.68,18.46
28/10/15,19492564.0,18.86,19.04,19.48,18.6
29/10/15,4719836.0,19.12,19.0,19.12,19.0
30/10/15,1673680.0,19.0,18.78,19.0,18.6
02/11/15,3887676.0,18.74,18.28,18.74,18.1
03/11/15,16973314.0,18.3,17.9,18.3,17.9
04/11/15,2663086.0,17.9,18.16,18.4,17.9
05/11/15,1787296.0,18.2,18.0,18.2,18.0
06/11/15,1817760.0,18.0,18.24,18.28,18.0
09/11/15,1631562.0,17.9,18.02,18.02,17.9
10/11/15,2714726.0,17.92,17.92,18.14,17.92
11/11/15,1452036.0,17.96,18.0,18.0,17.94
12/11/15,1396618.0,17.8,17.9,18.0,17.8
13/11/15,2892780.0,17.8,18.0,18.0,17.8
16/11/15,2978342.0,18.0,18.0,18.0,17.6
20/11/15,1085620.0,17.7,18.0,18.0,17.7
23/11/15,708188.0,17.7,17.7,17.8,17.7
24/11/15,136290.0,17.7,17.7,17.7,17.7
25/11/15,245016.0,17.72,17.8,17.8,17.72
26/11/15,1855160.0,17.8,17.7,17.8,17.7
27/11/15,1887450.0,17.6,17.7,17.7,17.56
01/12/15,1044790.0,17.7,17.5,17.7,17.5
02/12/15,2884640.0,17.4,17.5,17.5,17.24
03/12/15,1299512.0,17.5,17.46,17.5,17.46
04/12/15,4721124.0,17.5,17.5,17.5,16.8
07/12/15,3569634.0,17.2,16.98,17.2,16.8
08/12/15,2738132.0,16.52,16.98,16.98,16.52
09/12/15,159360.00000000003,16.6,16.6,16.6,16.6
10/12/15,1474520.0,16.6,16.5,16.6,16.4
11/12/15,170920.00000000003,16.4,16.6,16.6,16.4
14/12/15,4194938.0,16.32,16.34,16.4,16.3
15/12/15,1340570.0,16.5,16.4,16.5,16.3
16/12/15,240344.0,16.6,16.76,16.76,16.6
17/12/15,400230.0,16.8,16.7,16.8,16.6
18/12/15,561710.0,16.7,16.7,16.7,16.4
21/12/15,2483278.0,16.7,16.7,16.8,16.38
22/12/15,334000.0,16.7,16.7,16.7,16.7
28/12/15,3693306.0000000005,16.7,17.0,17.0,16.7
29/12/15,942780.0,16.76,16.98,17.0,16.76
04/01/16,193160.0,16.8,16.8,16.8,16.78
05/01/16,150150.0,16.5,16.5,16.5,16.5
07/01/16,667012.0,16.52,16.5,16.52,16.48
08/01/16,687300.0,16.2,16.5,16.5,16.2
