Date,Value,Open,Close,High,Low
15/07/15,23350.0,0.305,0.29,0.305,0.29
20/07/15,30000.0,0.3,0.3,0.3,0.3
21/07/15,43850.0,0.29,0.295,0.295,0.29
22/07/15,78000.0,0.3,0.3,0.3,0.3
24/07/15,63800.0,0.29,0.29,0.29,0.29
27/07/15,8700.0,0.29,0.29,0.29,0.29
30/07/15,11400.0,0.285,0.285,0.285,0.285
31/07/15,5699.999999999999,0.285,0.285,0.285,0.285
05/08/15,141400.0,0.285,0.28,0.285,0.28
07/08/15,424100.0,0.285,0.285,0.285,0.275
10/08/15,28499.999999999996,0.285,0.285,0.285,0.285
13/08/15,8500.0,0.28,0.29,0.29,0.28
14/08/15,52350.0,0.29,0.295,0.295,0.29
17/08/15,84250.0,0.295,0.275,0.295,0.275
18/08/15,220000.0,0.275,0.275,0.275,0.275
19/08/15,30250.0,0.275,0.275,0.275,0.275
24/08/15,59700.0,0.275,0.265,0.275,0.265
25/08/15,39450.0,0.265,0.26,0.265,0.26
26/08/15,142250.0,0.25,0.241,0.25,0.23
27/08/15,132600.0,0.26,0.26,0.26,0.26
01/09/15,52000.0,0.26,0.26,0.26,0.26
02/09/15,12500.0,0.25,0.25,0.25,0.25
03/09/15,787650.0,0.275,0.245,0.275,0.245
04/09/15,10000.0,0.25,0.25,0.25,0.25
07/09/15,17950.0,0.265,0.255,0.265,0.255
08/09/15,104700.0,0.26,0.255,0.26,0.255
11/09/15,28000.0,0.255,0.25,0.255,0.25
14/09/15,67210.0,0.25,0.245,0.25,0.244
16/09/15,18200.0,0.26,0.26,0.26,0.26
17/09/15,75050.0,0.26,0.28,0.295,0.26
18/09/15,61700.0,0.28,0.3,0.3,0.28
22/09/15,287100.0,0.3,0.31,0.335,0.29
23/09/15,56450.0,0.28,0.285,0.31,0.28
24/09/15,37050.0,0.285,0.285,0.285,0.285
28/09/15,105449.99999999999,0.285,0.285,0.285,0.285
02/10/15,50950.0,0.295,0.33,0.34,0.28
05/10/15,45450.0,0.3,0.305,0.31,0.3
06/10/15,3050.0,0.305,0.305,0.305,0.305
08/10/15,48800.0,0.305,0.305,0.305,0.305
16/10/15,432350.0,0.305,0.3,0.31,0.3
20/10/15,39650.0,0.305,0.305,0.305,0.305
21/10/15,18000.0,0.3,0.3,0.3,0.3
22/10/15,120000.0,0.3,0.3,0.3,0.3
23/10/15,128000.0,0.3,0.295,0.3,0.295
27/10/15,64900.0,0.295,0.295,0.295,0.295
29/10/15,98600.0,0.29,0.29,0.29,0.29
30/10/15,57999.99999999999,0.29,0.29,0.29,0.29
04/11/15,65550.0,0.285,0.285,0.285,0.285
05/11/15,345300.0,0.28,0.28,0.28,0.265
06/11/15,1288950.0,0.275,0.245,0.275,0.245
09/11/15,5100.0,0.255,0.255,0.255,0.255
