Date,Value,Open,Close,High,Low
15/07/15,8600.0,4.2,4.4,4.4,4.2
27/07/15,1179970.0,3.81,4.39,4.39,3.6
30/07/15,158970.0,4.0,4.0,4.27,4.0
07/08/15,4000.0,4.0,4.0,4.0,4.0
10/08/15,40000.0,4.0,4.0,4.0,4.0
11/08/15,20000.0,4.0,4.0,4.0,4.0
13/08/15,8000.0,4.0,4.0,4.0,4.0
17/08/15,4000.0,4.0,4.0,4.0,4.0
18/08/15,16000.0,4.0,4.0,4.0,4.0
19/08/15,84000.0,4.0,4.0,4.0,4.0
20/08/15,148000.0,4.0,4.0,4.0,4.0
24/08/15,177450.0,4.0,3.83,4.0,3.83
03/09/15,13110.0,2.63,3.99,3.99,2.63
30/09/15,37000.0,3.7,3.7,3.7,3.7
12/10/15,23140.0,3.7,4.35,4.35,3.7
16/10/15,39010.0,4.33,4.35,4.35,4.33
20/10/15,1613240.0,4.37,4.88,5.1,4.37
21/10/15,182330.0,4.82,4.6,4.82,4.28
22/10/15,59150.0,4.2,4.5,4.5,4.2
26/10/15,157700.0,4.5,4.54,4.54,4.5
27/10/15,157040.0,4.54,4.9,4.9,4.51
28/10/15,100800.0,4.8,4.8,4.8,4.8
29/10/15,211160.0,4.9,4.81,5.0,4.8
03/11/15,212980.0,4.65,4.45,4.68,4.3
04/11/15,209550.0,3.72,4.2,4.23,3.72
05/11/15,24600.0,4.2,4.0,4.2,4.0
06/11/15,97000.0,4.0,3.8,4.0,3.8
09/11/15,220960.0,3.72,3.6,4.18,3.6
10/11/15,7200.0,3.6,3.6,3.6,3.6
11/11/15,7400.0,3.8,3.6,3.8,3.6
12/11/15,79450.0,3.25,3.4,3.4,3.2
13/11/15,6800.0,3.4,3.4,3.4,3.4
16/11/15,10200.0,3.4,3.4,3.4,3.4
17/11/15,63650.0,3.2,3.15,3.2,3.15
20/11/15,66580.0,3.18,3.17,3.18,3.17
24/11/15,3190.0,3.19,3.19,3.19,3.19
25/11/15,158500.0,3.17,3.17,3.17,3.17
27/11/15,3170.0,3.17,3.17,3.17,3.17
02/12/15,248070.0,3.17,3.07,3.17,3.07
03/12/15,82250.0,3.06,3.03,3.06,3.03
07/12/15,30000.0,3.0,3.0,3.0,3.0
18/12/15,2590.0,2.59,2.59,2.59,2.59
23/12/15,11860.0,2.96,2.97,2.97,2.96
28/12/15,16990.0,3.41,3.39,3.41,3.39
29/12/15,14800.0,3.7,3.7,3.7,3.7
07/01/16,3500.0,3.5,3.5,3.5,3.5
14/01/16,23970.0,2.97,3.0,3.0,2.97
20/01/16,2970.0,2.97,2.97,2.97,2.97
21/01/16,4500.0,2.25,2.25,2.25,2.25
02/02/16,16740.0,2.4,2.38,2.4,2.38
04/02/16,26910.000000000004,2.99,2.99,2.99,2.99
11/02/16,24400.0,2.44,2.44,2.44,2.44
12/02/16,15020.0,2.51,2.5,2.51,2.5
15/02/16,209280.0,2.97,3.19,3.43,2.97
16/02/16,19140.0,3.19,3.19,3.19,3.19
19/02/16,9590.0,3.2,3.19,3.2,3.19
22/02/16,2700.0,2.7,2.7,2.7,2.7
24/02/16,2910.0,2.91,2.91,2.91,2.91
10/03/16,33000.0,3.3,3.3,3.3,3.3
11/03/16,59260.0,3.3,3.32,3.32,3.28
14/03/16,9960.0,3.32,3.32,3.32,3.32
17/03/16,95530.0,3.1,3.34,3.34,3.1
18/03/16,120480.0,3.4,3.31,3.5,3.31
21/03/16,16720.0,3.4,3.36,3.4,3.3
22/03/16,51850.0,3.01,3.36,3.36,3.0
23/03/16,3360.0,3.36,3.36,3.36,3.36
28/03/16,212420.0,3.15,3.5,3.58,3.14
29/03/16,138910.0,3.5,3.43,3.5,3.01
31/03/16,105220.0,3.23,3.49,3.49,3.13
01/04/16,9600.0,3.2,3.2,3.2,3.2
07/04/16,48750.0,3.25,3.25,3.25,3.25
12/04/16,16250.0,3.25,3.25,3.25,3.25
13/04/16,88450.0,3.35,3.25,3.4,3.25
14/04/16,32500.0,3.25,3.25,3.25,3.25
15/04/16,6550.0,3.25,3.3,3.3,3.25
18/04/16,461400.0,3.25,3.23,3.25,3.23
19/04/16,6340.0,3.17,3.17,3.17,3.17
21/04/16,32000.0,3.2,3.2,3.2,3.2
22/04/16,15900.0,3.18,3.18,3.18,3.18
27/04/16,19680.0,3.17,3.17,3.39,3.17
29/04/16,6320.0,3.16,3.16,3.16,3.16
02/05/16,9480.0,3.16,3.16,3.16,3.16
03/05/16,31600.0,3.16,3.16,3.16,3.16
04/05/16,31600.0,3.16,3.16,3.16,3.16
05/05/16,44240.0,3.16,3.16,3.16,3.16
06/05/16,31600.0,3.16,3.16,3.16,3.16
06/05/16,31600.0,3.16,3.16,3.16,3.16
10/05/16,61950.0,3.16,3.07,3.16,3.02
13/05/16,21170.0,3.08,3.01,3.08,3.01
16/05/16,258420.0,3.05,3.1,3.73,3.05
17/05/16,108950.0,3.1,3.3,3.5,3.02
19/05/16,117470.0,3.02,3.27,3.27,3.02
25/05/16,3070.0,3.07,3.07,3.07,3.07
30/05/16,9210.0,3.07,3.07,3.07,3.07
01/06/16,30600.0,3.06,3.06,3.06,3.06
02/06/16,91800.0,3.06,3.06,3.06,3.06
06/06/16,30600.0,3.06,3.06,3.06,3.06
07/06/16,107460.0,3.06,3.01,3.1,3.0
08/06/16,88190.0,3.1,3.01,3.1,3.01
09/06/16,95730.0,3.09,3.01,3.35,3.01
10/06/16,3020.0,3.02,3.02,3.02,3.02
13/06/16,6200.0,3.1,3.1,3.1,3.1
16/06/16,30690.0,3.02,3.09,3.09,3.02
23/06/16,21420.0,3.09,3.02,3.09,3.02
24/06/16,9570.0,3.19,3.19,3.19,3.19
