Date,Value,Open,Close,High,Low
15/07/15,19659145.5,64.15,63.8,64.15,63.75
16/07/15,6557573.5,64.2,63.7,64.2,63.7
20/07/15,6243452.5,63.7,63.5,63.7,63.25
21/07/15,2985826.5,63.5,63.45,63.5,63.2
22/07/15,2991660.0,63.45,63.45,63.95,63.45
23/07/15,4108211.0,63.35,63.25,63.9,63.25
23/07/15,4108211.0,63.35,63.25,63.9,63.25
23/07/15,4108211.0,63.35,63.25,63.9,63.25
24/07/15,6589912.5,63.45,63.15,63.7,63.15
27/07/15,3911728.0,63.15,63.3,64.0,63.15
28/07/15,1682406.5,63.4,63.1,64.0,63.1
29/07/15,2113806.5,64.0,63.5,64.2,63.2
30/07/15,1178845.0,64.2,63.5,64.2,63.35
31/07/15,658742.0,64.2,63.5,64.2,63.5
03/08/15,4059656.5,65.0,64.8,65.0,64.35
04/08/15,2354546.0,64.8,64.5,64.8,64.25
05/08/15,13586205.5,64.6,65.0,65.5,64.6
06/08/15,1753587.5,65.05,65.05,66.0,65.05
07/08/15,4769115.0,65.05,64.8,65.05,64.5
10/08/15,4736059.0,64.8,63.5,64.8,63.5
11/08/15,12507463.5,63.5,62.95,64.0,62.95
12/08/15,5009198.5,62.9,62.75,62.95,62.75
13/08/15,8123242.0,62.75,62.5,62.8,62.5
14/08/15,358162.5,62.85,62.85,63.95,62.85
17/08/15,1198932.0,63.95,62.05,63.95,62.05
18/08/15,643939.5,62.05,62.05,62.5,62.0
19/08/15,8180592.0,62.0,60.8,62.3,60.6
20/08/15,1899417.0,60.8,60.8,62.0,60.8
24/08/15,39171379.5,60.8,57.05,60.8,57.05
25/08/15,5325468.0,57.05,54.0,61.0,54.0
26/08/15,7428168.0,54.0,55.2,59.5,54.0
27/08/15,7738292.0,55.8,57.0,57.6,55.8
28/08/15,6446179.5,57.95,60.0,60.0,57.0
01/09/15,30098872.5,60.0,60.0,60.0,57.0
02/09/15,2697195.5,57.1,58.95,59.5,57.0
03/09/15,3008871.5,59.0,59.3,59.7,59.0
04/09/15,2609042.0,59.3,59.0,59.3,59.0
07/09/15,1663866.5,59.0,57.5,59.0,57.4
08/09/15,31687758.5,57.5,56.9,57.5,56.9
09/09/15,3715581.0,56.9,57.1,59.0,56.9
10/09/15,1632280.5,57.0,57.15,58.0,57.0
11/09/15,703667.0,57.0,56.85,57.15,56.8
14/09/15,258712.0,56.85,56.95,58.0,56.75
15/09/15,7788888.5,56.7,55.8,56.85,55.8
15/09/15,7788888.5,56.7,55.8,56.85,55.8
15/09/15,7788888.5,56.7,55.8,56.85,55.8
16/09/15,2435754.0,57.8,55.4,57.8,55.4
17/09/15,3726399.0,55.5,55.5,55.7,55.5
18/09/15,184203411.5,55.55,53.35,57.35,52.5
21/09/15,20455442.0,53.4,53.2,53.7,53.2
22/09/15,6783484.0,53.2,52.5,54.0,52.5
23/09/15,6744749.0,52.45,52.5,53.0,52.45
24/09/15,19993216.5,52.45,50.15,52.45,50.1
28/09/15,3276054.5,51.45,50.0,51.45,50.0
29/09/15,33040912.0,50.0,49.5,50.4,49.5
30/09/15,2918625.0,51.0,49.65,51.0,49.5
01/10/15,21355605.0,49.65,49.85,51.0,49.65
02/10/15,2400395.0,49.65,49.85,50.0,49.65
05/10/15,1687110.0,49.65,49.9,50.45,49.65
06/10/15,11022625.0,50.5,50.5,52.0,50.45
07/10/15,14247716.0,50.2,51.0,51.75,50.2
08/10/15,24821734.5,51.0,51.8,52.1,51.0
09/10/15,15640581.0,52.4,54.2,54.2,51.5
12/10/15,12749888.0,54.2,52.05,54.2,52.05
13/10/15,31166972.5,52.1,52.0,53.0,52.0
14/10/15,2460566.0,52.0,51.9,52.8,51.7
15/10/15,9572584.0,51.9,52.3,52.3,51.5
16/10/15,19459356.5,52.3,53.1,53.2,52.15
19/10/15,11936367.0,53.2,53.0,53.2,52.9
20/10/15,2464184.5,53.05,53.2,53.2,52.9
21/10/15,3456483.0,53.1,54.3,54.3,53.1
22/10/15,1552086.5,54.3,54.1,54.3,53.85
23/10/15,3897257.0,54.0,54.0,54.0,53.4
26/10/15,2737695.5,54.3,54.3,54.3,53.5
27/10/15,3017226.0,54.0,53.9,54.1,52.95
28/10/15,3859038.5,54.0,54.35,54.5,54.0
29/10/15,2397841.5,54.35,54.0,54.4,54.0
30/10/15,2863935.0,53.8,53.0,53.8,52.85
02/11/15,460283.5,53.0,54.45,54.5,52.85
03/11/15,2777907.0,54.45,54.0,54.45,53.75
04/11/15,8178199.0,53.75,53.45,54.35,53.45
05/11/15,965231.5,54.4,53.5,54.4,53.4
06/11/15,12597131.5,53.3,53.5,53.5,53.2
09/11/15,6055222.0,53.5,53.2,53.7,53.2
10/11/15,6452005.0,53.2,52.5,53.25,52.5
11/11/15,8440681.5,52.5,52.35,52.7,52.1
12/11/15,246815.0,52.5,52.35,52.75,52.35
13/11/15,700829.5,52.7,51.9,52.7,51.9
16/11/15,12461048.0,51.85,50.75,51.85,50.5
17/11/15,1401088.5,50.75,50.5,51.0,50.5
20/11/15,974969.5,51.8,51.9,51.9,51.5
23/11/15,1439378.5,51.5,51.5,52.1,51.5
24/11/15,221851.5,51.9,52.1,52.1,51.5
25/11/15,3452838.5,52.15,52.25,52.4,51.95
26/11/15,202748.5,51.95,52.0,52.0,51.85
27/11/15,3751315.0,52.0,51.0,52.0,51.0
01/12/15,10235234.5,51.5,50.9,51.5,50.6
02/12/15,9912491.0,51.5,51.2,51.5,51.0
03/12/15,3664790.0,51.5,51.0,51.5,50.8
04/12/15,861712.5,51.0,50.95,51.0,50.9
07/12/15,8763211.0,51.5,51.8,52.4,51.5
08/12/15,2127114.5,51.9,51.95,52.25,51.6
09/12/15,8631314.5,52.25,50.8,52.25,50.75
10/12/15,5174.0,50.75,51.9,52.0,50.75
11/12/15,13664073.0,51.8,50.85,51.8,50.8
14/12/15,40415824.5,51.65,50.5,51.65,50.5
15/12/15,12995999.5,51.0,51.0,51.0,50.5
16/12/15,67282728.0,51.0,51.4,51.5,51.0
17/12/15,16558088.5,51.0,50.4,51.55,50.35
18/12/15,6677329.5,50.35,49.9,50.5,49.9
21/12/15,577430.0,51.4,49.6,51.4,49.6
22/12/15,1260440.0,49.6,51.4,51.4,49.6
23/12/15,2855409.5,53.0,51.4,53.0,51.4
28/12/15,1315242.0,51.3,52.2,52.2,51.0
29/12/15,2895031.0,52.2,52.0,52.2,50.7
04/01/16,884031.0,50.9,51.95,52.2,50.6
05/01/16,393129.5,51.8,51.7,51.8,51.0
06/01/16,2795924.0,51.6,51.5,51.7,51.5
07/01/16,9724442.0,51.6,51.1,51.8,51.1
08/01/16,424783.0,51.45,51.0,51.45,50.85
11/01/16,19537781.5,51.0,50.0,51.0,49.9
12/01/16,540020.0,50.0,50.0,50.5,50.0
13/01/16,2618774.5,49.9,49.55,49.9,49.5
14/01/16,5357870.0,49.45,48.35,49.45,48.25
15/01/16,705050.0,50.0,48.5,50.2,48.5
18/01/16,8010190.0,48.0,46.65,48.0,45.8
19/01/16,8192000.0,46.65,45.6,46.65,45.55
20/01/16,14688275.0,46.0,45.25,46.0,44.6
21/01/16,54761135.0,47.0,43.0,47.0,43.0
22/01/16,157415.0,43.2,45.95,45.95,43.2
25/01/16,3593225.0,45.3,46.2,47.5,45.3
26/01/16,15272030.0,46.0,45.9,46.0,45.85
27/01/16,671030.0,46.5,48.0,48.0,46.5
28/01/16,1518110.0,48.0,49.0,49.9,48.0
29/01/16,1393650.0,50.0,50.0,50.0,49.5
01/02/16,1227297.0,50.0,49.5,50.0,49.5
02/02/16,4059170.0,51.9,51.45,51.9,49.6
03/02/16,13016596.5,51.0,50.35,51.5,50.2
04/02/16,2372284.0,51.4,51.35,51.4,51.3
05/02/16,5516954.5,51.3,51.35,51.35,51.0
09/02/16,796762.5,51.0,50.25,51.0,50.25
