Date,Value,Open,Close,High,Low
29/07/15,2430076.0,9.39,9.5,9.5,9.39
31/07/15,13792.0,8.62,8.62,8.62,8.62
06/08/15,4500000.0,9.0,9.0,9.0,9.0
14/08/15,195535.0,8.81,8.65,8.81,8.65
24/08/15,87000.0,8.7,8.7,8.7,8.7
25/08/15,423850.0,8.65,8.65,8.65,8.65
01/09/15,865.0,8.65,8.65,8.65,8.65
08/09/15,1732.0,8.66,8.66,8.66,8.66
24/09/15,18765.0,8.66,9.24,9.24,8.65
30/09/15,70561.0,9.24,10.0,10.0,9.24
05/10/15,14100.0,9.4,9.4,9.4,9.4
06/10/15,2850.0,9.5,9.5,9.5,9.5
20/10/15,189950.0,9.5,9.0,9.5,9.0
21/10/15,555930.0,8.85,9.0,9.0,8.85
22/10/15,3096990.0,9.49,9.5,9.5,9.49
26/10/15,892.0,8.92,8.92,8.92,8.92
04/11/15,2703.0,9.01,9.01,9.01,9.01
05/11/15,2976750.0,9.45,9.45,9.45,9.45
16/11/15,114591.0,9.01,9.47,9.47,9.0
20/11/15,9470.0,9.47,9.47,9.47,9.47
23/11/15,21624.0,9.01,9.01,9.01,9.01
24/11/15,5211060.0,9.01,9.46,9.46,9.01
25/11/15,47700.0,9.01,9.45,9.45,9.01
26/11/15,10384.0,9.44,9.44,9.44,9.44
27/11/15,944.0,9.44,9.44,9.44,9.44
01/12/15,944.0,9.44,9.44,9.44,9.44
03/12/15,2360000.0,9.44,9.44,9.44,9.44
17/12/15,18200.0,9.1,9.1,9.1,9.1
23/12/15,47200.0,9.44,9.44,9.44,9.44
28/12/15,707647.0,9.44,8.86,9.5,8.86
29/12/15,770800.0,9.4,9.4,9.4,9.4
11/01/16,4675000.0,9.35,9.35,9.35,9.35
21/01/16,19126600.0,9.19,9.25,9.25,9.19
22/01/16,5359200.0,9.24,9.24,9.24,9.24
25/01/16,130105.0,8.86,8.85,8.86,8.85
26/01/16,35400.0,8.85,8.85,8.85,8.85
27/01/16,1350000.0,9.0,9.0,9.0,9.0
28/01/16,10800.0,9.0,9.0,9.0,9.0
12/02/16,141300.0,9.0,9.0,9.0,9.0
18/02/16,8100.0,9.0,9.0,9.0,9.0
24/02/16,8950.0,8.95,8.95,8.95,8.95
03/03/16,895.0,8.95,8.95,8.95,8.95
07/03/16,3580.0,8.95,8.95,8.95,8.95
11/03/16,8490.0,8.49,8.49,8.49,8.49
16/03/16,42800.0,8.56,8.56,8.56,8.56
23/03/16,899.0,8.99,8.99,8.99,8.99
29/03/16,2568.0,8.56,8.56,8.56,8.56
15/04/16,175000.0,8.75,8.75,8.75,8.75
25/04/16,20784.0,8.66,8.66,8.66,8.66
04/05/16,320420.0,8.66,8.66,8.66,8.66
11/05/16,1798.0,8.99,8.99,8.99,8.99
07/06/16,90835.0,8.66,8.65,8.66,8.65
14/06/16,189689.0,8.99,8.99,8.99,8.99
16/06/16,2610.0,8.7,8.7,8.7,8.7
17/06/16,29391859.0,8.7,8.99,8.99,8.1
20/06/16,824.0,8.24,8.24,8.24,8.24
21/06/16,10026240.0,8.51,8.5,8.51,8.1
30/06/16,340654.0,9.4,10.0,10.0,9.4
01/07/16,2997.0,9.99,9.99,9.99,9.99
04/07/16,1702.0,8.51,8.51,8.51,8.51
08/07/16,861.0,8.61,8.61,8.61,8.61
