Date,Value,Open,Close,High,Low
15/07/15,8000.0,0.4,0.4,0.4,0.4
24/07/15,88750.0,0.385,0.385,0.39,0.385
31/07/15,48900.0,0.38,0.37,0.38,0.37
07/08/15,40850.0,0.375,0.37,0.375,0.37
12/08/15,58750.0,0.375,0.4,0.4,0.375
14/08/15,66600.0,0.37,0.37,0.37,0.37
24/08/15,114700.0,0.37,0.37,0.37,0.37
09/09/15,52000.0,0.4,0.4,0.4,0.4
17/09/15,345800.0,0.45,0.475,0.49,0.45
18/09/15,150900.0,0.445,0.44,0.45,0.44
22/09/15,126800.0,0.44,0.43,0.44,0.43
24/09/15,77000.0,0.385,0.385,0.385,0.385
28/09/15,3850.0,0.385,0.385,0.385,0.385
30/09/15,3850.0,0.385,0.385,0.385,0.385
06/10/15,19250.0,0.385,0.385,0.385,0.385
12/10/15,12600.0,0.42,0.42,0.42,0.42
13/10/15,16800.0,0.42,0.42,0.42,0.42
14/10/15,8200.0,0.41,0.41,0.41,0.41
16/10/15,128500.0,0.42,0.48,0.495,0.42
19/10/15,90500.0,0.46,0.46,0.46,0.45
20/10/15,32400.0,0.45,0.39,0.45,0.39
21/10/15,7800.0,0.39,0.39,0.39,0.39
23/10/15,4550.0,0.455,0.455,0.455,0.455
29/10/15,249200.0,0.455,0.45,0.48,0.45
30/10/15,4500.0,0.45,0.45,0.45,0.45
02/11/15,1888650.0,0.47,0.55,0.6,0.47
03/11/15,547340.0,0.53,0.53,0.58,0.51
04/11/15,1330125.0,0.49,0.52,0.59,0.485
05/11/15,306790.0,0.52,0.51,0.55,0.49
06/11/15,127970.0,0.51,0.49,0.51,0.49
09/11/15,50600.0,0.39,0.425,0.425,0.385
10/11/15,895650.0,0.425,0.405,0.425,0.405
11/11/15,24300.0,0.405,0.405,0.405,0.405
12/11/15,12450.0,0.415,0.415,0.415,0.415
13/11/15,4050.0000000000005,0.405,0.405,0.405,0.405
20/11/15,20250.0,0.405,0.405,0.405,0.405
23/11/15,27250.0,0.475,0.45,0.475,0.45
24/11/15,28300.0,0.41,0.4,0.41,0.4
26/11/15,8000.0,0.4,0.4,0.4,0.4
27/11/15,16000.0,0.4,0.4,0.4,0.4
02/12/15,4300.0,0.43,0.43,0.43,0.43
03/12/15,181850.0,0.44,0.43,0.45,0.43
04/12/15,43500.0,0.435,0.435,0.435,0.435
07/12/15,4100.0,0.41,0.41,0.41,0.41
08/12/15,344550.0,0.44,0.43,0.445,0.41
09/12/15,8200.0,0.41,0.41,0.41,0.41
10/12/15,32800.0,0.41,0.41,0.41,0.41
11/12/15,24600.0,0.41,0.41,0.41,0.41
14/12/15,81350.0,0.41,0.405,0.41,0.405
18/12/15,123950.0,0.435,0.45,0.45,0.435
28/12/15,76950.0,0.405,0.405,0.405,0.405
29/12/15,45900.0,0.405,0.445,0.445,0.405
05/01/16,101250.0,0.405,0.405,0.405,0.405
06/01/16,40100.0,0.405,0.4,0.405,0.4
07/01/16,40000.0,0.4,0.4,0.4,0.4
08/01/16,116650.0,0.4,0.385,0.4,0.385
11/01/16,42350.0,0.385,0.385,0.385,0.385
12/01/16,3850.0,0.385,0.385,0.385,0.385
