Date,Value,Open,Close,High,Low
15/07/15,950.0,95.0,95.0,95.0,95.0
20/07/15,2850.0,95.0,95.0,95.0,95.0
21/07/15,15322.5,89.1,94.95,94.95,89.1
23/07/15,906910.0,89.0,89.0,89.0,89.0
23/07/15,906910.0,89.0,89.0,89.0,89.0
23/07/15,906910.0,89.0,89.0,89.0,89.0
24/07/15,1148552.0,89.85,89.8,89.85,89.8
27/07/15,949.5,94.95,94.95,94.95,94.95
28/07/15,12545.5,89.2,94.95,94.95,89.2
29/07/15,9490.0,94.9,94.9,94.9,94.9
30/07/15,2805.0,93.5,93.5,93.5,93.5
31/07/15,37960.0,94.9,94.9,94.9,94.9
04/08/15,18745.0,94.0,93.5,94.0,93.5
05/08/15,950.0,95.0,95.0,95.0,95.0
12/08/15,13700.0,95.0,95.0,95.0,90.0
17/08/15,9054.0,90.05,94.95,94.95,90.05
19/08/15,298809.0,93.0,91.35,93.0,90.0
20/08/15,18646.0,93.45,93.0,93.5,93.0
24/08/15,1038137.0,90.0,85.0,90.0,85.0
25/08/15,1700.0,85.0,85.0,85.0,85.0
26/08/15,935.0,93.5,93.5,93.5,93.5
28/08/15,935.0,93.5,93.5,93.5,93.5
04/09/15,569168.5,87.05,93.35,93.35,85.0
07/09/15,49555.0,93.5,93.5,93.5,93.5
10/09/15,2805.0,93.5,93.5,93.5,93.5
11/09/15,61714.5,93.5,93.95,93.95,93.5
14/09/15,304315.5,93.95,95.5,95.5,93.95
15/09/15,275850.0,95.5,95.0,95.5,93.0
15/09/15,275850.0,95.5,95.0,95.5,93.0
15/09/15,275850.0,95.5,95.0,95.5,93.0
16/09/15,278110.0,95.0,95.5,96.0,95.0
17/09/15,128215.0,95.5,96.0,96.0,95.5
18/09/15,287435.0,96.5,96.5,96.5,95.0
21/09/15,463830.0,96.5,97.5,97.5,96.5
22/09/15,1968340.0,97.5,98.0,98.5,97.0
23/09/15,491100.0,98.0,100.0,102.0,95.5
24/09/15,1142580.0,102.0,100.0,102.0,98.0
28/09/15,592340.0,102.0,104.0,104.0,101.0
29/09/15,48550.0,106.0,103.0,106.0,103.0
30/09/15,691855.0,104.0,104.0,104.0,96.5
01/10/15,398030.0,104.0,104.0,104.0,103.0
02/10/15,740550.0,104.0,104.0,105.0,104.0
05/10/15,415730.0,104.0,105.0,105.5,104.0
06/10/15,607920.0,104.0,108.0,108.0,104.0
07/10/15,643850.0,104.1,108.0,108.1,100.0
08/10/15,589830.0,108.0,108.0,108.1,107.5
09/10/15,473334.0,108.0,108.1,108.1,108.0
12/10/15,460343.0,108.1,108.1,108.1,108.0
13/10/15,122049.0,108.0,108.1,108.1,108.0
14/10/15,243012.0,108.1,108.0,108.1,108.0
15/10/15,226919.0,108.0,108.1,108.1,108.0
16/10/15,447441.0,105.0,108.1,108.1,105.0
19/10/15,387151.0,108.1,108.1,108.1,104.0
20/10/15,18907.0,100.2,108.0,108.0,100.2
21/10/15,104500.0,105.0,104.0,105.0,104.0
22/10/15,120640.0,104.0,104.0,104.0,104.0
23/10/15,17288.0,90.0,103.9,103.9,90.0
26/10/15,67920.0,101.0,103.0,104.0,101.0
27/10/15,120754.0,98.0,100.0,101.0,98.0
28/10/15,229066.0,100.1,103.9,103.9,100.0
29/10/15,1040.0,104.0,104.0,104.0,104.0
30/10/15,313117.0,102.0,104.0,104.0,102.0
02/11/15,131080.0,104.0,104.0,104.0,100.0
03/11/15,260500.0,104.0,105.0,105.0,104.0
04/11/15,7350.0,105.0,105.0,105.0,105.0
09/11/15,9045.0,104.5,100.0,104.5,100.0
10/11/15,112000.0,100.0,100.0,100.0,100.0
11/11/15,60950.0,100.0,103.9,103.9,100.0
16/11/15,112320.0,98.0,104.0,104.0,98.0
25/11/15,10300.0,103.0,103.0,103.0,103.0
01/12/15,11210.0,101.9,102.0,102.0,101.9
02/12/15,152189.0,96.05,102.0,102.0,95.0
03/12/15,25635.0,102.9,102.0,102.9,102.0
07/12/15,5145.0,102.9,102.9,102.9,102.9
10/12/15,10200.0,102.0,102.0,102.0,102.0
17/12/15,312210.0,99.5,101.0,101.0,99.0
22/12/15,1000.0,100.0,100.0,100.0,100.0
23/12/15,2990.0,99.0,100.0,100.0,99.0
28/12/15,108730.5,98.15,100.0,100.0,98.15
29/12/15,807881.5,98.15,102.9,103.0,98.15
04/01/16,2058.0,102.9,102.9,102.9,102.9
05/01/16,3087.0,102.9,102.9,102.9,102.9
06/01/16,1000.0,100.0,100.0,100.0,100.0
07/01/16,111190.0,100.0,99.0,100.0,97.0
11/01/16,184766.0,98.0,95.0,98.0,95.0
12/01/16,20513.0,96.0,98.9,98.95,96.0
13/01/16,29690.0,98.9,99.0,99.0,98.9
14/01/16,105455.0,95.05,95.0,95.05,95.0
15/01/16,11812.5,95.0,98.75,98.75,95.0
19/01/16,950.5,95.05,95.05,95.05,95.05
20/01/16,42527.0,98.9,98.9,98.9,98.9
21/01/16,71543.0,98.9,97.5,98.9,95.05
22/01/16,124900.0,96.5,95.0,96.5,95.0
25/01/16,25650.0,95.0,95.0,95.0,95.0
27/01/16,970.0,97.0,97.0,97.0,97.0
29/01/16,405523.0,94.0,97.9,103.4,93.3
03/02/16,1032.0,103.2,103.2,103.2,103.2
11/02/16,89233.0,101.5,101.4,101.5,101.4
12/02/16,98850.0,98.85,98.85,98.85,98.85
15/02/16,67171.5,97.35,97.35,97.35,97.35
16/02/16,668800.0,97.0,97.0,97.0,96.5
17/02/16,969.0,96.9,96.9,96.9,96.9
18/02/16,484500.0,96.9,96.9,96.9,96.9
19/02/16,629875.0,96.9,96.9,97.4,96.9
22/02/16,1930.0,96.0,97.0,97.0,96.0
23/02/16,98940.0,97.0,97.0,97.0,97.0
24/02/16,97498.0,97.0,102.9,102.9,97.0
26/02/16,61718.0,102.9,98.0,102.9,97.9
29/02/16,579178.5,98.0,97.85,98.0,97.85
01/03/16,11803.0,102.3,98.0,102.3,98.0
02/03/16,986.0,98.6,98.6,98.6,98.6
03/03/16,115531.0,98.6,98.3,102.1,98.3
04/03/16,103215.0,98.3,98.3,98.3,98.3
07/03/16,49000.0,98.0,98.0,98.0,98.0
08/03/16,263485.5,97.95,97.95,97.95,97.95
09/03/16,369115.0,96.55,98.0,102.0,96.5
10/03/16,771728.5,96.6,102.0,102.0,96.5
14/03/16,408824.0,101.8,102.1,102.1,101.8
15/03/16,408160.0,101.9,100.0,102.2,100.0
16/03/16,1019.0,101.9,101.9,101.9,101.9
18/03/16,360536.0,101.9,103.0,103.0,101.9
21/03/16,1226000.0,102.0,103.0,103.0,102.0
22/03/16,207030.0,103.0,103.0,103.0,103.0
23/03/16,144267.0,103.0,104.0,104.0,103.0
28/03/16,312000.0,104.0,104.0,104.0,104.0
29/03/16,14437.0,97.05,104.0,104.8,97.05
31/03/16,14000.0,100.0,100.0,100.0,100.0
01/04/16,103958.0,103.9,104.0,104.0,103.9
04/04/16,104972.0,97.2,104.0,104.0,97.2
05/04/16,1039.0,103.9,103.9,103.9,103.9
08/04/16,114180.0,103.8,103.8,103.8,103.8
12/04/16,110899.0,98.9,104.0,104.0,98.9
13/04/16,479234.0,100.0,103.9,103.9,100.0
15/04/16,5185.0,103.7,103.7,103.7,103.7
18/04/16,22727.5,98.85,103.0,103.0,98.2
19/04/16,88487.0,98.05,102.9,102.9,98.0
21/04/16,128683.0,102.9,102.9,102.9,98.0
25/04/16,1029.0,102.9,102.9,102.9,102.9
26/04/16,2058.0,102.9,102.9,102.9,102.9
28/04/16,277830.0,102.9,102.9,102.9,102.9
29/04/16,534570.0,102.9,102.9,102.9,102.0
02/05/16,2535720.0,102.0,102.0,102.0,102.0
03/05/16,2058.0,102.9,102.9,102.9,102.9
05/05/16,5145.0,102.9,102.9,102.9,102.9
06/05/16,1035.0,103.5,103.5,103.5,103.5
06/05/16,1035.0,103.5,103.5,103.5,103.5
10/05/16,16620.0,103.5,107.0,107.0,103.5
11/05/16,3180.0,106.0,106.0,106.0,106.0
12/05/16,31600.0,106.0,105.0,106.0,105.0
13/05/16,2118.0,105.9,105.9,105.9,105.9
16/05/16,1034290.0,105.8,102.9,105.8,102.9
17/05/16,155239.0,102.2,102.9,102.9,102.2
18/05/16,5120.0,102.4,102.4,102.4,102.4
19/05/16,2048.0,102.4,102.4,102.4,102.4
23/05/16,15235.0,96.3,102.4,102.4,96.3
24/05/16,2048.0,102.4,102.4,102.4,102.4
25/05/16,741327.5,98.1,102.3,102.3,98.0
30/05/16,226649.0,96.4,102.0,102.3,96.4
31/05/16,300257.0,100.0,102.2,102.2,98.05
