Date,Value,Open,Close,High,Low
15/07/15,17560.0,115.0,109.0,115.0,109.0
16/07/15,19101620.0,110.0,114.0,114.0,110.0
20/07/15,17143.0,114.0,114.9,114.9,114.0
21/07/15,18127598.0,115.0,105.0,115.0,105.0
22/07/15,20657660.0,115.0,114.0,115.0,114.0
23/07/15,3983160.0,114.0,114.0,114.0,114.0
23/07/15,3983160.0,114.0,114.0,114.0,114.0
23/07/15,3983160.0,114.0,114.0,114.0,114.0
24/07/15,463131.0,105.3,107.0,114.0,105.2
27/07/15,17572.0,107.2,110.0,110.0,107.2
28/07/15,27490.0,110.0,109.5,110.0,109.5
29/07/15,1100.0,110.0,110.0,110.0,110.0
30/07/15,111513.0,112.0,107.9,112.0,107.0
31/07/15,38500.0,110.0,110.0,110.0,110.0
03/08/15,20425.0,107.5,107.5,107.5,107.5
04/08/15,37550.0,107.5,107.0,107.5,107.0
05/08/15,315495.0,105.5,105.5,106.0,105.5
06/08/15,82905.0,105.0,103.0,105.0,103.0
07/08/15,451150.0,103.0,100.0,103.0,100.0
10/08/15,198110.0,100.0,100.2,100.2,100.0
11/08/15,27145457.0,100.3,100.0,102.0,100.0
12/08/15,332915.0,102.0,99.0,102.0,99.0
13/08/15,10080.0,108.0,100.0,108.0,100.0
14/08/15,98732.0,102.0,102.0,103.1,102.0
17/08/15,2057340.0,102.0,102.0,102.0,102.0
18/08/15,23023.0,100.1,100.1,100.1,100.1
19/08/15,836332.0,100.1,100.0,103.0,100.0
20/08/15,93277.0,102.9,98.1,102.9,98.0
24/08/15,14000.0,100.0,100.0,100.0,100.0
25/08/15,16660.0,98.0,98.0,98.0,98.0
26/08/15,30629.0,98.0,98.0,99.9,98.0
27/08/15,23980.0,100.0,100.0,100.0,98.0
28/08/15,59000.0,100.0,100.0,100.0,100.0
01/09/15,121000.0,100.0,100.0,100.0,100.0
02/09/15,22030.0,100.0,103.0,103.0,100.0
03/09/15,20282750.0,103.0,101.5,103.0,101.0
08/09/15,2119.0,105.0,106.9,106.9,105.0
14/09/15,13648.0,105.0,105.0,105.0,104.9
15/09/15,86670.0,107.0,107.0,107.0,107.0
15/09/15,86670.0,107.0,107.0,107.0,107.0
15/09/15,86670.0,107.0,107.0,107.0,107.0
16/09/15,2318690.0,107.0,107.0,107.0,107.0
17/09/15,6313000.0,107.0,107.0,107.0,107.0
18/09/15,27300.0,105.0,105.0,105.0,105.0
22/09/15,10500.0,105.0,105.0,105.0,105.0
23/09/15,231440.0,105.0,100.0,105.0,100.0
24/09/15,278095.0,104.0,96.0,104.0,85.0
28/09/15,6706.0,95.8,95.8,95.8,95.8
29/09/15,10538.0,95.8,95.8,95.8,95.8
01/10/15,113160.0,95.8,94.0,95.8,94.0
02/10/15,9057830.0,95.0,94.0,100.0,94.0
05/10/15,310987.5,94.0,92.75,94.0,92.7
06/10/15,5267022.5,90.05,89.0,90.05,89.0
07/10/15,1191540.0,90.0,88.0,90.0,88.0
08/10/15,11357640.0,88.0,88.0,90.0,88.0
09/10/15,51403.0,97.0,97.0,97.0,96.95
12/10/15,120000.0,96.0,96.0,96.0,96.0
13/10/15,252620.0,96.0,97.0,97.0,96.0
14/10/15,552800.0,96.0,97.0,97.0,96.0
15/10/15,206550.0,97.0,96.0,97.0,96.0
16/10/15,2288440.0,97.0,97.0,97.0,95.0
19/10/15,9995.0,99.95,99.95,99.95,99.95
20/10/15,101970.0,100.0,96.0,100.0,96.0
21/10/15,1000.0,100.0,100.0,100.0,100.0
23/10/15,999.0,99.9,99.9,99.9,99.9
26/10/15,4000.0,100.0,100.0,100.0,100.0
27/10/15,1056000.0,100.0,100.0,100.0,100.0
28/10/15,70188175.0,100.1,100.0,104.9,100.0
29/10/15,274113.0,100.0,102.0,102.0,100.0
30/10/15,7010.0,100.1,100.2,100.2,100.1
02/11/15,2096.0,104.8,104.8,104.8,104.8
03/11/15,15062.0,100.2,100.6,100.6,100.2
05/11/15,4108.0,104.9,100.5,104.9,100.5
06/11/15,127168.0,104.9,100.5,104.9,100.5
