Date,Value,Open,Close,High,Low
22/09/15,5000.0,100.0,100.0,100.0,100.0
23/09/15,15000.0,150.0,150.0,150.0,150.0
24/09/15,1500.0,150.0,150.0,150.0,150.0
28/09/15,1750.0,175.0,175.0,175.0,175.0
06/10/15,2420.0,120.0,122.0,122.0,120.0
07/10/15,2440.0,122.0,122.0,122.0,122.0
12/10/15,2480.0,124.0,124.0,124.0,124.0
13/10/15,1240.0,124.0,124.0,124.0,124.0
14/10/15,1220.0,122.0,122.0,122.0,122.0
17/12/15,8136180.0,122.0,122.0,122.0,122.0
21/12/15,244000.0,122.0,122.0,122.0,122.0
29/12/15,61000.0,122.0,122.0,122.0,122.0
11/01/16,2000.0,100.0,100.0,100.0,100.0
15/01/16,2400.0,120.0,120.0,120.0,120.0
07/04/16,18460.0,140.0,180.0,180.0,140.0
08/04/16,7900.0,250.0,270.0,270.0,250.0
11/04/16,43840.0,274.0,274.0,274.0,274.0
13/04/16,5480.0,274.0,274.0,274.0,274.0
22/04/16,172940.0,270.0,395.0,395.0,270.0
25/04/16,225680.0,400.0,562.0,592.5,400.0
26/04/16,43250.0,510.0,450.0,510.0,410.0
28/04/16,21700.0,310.0,310.0,310.0,310.0
29/04/16,24800.0,310.0,310.0,310.0,310.0
03/05/16,3100.0,310.0,310.0,310.0,310.0
04/05/16,3100.0,310.0,310.0,310.0,310.0
10/05/16,3560.0,356.0,356.0,356.0,356.0
17/05/16,15200.0,360.0,400.0,400.0,360.0
18/05/16,60300.0,430.0,380.0,500.0,380.0
20/05/16,48070.0,437.0,437.0,437.0,437.0
21/06/16,34400.0,310.0,410.0,410.0,310.0
22/06/16,28650.0,400.0,445.0,445.0,400.0
29/06/16,82940.0,445.0,550.0,550.0,445.0
30/06/16,60100.0,600.0,680.0,680.0,600.0
01/07/16,211180.0,669.0,680.0,800.0,669.0
