Date,Value,Open,Close,High,Low
15/07/15,1229500.0,11.7,11.9,11.9,11.7
20/07/15,119000.0,11.9,11.9,11.9,11.9
23/07/15,2380.0,11.9,11.9,11.9,11.9
23/07/15,2380.0,11.9,11.9,11.9,11.9
23/07/15,2380.0,11.9,11.9,11.9,11.9
27/07/15,10264.0,10.82,11.9,11.9,10.82
28/07/15,6840.0,11.3,11.9,11.9,11.3
29/07/15,185094.0,10.84,11.9,11.9,10.84
30/07/15,3450.0,11.5,11.5,11.5,11.5
31/07/15,246940.0,11.5,11.5,11.9,11.2
03/08/15,118380.0,11.9,11.9,11.9,11.3
04/08/15,162664.0,11.88,11.86,11.88,11.2
05/08/15,9020.0,11.2,11.8,11.8,11.2
06/08/15,23200.0,11.6,11.6,11.6,11.6
07/08/15,81420.0,11.6,11.8,11.8,11.6
11/08/15,197628.0,11.8,11.88,11.88,11.5
12/08/15,23120.0,11.42,11.7,11.7,11.42
17/08/15,33118.0,11.42,11.42,11.42,11.42
18/08/15,100708.0,11.36,11.6,11.6,11.3
19/08/15,48952.0,11.2,11.4,11.5,11.2
20/08/15,26864.0,11.68,11.68,11.68,11.68
24/08/15,86320.0,11.2,11.0,11.5,11.0
25/08/15,118800.0,11.0,11.0,11.0,11.0
26/08/15,229468.0,10.9,10.9,10.9,10.56
27/08/15,72100.0,11.0,10.6,11.0,10.6
28/08/15,71880.0,11.58,11.5,11.6,11.5
01/09/15,2300.0,11.5,11.5,11.5,11.5
02/09/15,2180.0,10.9,10.9,10.9,10.9
03/09/15,36760.0,11.5,11.3,11.5,11.3
07/09/15,2200.0,11.0,11.0,11.0,11.0
08/09/15,68752.0,10.6,11.0,11.0,10.52
09/09/15,1140.0,11.4,11.4,11.4,11.4
10/09/15,56000.0,11.3,11.3,11.3,10.8
11/09/15,56530.0,11.3,11.4,11.4,11.3
16/09/15,11300.0,11.3,11.3,11.3,11.3
18/09/15,1111200.0,11.0,11.2,11.2,11.0
21/09/15,257380.0,11.2,11.2,11.4,11.2
22/09/15,34372.0,11.4,11.38,11.4,10.82
23/09/15,7626.0,10.82,11.34,11.34,10.82
28/09/15,5670.0,11.34,11.34,11.34,11.34
29/09/15,299820.0,11.4,11.4,11.4,11.4
30/09/15,58126.0,11.38,11.4,11.4,11.38
06/10/15,214580.0,11.38,11.5,11.5,11.38
07/10/15,3450.0,11.5,11.5,11.5,11.5
08/10/15,57200.0,11.4,11.5,11.5,11.4
15/10/15,60950.0,11.5,11.5,11.5,11.5
20/10/15,56350.0,11.5,11.5,11.5,11.5
22/10/15,7980.0,11.4,11.4,11.4,11.4
23/10/15,124760.0,11.4,11.5,11.5,11.4
26/10/15,58086.0,11.06,11.48,11.48,11.06
29/10/15,436188.0,11.5,11.5,11.5,11.4
30/10/15,1358000.0,11.5,11.6,11.6,11.46
03/11/15,104700.0,11.6,11.9,11.9,11.6
04/11/15,96668.0,11.6,11.94,11.94,11.6
05/11/15,59700.0,11.94,11.94,11.94,11.94
06/11/15,59700.0,11.94,11.94,11.94,11.94
09/11/15,71640.0,11.94,11.94,11.94,11.94
10/11/15,146766.0,11.94,11.98,11.98,11.4
11/11/15,59800.00000000001,11.96,11.96,11.96,11.96
12/11/15,5700.0,11.4,11.4,11.4,11.4
13/11/15,174334.0,11.96,11.92,11.96,11.92
16/11/15,66782.0,11.94,11.8,11.96,11.8
17/11/15,11800.0,11.8,11.8,11.8,11.8
20/11/15,18322.0,11.42,11.8,11.8,11.4
24/11/15,9120.0,11.4,11.4,11.4,11.4
25/11/15,115828.0,11.68,11.7,11.7,11.68
26/11/15,11320.0,11.32,11.32,11.32,11.32
01/12/15,125810.0,11.6,11.4,11.6,11.4
02/12/15,20556.0,11.42,11.42,11.42,11.42
03/12/15,116800.0,11.68,11.68,11.68,11.68
04/12/15,2352.0,11.76,11.76,11.76,11.76
07/12/15,118340.0,11.4,11.5,11.5,11.4
08/12/15,137592.0,11.76,11.76,11.76,11.76
10/12/15,17250.0,11.5,11.5,11.5,11.5
11/12/15,2282.0,11.32,11.5,11.5,11.32
14/12/15,57500.0,11.5,11.5,11.5,11.5
17/12/15,11338.0,11.5,11.32,11.5,11.32
18/12/15,210552.0,11.24,11.5,11.6,11.2
21/12/15,119470.0,11.5,11.7,11.7,11.5
22/12/15,282600.0,11.7,11.2,11.7,11.2
23/12/15,1057182.0,11.2,11.6,11.6,11.08
28/12/15,608320.0,11.6,11.78,11.78,11.6
29/12/15,410000.0,11.5,11.8,11.8,11.5
04/01/16,230000.0,11.5,11.5,11.5,11.5
05/01/16,232708.0,11.58,11.7,11.7,11.58
06/01/16,117860.0,11.78,11.8,11.8,11.78
07/01/16,148560.0,11.7,11.6,11.7,11.6
08/01/16,327860.0,11.32,11.26,11.32,11.26
11/01/16,381100.0,11.26,11.6,11.6,11.2
13/01/16,169458.0,11.22,11.58,11.58,11.22
15/01/16,1073886.0,11.04,11.5,11.5,11.02
18/01/16,23150.0,11.0,11.5,11.5,11.0
19/01/16,168850.0,11.0,11.5,11.5,11.0
20/01/16,94430.0,11.0,11.0,11.0,10.9
21/01/16,101590.0,11.0,11.5,11.5,11.0
22/01/16,15820.0,10.8,11.5,11.5,10.8
25/01/16,8702.0,10.8,11.42,11.42,10.8
26/01/16,88550.0,11.5,11.5,11.5,11.5
27/01/16,12150.0,11.0,11.5,11.5,11.0
29/01/16,68820.0,11.1,11.5,11.5,10.94
01/02/16,34450.0,11.1,11.5,11.5,11.1
03/02/16,12410.0,11.26,11.5,11.5,11.26
05/02/16,15912.0,11.34,11.5,11.5,11.34
09/02/16,12530.0,11.38,11.5,11.5,11.38
10/02/16,23670.0,11.26,11.5,11.5,11.26
15/02/16,34140.0,11.38,11.38,11.38,11.38
16/02/16,5750.0,11.5,11.5,11.5,11.5
17/02/16,69488.0,11.28,11.48,11.48,11.14
19/02/16,11380.0,11.38,11.38,11.38,11.38
22/02/16,11260.0,11.38,11.08,11.38,11.08
23/02/16,231166.0,11.38,11.5,11.5,11.38
26/02/16,522142.0,11.2,11.5,11.5,11.2
01/03/16,664192.0,11.26,11.5,11.5,11.24
02/03/16,414000.0,11.5,11.5,11.5,11.5
03/03/16,74630.0,11.5,11.5,11.5,11.2
04/03/16,322100.0,11.5,11.5,11.54,11.5
07/03/16,711004.0,11.54,11.54,11.7,11.54
08/03/16,4680.0,11.7,11.7,11.7,11.7
09/03/16,293208.0,11.6,11.54,11.6,11.52
10/03/16,153498.0,11.6,11.54,11.6,11.52
11/03/16,271908.0,11.54,11.6,11.6,11.54
14/03/16,1570466.0,11.6,11.5,11.6,11.42
15/03/16,575180.0,11.5,11.5,11.66,11.48
16/03/16,25392.0,11.62,11.46,11.62,11.46
17/03/16,558068.0,11.46,11.5,11.56,11.46
18/03/16,151800.0,11.5,11.5,11.5,11.5
21/03/16,489996.0,11.48,11.48,11.48,11.46
22/03/16,5752.0,11.48,11.52,11.52,11.48
23/03/16,181784.0,11.52,11.52,11.52,11.5
28/03/16,11504.0,11.52,11.5,11.52,11.5
29/03/16,64434.0,11.48,11.5,11.52,11.48
30/03/16,115200.0,11.52,11.52,11.52,11.52
31/03/16,18402.0,11.52,11.5,11.52,11.5
01/04/16,115000.0,11.5,11.5,11.5,11.5
04/04/16,63302.0,11.5,11.5,11.54,11.5
05/04/16,221120.0,11.54,11.5,11.54,11.5
06/04/16,189778.0,11.54,11.54,11.54,11.5
08/04/16,523564.0,11.54,11.56,11.56,11.5
11/04/16,4872094.0,11.56,11.5,11.74,11.5
12/04/16,648824.0,11.56,11.5,11.56,11.48
13/04/16,369150.0,11.5,11.5,11.5,11.5
14/04/16,840372.0,11.5,11.56,11.64,11.5
15/04/16,506320.0,11.58,11.64,11.66,11.58
18/04/16,139080.0,11.54,11.6,11.6,11.54
19/04/16,1054218.0,11.58,11.62,11.62,11.5
20/04/16,266822.0,11.6,11.62,11.62,11.6
21/04/16,58100.0,11.62,11.62,11.62,11.62
22/04/16,252980.0,11.6,11.64,11.64,11.5
25/04/16,36002.0,11.6,11.62,11.62,11.6
26/04/16,189608.0,11.52,11.56,11.6,11.52
27/04/16,176260.0,11.54,11.6,11.6,11.54
28/04/16,318786.0,11.6,11.58,11.6,11.58
29/04/16,220680.0,11.64,11.6,11.64,11.6
04/05/16,63510.0,11.5,11.6,11.6,11.5
05/05/16,1160.0,11.6,11.6,11.6,11.6
06/05/16,11598.0,11.58,11.6,11.6,11.58
06/05/16,11598.0,11.58,11.6,11.6,11.58
10/05/16,28860.0,11.52,11.6,11.6,11.52
11/05/16,88160.0,11.6,11.6,11.6,11.6
12/05/16,10350.0,11.5,11.5,11.5,11.5
13/05/16,5786.0,11.5,11.62,11.62,11.5
16/05/16,275318.0,11.64,11.64,11.64,11.54
17/05/16,124842.0,11.64,11.56,11.64,11.54
18/05/16,13932.0,11.56,11.62,11.62,11.56
19/05/16,69580.0,11.64,11.52,11.64,11.52
20/05/16,8124.0,11.6,11.62,11.62,11.6
23/05/16,10460.0,11.62,11.64,11.64,11.62
24/05/16,18548.0,11.56,11.6,11.62,11.56
25/05/16,117364.0,11.64,11.62,11.64,11.62
26/05/16,40670.0,11.62,11.62,11.62,11.62
27/05/16,287776.0,11.62,11.62,11.62,11.6
30/05/16,9252.0,11.52,11.64,11.64,11.52
31/05/16,115422.0,11.58,11.52,11.58,11.52
01/06/16,84242.0,11.54,11.54,11.54,11.54
02/06/16,5081228.0,11.54,11.54,11.64,11.54
03/06/16,401932.0,11.56,11.64,11.64,11.54
06/06/16,75210.0,11.56,11.54,11.62,11.54
07/06/16,38086.0,11.52,11.54,11.58,11.52
08/06/16,34920.0,11.64,11.64,11.64,11.64
09/06/16,99110.0,11.54,11.52,11.54,11.52
10/06/16,38082.0,11.54,11.54,11.54,11.54
13/06/16,345700.0,11.56,11.52,11.56,11.52
14/06/16,3490.0,11.62,11.64,11.64,11.62
15/06/16,10476.0,11.64,11.64,11.64,11.64
16/06/16,11640.0,11.64,11.64,11.64,11.64
17/06/16,1164.0,11.64,11.64,11.64,11.64
20/06/16,694000.0,11.54,11.0,11.54,11.0
22/06/16,25552.0,11.6,11.64,11.64,11.6
23/06/16,2328.0,11.64,11.64,11.64,11.64
24/06/16,2204.0,11.02,11.02,11.02,11.02
27/06/16,9232.0,11.54,11.54,11.54,11.54
28/06/16,17340.0,11.56,11.56,11.56,11.56
30/06/16,4158562.0,11.14,11.14,11.14,11.14
01/07/16,2328.0,11.64,11.64,11.64,11.64
05/07/16,4504.0,11.26,11.26,11.26,11.26
07/07/16,4528.0,11.32,11.32,11.32,11.32
08/07/16,6876.0,11.46,11.46,11.46,11.46
11/07/16,13932.0,11.46,11.64,11.64,11.46
12/07/16,126554.0,11.62,11.5,11.62,11.5
