Date,Value,Open,Close,High,Low
15/07/15,759750.0,3.31,3.3,3.31,3.22
16/07/15,292370.0,3.3,3.32,3.35,3.3
20/07/15,1640800.0,3.3,3.3,3.34,3.15
21/07/15,2475460.0,3.41,3.31,3.42,3.3
22/07/15,815820.0,3.4,3.45,3.47,3.39
23/07/15,51220.0,3.44,3.42,3.44,3.4
23/07/15,51220.0,3.44,3.42,3.44,3.4
23/07/15,51220.0,3.44,3.42,3.44,3.4
24/07/15,1860330.0,3.36,3.38,3.41,3.3
27/07/15,341620.0,3.39,3.37,3.39,3.2
28/07/15,745670.0,3.31,3.4,3.44,3.31
29/07/15,1903630.0,3.4,3.41,3.49,3.32
30/07/15,1047170.0,3.4,3.4,3.43,3.39
31/07/15,200760.0,3.35,3.4,3.44,3.35
03/08/15,1276020.0,3.35,3.45,3.45,3.35
04/08/15,1733850.0,3.44,3.43,3.46,3.4
05/08/15,776020.0,3.43,3.38,3.49,3.37
06/08/15,1543550.0,3.38,3.4,3.45,3.35
07/08/15,1224510.0,3.36,3.35,3.4,3.34
10/08/15,886370.0,3.34,3.45,3.45,3.34
11/08/15,4263690.0,3.45,3.42,3.48,3.32
12/08/15,4041030.0,3.41,3.32,3.41,3.25
13/08/15,184790.0,3.32,3.32,3.36,3.25
14/08/15,267970.0,3.3,3.28,3.3,3.25
17/08/15,414210.0,3.25,3.39,3.39,3.22
18/08/15,454400.0,3.22,3.3,3.39,3.22
19/08/15,303280.0,3.21,3.3,3.35,3.21
20/08/15,285050.0,3.22,3.35,3.38,3.22
24/08/15,1007350.0,3.3,3.17,3.3,3.04
25/08/15,1396820.0,3.04,3.17,3.25,2.95
26/08/15,565780.0,3.2,3.2,3.25,3.05
27/08/15,790600.0,3.08,3.3,3.3,3.08
28/08/15,1920730.0,3.3,3.35,3.4,3.2
01/09/15,2517490.0,3.4,3.35,3.5,3.3
02/09/15,1047040.0,3.25,3.3,3.3,3.1
03/09/15,2124890.0,3.3,3.25,3.39,3.25
04/09/15,1277000.0,3.25,3.25,3.3,3.25
07/09/15,1333560.0,3.29,3.2,3.3,3.2
08/09/15,2801000.0,3.2,3.2,3.25,3.2
09/09/15,399560.0,3.18,3.2,3.2,3.18
10/09/15,1029800.0,3.15,3.2,3.2,3.15
11/09/15,1298590.0,3.2,3.2,3.2,3.19
14/09/15,568210.0,3.15,3.25,3.25,3.14
15/09/15,182270.0,3.15,3.25,3.25,3.14
15/09/15,182270.0,3.15,3.25,3.25,3.14
15/09/15,182270.0,3.15,3.25,3.25,3.14
16/09/15,194450.0,3.3,3.3,3.3,3.25
17/09/15,193730.0,3.3,3.35,3.35,3.3
18/09/15,310810.0,3.4,3.39,3.4,3.25
21/09/15,541670.0,3.25,3.39,3.39,3.25
22/09/15,295040.0,3.3,3.35,3.35,3.2
23/09/15,181850.0,3.21,3.33,3.33,3.21
24/09/15,101660.0,3.25,3.34,3.34,3.25
28/09/15,193630.0,3.2,3.34,3.34,3.2
29/09/15,115500.0,3.3,3.3,3.3,3.3
30/09/15,133180.0,3.3,3.3,3.35,3.3
01/10/15,128700.0,3.3,3.3,3.3,3.3
02/10/15,147830.0,3.2,3.33,3.33,3.2
05/10/15,1003790.0,3.25,3.39,3.39,3.25
06/10/15,378000.0,3.3,3.45,3.45,3.3
07/10/15,1010850.0,3.45,3.39,3.52,3.39
08/10/15,2271960.0,3.45,3.5,3.5,3.38
09/10/15,315700.0,3.5,3.55,3.59,3.5
12/10/15,159950.0,3.6,3.65,3.65,3.6
13/10/15,1368570.0,3.51,3.51,3.63,3.49
14/10/15,220400.0,3.5,3.5,3.5,3.48
15/10/15,138490.0,3.41,3.59,3.59,3.39
16/10/15,101860.0,3.57,3.58,3.58,3.43
19/10/15,289530.0,3.4,3.55,3.55,3.4
20/10/15,1926290.0,3.58,3.49,3.59,3.43
21/10/15,80450.0,3.49,3.5,3.5,3.49
22/10/15,437500.0,3.5,3.5,3.5,3.5
23/10/15,572270.0,3.5,3.57,3.59,3.5
26/10/15,280810.0,3.55,3.58,3.58,3.55
27/10/15,906450.0,3.55,3.58,3.58,3.55
28/10/15,1818200.0,3.6,3.75,3.75,3.6
29/10/15,802190.0,3.77,3.68,3.78,3.67
30/10/15,743250.0,3.66,3.7,3.7,3.63
02/11/15,80710.0,3.65,3.7,3.7,3.65
03/11/15,171300.0,3.65,3.65,3.65,3.6
04/11/15,490090.0,3.54,3.65,3.67,3.54
05/11/15,446840.0,3.59,3.69,3.7,3.4
06/11/15,196000.0,3.7,3.7,3.7,3.65
09/11/15,301660.0,3.68,3.69,3.7,3.5
10/11/15,551380.0,3.43,3.6,3.6,3.4
11/11/15,319420.0,3.68,3.7,3.7,3.43
12/11/15,3690.0,3.69,3.69,3.69,3.69
13/11/15,895680.0,3.69,3.65,3.69,3.65
16/11/15,324340.0,3.68,3.61,3.7,3.61
17/11/15,288810.0,3.75,3.7,3.75,3.52
20/11/15,140350.0,3.7,3.69,3.7,3.69
23/11/15,37000.0,3.7,3.7,3.7,3.7
24/11/15,209630.0,3.69,3.7,3.7,3.53
25/11/15,400600.0,3.63,3.78,3.78,3.63
26/11/15,383170.0,3.78,3.75,3.78,3.7
27/11/15,315680.0,3.7,3.7,3.75,3.7
01/12/15,22500.0,3.78,3.78,3.78,3.72
02/12/15,258170.0,3.53,3.78,3.78,3.53
03/12/15,94520.0,3.78,3.78,3.8,3.78
04/12/15,199560.0,3.8,3.78,3.8,3.63
07/12/15,456170.0,3.78,3.85,3.85,3.78
08/12/15,422970.0,3.85,3.82,3.85,3.79
09/12/15,171000.0,3.8,3.8,3.8,3.8
10/12/15,140600.0,3.8,3.8,3.8,3.8
11/12/15,36800.0,3.8,3.76,3.8,3.61
14/12/15,126690.0,3.76,3.72,3.76,3.7
15/12/15,229000.0,3.72,3.76,3.76,3.72
16/12/15,205830.0,3.72,3.75,3.75,3.72
17/12/15,258580.0,3.77,3.76,3.78,3.65
18/12/15,121230.0,3.76,3.8,3.8,3.76
21/12/15,244910.0,3.85,3.82,3.85,3.8
22/12/15,311550.0,3.65,3.85,3.85,3.65
23/12/15,160350.0,3.8,3.85,3.85,3.75
28/12/15,257250.0,3.7,3.85,3.85,3.7
29/12/15,36650.0,3.7,3.65,3.7,3.65
04/01/16,760120.0,3.7,3.8,3.85,3.7
05/01/16,498150.0,3.75,3.8,3.85,3.75
06/01/16,361420.0,3.8,3.83,3.83,3.8
07/01/16,147430.0,3.8,3.8,3.8,3.77
08/01/16,277270.0,3.79,3.8,3.8,3.6
11/01/16,502880.0,3.56,3.73,3.76,3.56
12/01/16,496280.0,3.55,3.68,3.79,3.55
13/01/16,1053970.0,3.63,3.8,3.8,3.63
14/01/16,657150.0,3.6,3.75,3.75,3.6
15/01/16,1907190.0,3.7,3.65,3.7,3.65
18/01/16,344310.0,3.7,3.56,3.7,3.55
19/01/16,8735910.0,3.56,3.65,3.65,3.54
20/01/16,789530.0,3.6,3.65,3.65,3.51
21/01/16,96100.0,3.51,3.65,3.65,3.51
22/01/16,128350.0,3.55,3.6,3.6,3.55
25/01/16,563400.0,3.52,3.6,3.6,3.52
26/01/16,316360.0,3.6,3.51,3.65,3.5
27/01/16,3603600.0,3.6,3.6,3.6,3.6
28/01/16,59250.0,3.45,3.5,3.5,3.45
29/01/16,7000.0,3.5,3.5,3.5,3.5
01/02/16,3913730.0,3.6,3.51,3.6,3.5
02/02/16,195940.0,3.6,3.52,3.6,3.51
03/02/16,144320.0,3.52,3.6,3.6,3.5
04/02/16,2217920.0,3.6,3.6,3.64,3.4
05/02/16,3790800.0,3.6,3.6,3.6,3.6
09/02/16,14400.0,3.6,3.6,3.6,3.6
10/02/16,3698310.0,3.6,3.5,3.6,3.46
11/02/16,90900.0,3.5,3.59,3.59,3.45
12/02/16,207330.0,3.56,3.55,3.56,3.5
15/02/16,4396480.0,3.6,3.66,3.71,3.59
16/02/16,17110710.0,3.7,3.7,3.7,3.63
17/02/16,2947130.0,3.7,3.75,3.75,3.7
18/02/16,5872220.0,3.75,3.75,3.75,3.73
19/02/16,2796230.0,3.73,3.75,3.75,3.62
22/02/16,1286650.0,3.65,3.65,3.7,3.55
23/02/16,516330.0,3.65,3.69,3.7,3.65
24/02/16,461250.0,3.69,3.69,3.69,3.69
26/02/16,267570.0,3.71,3.7,3.75,3.7
29/02/16,4908900.0,3.75,3.79,3.8,3.67
01/03/16,1300670.0,3.75,3.75,3.79,3.7
02/03/16,772890.0,3.75,3.79,3.79,3.75
03/03/16,10547870.0,3.79,3.85,3.94,3.79
04/03/16,923250.0,3.9,3.91,3.95,3.85
07/03/16,2334930.0,3.91,4.03,4.05,3.91
08/03/16,3283270.0,4.05,4.07,4.16,3.98
09/03/16,4380040.0,4.09,4.1,4.16,4.09
10/03/16,4387700.0,4.15,4.18,4.2,4.12
11/03/16,1287720.0,4.16,4.17,4.18,4.13
14/03/16,583120.0,4.17,4.18,4.18,4.11
15/03/16,1058060.0,4.17,4.17,4.18,4.1
16/03/16,1831630.0,4.12,4.15,4.18,4.12
17/03/16,1358710.0,4.16,4.17,4.18,4.16
18/03/16,3655720.0,4.13,4.33,4.35,4.13
21/03/16,1753940.0,4.31,4.34,4.35,4.27
22/03/16,969350.0,4.35,4.34,4.35,4.29
23/03/16,583580.0,4.32,4.34,4.34,4.29
28/03/16,643160.0,4.29,4.3,4.3,4.2
29/03/16,1949730.0,4.26,4.4,4.42,4.2
30/03/16,1570980.0,4.43,4.4,4.43,4.35
31/03/16,2202620.0,4.35,4.42,4.43,4.35
01/04/16,411040.0,4.42,4.4,4.43,4.4
04/04/16,1617500.0,4.4,4.4,4.4,4.33
05/04/16,995000.0,4.35,4.39,4.39,4.2
06/04/16,582080.0,4.35,4.34,4.35,4.22
07/04/16,4363720.0,4.22,4.34,4.34,4.22
08/04/16,553680.0,4.32,4.37,4.37,4.29
11/04/16,1734700.0,4.22,4.34,4.35,4.22
12/04/16,1097830.0,4.34,4.38,4.39,4.28
13/04/16,1275030.0,4.39,4.36,4.4,4.35
14/04/16,1579680.0,4.39,4.4,4.43,4.39
15/04/16,1390660.0,4.4,4.45,4.45,4.35
18/04/16,260850.0,4.43,4.42,4.43,4.41
19/04/16,402380.0,4.25,4.42,4.42,4.25
20/04/16,2022190.0,4.42,4.43,4.43,4.41
21/04/16,1128630.0,4.28,4.48,4.48,4.28
22/04/16,4666540.0,4.47,4.61,4.61,4.4
25/04/16,3296990.0,4.61,4.7,4.72,4.51
26/04/16,4824140.0,4.73,4.76,4.77,4.67
27/04/16,3123390.0,4.78,4.78,4.78,4.65
28/04/16,1193220.0,4.78,4.78,4.78,4.68
29/04/16,2379470.0,4.77,4.73,4.78,4.65
02/05/16,2251770.0,4.73,4.74,4.78,4.6
03/05/16,2294200.0,4.74,4.73,4.74,4.6
04/05/16,1068970.0,4.6,4.77,4.77,4.5
05/05/16,3579180.0,4.56,4.8,4.8,4.56
06/05/16,720790.0,4.8,4.82,4.82,4.75
06/05/16,720790.0,4.8,4.82,4.82,4.75
10/05/16,8174320.0,4.84,5.12,5.12,4.82
11/05/16,8938879.0,5.15,5.48,5.49,5.13
12/05/16,5834977.0,5.48,5.43,5.48,5.25
