Date,Value,Open,Close,High,Low
15/07/15,2051750.0,2.26,2.24,2.31,2.23
16/07/15,2589070.0,2.25,2.35,2.36,2.23
20/07/15,10270130.0,2.38,2.45,2.49,2.38
21/07/15,3730560.0,2.46,2.47,2.5,2.46
22/07/15,3663140.0,2.49,2.41,2.5,2.38
23/07/15,1585020.0,2.46,2.44,2.46,2.4
23/07/15,1585020.0,2.46,2.44,2.46,2.4
23/07/15,1585020.0,2.46,2.44,2.46,2.4
24/07/15,1167520.0,2.44,2.41,2.44,2.4
27/07/15,3534090.0,2.42,2.45,2.49,2.42
28/07/15,4428250.0,2.45,2.35,2.48,2.35
29/07/15,3502620.0,2.35,2.3,2.4,2.25
30/07/15,1223340.0,2.26,2.3,2.35,2.26
31/07/15,1718340.0,2.29,2.26,2.29,2.26
03/08/15,1104430.0,2.27,2.32,2.34,2.27
04/08/15,3359720.0,2.33,2.42,2.44,2.33
05/08/15,2314130.0,2.43,2.39,2.44,2.35
06/08/15,920030.0,2.41,2.39,2.41,2.37
07/08/15,774550.0,2.38,2.4,2.4,2.35
10/08/15,1630700.0,2.4,2.32,2.4,2.32
11/08/15,5325470.0,2.32,2.22,2.32,2.2
12/08/15,2621420.0,2.2,2.26,2.3,2.15
13/08/15,1277230.0,2.24,2.21,2.25,2.18
14/08/15,570520.0,2.21,2.23,2.24,2.21
17/08/15,1761280.0,2.24,2.16,2.24,2.12
18/08/15,1572000.0,2.11,2.07,2.17,2.04
19/08/15,896570.0,2.06,2.12,2.18,2.06
20/08/15,577360.0,2.18,2.13,2.18,2.11
24/08/15,2543260.0,2.12,1.96,2.12,1.96
25/08/15,679590.0,1.95,2.0,2.0,1.91
26/08/15,678350.0,2.08,2.03,2.09,2.02
27/08/15,571060.0,2.08,2.15,2.15,2.08
28/08/15,878300.0,2.14,2.14,2.15,2.09
01/09/15,508610.0,2.12,2.05,2.12,2.04
02/09/15,887680.0,2.04,2.04,2.05,2.0
03/09/15,651400.0,2.03,2.01,2.05,2.01
04/09/15,545170.0,2.03,2.02,2.04,2.02
07/09/15,546030.0,2.0,1.99,2.03,1.94
08/09/15,689600.0,1.99,1.98,2.03,1.92
09/09/15,158940.0,2.04,2.0,2.04,2.0
10/09/15,390060.0,2.0,2.0,2.01,1.99
11/09/15,437120.0,2.03,2.03,2.03,1.99
14/09/15,118899.99999999999,2.03,1.99,2.03,1.99
15/09/15,712970.0,2.03,2.01,2.09,2.0
15/09/15,712970.0,2.03,2.01,2.09,2.0
15/09/15,712970.0,2.03,2.01,2.09,2.0
16/09/15,229600.0,2.07,2.02,2.07,2.01
17/09/15,699470.0,2.01,2.0,2.01,1.98
18/09/15,609750.0,2.0,1.99,2.03,1.97
21/09/15,970910.0,1.98,1.97,1.99,1.94
22/09/15,1935000.0,1.96,1.99,2.1,1.96
23/09/15,1261340.0,2.0,1.95,2.01,1.95
24/09/15,260950.0,1.95,2.0,2.05,1.95
28/09/15,538580.0,2.03,1.96,2.03,1.96
29/09/15,752750.0,1.97,1.95,1.98,1.94
30/09/15,513020.0,1.99,1.95,1.99,1.95
01/10/15,970070.0,1.94,1.96,1.97,1.94
02/10/15,335810.0,1.98,2.0,2.01,1.94
05/10/15,551120.0,2.0,1.99,2.02,1.98
06/10/15,203150.0,1.95,1.99,2.0,1.95
07/10/15,628150.0,1.99,1.99,2.0,1.95
08/10/15,1862790.0,2.01,2.1,2.12,2.0
09/10/15,1295670.0,2.18,2.12,2.18,2.07
12/10/15,842020.0,2.13,2.01,2.13,1.99
13/10/15,1024070.0,2.0,2.05,2.05,1.99
14/10/15,1427680.0,2.06,2.02,2.06,2.01
15/10/15,438510.0,2.01,2.0,2.05,1.99
16/10/15,303120.0,2.0,2.0,2.05,2.0
19/10/15,477060.0,2.0,1.99,2.0,1.99
20/10/15,61690.0,1.99,1.99,1.99,1.99
21/10/15,173080.0,1.99,1.98,2.0,1.98
22/10/15,257080.0,1.98,1.99,2.01,1.98
23/10/15,2432300.0,1.99,2.0,2.0,1.97
26/10/15,399450.0,2.0,2.0,2.04,1.99
27/10/15,734180.0,2.01,2.0,2.01,2.0
28/10/15,1801350.0,2.0,2.0,2.02,1.99
29/10/15,392420.0,2.03,2.02,2.05,2.01
30/10/15,1089950.0,2.0,2.04,2.04,2.0
02/11/15,342110.0,2.01,2.04,2.04,2.0
