Date,Value,Open,Close,High,Low
15/07/15,1214640.0,0.64,0.63,0.64,0.63
16/07/15,696490.0,0.63,0.65,0.65,0.62
20/07/15,7220070.0,0.65,0.67,0.68,0.65
21/07/15,4629900.0,0.67,0.68,0.7,0.66
22/07/15,7572960.0,0.69,0.69,0.71,0.69
23/07/15,754020.0,0.69,0.69,0.7,0.69
23/07/15,754020.0,0.69,0.69,0.7,0.69
23/07/15,754020.0,0.69,0.69,0.7,0.69
24/07/15,4599610.0,0.69,0.7,0.71,0.68
27/07/15,1935170.0,0.72,0.7,0.72,0.69
28/07/15,1652020.0,0.68,0.67,0.7,0.67
29/07/15,1270960.0,0.67,0.69,0.7,0.67
30/07/15,1175190.0,0.68,0.67,0.68,0.66
31/07/15,953240.0,0.68,0.66,0.68,0.66
03/08/15,379700.0,0.66,0.66,0.69,0.66
04/08/15,708200.0,0.66,0.66,0.67,0.66
05/08/15,172920.0,0.66,0.66,0.66,0.66
06/08/15,797880.0,0.67,0.65,0.68,0.65
07/08/15,385830.0,0.65,0.65,0.66,0.65
10/08/15,4582170.0,0.66,0.65,0.67,0.65
11/08/15,129330.0,0.66,0.65,0.66,0.65
12/08/15,841500.0,0.65,0.64,0.65,0.64
13/08/15,801410.0,0.64,0.64,0.65,0.64
14/08/15,893980.0,0.66,0.64,0.66,0.63
17/08/15,536820.0,0.65,0.64,0.65,0.64
18/08/15,36180.0,0.63,0.63,0.64,0.63
19/08/15,1317960.0,0.63,0.63,0.63,0.63
20/08/15,231840.0,0.63,0.63,0.63,0.63
24/08/15,3159030.0,0.62,0.6,0.62,0.6
25/08/15,471410.0,0.59,0.59,0.59,0.59
26/08/15,458470.0,0.6,0.6,0.63,0.6
27/08/15,540760.0,0.6,0.62,0.63,0.6
28/08/15,157280.0,0.62,0.64,0.64,0.6
01/09/15,336560.0,0.64,0.63,0.64,0.61
02/09/15,276940.0,0.61,0.61,0.61,0.61
04/09/15,95210.0,0.62,0.61,0.62,0.61
07/09/15,183620.0,0.6,0.6,0.62,0.6
08/09/15,37600.0,0.58,0.6,0.6,0.58
09/09/15,610.0,0.61,0.61,0.61,0.61
10/09/15,90000.0,0.6,0.6,0.6,0.6
11/09/15,392520.0,0.6,0.6,0.6,0.59
14/09/15,416550.0,0.59,0.59,0.6,0.59
15/09/15,29640.0,0.59,0.6,0.6,0.58
15/09/15,29640.0,0.59,0.6,0.6,0.58
15/09/15,29640.0,0.59,0.6,0.6,0.58
16/09/15,70350.0,0.59,0.6,0.6,0.58
17/09/15,143640.0,0.58,0.6,0.6,0.58
18/09/15,223160.0,0.59,0.58,0.6,0.58
21/09/15,1746670.0,0.58,0.55,0.58,0.55
22/09/15,307770.0,0.59,0.58,0.6,0.58
23/09/15,552160.0,0.58,0.58,0.58,0.58
