Date,Value,Open,Close,High,Low
15/07/15,244956130.0,1.35,1.44,1.48,1.35
16/07/15,120666050.0,1.47,1.5,1.53,1.44
20/07/15,55374270.0,1.51,1.52,1.54,1.46
21/07/15,49981640.0,1.52,1.5,1.55,1.46
22/07/15,90579530.0,1.5,1.53,1.58,1.5
23/07/15,48959270.0,1.53,1.54,1.55,1.5
23/07/15,48959270.0,1.53,1.54,1.55,1.5
23/07/15,48959270.0,1.53,1.54,1.55,1.5
24/07/15,71014530.0,1.54,1.6,1.6,1.51
27/07/15,46946410.0,1.6,1.52,1.6,1.51
28/07/15,48520740.0,1.51,1.48,1.53,1.47
29/07/15,43561270.0,1.51,1.54,1.56,1.5
30/07/15,56078840.0,1.55,1.57,1.58,1.52
31/07/15,20717160.0,1.57,1.57,1.57,1.52
03/08/15,16767530.0,1.55,1.56,1.56,1.52
04/08/15,13106130.0,1.55,1.52,1.55,1.51
05/08/15,8641070.0,1.51,1.53,1.57,1.51
06/08/15,9176690.0,1.53,1.51,1.56,1.51
07/08/15,20811140.0,1.51,1.51,1.53,1.49
10/08/15,10683120.0,1.49,1.51,1.54,1.49
11/08/15,24006170.0,1.52,1.5,1.52,1.45
12/08/15,15663800.0,1.46,1.48,1.48,1.43
13/08/15,24734840.0,1.46,1.42,1.46,1.39
14/08/15,25428880.0,1.4,1.33,1.42,1.33
17/08/15,13563860.0,1.32,1.33,1.33,1.28
18/08/15,9253650.0,1.33,1.32,1.33,1.28
19/08/15,13657230.0,1.29,1.32,1.35,1.29
20/08/15,22236990.0,1.32,1.28,1.33,1.28
24/08/15,22088530.0,1.25,1.16,1.25,1.15
25/08/15,4143680.0,1.15,1.16,1.18,1.12
26/08/15,13041810.0,1.16,1.18,1.21,1.15
27/08/15,19916970.0,1.22,1.2,1.25,1.2
28/08/15,33235540.0,1.22,1.25,1.27,1.21
01/09/15,27513460.0,1.26,1.29,1.29,1.26
02/09/15,57468670.0,1.26,1.21,1.26,1.21
03/09/15,54781180.0,1.22,1.17,1.23,1.17
04/09/15,40424520.0,1.17,1.12,1.19,1.11
07/09/15,29556860.0,1.11,1.05,1.11,1.05
08/09/15,8376860.0,1.05,1.04,1.09,1.04
09/09/15,47361980.0,1.06,1.15,1.16,1.04
10/09/15,14655380.0,1.14,1.1,1.14,1.09
11/09/15,3589740.0,1.1,1.11,1.12,1.08
14/09/15,16193040.0,1.12,1.15,1.16,1.11
15/09/15,7116150.0,1.15,1.12,1.15,1.11
15/09/15,7116150.0,1.15,1.12,1.15,1.11
15/09/15,7116150.0,1.15,1.12,1.15,1.11
16/09/15,5223600.0,1.12,1.13,1.17,1.12
17/09/15,3210430.0,1.13,1.14,1.15,1.13
18/09/15,12787280.0,1.15,1.17,1.2,1.13
21/09/15,3519520.0,1.17,1.13,1.17,1.13
22/09/15,16326940.0,1.14,1.1,1.14,1.08
23/09/15,2576690.0,1.08,1.07,1.1,1.07
24/09/15,5291770.0,1.08,1.07,1.08,1.05
