Date,Value,Open,Close,High,Low
23/07/15,66280.0,1.28,1.3,1.3,1.28
23/07/15,66280.0,1.28,1.3,1.3,1.28
23/07/15,66280.0,1.28,1.3,1.3,1.28
30/07/15,455260.0,1.22,1.1,1.22,1.08
03/08/15,21980.0,1.1,1.08,1.1,1.08
04/08/15,18500.0,1.1,1.08,1.1,1.08
05/08/15,17500.0,1.09,1.1,1.1,1.09
10/08/15,1100.0,1.1,1.1,1.1,1.1
11/08/15,8780.0,1.1,1.09,1.1,1.09
24/08/15,5400.0,1.08,1.08,1.08,1.08
01/09/15,20520.0,1.08,1.08,1.08,1.08
09/09/15,28830.0,1.15,1.17,1.17,1.15
16/09/15,1090.0,1.09,1.09,1.09,1.09
17/09/15,21800.0,1.09,1.09,1.09,1.09
18/09/15,80540.0,1.24,1.32,1.34,1.16
21/09/15,16970.0,1.31,1.13,1.31,1.13
22/09/15,68280.0,1.3,1.37,1.4,1.16
29/09/15,36349.99999999999,1.13,1.3,1.3,1.13
05/10/15,22550.0,1.11,1.26,1.26,1.1
09/10/15,14850.0,1.11,1.25,1.25,1.11
12/10/15,76920.0,1.24,1.23,1.4,1.22
15/10/15,26460.0,1.15,1.2,1.2,1.14
16/10/15,4800.0,1.2,1.2,1.2,1.2
22/10/15,346840.0,1.19,1.28,1.28,1.18
23/10/15,12100.0,1.21,1.21,1.21,1.21
04/11/15,8330.0,1.19,1.19,1.19,1.19
05/11/15,5134180.0,1.19,1.38,1.67,1.19
06/11/15,693070.0,1.39,1.49,1.59,1.35
09/11/15,26770.0,1.53,1.49,1.53,1.39
10/11/15,167460.0,1.39,1.35,1.45,1.35
11/11/15,153530.0,1.35,1.4,1.45,1.35
12/11/15,136680.0,1.4,1.4,1.44,1.4
13/11/15,68280.0,1.27,1.22,1.35,1.22
16/11/15,280530.0,1.23,1.17,1.35,1.16
17/11/15,20190.0,1.24,1.27,1.29,1.24
20/11/15,370970.0,1.29,1.46,1.49,1.29
23/11/15,89910.0,1.45,1.44,1.45,1.29
24/11/15,27450.0,1.39,1.39,1.39,1.28
25/11/15,19040.0,1.26,1.4,1.4,1.26
26/11/15,53330.0,1.44,1.47,1.49,1.4
02/12/15,90070.0,1.27,1.4,1.41,1.26
04/12/15,54800.0,1.37,1.37,1.37,1.37
07/12/15,18360.0,1.31,1.36,1.36,1.3
08/12/15,50940.0,1.36,1.36,1.36,1.3
10/12/15,20320.0,1.27,1.27,1.27,1.27
11/12/15,149170.0,1.26,1.16,1.3,1.16
14/12/15,12650.0,1.25,1.28,1.33,1.25
15/12/15,6250.0,1.25,1.25,1.25,1.25
16/12/15,8820.0,1.26,1.26,1.26,1.26
17/12/15,130870.0,1.27,1.29,1.29,1.27
18/12/15,1290.0,1.29,1.29,1.29,1.29
21/12/15,15930.0,1.22,1.29,1.29,1.22
29/12/15,12000.0,1.2,1.2,1.2,1.2
04/01/16,38400.0,1.2,1.2,1.2,1.2
05/01/16,57340.0,1.16,1.1,1.16,1.1
06/01/16,55720.0,1.13,1.1,1.13,1.1
07/01/16,75560.0,1.1,1.06,1.1,1.06
08/01/16,22000.0,1.1,1.1,1.1,1.1
11/01/16,31840.0,1.04,1.02,1.04,1.02
12/01/16,61800.0,1.03,1.03,1.03,1.03
13/01/16,21630.0,1.03,1.03,1.03,1.03
15/01/16,11000.0,1.0,1.0,1.0,1.0
19/01/16,14250.0,0.95,0.95,0.95,0.95
20/01/16,64000.0,0.92,0.9,0.92,0.9
25/01/16,9100.0,0.91,0.91,0.91,0.91
28/01/16,9400.0,0.94,0.94,0.94,0.94
01/02/16,1900.0,0.95,0.95,0.95,0.95
04/02/16,48320.0,1.1,1.13,1.13,1.1
09/02/16,8720.0,1.09,1.09,1.09,1.09
10/02/16,33570.0,1.09,1.08,1.09,1.07
11/02/16,8860.0,1.07,1.17,1.17,1.07
15/02/16,142250.0,1.17,1.32,1.35,1.17
16/02/16,22090.0,1.28,1.35,1.47,1.28
