Date,Value,Open,Close,High,Low
15/07/15,12484700.0,1.98,2.0,2.01,1.97
16/07/15,12322020.0,2.0,2.02,2.02,1.98
20/07/15,42851070.0,2.03,2.11,2.18,2.01
21/07/15,24100130.0,2.1,2.03,2.14,2.01
22/07/15,34941390.0,2.03,2.09,2.13,2.02
23/07/15,8011250.0,2.09,2.09,2.13,2.08
23/07/15,8011250.0,2.09,2.09,2.13,2.08
23/07/15,8011250.0,2.09,2.09,2.13,2.08
24/07/15,12514240.0,2.1,2.07,2.11,2.06
27/07/15,13059700.0,2.07,2.03,2.07,2.03
28/07/15,9568770.0,2.04,2.04,2.08,2.0
29/07/15,4492820.0,2.05,2.08,2.1,2.05
30/07/15,2138150.0,2.07,2.07,2.07,2.05
31/07/15,14474730.0,2.08,2.11,2.14,2.05
03/08/15,7370470.0,2.1,2.1,2.14,2.08
04/08/15,6696260.0,2.1,2.07,2.11,2.07
05/08/15,2823810.0,2.07,2.06,2.1,2.04
06/08/15,1802480.0,2.08,2.06,2.08,2.05
07/08/15,3930290.0,2.06,2.06,2.07,2.04
10/08/15,1242000.0,2.06,2.06,2.07,2.05
11/08/15,75644670.0,2.08,2.35,2.35,2.07
12/08/15,53308510.0,2.4,2.32,2.45,2.32
14/08/15,113989640.0,2.4,2.26,2.54,2.26
17/08/15,41341850.0,2.3,2.09,2.3,2.09
18/08/15,22542510.0,2.08,2.0,2.12,1.97
19/08/15,24664310.0,1.98,2.03,2.05,1.9
20/08/15,11123060.0,2.04,1.91,2.04,1.9
24/08/15,19078330.0,1.82,1.62,1.82,1.59
25/08/15,6485400.0,1.54,1.62,1.65,1.54
26/08/15,26468450.0,1.66,1.83,1.86,1.63
27/08/15,27876960.0,1.89,1.8,1.92,1.8
28/08/15,4563470.0,1.83,1.76,1.83,1.76
01/09/15,5532270.0,1.83,1.79,1.9,1.77
02/09/15,2944460.0,1.78,1.79,1.79,1.71
03/09/15,1630040.0,1.78,1.78,1.83,1.78
04/09/15,2887520.0,1.76,1.75,1.8,1.75
07/09/15,4537680.0,1.74,1.7,1.74,1.68
08/09/15,2029980.0,1.7,1.74,1.76,1.7
09/09/15,1805960.0,1.74,1.75,1.79,1.74
10/09/15,2835480.0,1.75,1.69,1.76,1.68
11/09/15,1763440.0,1.69,1.72,1.72,1.69
14/09/15,4344360.0,1.73,1.76,1.8,1.72
15/09/15,1491080.0,1.76,1.79,1.82,1.75
15/09/15,1491080.0,1.76,1.79,1.82,1.75
15/09/15,1491080.0,1.76,1.79,1.82,1.75
16/09/15,4150050.0,1.79,1.79,1.82,1.75
17/09/15,2521890.0,1.78,1.77,1.78,1.76
18/09/15,6949340.0,1.77,1.72,1.8,1.7
21/09/15,2889600.0,1.72,1.71,1.75,1.7
22/09/15,4298510.0,1.76,1.71,1.76,1.7
23/09/15,966050.0,1.71,1.72,1.75,1.7
24/09/15,313810.0,1.76,1.73,1.76,1.72
28/09/15,7636020.0,1.71,1.72,1.74,1.71
29/09/15,1113690.0,1.73,1.74,1.78,1.72
30/09/15,2255270.0,1.72,1.72,1.73,1.72
01/10/15,2484510.0,1.73,1.73,1.75,1.71
02/10/15,46133100.0,1.74,1.95,1.95,1.72
05/10/15,27498230.0,1.97,1.95,2.07,1.95
06/10/15,5814190.0,1.94,1.93,1.97,1.88
07/10/15,8969590.0,1.92,1.96,2.05,1.92
08/10/15,5972930.0,1.96,1.96,1.99,1.94
09/10/15,31878050.0,1.96,1.94,2.05,1.92
12/10/15,3657280.0,1.94,1.92,1.98,1.92
13/10/15,1852320.0,1.94,1.95,1.96,1.91
14/10/15,2305720.0,1.95,1.94,1.96,1.93
15/10/15,5789700.0,1.94,1.98,2.01,1.92
16/10/15,4710600.0,1.98,1.98,2.02,1.96
19/10/15,13978160.0,1.95,2.03,2.05,1.95
20/10/15,51763940.0,2.05,1.97,2.15,1.96
21/10/15,8721010.0,2.05,1.99,2.06,1.98
22/10/15,9324130.0,2.0,1.95,2.0,1.95
23/10/15,11613690.0,1.95,1.92,1.98,1.9
26/10/15,1982630.0,1.92,1.95,1.96,1.92
27/10/15,947160.0,1.96,1.95,1.96,1.92
28/10/15,1757750.0,1.94,1.9,1.94,1.9
29/10/15,2177090.0,1.9,1.92,1.93,1.9
30/10/15,1079410.0,1.9,1.93,1.93,1.9
02/11/15,1624250.0,1.94,1.95,1.97,1.94
03/11/15,730120.0,1.95,1.95,1.96,1.93
04/11/15,1872820.0,1.96,1.98,2.0,1.96
05/11/15,1168490.0,1.98,1.95,1.98,1.94
06/11/15,1459140.0,1.94,1.96,1.96,1.94
09/11/15,1469770.0,1.93,1.93,1.97,1.93
10/11/15,754730.0,1.92,1.9,1.95,1.9
11/11/15,920640.0,1.9,1.91,1.95,1.9
12/11/15,5010120.0,1.91,1.9,1.92,1.9
13/11/15,6846840.0,1.9,1.84,1.91,1.8
16/11/15,17285960.0,1.83,1.76,1.83,1.76
17/11/15,3547480.0,1.77,1.76,1.81,1.76
20/11/15,367970.0,1.82,1.79,1.83,1.79
23/11/15,898090.0,1.8,1.8,1.83,1.8
24/11/15,2259150.0,1.8,1.78,1.8,1.76
25/11/15,1162030.0,1.77,1.78,1.79,1.77
26/11/15,501720.0,1.78,1.77,1.79,1.77
27/11/15,605630.0,1.78,1.77,1.78,1.77
01/12/15,3090940.0,1.77,1.77,1.78,1.76
02/12/15,1638140.0,1.76,1.77,1.78,1.76
03/12/15,380960.0,1.77,1.8,1.8,1.77
04/12/15,275390.0,1.77,1.78,1.78,1.77
07/12/15,927620.0,1.77,1.78,1.78,1.76
08/12/15,577250.0,1.77,1.79,1.8,1.77
09/12/15,145200.0,1.78,1.77,1.78,1.77
10/12/15,296030.0,1.77,1.76,1.77,1.76
11/12/15,1270000.0,1.77,1.81,1.81,1.77
14/12/15,841100.0,1.81,1.82,1.82,1.79
15/12/15,10344430.0,1.83,1.91,1.93,1.83
16/12/15,4892280.0,1.91,1.9,1.94,1.87
17/12/15,1401510.0,1.91,1.88,1.92,1.85
18/12/15,2465990.0,1.88,1.88,1.88,1.84
21/12/15,488710.0,1.84,1.84,1.84,1.82
22/12/15,773380.0,1.84,1.86,1.89,1.83
23/12/15,424360.0,1.86,1.86,1.87,1.86
28/12/15,681180.0,1.86,1.83,1.88,1.83
29/12/15,1308190.0,1.83,1.83,1.87,1.83
04/01/16,270840.0,1.83,1.83,1.83,1.83
05/01/16,387000.0,1.8,1.83,1.84,1.79
06/01/16,1316040.0,1.83,1.81,1.83,1.81
07/01/16,2469840.0,1.81,1.79,1.81,1.79
08/01/16,6789120.0,1.77,1.78,1.8,1.75
11/01/16,4157740.0,1.75,1.71,1.75,1.7
12/01/16,266630.0,1.71,1.71,1.75,1.7
13/01/16,1783130.0,1.71,1.74,1.74,1.7
14/01/16,1188800.0,1.7,1.71,1.73,1.7
15/01/16,79240.0,1.71,1.73,1.73,1.71
18/01/16,755980.0,1.71,1.7,1.71,1.68
19/01/16,3424380.0,1.71,1.85,1.92,1.71
20/01/16,2627350.0,1.85,1.88,1.9,1.81
21/01/16,1282100.0,1.87,1.87,1.87,1.86
22/01/16,7513300.0,1.87,1.96,1.98,1.84
25/01/16,10117760.0,1.98,1.99,2.02,1.98
26/01/16,4041590.0,2.0,1.95,2.0,1.92
27/01/16,4276400.0,1.93,1.94,1.99,1.91
28/01/16,3217470.0,1.94,1.96,1.97,1.91
29/01/16,2880020.0,1.91,1.94,2.0,1.91
01/02/16,11781980.0,1.93,2.05,2.05,1.93
02/02/16,28027710.0,2.07,2.03,2.14,2.01
03/02/16,2996090.0,2.0,2.02,2.03,1.99
04/02/16,3864380.0,2.01,2.02,2.04,2.01
05/02/16,4437830.0,2.01,2.04,2.08,2.01
09/02/16,1448320.0,2.01,2.04,2.04,2.01
10/02/16,2550380.0,2.04,2.03,2.04,2.02
11/02/16,2458750.0,2.02,2.01,2.06,2.01
12/02/16,6267640.0,2.01,2.03,2.03,1.97
