Date,Value,Open,Close,High,Low
15/07/15,726324.0,7.29,7.37,7.37,7.29
20/07/15,188828.0,7.37,7.38,7.38,7.37
21/07/15,1476.0,7.38,7.38,7.38,7.38
23/07/15,104270.0,7.24,7.38,7.38,7.24
23/07/15,104270.0,7.24,7.38,7.38,7.24
23/07/15,104270.0,7.24,7.38,7.38,7.24
24/07/15,59396.0,7.38,7.38,7.38,7.24
27/07/15,382530.0,7.25,7.28,7.28,7.23
28/07/15,143003.0,7.3,7.37,7.37,7.3
29/07/15,86434.0,7.28,7.26,7.28,7.26
30/07/15,170990.0,7.25,7.24,7.25,7.24
31/07/15,259922.0,7.23,7.37,7.37,7.23
03/08/15,156976.0,7.24,7.37,7.39,7.23
05/08/15,3014384.0,7.38,7.65,7.68,7.38
06/08/15,3430998.0,7.68,7.54,7.83,7.54
07/08/15,559993.0,7.53,7.38,7.53,7.38
10/08/15,242910.0,7.37,7.35,7.38,7.35
11/08/15,913481.0,7.35,7.31,7.35,7.3
12/08/15,140449.0,7.31,7.5,7.5,7.3
17/08/15,857152.0,7.51,7.31,7.52,7.3
18/08/15,1227300.0,7.31,7.3,7.31,7.3
19/08/15,343950.0,7.38,7.35,7.41,7.35
20/08/15,182284.0,7.36,7.35,7.36,7.35
24/08/15,1595580.0,7.31,7.31,7.32,7.29
25/08/15,478709.0,7.31,7.3,7.31,7.29
27/08/15,119634.0,7.37,7.41,7.41,7.37
28/08/15,10374.0,7.41,7.41,7.41,7.41
01/09/15,18501.0,7.4,7.41,7.41,7.4
08/09/15,1476467.0,7.35,7.44,7.44,7.33
09/09/15,2536918.0,7.44,7.5,7.61,7.42
10/09/15,154092.0,7.38,7.37,7.5,7.37
11/09/15,123339.0,7.37,7.5,7.65,7.37
14/09/15,783725.0,7.38,7.58,7.59,7.38
16/09/15,3032239.0,7.5,7.75,7.76,7.5
17/09/15,2459205.0,7.77,7.87,7.87,7.77
18/09/15,1805058.0,7.88,7.89,7.89,7.83
21/09/15,2632846.0,7.9,8.0,8.0,7.9
22/09/15,7260473.0,8.0,7.98,8.01,7.98
23/09/15,8721126.0,8.02,8.5,8.5,8.02
24/09/15,30680878.0,8.7,8.35,9.44,8.32
28/09/15,9808461.0,8.1,7.97,8.24,7.66
29/09/15,2350487.0,8.0,7.69,8.0,7.69
30/09/15,3544055.0,7.9,7.7,8.38,7.7
01/10/15,1934641.0,7.8,7.75,7.83,7.7
02/10/15,450793.0,7.74,7.71,8.0,7.7
05/10/15,172563.0,7.71,7.71,7.94,7.7
06/10/15,681393.0,7.88,7.85,7.9,7.7
07/10/15,1515338.0,7.81,7.72,7.88,7.7
08/10/15,774465.0,7.8,7.71,7.85,7.71
09/10/15,3013971.0,7.71,7.7,7.8,7.68
12/10/15,834259.0,7.85,7.85,7.98,7.85
13/10/15,1700558.0,7.85,7.95,7.95,7.8
14/10/15,2485075.0,7.98,8.15,8.26,7.95
15/10/15,996745.0,8.2,8.16,8.2,8.0
16/10/15,767791.0,8.18,8.2,8.3,8.01
19/10/15,188225.0,8.0,8.1,8.1,8.0
20/10/15,1785536.0,8.17,8.35,8.35,8.17
21/10/15,2694383.0,8.38,8.54,8.62,8.38
22/10/15,1197506.0,8.54,8.63,8.63,8.5
23/10/15,1781501.0,8.63,8.66,8.67,8.63
26/10/15,1002821.0,8.64,8.43,8.64,8.35
27/10/15,193130.0,8.43,8.48,8.48,8.4
28/10/15,1178830.0,8.4,8.45,8.48,8.4
29/10/15,1641140.0,8.45,8.42,8.48,8.4
30/10/15,509792.0,8.4,8.42,8.45,8.4
02/11/15,64986.0,8.48,8.45,8.48,8.4
03/11/15,110880.0,8.4,8.4,8.4,8.4
04/11/15,41165.0,8.4,8.41,8.41,8.4
05/11/15,689358.0,8.43,8.45,8.45,8.4
06/11/15,216610.0,8.4,8.4,8.49,8.4
09/11/15,205000.0,8.4,8.4,8.41,8.4
10/11/15,3871754.0,8.4,8.4,8.4,8.37
11/11/15,617112.0,8.45,8.41,8.52,8.4
12/11/15,33920.0,8.48,8.48,8.48,8.48
13/11/15,116312.0,8.49,8.49,8.49,8.4
