Date,Value,Open,Close,High,Low
15/07/15,3334450.0,2.73,2.66,2.79,2.65
16/07/15,2417360.0,2.66,2.76,2.78,2.61
20/07/15,8987640.0,2.77,3.1,3.1,2.67
21/07/15,15186100.0,3.1,3.13,3.27,2.98
22/07/15,7098410.0,3.18,3.1,3.29,3.1
23/07/15,4142960.0,3.08,3.18,3.22,3.05
23/07/15,4142960.0,3.08,3.18,3.22,3.05
23/07/15,4142960.0,3.08,3.18,3.22,3.05
24/07/15,27223220.0,3.19,3.49,3.63,3.19
27/07/15,36796270.0,3.61,3.65,4.0,3.6
28/07/15,15818130.0,3.65,3.44,3.72,3.43
29/07/15,8378160.0,3.5,3.65,3.69,3.44
30/07/15,20032920.0,3.68,3.82,3.82,3.67
31/07/15,57141690.0,3.95,3.89,4.08,3.87
03/08/15,7195920.0,3.9,3.87,3.95,3.83
04/08/15,29207310.0,3.88,4.07,4.07,3.86
05/08/15,21789720.0,4.09,3.98,4.16,3.94
06/08/15,29889370.0,4.04,3.65,4.05,3.65
07/08/15,12430030.0,3.69,3.61,3.75,3.51
10/08/15,8314540.0,3.72,3.7,3.83,3.64
11/08/15,11639920.0,3.7,3.53,3.7,3.45
12/08/15,10428120.0,3.6,3.53,3.61,3.3
13/08/15,9729410.0,3.59,3.68,3.75,3.59
14/08/15,8630820.0,3.68,3.66,3.79,3.52
17/08/15,28390490.0,2.49,2.65,2.8,2.2
18/08/15,7713080.0,2.64,2.73,2.75,2.6
19/08/15,3506080.0,2.76,2.65,2.76,2.64
20/08/15,2678010.0,2.69,2.6,2.69,2.55
24/08/15,8608990.0,2.49,2.31,2.49,2.3
25/08/15,976490.0,2.22,2.32,2.37,2.2
26/08/15,2631170.0,2.32,2.48,2.5,2.32
27/08/15,2734230.0,2.5,2.45,2.58,2.4
28/08/15,1605120.0,2.5,2.38,2.58,2.36
01/09/15,677280.0,2.38,2.35,2.4,2.32
02/09/15,723510.0,2.3,2.37,2.44,2.3
03/09/15,683890.0,2.41,2.4,2.45,2.35
