Date,Value,Open,Close,High,Low
15/07/15,133302180.0,36.0,35.5,36.9,35.5
16/07/15,96418315.0,35.75,35.8,36.0,35.75
20/07/15,34551420.0,36.0,36.0,36.2,35.9
21/07/15,74624065.0,36.0,36.0,36.25,35.9
22/07/15,108022360.0,36.5,36.2,36.5,36.1
23/07/15,80461560.0,36.5,37.8,37.9,36.4
23/07/15,80461560.0,36.5,37.8,37.9,36.4
23/07/15,80461560.0,36.5,37.8,37.9,36.4
24/07/15,26695520.0,37.8,37.5,37.8,37.0
27/07/15,68810580.0,37.05,37.5,37.85,37.05
28/07/15,43368265.0,37.7,37.1,37.7,37.05
29/07/15,69022490.0,37.15,37.35,37.6,37.15
30/07/15,115363735.0,37.35,37.3,37.65,37.15
31/07/15,52475840.0,37.3,37.0,37.35,36.9
03/08/15,56268250.0,37.05,36.9,37.3,36.8
04/08/15,24983680.0,36.9,36.85,36.95,36.8
05/08/15,175908405.0,36.95,38.0,38.35,36.95
06/08/15,145667360.0,38.0,38.0,38.35,38.0
07/08/15,31959805.0,38.4,37.85,38.4,37.3
10/08/15,42411695.0,37.9,37.75,38.05,37.4
11/08/15,50582250.0,37.8,37.85,37.9,37.2
12/08/15,151444145.0,37.85,37.75,38.1,37.05
13/08/15,68735105.0,37.5,36.5,37.7,36.4
14/08/15,26408500.0,36.5,36.35,37.0,36.0
17/08/15,38033455.0,36.35,35.5,36.4,35.5
18/08/15,97782465.0,35.35,34.2,35.6,34.2
19/08/15,118341420.0,34.05,34.0,34.2,33.8
20/08/15,54085890.0,34.05,33.95,34.3,33.9
24/08/15,255526880.0,33.1,30.0,33.1,29.8
25/08/15,82678815.0,30.0,30.6,31.5,30.0
26/08/15,134856060.0,31.1,30.7,32.0,30.5
27/08/15,84826335.0,31.4,31.3,32.2,31.05
28/08/15,62936605.0,32.0,31.7,32.4,31.5
01/09/15,95505090.0,32.05,32.0,32.2,31.6
02/09/15,27407365.0,31.5,31.5,31.9,30.9
03/09/15,46653195.0,31.9,32.5,32.6,31.9
04/09/15,84561165.0,32.75,32.4,32.9,32.3
07/09/15,66615400.0,32.85,32.0,32.85,31.7
08/09/15,120947325.0,32.7,32.6,32.9,32.3
09/09/15,131961550.0,32.9,31.7,33.0,31.6
10/09/15,67350710.0,31.7,31.1,31.95,31.05
11/09/15,95790640.0,31.6,31.3,32.0,31.2
14/09/15,64109720.0,32.0,32.0,32.0,31.3
15/09/15,74467960.0,32.2,31.95,32.45,31.75
15/09/15,74467960.0,32.2,31.95,32.45,31.75
15/09/15,74467960.0,32.2,31.95,32.45,31.75
16/09/15,16788070.0,32.5,32.15,32.5,32.0
17/09/15,125648495.0,32.15,32.0,32.3,31.9
18/09/15,35570410.0,32.15,31.65,32.2,31.65
21/09/15,10153900.0,31.85,31.8,31.9,31.55
22/09/15,61951905.0,31.6,31.3,31.9,31.3
23/09/15,56715495.0,31.2,30.8,31.65,30.5
24/09/15,42475195.0,31.0,30.8,31.1,30.6
28/09/15,18849805.0,31.2,31.5,32.0,31.2
29/09/15,18941970.0,31.5,31.5,31.7,31.1
30/09/15,53246810.0,31.6,31.0,31.7,31.0
01/10/15,47734520.0,31.0,31.15,31.45,31.0
02/10/15,24802890.0,31.3,31.5,31.8,31.3
05/10/15,15533980.0,31.65,31.7,32.0,31.6
06/10/15,63842030.0,31.8,32.05,32.4,31.8
07/10/15,51790915.0,32.3,32.0,32.5,32.0
08/10/15,75930560.0,32.3,32.3,32.65,32.15
09/10/15,55250775.0,32.5,32.65,32.8,32.5
12/10/15,22944030.0,32.8,33.1,33.2,32.65
13/10/15,43363590.0,33.2,33.45,33.5,33.15
14/10/15,69235365.0,33.4,33.4,33.55,32.9
15/10/15,79729615.0,33.45,33.4,33.7,33.3
16/10/15,56240745.0,33.5,32.8,33.75,32.8
19/10/15,96939775.0,33.4,33.55,33.65,33.3
20/10/15,147324115.0,33.55,34.8,35.5,33.55
21/10/15,190640225.0,35.0,35.15,35.5,35.0
22/10/15,38133160.0,35.2,35.95,36.0,34.9
23/10/15,95648330.0,35.9,35.95,36.25,35.9
26/10/15,175462775.0,36.2,36.25,36.5,36.1
27/10/15,20423635.0,36.3,36.2,36.5,35.8
28/10/15,52950200.0,36.25,36.0,36.25,35.9
29/10/15,79725260.0,36.0,35.95,36.1,35.9
30/10/15,85200660.0,35.95,36.0,36.05,35.9
02/11/15,81986335.0,36.0,36.05,36.25,36.0
03/11/15,158896345.0,36.0,35.9,36.2,35.85
04/11/15,38518215.0,36.5,36.0,36.5,35.85
05/11/15,63130375.0,36.0,35.1,36.0,35.1
06/11/15,75861700.0,35.4,35.15,35.4,35.0
09/11/15,41418510.0,35.1,34.75,35.15,34.3
10/11/15,5785120.0,34.65,34.5,34.65,34.0
11/11/15,36053495.0,34.5,34.0,34.65,34.0
12/11/15,69782075.0,33.9,33.1,33.9,33.0
13/11/15,68434755.0,33.05,31.25,33.15,31.25
16/11/15,46176110.0,31.8,31.3,32.0,31.25
17/11/15,128516960.0,31.3,31.75,32.05,31.2
20/11/15,44577710.0,32.05,32.55,33.0,32.05
23/11/15,155354350.0,32.75,34.05,34.5,32.75
24/11/15,15632540.0,34.1,34.3,34.4,34.0
25/11/15,135385790.0,34.3,34.55,34.7,34.25
26/11/15,97421440.0,34.7,34.55,34.8,34.4
27/11/15,6508430.0,34.75,34.4,34.75,34.2
01/12/15,375083970.0,34.7,34.7,34.95,34.65
02/12/15,3817490.0,34.7,34.2,34.7,34.2
03/12/15,3197005.0,34.35,33.3,34.5,33.3
04/12/15,163407899.99999997,34.0,33.3,34.0,33.2
07/12/15,41229560.0,33.2,33.85,34.7,33.2
08/12/15,66590140.0,33.85,34.0,34.25,33.35
09/12/15,111755655.0,34.0,34.0,34.1,33.9
10/12/15,330718305.0,33.95,34.0,34.0,33.9
11/12/15,5105465.0,34.0,33.75,34.1,33.6
14/12/15,18793410.0,33.75,33.4,33.75,33.1
15/12/15,10855380.0,33.55,33.45,33.9,33.4
16/12/15,35717780.0,33.6,33.55,33.65,33.45
17/12/15,52716900.0,33.55,34.25,34.4,33.55
18/12/15,27801700.0,34.25,34.2,34.4,34.0
21/12/15,26247890.0,34.3,34.3,34.45,34.2
22/12/15,30391045.0,34.3,34.3,34.35,34.0
23/12/15,45824795.0,34.3,34.7,34.7,34.0
28/12/15,39189440.0,34.7,34.3,34.7,34.2
29/12/15,61358650.0,34.55,34.7,34.7,34.35
04/01/16,31013905.0,34.7,34.2,34.7,34.2
05/01/16,13512865.0,34.1,33.8,34.1,33.5
06/01/16,26141725.0,33.7,33.65,33.8,33.6
07/01/16,45403635.0,33.7,33.45,33.75,33.4
08/01/16,75086240.0,33.3,33.0,33.3,32.8
11/01/16,131648730.0,32.8,30.5,33.0,30.4
12/01/16,60210935.0,30.5,30.75,32.0,30.5
13/01/16,43070325.0,31.35,32.0,32.2,31.35
14/01/16,20584870.0,32.0,31.8,32.0,31.8
15/01/16,25852165.0,31.9,31.95,32.1,31.9
18/01/16,70224670.0,31.0,32.3,33.5,31.0
19/01/16,12257690.0,32.3,33.35,33.5,32.3
20/01/16,35937280.0,33.35,33.7,34.3,33.35
21/01/16,51778595.0,33.7,33.5,33.7,33.35
22/01/16,14796745.0,33.45,32.85,33.8,32.8
25/01/16,17235055.0,33.0,33.05,33.3,32.9
26/01/16,34043950.0,33.05,33.05,33.1,32.7
27/01/16,32348600.0,33.2,33.6,33.7,33.2
28/01/16,31965730.0,33.6,33.1,33.6,32.8
29/01/16,49356445.0,33.2,33.0,33.75,33.0
01/02/16,56929305.0,33.75,33.8,33.85,33.5
02/02/16,40637965.0,33.8,33.85,33.95,33.8
03/02/16,34815230.0,33.8,33.5,33.8,33.0
04/02/16,13936720.0,33.5,33.65,33.95,33.5
05/02/16,50383690.0,33.95,33.85,33.95,33.3
09/02/16,18610715.0,33.5,33.4,33.65,33.1
10/02/16,85842525.0,33.05,33.15,33.35,33.05
11/02/16,21348890.0,33.3,33.3,33.85,33.2
12/02/16,19012640.0,33.3,33.15,33.4,33.15
15/02/16,31954985.0,33.2,33.3,33.7,33.2
16/02/16,6138335.0,33.3,33.7,33.8,33.3
17/02/16,238228915.0,33.8,34.2,34.4,33.8
18/02/16,116764320.0,34.3,34.5,34.7,34.3
19/02/16,38442265.0,34.5,34.1,34.5,33.9
22/02/16,22255915.0,34.15,34.15,34.25,34.1
23/02/16,41885155.0,34.15,34.2,34.5,34.15
24/02/16,126931030.0,34.2,33.6,34.3,33.6
26/02/16,68243375.0,33.6,33.75,34.1,33.6
29/02/16,72862565.0,34.0,34.0,34.1,33.7
01/03/16,201525500.0,34.0,34.0,34.0,33.8
02/03/16,75165285.0,34.15,33.35,34.2,33.35
03/03/16,61481535.0,33.4,33.3,34.0,33.3
04/03/16,181560775.0,33.5,33.8,34.0,33.4
07/03/16,44516745.0,33.9,33.9,34.4,33.8
08/03/16,18026455.0,34.0,34.0,34.0,33.7
09/03/16,252632930.0,34.0,35.0,35.2,33.85
10/03/16,236115485.0,35.3,35.95,36.2,35.3
11/03/16,137638710.0,36.0,36.95,36.95,35.95
14/03/16,184378565.0,37.0,37.6,37.75,37.0
15/03/16,146439990.0,37.6,37.05,37.65,36.85
16/03/16,75079700.0,37.05,36.4,37.05,36.2
17/03/16,157195265.0,36.4,37.55,37.6,36.4
18/03/16,137765025.0,37.55,37.65,37.8,37.55
21/03/16,75979630.0,37.7,37.0,37.7,36.0
22/03/16,43314205.0,37.0,36.4,37.1,36.0
23/03/16,65915570.0,36.3,37.0,37.5,35.85
28/03/16,82752175.0,37.0,36.95,37.05,36.9
29/03/16,92411640.0,37.0,37.0,37.2,36.7
30/03/16,63535645.0,37.0,36.9,37.2,36.7
31/03/16,55962035.0,36.7,36.4,36.8,36.25
01/04/16,18956825.0,36.6,36.45,36.6,36.35
04/04/16,79709975.0,36.3,36.35,36.55,36.0
05/04/16,333641190.0,36.35,37.0,37.3,36.3
06/04/16,167368840.0,37.05,37.0,37.1,36.8
07/04/16,49337680.0,37.1,37.2,37.45,37.0
08/04/16,203685050.0,37.2,39.1,39.15,36.95
11/04/16,179895475.0,39.0,39.5,39.9,38.4
12/04/16,146881815.0,39.45,39.7,40.0,39.0
13/04/16,93698445.0,39.7,39.4,39.75,38.8
14/04/16,373348075.0,39.4,41.0,41.0,39.2
15/04/16,177939140.0,41.0,40.05,41.15,40.05
18/04/16,233188925.0,40.05,40.3,40.5,39.5
19/04/16,207622385.0,40.3,40.75,41.0,40.3
20/04/16,197168160.0,41.0,41.5,42.0,40.95
21/04/16,168626810.0,41.55,41.2,41.7,40.0
22/04/16,63433230.0,41.2,41.3,41.8,40.85
25/04/16,102366230.0,41.3,40.4,41.3,40.0
26/04/16,135126825.0,40.85,40.55,41.0,40.25
27/04/16,215042050.0,40.5,41.0,41.2,40.25
28/04/16,85712560.0,40.5,40.8,41.2,40.35
29/04/16,202649660.0,40.8,40.2,40.8,40.1
02/05/16,55797005.0,40.15,39.25,40.15,38.5
03/05/16,52650375.0,39.2,39.3,39.8,38.7
04/05/16,175256320.0,39.1,38.1,39.1,38.0
05/05/16,175282630.0,38.2,39.1,39.65,38.2
06/05/16,180289525.0,39.1,39.95,40.0,38.5
06/05/16,180289525.0,39.1,39.95,40.0,38.5
10/05/16,184395305.0,39.9,41.0,41.45,39.55
11/05/16,460718005.0,41.0,42.9,42.9,41.0
12/05/16,323104920.0,42.5,42.1,42.55,42.0
13/05/16,359252250.0,42.0,42.1,42.6,41.9
16/05/16,252790935.0,42.0,42.0,42.2,42.0
17/05/16,191027130.0,42.0,41.95,42.3,41.8
18/05/16,294474130.0,41.95,41.8,42.0,41.65
19/05/16,198794270.0,41.85,41.9,42.0,41.65
20/05/16,37991555.0,41.85,41.7,41.9,41.65
23/05/16,120263310.0,41.65,40.5,41.7,40.5
24/05/16,17132270.0,40.5,41.55,41.55,40.5
25/05/16,183977025.0,41.7,41.9,42.0,41.55
26/05/16,121552215.0,41.95,41.5,42.0,41.05
27/05/16,73654220.0,41.4,41.95,41.95,40.9
30/05/16,17853300.0,41.95,42.2,42.2,41.8
31/05/16,13826500.0,42.2,42.0,42.2,41.5
01/06/16,194667130.0,42.0,41.9,42.1,41.5
02/06/16,37451215.0,41.95,42.0,42.1,41.9
03/06/16,95459445.0,42.0,42.05,42.1,41.9
06/06/16,78600445.0,42.05,42.55,42.65,41.95
07/06/16,170112025.0,42.6,42.7,42.9,42.1
08/06/16,202657190.0,42.65,43.15,43.15,42.1
09/06/16,77868770.0,42.85,42.4,42.95,42.25
10/06/16,760136590.0,43.0,42.3,43.15,42.1
13/06/16,176795290.0,42.3,42.1,42.5,41.0
14/06/16,61882045.0,42.05,41.3,42.05,40.9
15/06/16,63661835.0,41.3,41.0,41.9,41.0
16/06/16,64229170.0,41.1,41.35,41.85,41.1
17/06/16,93145295.0,41.45,43.4,43.4,41.35
20/06/16,65875610.0,43.0,42.6,43.1,41.65
21/06/16,120099770.0,42.8,42.75,42.95,42.6
22/06/16,128020365.0,42.75,43.0,43.0,41.75
23/06/16,113942215.0,43.0,42.5,43.0,42.25
24/06/16,103065515.0,42.5,41.5,42.5,40.95
27/06/16,43099340.0,41.5,41.85,41.85,40.3
28/06/16,65702745.0,42.45,41.9,42.45,41.65
29/06/16,94291815.0,41.9,42.0,42.2,41.45
30/06/16,81467085.0,42.0,42.15,42.6,42.0
01/07/16,86307280.0,42.15,42.5,43.15,42.15
04/07/16,30188615.0,42.8,42.65,42.8,42.5
05/07/16,30241925.0,42.5,42.8,43.0,42.1
07/07/16,288585145.0,42.8,44.35,45.0,42.7
08/07/16,170393065.0,44.4,44.9,45.5,44.4
11/07/16,127592335.0,45.0,45.55,45.65,44.95
12/07/16,223623365.0,45.6,46.2,46.35,45.6
13/07/16,174195475.0,46.2,46.6,46.85,46.0
14/07/16,67548625.0,46.6,46.0,46.7,45.35
