Date,Value,Open,Close,High,Low
15/07/15,30530570.0,4.05,4.01,4.05,4.01
16/07/15,42160750.0,4.01,4.05,4.06,4.01
20/07/15,34525420.0,4.05,4.05,4.14,4.05
21/07/15,62892030.0,4.06,4.22,4.34,4.06
22/07/15,9492040.0,4.24,4.23,4.34,4.18
23/07/15,11795540.0,4.3,4.36,4.4,4.27
23/07/15,11795540.0,4.3,4.36,4.4,4.27
23/07/15,11795540.0,4.3,4.36,4.4,4.27
24/07/15,14911920.0,4.38,4.35,4.4,4.3
27/07/15,24627480.0,4.35,4.31,4.35,4.29
28/07/15,15018470.0,4.3,4.26,4.3,4.18
29/07/15,2936760.0,4.26,4.31,4.36,4.26
30/07/15,7544090.0,4.3,4.29,4.32,4.29
31/07/15,17321660.0,4.35,4.3,4.35,4.29
03/08/15,2601600.0,4.29,4.3,4.36,4.29
04/08/15,5228250.0,4.3,4.35,4.38,4.3
05/08/15,4909310.0,4.35,4.45,4.46,4.31
06/08/15,24824380.0,4.46,4.64,4.72,4.42
07/08/15,3347890.0,4.55,4.43,4.55,4.43
10/08/15,2797110.0,4.48,4.38,4.48,4.35
11/08/15,12151260.0,4.39,4.3,4.39,4.3
12/08/15,5617920.0,4.3,4.25,4.3,4.2
13/08/15,3170490.0,4.21,4.18,4.26,4.15
14/08/15,2496850.0,4.18,4.28,4.33,4.15
17/08/15,2113960.0,4.28,4.16,4.28,4.15
18/08/15,10887270.0,4.15,4.18,4.2,4.15
19/08/15,475180.0,4.18,4.1,4.18,4.1
20/08/15,1606420.0,4.12,4.12,4.15,4.1
24/08/15,14791460.0,4.03,4.03,4.08,4.0
25/08/15,1352270.0,4.03,4.09,4.09,4.03
26/08/15,5575810.0,4.1,4.11,4.27,4.1
27/08/15,7866600.0,4.1,4.1,4.16,4.06
28/08/15,18685100.0,4.11,4.08,4.13,4.08
01/09/15,17519819.999999996,4.08,4.06,4.1,4.04
02/09/15,471890.0,4.06,4.06,4.06,4.01
03/09/15,1919030.0,4.1,4.1,4.1,4.03
04/09/15,170810.0,4.1,4.05,4.1,4.05
07/09/15,19860970.0,4.02,4.0,4.03,3.99
08/09/15,18644690.0,4.02,4.0,4.02,4.0
09/09/15,1487910.0,4.05,4.01,4.05,4.0
10/09/15,11929600.0,4.02,4.0,4.02,4.0
11/09/15,15159940.0,4.0,4.01,4.03,4.0
14/09/15,27281239.999999996,4.01,4.02,4.03,4.01
15/09/15,1129570.0,4.03,4.06,4.06,4.03
15/09/15,1129570.0,4.03,4.06,4.06,4.03
15/09/15,1129570.0,4.03,4.06,4.06,4.03
