Date,Value,Open,Close,High,Low
15/07/15,192440.0,2.58,2.7,2.75,2.58
20/07/15,258790.0,2.59,2.7,2.75,2.59
21/07/15,26100.0,2.61,2.61,2.61,2.61
24/07/15,67840.0,2.7,2.74,2.74,2.7
27/07/15,5350.0,2.74,2.61,2.74,2.61
28/07/15,13050.0,2.61,2.61,2.61,2.61
30/07/15,445990.0,2.62,2.75,2.75,2.62
03/08/15,250150.0,2.7,2.8,2.8,2.7
11/08/15,939200.0,2.61,2.8,2.8,2.61
12/08/15,159600.0,2.8,2.8,2.8,2.8
14/08/15,427900.0,2.79,2.8,2.8,2.79
17/08/15,1541680.0,2.79,2.85,2.85,2.79
18/08/15,14250.0,2.85,2.85,2.85,2.85
19/08/15,109000.0,2.66,2.66,2.67,2.65
20/08/15,33920.0,2.61,2.6,2.61,2.6
24/08/15,529590.0,2.6,2.75,2.75,2.6
26/08/15,57750.0,2.6,2.65,2.65,2.6
27/08/15,35880.0,2.65,2.78,2.78,2.65
28/08/15,69500.0,2.6,2.79,2.79,2.6
01/09/15,679360.0,2.77,2.77,2.77,2.65
02/09/15,5220.0,2.61,2.61,2.61,2.61
03/09/15,80910.0,2.61,2.61,2.61,2.61
10/09/15,18200.0,2.6,2.6,2.6,2.6
14/09/15,26100.0,2.61,2.61,2.61,2.61
16/09/15,7830.0,2.61,2.61,2.61,2.61
18/09/15,141820.0,2.78,2.78,2.79,2.78
21/09/15,7890.0,2.63,2.63,2.63,2.63
22/09/15,764499.9999999999,2.78,2.78,2.78,2.78
23/09/15,400400.0,2.8,2.8,2.8,2.8
24/09/15,30800.0,2.8,2.8,2.8,2.8
30/09/15,27000.0,2.7,2.7,2.7,2.7
01/10/15,43350.0,2.85,2.7,2.85,2.7
02/10/15,27100.0,2.71,2.71,2.71,2.71
05/10/15,11320.0,2.83,2.83,2.83,2.83
09/10/15,16980.0,2.83,2.83,2.83,2.83
12/10/15,31250.0,2.84,2.85,2.85,2.84
13/10/15,56800.0,2.84,2.84,2.84,2.84
14/10/15,44100.0,2.71,2.84,2.84,2.71
19/10/15,162450.0,2.85,2.85,2.85,2.85
21/10/15,28100.0,2.81,2.81,2.81,2.81
22/10/15,86810.0,2.72,2.84,2.84,2.7
26/10/15,19040.0,2.71,2.72,2.73,2.71
27/10/15,89660.0,2.72,2.72,2.72,2.71
28/10/15,193830.0,2.73,2.73,2.73,2.73
29/10/15,14100.0,2.82,2.82,2.82,2.82
30/10/15,305220.0,2.8,2.82,2.82,2.8
02/11/15,41520.0,2.75,2.82,2.82,2.74
03/11/15,90340.0,2.84,2.84,2.84,2.82
04/11/15,14150.0,2.83,2.83,2.83,2.83
06/11/15,210630.0,2.85,2.83,2.85,2.8
09/11/15,52880.0,2.41,2.7,2.71,2.41
10/11/15,110220.0,2.67,2.7,2.7,2.62
12/11/15,25500.0,2.6,2.5,2.6,2.5
13/11/15,70000.0,2.5,2.5,2.5,2.5
23/11/15,10010.0,2.5,2.51,2.51,2.5
27/11/15,54000.0,2.7,2.7,2.7,2.7
02/12/15,67500.0,2.7,2.7,2.7,2.7
03/12/15,2560.0,2.56,2.56,2.56,2.56
09/12/15,52000.0,2.6,2.6,2.6,2.6
05/01/16,10120.0,2.53,2.53,2.53,2.53
14/01/16,118950.0,2.53,2.7,2.7,2.53
15/01/16,2560.0,2.56,2.56,2.56,2.56
22/01/16,10080.0,2.52,2.52,2.52,2.52
27/01/16,156000.0,2.5,2.7,2.7,2.5
