Date,Value,Open,Close,High,Low
15/07/15,94204005.0,28.2,28.7,29.5,28.2
16/07/15,152314625.0,28.5,28.5,29.15,28.2
20/07/15,56921140.0,28.5,28.15,28.8,27.9
21/07/15,38253505.0,28.0,28.2,28.75,28.0
22/07/15,53699915.0,28.2,28.25,28.25,27.75
23/07/15,31026285.0,28.2,28.15,28.2,28.1
23/07/15,31026285.0,28.2,28.15,28.2,28.1
23/07/15,31026285.0,28.2,28.15,28.2,28.1
24/07/15,72872985.0,28.2,28.4,28.7,27.8
27/07/15,18734375.0,28.4,28.15,28.4,28.05
28/07/15,49764935.0,28.65,28.45,28.65,27.8
29/07/15,58086495.0,27.85,28.2,28.45,27.85
30/07/15,25689465.0,28.15,28.6,28.6,28.0
31/07/15,33759530.0,28.5,28.15,28.5,27.9
03/08/15,38716005.0,28.0,28.55,28.55,28.0
04/08/15,51960450.0,28.55,28.25,28.6,28.15
05/08/15,80304780.0,28.8,28.8,29.2,28.6
06/08/15,19380750.0,28.8,28.65,28.95,28.5
07/08/15,17853890.0,28.5,29.0,29.0,28.5
10/08/15,45703800.0,29.0,29.2,29.3,28.85
11/08/15,32259920.0,29.2,28.95,29.2,28.85
12/08/15,60896740.0,28.95,28.8,29.05,28.5
13/08/15,97691295.0,29.0,28.35,29.0,28.35
14/08/15,30007595.0,28.35,29.0,29.0,28.15
17/08/15,10937700.0,28.35,28.95,28.95,28.35
18/08/15,14341435.0,28.95,29.0,29.0,28.4
19/08/15,90936685.0,28.35,28.95,29.7,28.35
20/08/15,72220505.0,28.5,28.7,28.9,28.4
24/08/15,209277235.0,27.8,27.1,27.85,26.85
25/08/15,255922770.0,26.75,27.1,27.15,26.75
26/08/15,167756595.0,27.1,28.3,28.7,27.05
27/08/15,131816565.0,28.8,28.9,29.1,27.8
28/08/15,155819470.0,28.9,29.0,29.05,28.05
01/09/15,136334065.0,29.0,28.85,29.1,28.5
02/09/15,92330865.0,28.65,28.7,28.8,28.5
03/09/15,94321995.0,28.0,28.8,28.95,28.0
04/09/15,53199215.0,28.8,28.75,28.8,28.65
07/09/15,56780775.0,28.4,28.4,28.8,28.25
08/09/15,58970510.0,28.3,28.4,28.8,28.0
09/09/15,118371970.0,28.4,28.8,28.85,28.4
10/09/15,59954830.0,28.8,28.65,28.9,28.6
11/09/15,57330235.0,28.9,28.8,28.9,27.95
14/09/15,39712470.0,28.85,29.0,29.0,28.85
15/09/15,29307640.0,28.05,28.6,28.95,28.05
15/09/15,29307640.0,28.05,28.6,28.95,28.05
15/09/15,29307640.0,28.05,28.6,28.95,28.05
16/09/15,43537935.0,28.95,28.4,29.0,28.2
17/09/15,50926685.0,28.95,28.75,29.0,28.2
18/09/15,50632675.0,29.1,28.8,29.1,27.8
21/09/15,13130660.0,28.9,28.45,28.9,28.05
22/09/15,93378105.0,28.8,28.5,28.8,28.45
23/09/15,89301500.0,28.5,28.5,28.5,28.1
24/09/15,106252695.0,28.8,28.55,28.85,28.2
28/09/15,77408270.0,28.2,27.85,28.5,27.85
29/09/15,87811125.0,28.0,28.5,28.85,27.75
30/09/15,222749340.0,28.5,28.45,28.65,28.4
01/10/15,76968675.0,28.0,28.3,28.55,27.5
02/10/15,43193880.0,28.3,28.4,28.95,28.15
05/10/15,143128880.0,28.2,28.7,28.8,28.2
06/10/15,116361390.0,29.0,29.3,29.65,29.0
07/10/15,125780335.0,29.5,28.8,29.8,28.65
08/10/15,87560885.0,29.0,28.95,29.0,28.4
09/10/15,136331125.0,28.6,29.0,29.0,28.6
12/10/15,87921435.0,29.0,29.0,29.35,28.75
13/10/15,92250990.0,29.4,28.9,29.4,28.85
14/10/15,72012610.0,29.4,28.9,29.4,28.85
15/10/15,100602030.0,28.9,28.95,29.0,28.9
16/10/15,191327665.0,29.0,28.95,29.0,28.9
19/10/15,96213315.0,29.4,29.0,29.4,28.9
20/10/15,96634145.0,29.3,29.4,29.45,28.95
21/10/15,92569385.0,29.4,29.55,29.7,29.35
22/10/15,150109955.0,29.65,29.9,30.5,29.45
23/10/15,183228060.0,30.0,30.05,30.3,29.95
26/10/15,241066415.0,30.1,31.2,31.9,30.1
27/10/15,157678510.0,31.2,31.9,31.9,30.4
28/10/15,446231440.0,32.0,31.0,33.25,30.8
29/10/15,391123050.0,31.05,30.25,31.5,30.1
30/10/15,313081250.0,30.9,30.6,30.9,30.2
02/11/15,313315225.0,30.6,30.3,30.65,30.1
03/11/15,101855655.0,30.95,30.45,31.3,30.3
04/11/15,125416460.0,31.0,30.3,31.0,30.2
05/11/15,129420830.0,30.75,30.1,30.75,29.95
06/11/15,60248870.0,30.6,29.9,30.6,29.9
09/11/15,209207345.0,29.85,29.05,29.85,28.9
