Date,Value,Open,Close,High,Low
15/07/15,773397.0,71.5,72.0,72.0,71.5
16/07/15,2408890.0,72.0,72.75,72.75,72.0
20/07/15,30470938.0,73.5,74.6,75.2,73.45
21/07/15,112756917.0,75.4,77.0,77.2,75.4
22/07/15,113196702.0,77.0,79.25,79.6,77.0
23/07/15,131790362.0,79.25,79.0,79.35,77.0
23/07/15,131790362.0,79.25,79.0,79.35,77.0
23/07/15,131790362.0,79.25,79.0,79.35,77.0
24/07/15,77561865.0,79.0,79.05,79.1,79.0
27/07/15,64863049.5,79.05,79.2,79.25,78.95
28/07/15,23295982.5,79.05,77.0,79.05,76.2
29/07/15,34575734.5,76.1,76.6,78.9,76.1
30/07/15,41890042.0,76.8,75.35,78.0,75.2
31/07/15,29716828.0,75.35,75.4,75.45,75.35
03/08/15,68049983.5,75.45,76.5,76.5,75.3
04/08/15,61899192.5,76.45,76.35,79.0,75.4
05/08/15,122982576.5,78.0,78.8,78.8,76.55
06/08/15,8531076.5,78.8,77.75,78.8,77.0
07/08/15,65480889.0,76.05,77.4,78.0,76.05
10/08/15,81012755.0,77.4,78.05,79.3,77.4
11/08/15,77362942.5,78.15,79.05,80.0,78.15
12/08/15,221780899.5,78.5,78.5,79.35,78.25
13/08/15,51112012.0,79.1,75.0,79.1,74.95
14/08/15,24260201.0,75.0,74.5,75.0,74.05
17/08/15,136814393.0,74.25,73.25,74.5,73.0
18/08/15,108959508.5,73.3,72.95,74.0,72.0
19/08/15,12772897.5,72.95,72.0,73.0,72.0
20/08/15,3019054.5,72.0,71.5,73.05,71.5
24/08/15,171162503.5,69.0,64.5,69.0,64.5
25/08/15,83548088.5,64.0,66.0,69.0,63.8
26/08/15,39453583.0,71.5,68.0,71.5,65.0
27/08/15,338964082.5,69.0,69.75,70.0,69.0
28/08/15,111907380.0,70.6,69.5,71.2,69.5
01/09/15,56618280.0,69.5,67.25,69.75,67.25
02/09/15,84024619.5,69.9,67.9,69.9,65.0
03/09/15,80723777.5,69.0,67.9,69.0,67.7
04/09/15,18017169.0,67.9,67.45,67.9,66.8
07/09/15,72196742.5,67.1,66.0,67.15,65.85
08/09/15,8952963.0,66.0,66.1,67.0,66.0
09/09/15,54738967.0,68.0,66.0,68.0,66.0
10/09/15,9189213.5,65.9,66.65,66.65,65.8
11/09/15,8340806.5,66.0,67.35,68.7,66.0
14/09/15,56852889.5,68.0,68.0,68.9,67.3
15/09/15,19332951.0,68.0,68.55,68.95,67.9
15/09/15,19332951.0,68.0,68.55,68.95,67.9
15/09/15,19332951.0,68.0,68.55,68.95,67.9
16/09/15,27152222.0,68.55,69.3,69.35,68.55
17/09/15,27344408.5,69.7,70.0,71.2,69.3
18/09/15,48281864.5,71.2,71.9,73.0,69.5
21/09/15,109661315.5,71.55,71.5,71.55,70.0
22/09/15,36753515.5,71.55,73.0,73.0,71.0
23/09/15,21727496.5,73.0,72.0,73.0,72.0
24/09/15,7757592.0,73.1,71.9,73.1,71.5
28/09/15,44393058.0,72.5,72.95,72.95,72.5
29/09/15,59167385.0,71.0,72.95,72.95,71.0
30/09/15,44493226.0,72.95,72.95,72.95,72.75
01/10/15,78995710.5,74.4,73.75,74.4,72.95
02/10/15,43498769.0,73.75,74.5,74.9,73.75
05/10/15,55665575.5,74.75,75.6,76.0,74.75
06/10/15,51118811.0,75.6,75.0,76.0,75.0
07/10/15,30324849.5,75.0,76.2,76.75,74.6
08/10/15,21397070.5,76.8,76.2,76.8,76.0
09/10/15,67411548.0,72.5,75.0,75.3,72.5
12/10/15,10535292.0,76.0,76.1,76.3,75.0
13/10/15,62903960.0,75.0,76.0,76.8,75.0
14/10/15,29732656.5,73.0,70.15,74.0,70.15
15/10/15,36051750.5,73.0,73.0,73.3,72.8
16/10/15,29865878.5,73.15,72.0,73.5,72.0
19/10/15,4614285.5,72.5,73.0,73.5,72.5
20/10/15,45939028.0,73.55,74.85,74.85,73.55
21/10/15,757450.5,74.0,73.75,74.3,72.8
22/10/15,45070192.0,74.0,74.0,74.85,73.1
23/10/15,24733360.0,74.85,76.0,76.1,74.85
26/10/15,145157501.5,76.0,78.0,79.2,76.0
27/10/15,108019997.0,78.6,77.0,78.6,77.0
28/10/15,82844391.0,77.0,77.15,77.5,77.0
29/10/15,22416104.5,77.0,77.15,77.3,77.0
30/10/15,63270518.0,77.0,76.9,77.1,76.9
02/11/15,39629243.0,77.5,76.5,77.5,73.55
03/11/15,94869956.5,76.5,76.5,77.0,76.5
04/11/15,13761395.0,74.0,75.5,77.0,74.0
05/11/15,69088006.0,77.95,72.5,77.95,72.0
06/11/15,4911617.5,75.2,74.45,75.2,73.1
09/11/15,3356337.0,75.2,72.95,75.2,72.6
10/11/15,64096317.5,72.35,72.0,72.35,71.5
11/11/15,24826397.5,71.5,71.0,71.5,71.0
12/11/15,30505693.0,71.0,70.9,71.0,70.85
13/11/15,89811324.0,70.85,69.0,70.85,67.0
16/11/15,16090382.0,69.0,69.2,71.0,69.0
17/11/15,8701003.0,70.0,71.5,71.8,70.0
20/11/15,9948856.5,71.5,69.95,71.5,68.15
23/11/15,36629922.0,70.0,70.1,70.4,70.0
24/11/15,73929547.0,70.1,69.5,70.1,69.1
25/11/15,211837.0,70.0,70.1,70.1,69.7
26/11/15,26484378.5,70.4,73.7,73.7,70.4
27/11/15,13426249.5,73.8,72.15,73.8,70.05
01/12/15,25979676.5,72.15,71.5,73.5,71.5
02/12/15,99588604.5,71.5,70.0,71.5,69.1
