Date,Value,Open,Close,High,Low
15/07/15,245890.0,1.68,1.67,1.68,1.67
16/07/15,179760.0,1.68,1.7,1.7,1.67
20/07/15,657760.0,1.68,1.65,1.68,1.65
21/07/15,1489870.0,1.67,1.64,1.68,1.64
22/07/15,573060.0,1.65,1.65,1.65,1.64
23/07/15,1030020.0,1.64,1.64,1.65,1.64
23/07/15,1030020.0,1.64,1.64,1.65,1.64
23/07/15,1030020.0,1.64,1.64,1.65,1.64
24/07/15,684550.0,1.65,1.65,1.65,1.64
27/07/15,261850.0,1.65,1.65,1.65,1.64
28/07/15,135030.0,1.65,1.64,1.65,1.64
29/07/15,302510.0,1.64,1.64,1.65,1.64
30/07/15,93980.0,1.65,1.64,1.65,1.64
31/07/15,1241480.0,1.64,1.64,1.64,1.64
03/08/15,610080.0,1.64,1.64,1.64,1.64
04/08/15,571140.0,1.64,1.64,1.65,1.63
05/08/15,742180.0,1.64,1.64,1.65,1.64
06/08/15,129720.0,1.64,1.65,1.65,1.64
07/08/15,222580.0,1.64,1.65,1.65,1.64
10/08/15,136720.0,1.64,1.65,1.65,1.64
11/08/15,4895590.0,1.65,1.65,1.66,1.64
12/08/15,450340.0,1.65,1.65,1.65,1.64
13/08/15,243240.0,1.65,1.65,1.65,1.64
14/08/15,342130.0,1.65,1.65,1.65,1.64
17/08/15,694700.0,1.65,1.62,1.65,1.62
18/08/15,602920.0,1.63,1.63,1.63,1.62
19/08/15,418210.0,1.63,1.6,1.63,1.6
20/08/15,974560.0,1.61,1.63,1.63,1.6
24/08/15,1467040.0,1.61,1.5,1.61,1.5
25/08/15,313500.0,1.5,1.5,1.5,1.5
26/08/15,709660.0,1.5,1.5,1.51,1.4
27/08/15,21360.0,1.53,1.54,1.54,1.52
28/08/15,300330.0,1.56,1.6,1.63,1.56
01/09/15,518220.0,1.63,1.63,1.63,1.61
02/09/15,17600.0,1.6,1.6,1.6,1.6
03/09/15,124670.0,1.61,1.61,1.62,1.61
04/09/15,207700.0,1.63,1.59,1.63,1.59
07/09/15,22390.0,1.6,1.59,1.6,1.59
08/09/15,34980.0,1.59,1.59,1.59,1.59
09/09/15,55760.0,1.59,1.6,1.6,1.59
10/09/15,39380.0,1.56,1.59,1.59,1.56
11/09/15,226090.0,1.55,1.55,1.58,1.54
14/09/15,26500.0,1.55,1.56,1.56,1.55
15/09/15,4415920.0,1.58,1.6,1.6,1.58
15/09/15,4415920.0,1.58,1.6,1.6,1.58
15/09/15,4415920.0,1.58,1.6,1.6,1.58
16/09/15,7900.0,1.56,1.57,1.6,1.56
17/09/15,42340.0,1.58,1.57,1.58,1.56
18/09/15,507470.0,1.56,1.55,1.57,1.55
21/09/15,504120.0,1.55,1.5,1.56,1.5
22/09/15,136300.0,1.54,1.55,1.57,1.54
23/09/15,60310.0,1.52,1.55,1.55,1.52
24/09/15,75560.0,1.52,1.55,1.55,1.52
28/09/15,43610.0,1.55,1.55,1.58,1.55
29/09/15,88830.0,1.54,1.52,1.56,1.52
30/09/15,100400.0,1.56,1.54,1.56,1.54
01/10/15,29260.0,1.54,1.54,1.54,1.54
02/10/15,133300.0,1.55,1.55,1.55,1.55
05/10/15,495180.0,1.56,1.56,1.56,1.55
06/10/15,778480.0,1.56,1.59,1.59,1.55
07/10/15,148260.0,1.59,1.56,1.59,1.56
08/10/15,128180.0,1.59,1.57,1.6,1.57
09/10/15,336480.0,1.59,1.6,1.63,1.59
12/10/15,257640.0,1.58,1.56,1.58,1.56
13/10/15,166310.0,1.56,1.56,1.58,1.56
14/10/15,403200.0,1.57,1.57,1.57,1.56
15/10/15,202860.0,1.56,1.6,1.6,1.56
16/10/15,1000740.0,1.6,1.61,1.63,1.58
19/10/15,12727970.0,1.63,1.63,1.66,1.59
20/10/15,2133900.0,1.63,1.55,1.63,1.55
