Date,Value,Open,Close,High,Low
16/07/15,1872.0,6.24,6.24,6.24,6.24
20/07/15,51284.0,6.2,5.76,6.2,5.76
21/07/15,389748.0,5.8,5.8,5.8,5.76
22/07/15,23200.0,5.8,5.8,5.8,5.8
23/07/15,1152.0,5.77,5.75,5.77,5.75
23/07/15,1152.0,5.77,5.75,5.77,5.75
23/07/15,1152.0,5.77,5.75,5.77,5.75
24/07/15,69165.0,5.78,5.75,5.8,5.75
28/07/15,22880.0,5.72,5.72,5.72,5.72
31/07/15,32032.0,5.72,5.72,5.72,5.72
04/08/15,89644.0,5.72,5.7,5.72,5.7
06/08/15,261630.0,5.7,5.7,5.7,5.7
07/08/15,3488.0,5.68,6.05,6.05,5.68
10/08/15,1210.0,6.05,6.05,6.05,6.05
14/08/15,1200.0,6.0,6.0,6.0,6.0
17/08/15,2480.0,6.2,6.2,6.2,6.2
18/08/15,625.0,6.25,6.25,6.25,6.25
24/08/15,37786.0,6.25,5.7,6.25,5.7
26/08/15,8550.0,5.7,5.7,5.7,5.7
27/08/15,58718.0,5.7,5.74,5.74,5.7
02/09/15,112576.0,2.88,5.6,5.6,2.88
03/09/15,380.0,3.8,3.8,3.8,3.8
04/09/15,609200.0,4.2,5.0,5.6,4.2
07/09/15,350710.0,5.5,5.46,5.5,4.6
10/09/15,10000.0,5.0,5.0,5.0,5.0
14/09/15,12710.0,5.1,5.59,5.59,5.1
15/09/15,5590.0,5.59,5.59,5.59,5.59
15/09/15,5590.0,5.59,5.59,5.59,5.59
15/09/15,5590.0,5.59,5.59,5.59,5.59
17/09/15,15746.0,5.21,5.5,5.5,5.21
18/09/15,143998.0,5.5,5.2,5.5,5.2
21/09/15,2600.0,5.2,5.2,5.2,5.2
23/09/15,104426.0,5.2,5.48,5.48,4.64
28/09/15,2740.0,5.48,5.48,5.48,5.48
29/09/15,1012.0,4.65,5.47,5.47,4.65
30/09/15,160825.0,5.48,5.5,5.5,5.1
12/10/15,111150.0,5.2,5.0,5.2,5.0
13/10/15,11041.0,5.27,5.01,5.27,5.01
16/10/15,127085.0,5.01,5.01,5.01,4.95
19/10/15,119760.0,4.94,5.0,5.0,4.94
20/10/15,508941.99999999994,5.01,5.02,5.02,4.93
21/10/15,493.0,4.93,4.93,4.93,4.93
28/10/15,54930.0,4.93,5.0,5.0,4.93
29/10/15,30000.0,5.0,5.0,5.0,5.0
30/10/15,170000.0,5.0,5.0,5.0,5.0
04/11/15,73500.0,4.9,4.9,4.9,4.9
17/11/15,50000.0,5.0,5.0,5.0,5.0
20/11/15,42355.0,6.48,6.0,6.55,6.0
23/11/15,5000.0,5.0,5.0,5.0,5.0
24/11/15,17675.0,5.75,5.4,5.79,5.4
25/11/15,18179.0,5.99,5.8,5.99,5.8
26/11/15,16845.0,5.8,5.97,5.98,5.79
01/12/15,101095.0,5.7,5.75,5.75,5.7
02/12/15,1725.0,5.75,5.75,5.75,5.75
04/12/15,29282.0,5.21,5.26,5.4,5.21
07/12/15,208855.0,5.01,4.56,5.01,4.29
08/12/15,10000.0,5.0,5.0,5.0,5.0
09/12/15,94911.0,3.05,4.5,4.7,3.05
10/12/15,9200.0,4.6,4.6,4.6,4.6
11/12/15,9200.0,4.6,4.6,4.6,4.6
14/12/15,10000.0,5.0,5.0,5.0,5.0
15/12/15,87810.0,4.9,4.55,4.9,4.55
17/12/15,63450.0,4.5,4.55,4.55,4.5
18/12/15,9100.0,4.55,4.55,4.55,4.55
21/12/15,9100.0,4.55,4.55,4.55,4.55
22/12/15,4540.0,4.54,4.54,4.54,4.54
29/12/15,9570.0,4.78,4.79,4.79,4.78
04/01/16,75620.0,4.72,4.1,4.73,4.05
05/01/16,305540.0,4.39,4.35,4.45,4.25
07/01/16,168540.0,4.35,4.69,4.69,4.3
08/01/16,85380.0,4.99,4.4,5.0,4.4
12/01/16,13200.000000000002,4.4,4.4,4.4,4.4
13/01/16,72200.0,4.8,4.8,5.0,4.8
14/01/16,21600.0,5.9,4.8,5.9,4.8
15/01/16,5900.0,5.9,5.9,5.9,5.9
18/01/16,531.0,5.31,5.31,5.31,5.31
19/01/16,4794.0,5.3,5.28,5.6,5.28
20/01/16,29104.0,5.9,5.19,5.9,4.81
21/01/16,4318.0,5.7,5.17,5.7,5.17
22/01/16,7196.0,5.14,5.14,5.14,5.14
25/01/16,9662.0,4.9,4.83,4.9,4.81
26/01/16,9680.0,4.84,4.84,4.84,4.84
27/01/16,29340.0,4.84,4.9,4.9,4.84
28/01/16,5990.0,5.99,5.99,5.99,5.99
29/01/16,10146.0,5.9,6.34,6.34,5.9
03/02/16,34418.0,4.91,4.94,4.94,4.9
05/02/16,245100.0,4.9,4.91,4.91,4.9
09/02/16,29300.0,4.9,4.8,4.9,4.8
10/02/16,9500.0,4.75,4.75,4.75,4.75
12/02/16,19440.0,4.75,5.19,5.19,4.75
15/02/16,18013.0,4.79,4.7,4.79,4.7
17/02/16,9400.0,4.7,4.7,4.7,4.7
18/02/16,61100.0,4.7,4.7,4.7,4.7
01/03/16,736000.0,4.79,4.5,4.79,4.5
02/03/16,509430.0,4.52,4.6,4.6,4.3
08/03/16,2076360.0,4.84,4.84,4.84,4.84
09/03/16,4550.0,4.55,4.55,4.55,4.55
11/03/16,1460550.0,4.55,4.55,4.55,4.55
14/03/16,13800.0,4.6,4.6,4.6,4.6
16/03/16,14860.0,4.61,5.09,5.16,4.61
17/03/16,61610.0,4.66,5.0,5.0,4.66
18/03/16,10908.0,5.0,5.04,5.04,4.9
21/03/16,40245.0,5.04,4.8,5.04,4.8
22/03/16,14750.0,5.15,4.8,5.15,4.8
05/04/16,23060.0,4.62,4.6,4.62,4.6
