Date,Value,Open,Close,High,Low
15/07/15,3700.0,1.85,1.85,1.85,1.85
16/07/15,25900.0,1.85,1.85,1.85,1.85
20/07/15,38500.0,1.84,1.85,1.85,1.82
21/07/15,27450.0,1.82,1.82,1.85,1.82
22/07/15,1830.0,1.83,1.83,1.83,1.83
23/07/15,59590.0,1.84,1.91,1.91,1.84
23/07/15,59590.0,1.84,1.91,1.91,1.84
23/07/15,59590.0,1.84,1.91,1.91,1.84
24/07/15,1930.0,1.93,1.93,1.93,1.93
28/07/15,20490.0,1.85,1.9,1.9,1.85
29/07/15,15240.0,1.9,1.94,1.94,1.9
30/07/15,20350.0,1.85,1.85,1.85,1.85
03/08/15,29600.0,1.85,1.85,1.85,1.85
04/08/15,40700.0,1.85,1.85,1.85,1.85
07/08/15,3790.0,1.89,1.9,1.9,1.89
10/08/15,31450.0,1.85,1.85,1.85,1.85
11/08/15,34660.0,1.85,1.82,1.85,1.8
17/08/15,14640.0,1.83,1.83,1.83,1.83
18/08/15,1830.0,1.83,1.83,1.83,1.83
19/08/15,93330.0,1.83,1.83,1.83,1.83
24/08/15,12810.0,1.83,1.83,1.83,1.83
25/08/15,9150.0,1.83,1.83,1.83,1.83
26/08/15,10720.0,1.82,1.78,1.82,1.78
27/08/15,45510.0,1.78,1.7,1.82,1.7
28/08/15,282220.0,1.71,1.7,1.71,1.7
01/09/15,180000.0,1.8,1.8,1.8,1.8
04/09/15,5850.0,1.95,1.95,1.95,1.95
07/09/15,3860.0,1.93,1.93,1.93,1.93
08/09/15,10340.0,1.57,1.8,1.8,1.57
09/09/15,83060.0,1.84,1.89,1.89,1.84
10/09/15,305740.0,1.95,2.0,2.0,1.89
11/09/15,6900.0,2.3,2.3,2.3,2.3
14/09/15,415200.0,2.2,2.35,2.35,2.1
15/09/15,722650.0,2.3,2.5,2.5,2.3
15/09/15,722650.0,2.3,2.5,2.5,2.3
15/09/15,722650.0,2.3,2.5,2.5,2.3
16/09/15,1062000.0,2.3,2.5,2.6,2.3
17/09/15,510880.0,2.58,2.65,2.75,2.58
18/09/15,853890.0,2.64,2.79,2.8,2.6
21/09/15,391500.0,2.7,2.7,2.7,2.7
22/09/15,88100.0,2.7,2.8,2.8,2.7
23/09/15,157800.0,2.8,2.7,2.8,2.7
24/09/15,216500.0,2.7,2.8,2.8,2.7
28/09/15,154000.0,2.8,2.8,2.8,2.8
01/10/15,27200.000000000004,2.72,2.72,2.72,2.72
02/10/15,136520.0,2.78,2.85,2.85,2.77
07/10/15,241400.0,2.85,2.9,2.9,2.85
08/10/15,319200.0,2.9,3.0,3.0,2.9
09/10/15,1395010.0,3.0,3.1,3.2,2.85
12/10/15,93000.0,3.1,3.1,3.1,3.1
13/10/15,11930.0,3.04,2.81,3.04,2.81
