Date,Value,Open,Close,High,Low
15/07/15,190311225.0,905.0,905.0,907.0,901.0
16/07/15,148265665.0,906.0,915.0,915.0,906.0
20/07/15,184513165.0,915.0,902.0,915.0,898.0
21/07/15,197143880.0,902.0,910.0,918.5,895.0
22/07/15,210565390.0,910.0,910.0,915.0,900.0
23/07/15,147292650.0,894.0,902.0,905.5,894.0
23/07/15,147292650.0,894.0,902.0,905.5,894.0
23/07/15,147292650.0,894.0,902.0,905.5,894.0
24/07/15,121715495.0,902.0,910.0,910.0,899.0
27/07/15,258120030.0,901.0,908.0,910.0,900.0
28/07/15,247881735.0,905.5,890.0,908.0,882.0
29/07/15,247718630.0,890.0,876.0,890.0,871.0
30/07/15,270703250.0,878.0,877.5,880.0,876.0
31/07/15,217799155.0,877.5,893.0,896.0,875.0
03/08/15,284955170.0,898.0,901.5,901.5,878.0
04/08/15,230303020.0,901.5,910.0,910.0,890.0
05/08/15,136073840.0,910.0,920.0,922.5,908.0
06/08/15,133243930.0,908.0,915.0,920.0,908.0
07/08/15,286694025.0,914.0,900.5,914.5,899.0
10/08/15,153535725.0,900.0,900.5,916.0,897.5
11/08/15,278585000.0,900.5,902.5,902.5,900.5
12/08/15,325939845.0,901.0,901.0,902.0,895.0
13/08/15,224445485.0,899.0,914.5,917.0,899.0
14/08/15,473445710.0,902.0,929.0,933.0,902.0
17/08/15,211105050.0,928.0,900.0,928.0,897.0
18/08/15,92456700.0,900.0,900.0,900.5,898.0
19/08/15,185518630.0,896.0,898.0,899.0,887.0
20/08/15,272089140.0,898.0,897.0,900.0,891.0
24/08/15,545266925.0,880.0,840.0,880.0,810.0
25/08/15,230767060.0,801.0,890.0,890.0,801.0
26/08/15,386136605.0,869.0,859.0,870.0,855.0
27/08/15,571068425.0,865.0,870.0,888.0,865.0
28/08/15,311346935.0,875.0,878.0,890.0,866.5
01/09/15,459611170.0,878.0,887.0,898.0,877.5
02/09/15,332701075.0,852.0,881.0,885.5,845.0
03/09/15,192539930.0,885.0,885.0,887.0,882.0
04/09/15,188173400.0,885.0,873.0,885.0,861.0
07/09/15,158039420.0,873.0,862.0,873.0,855.0
08/09/15,311826840.0,862.0,850.0,862.0,837.0
09/09/15,160635495.0,854.0,845.0,856.5,841.0
10/09/15,226652640.0,845.0,845.0,851.5,840.5
11/09/15,190190890.0,857.0,842.0,857.0,842.0
14/09/15,101670130.0,843.0,894.5,894.5,843.0
15/09/15,81376470.0,870.0,885.5,889.5,870.0
15/09/15,81376470.0,870.0,885.5,889.5,870.0
15/09/15,81376470.0,870.0,885.5,889.5,870.0
16/09/15,232355805.0,895.0,891.0,895.0,886.0
17/09/15,361867880.0,894.5,900.0,905.0,887.5
18/09/15,732323670.0,905.0,880.0,914.0,880.0
21/09/15,318715575.0,890.0,890.0,898.0,882.0
22/09/15,241863540.0,890.0,890.0,897.0,886.5
23/09/15,253717890.0,880.0,878.5,888.5,860.0
24/09/15,255606105.0,878.5,880.0,888.0,850.0
28/09/15,136867930.0,885.0,860.0,885.5,855.0
29/09/15,194473310.0,852.0,875.0,875.0,850.0
30/09/15,301153345.0,890.0,890.5,892.5,880.5
01/10/15,78512475.0,886.5,888.5,895.0,879.5
02/10/15,272636780.0,888.5,870.5,888.5,855.0
05/10/15,401807555.0,870.0,879.0,888.5,867.5
06/10/15,375082535.0,897.0,880.0,907.0,878.0
07/10/15,202171880.0,881.0,879.5,884.0,877.0
08/10/15,257796195.0,879.5,878.0,884.0,870.0
09/10/15,150811475.0,893.0,879.0,893.0,872.0
12/10/15,156139510.0,879.0,884.0,884.0,873.0
13/10/15,315083335.0,876.5,870.0,880.0,870.0
14/10/15,173352955.0,876.0,860.0,876.0,860.0
15/10/15,211889710.0,887.0,879.5,892.5,874.5
16/10/15,207588880.0,886.5,871.5,886.5,871.5
19/10/15,221091705.0,871.5,860.5,872.0,854.0
20/10/15,213431050.0,874.0,876.0,876.0,870.0
21/10/15,215609345.0,878.0,875.5,878.0,871.0
22/10/15,234716925.0,875.5,875.0,878.5,862.5
23/10/15,471215240.0,879.5,885.0,887.5,879.5
26/10/15,291884865.0,892.5,896.0,900.0,892.5
27/10/15,246793610.0,897.0,893.0,897.0,890.0
28/10/15,261988110.0,892.0,882.5,892.0,876.5
29/10/15,322668300.0,882.5,871.5,882.5,869.5
30/10/15,280611755.0,871.5,875.0,883.5,871.5
02/11/15,191447120.0,867.0,875.0,875.0,865.0
03/11/15,324034625.0,875.0,880.0,881.0,870.0
04/11/15,151587570.0,880.0,888.0,888.0,871.5
05/11/15,152894255.0,890.0,870.0,890.0,861.5
06/11/15,164158985.0,870.0,869.0,870.5,863.0
09/11/15,104642195.0,880.0,867.5,880.0,864.0
10/11/15,417591670.0,864.0,855.0,867.0,854.0
11/11/15,240161050.0,855.0,854.5,858.0,850.0
12/11/15,192984930.0,854.0,854.5,872.0,854.0
13/11/15,146407190.0,851.0,848.5,875.0,845.0
16/11/15,135325485.0,844.0,831.0,844.0,826.0
17/11/15,233716740.0,834.0,840.0,851.5,834.0
20/11/15,195719060.0,855.0,862.0,863.0,846.0
23/11/15,191807280.0,862.0,870.0,870.0,854.5
24/11/15,139979435.0,865.0,870.0,870.0,856.0
25/11/15,201153060.0,879.0,880.0,880.0,870.0
26/11/15,182072745.0,883.0,880.0,884.0,877.0
27/11/15,473990820.0,880.0,845.0,880.0,845.0
01/12/15,249078510.0,835.0,855.0,858.5,832.5
02/12/15,170812540.0,855.0,862.0,864.5,851.0
03/12/15,202783875.0,869.5,858.0,869.5,835.0
04/12/15,157970090.0,858.0,849.0,866.0,845.0
07/12/15,208351590.0,849.0,856.5,857.0,849.0
08/12/15,132424800.0,841.0,843.0,848.0,840.0
09/12/15,98839815.0,843.0,835.0,843.0,835.0
10/12/15,194214285.0,840.0,840.0,840.5,838.0
11/12/15,330764575.0,841.0,820.0,848.0,814.0
14/12/15,147673585.0,818.0,813.5,819.0,803.5
15/12/15,124901725.0,816.5,810.0,820.0,805.0
16/12/15,256201250.0,811.5,828.0,828.0,811.5
17/12/15,190623360.0,835.0,850.0,850.0,835.0
18/12/15,234219905.0,840.0,845.0,845.0,813.0
21/12/15,84476480.0,841.0,855.0,855.0,816.0
22/12/15,97169710.0,856.0,853.5,856.0,841.0
23/12/15,92126300.0,858.5,865.0,865.0,853.5
28/12/15,61772990.0,829.5,865.0,865.0,829.5
29/12/15,137294455.0,865.0,864.0,867.0,841.0
04/01/16,106106670.0,857.0,841.5,857.0,839.0
05/01/16,141515265.0,839.5,850.0,859.0,836.0
06/01/16,121913675.0,855.0,840.0,855.0,840.0
07/01/16,66313130.0,840.0,810.0,859.0,810.0
08/01/16,181243515.0,802.0,808.0,821.0,801.5
11/01/16,253217930.0,801.0,769.5,802.5,769.5
12/01/16,150981455.0,770.0,775.0,789.0,770.0
13/01/16,111596500.0,781.0,810.0,812.0,781.0
14/01/16,74640565.0,790.0,794.0,797.0,775.0
15/01/16,150479380.0,815.5,809.0,815.5,800.5
18/01/16,146926830.0,776.0,800.0,808.0,776.0
19/01/16,61706510.0,800.0,800.0,800.0,777.0
20/01/16,160997285.0,790.0,780.0,800.0,774.0
21/01/16,300155065.0,773.5,740.0,773.5,740.0
22/01/16,191064300.0,764.0,740.0,764.0,728.0
25/01/16,105577165.0,765.0,782.0,782.0,740.0
26/01/16,218467505.0,760.0,753.5,760.5,744.0
27/01/16,187132640.0,760.0,780.5,781.5,750.0
28/01/16,352199260.0,780.0,815.0,820.0,770.0
29/01/16,336522675.0,815.0,827.5,831.0,810.0
01/02/16,211179630.0,830.0,830.0,836.0,804.5
02/02/16,207059270.0,831.0,830.0,836.5,830.0
03/02/16,227771025.0,830.0,810.0,830.0,803.0
04/02/16,358711390.0,836.5,840.0,843.0,818.0
05/02/16,101487575.0,840.0,847.0,851.0,838.5
09/02/16,25486875.0,847.0,825.0,847.0,824.0
10/02/16,188135205.0,824.0,813.0,824.0,803.0
11/02/16,269791540.0,804.5,805.0,815.0,804.0
12/02/16,154741550.0,801.5,813.5,825.5,801.5
15/02/16,134479605.0,814.0,818.0,818.0,810.0
16/02/16,162228660.0,818.0,819.5,834.5,818.0
17/02/16,79326345.0,829.0,821.0,829.0,817.0
18/02/16,219563175.0,819.0,845.0,845.0,819.0
19/02/16,173764045.0,845.5,827.0,850.0,823.0
22/02/16,70678110.0,829.0,835.0,835.0,825.0
23/02/16,171312235.0,837.5,827.0,838.0,820.0
24/02/16,265885030.0,833.0,838.0,838.0,806.0
26/02/16,139998890.0,830.0,845.0,847.0,830.0
29/02/16,272777545.0,840.5,820.0,845.0,820.0
01/03/16,285787010.0,830.0,877.0,882.0,830.0
02/03/16,619926930.0,888.0,900.5,905.5,888.0
03/03/16,575196190.0,902.0,938.0,947.5,902.0
04/03/16,270852530.0,938.0,910.0,946.0,910.0
07/03/16,265722520.0,927.0,901.5,927.0,898.0
08/03/16,203609105.0,901.5,927.0,927.0,884.5
09/03/16,169284725.0,924.0,920.0,924.0,917.0
10/03/16,217451720.0,920.0,940.0,948.0,920.0
11/03/16,230011670.0,911.0,926.5,940.0,911.0
14/03/16,148171950.0,940.0,915.0,949.0,915.0
15/03/16,279069405.0,920.0,930.0,947.0,920.0
16/03/16,246662145.0,930.0,934.0,947.5,928.0
17/03/16,249723315.0,947.0,958.0,959.0,944.0
18/03/16,626800905.0,960.0,990.0,997.5,960.0
21/03/16,840671805.0,990.0,994.5,1006.0,989.0
22/03/16,345817865.0,995.0,989.5,997.0,988.0
23/03/16,226522965.0,975.0,990.0,990.0,975.0
28/03/16,421572325.0,990.5,970.0,990.5,963.0
29/03/16,198647385.0,970.0,959.0,970.0,954.5
30/03/16,393621685.0,960.0,953.0,982.0,953.0
31/03/16,417606250.0,963.0,949.5,973.0,944.5
01/04/16,209373870.0,958.0,960.0,961.5,950.0
04/04/16,165658135.0,960.0,967.5,977.5,960.0
05/04/16,119351195.0,968.5,960.0,970.0,955.0
06/04/16,219599020.0,959.5,944.5,960.5,940.5
07/04/16,299535585.0,946.0,959.5,964.5,946.0
08/04/16,272435750.0,965.0,960.0,970.0,957.5
11/04/16,142848000.0,969.0,960.0,969.0,959.0
12/04/16,488322275.0,960.0,960.0,961.0,954.0
13/04/16,483588150.0,965.0,963.0,966.5,959.5
14/04/16,325486770.0,960.0,965.0,970.0,960.0
15/04/16,119394330.0,967.0,962.0,967.0,959.0
18/04/16,358897020.0,960.0,960.0,962.0,954.0
19/04/16,275048390.0,958.0,959.5,970.0,958.0
20/04/16,185187005.0,960.0,959.0,962.0,957.5
21/04/16,285079990.0,960.0,960.0,964.0,953.0
22/04/16,65654020.0,960.0,955.5,960.0,950.5
25/04/16,190932510.0,955.0,956.0,958.0,955.0
26/04/16,184707200.0,956.0,954.5,958.0,951.0
27/04/16,247083110.0,955.0,950.0,956.5,948.5
28/04/16,152915510.0,950.0,946.0,958.0,946.0
29/04/16,186274180.0,948.0,944.0,950.0,942.0
02/05/16,208422700.0,943.0,930.0,943.0,923.5
03/05/16,231373075.0,930.0,927.5,938.0,926.5
04/05/16,223442320.0,927.5,921.0,927.5,917.5
05/05/16,267834595.0,920.5,918.5,920.5,917.0
06/05/16,197064335.0,915.0,913.0,918.0,904.0
06/05/16,197064335.0,915.0,913.0,918.0,904.0
10/05/16,441025615.0,912.5,943.0,946.0,912.5
11/05/16,472690910.0,960.0,964.0,968.0,957.5
12/05/16,150092715.0,964.0,947.5,968.0,945.0
13/05/16,542202695.0,945.0,980.0,998.0,942.5
16/05/16,328920355.0,958.0,999.0,999.0,958.0
17/05/16,658710805.0,999.0,1004.0,1012.0,998.0
18/05/16,319444227.5,1004.0,1006.0,1006.0,961.0
19/05/16,323986062.5,1006.0,985.0,1008.0,984.0
20/05/16,467381155.0,985.0,955.0,985.0,950.0
23/05/16,169548600.0,969.0,957.0,969.0,955.0
24/05/16,248841730.0,957.0,979.0,979.0,952.0
25/05/16,236624585.0,979.0,978.0,983.0,973.5
26/05/16,268548300.0,978.0,961.0,990.0,959.0
27/05/16,241473025.0,961.0,966.0,975.0,961.0
30/05/16,245492545.0,966.0,950.0,966.5,950.0
31/05/16,595921400.0,950.0,940.0,960.0,922.0
01/06/16,189996930.0,960.0,975.0,975.0,940.0
02/06/16,133050910.0,974.0,955.5,980.0,955.5
03/06/16,246377620.0,975.0,973.5,975.5,960.0
06/06/16,271600005.0,981.0,982.0,995.0,980.5
07/06/16,287036665.0,994.0,980.0,999.5,980.0
08/06/16,261993385.0,981.0,972.5,998.5,971.0
09/06/16,250032310.0,972.0,965.0,972.0,965.0
10/06/16,185359305.0,965.0,965.5,974.0,962.0
13/06/16,242128030.0,965.5,987.0,987.0,956.0
14/06/16,363577590.0,970.0,956.0,980.0,951.0
15/06/16,172750640.0,951.0,955.0,965.0,951.0
16/06/16,196397410.0,955.0,965.0,968.5,955.0
17/06/16,210525085.0,968.0,961.5,989.5,961.5
20/06/16,155614065.0,966.0,982.0,990.0,966.0
21/06/16,213968845.0,988.0,996.0,998.0,984.0
22/06/16,160824870.0,990.0,980.0,996.5,980.0
23/06/16,119519725.0,985.0,990.0,990.0,976.0
24/06/16,207951600.0,990.0,965.0,997.5,949.5
27/06/16,117120480.0,960.0,970.0,979.5,948.0
28/06/16,144076600.0,957.0,970.0,970.5,957.0
29/06/16,250613740.0,979.0,995.0,995.0,970.0
30/06/16,551300840.0,995.0,967.0,1016.0,960.0
01/07/16,276535135.0,980.0,990.0,1005.0,976.0
04/07/16,289635125.0,1004.0,990.0,1004.0,987.0
05/07/16,231913310.0,997.0,990.0,1000.0,988.0
07/07/16,166103400.0,990.0,985.0,995.0,984.0
08/07/16,400841055.0,990.0,987.0,990.0,986.0
11/07/16,463928020.0,995.0,999.0,1002.0,987.0
12/07/16,422215810.0,999.0,1005.0,1008.0,997.0
13/07/16,424682165.0,1006.0,998.0,1011.0,998.0
14/07/16,447696355.0,1000.0,1000.0,1005.0,970.0
