Date,Value,Open,Close,High,Low
15/07/15,176609940.0,20.35,20.5,20.65,20.3
16/07/15,759412870.0,20.5,21.0,21.1,20.35
20/07/15,175473490.0,21.0,21.0,21.05,20.75
21/07/15,789742050.0,21.0,21.4,21.65,21.0
22/07/15,125562280.0,21.35,21.5,21.5,21.05
23/07/15,232158700.0,21.3,21.5,21.5,21.1
23/07/15,232158700.0,21.3,21.5,21.5,21.1
23/07/15,232158700.0,21.3,21.5,21.5,21.1
24/07/15,146878575.0,21.5,21.3,21.5,21.1
27/07/15,180734215.0,21.1,20.5,21.25,20.5
28/07/15,216979055.0,20.5,20.85,21.3,20.5
29/07/15,229741380.0,21.0,21.0,21.3,20.9
30/07/15,391851480.0,21.0,21.25,21.8,21.0
31/07/15,452605030.0,20.85,21.45,21.6,20.85
03/08/15,399074055.0,21.45,21.6,22.3,21.45
04/08/15,244818490.0,22.0,21.8,22.05,21.6
05/08/15,241809415.0,21.8,22.0,22.3,21.8
06/08/15,558225280.0,22.15,21.8,22.5,21.25
07/08/15,253427890.0,21.8,21.8,21.8,21.25
10/08/15,121512205.0,21.8,21.95,22.2,21.7
11/08/15,237137975.0,21.9,22.0,22.0,21.8
12/08/15,291814150.0,21.8,21.75,21.9,21.4
13/08/15,323256140.0,21.75,20.95,21.75,20.85
14/08/15,627773676.0,20.75,19.98,20.9,19.98
17/08/15,275754097.0,20.15,20.0,20.4,19.92
18/08/15,300681720.0,20.05,20.0,20.45,19.94
19/08/15,215736613.0,20.0,20.0,20.2,19.96
20/08/15,143388945.0,20.0,20.0,20.1,19.94
24/08/15,513137210.0,19.5,18.7,19.5,18.3
25/08/15,504186060.0,18.4,18.8,18.88,18.1
26/08/15,626462118.0,18.8,18.8,19.12,18.6
27/08/15,834659400.0,19.4,19.48,19.86,19.04
28/08/15,458418536.0,19.5,19.5,19.62,19.12
01/09/15,492401578.0,19.5,19.86,20.3,19.5
02/09/15,331849748.0,19.66,19.84,19.92,19.18
03/09/15,317340800.0,19.9,19.5,19.9,19.42
04/09/15,453402690.0,19.58,19.06,19.6,19.0
07/09/15,260644334.0,19.0,19.04,19.3,18.88
08/09/15,205959076.0,19.08,19.1,19.18,18.84
09/09/15,390777528.0,19.3,19.5,19.5,19.04
10/09/15,161811570.0,19.4,19.46,19.6,19.2
11/09/15,428995248.0,19.5,19.6,19.7,19.4
14/09/15,257787318.0,19.6,19.9,19.96,19.34
15/09/15,466103496.0,19.92,20.05,20.25,19.84
15/09/15,466103496.0,19.92,20.05,20.25,19.84
15/09/15,466103496.0,19.92,20.05,20.25,19.84
16/09/15,311366935.0,20.05,20.1,20.65,20.05
17/09/15,421145965.0,20.2,21.0,21.0,20.2
18/09/15,1132250990.0,21.1,22.35,22.35,21.05
21/09/15,231054750.0,21.8,21.35,21.9,21.15
22/09/15,212027895.0,21.5,20.9,21.65,20.5
23/09/15,409683175.0,20.5,19.9,20.5,19.88
24/09/15,276010540.0,19.88,19.84,20.0,19.78
28/09/15,70848047.0,20.0,19.96,20.35,19.9
29/09/15,440025758.0,19.9,20.1,20.35,19.62
30/09/15,303817170.0,20.3,20.65,20.65,20.3
01/10/15,212234655.0,21.0,20.7,21.05,20.4
02/10/15,141509610.0,20.7,20.5,20.9,20.2
05/10/15,520208850.0,20.5,21.5,22.1,20.45
06/10/15,377928775.0,21.8,21.0,22.0,20.8
07/10/15,237842630.0,21.0,21.5,21.5,21.0
08/10/15,133208070.0,21.5,21.4,21.9,21.1
09/10/15,199889735.0,21.5,21.65,21.8,21.35
12/10/15,135117135.0,21.65,21.85,22.0,21.4
13/10/15,206951170.0,21.85,21.1,21.9,21.1
14/10/15,628038060.0,21.2,21.0,22.0,21.0
15/10/15,591177270.0,21.5,21.4,21.6,21.05
16/10/15,152775265.0,21.6,21.5,21.7,21.45
19/10/15,89888740.0,21.5,21.6,21.85,21.5
20/10/15,196104265.0,21.55,21.6,21.6,21.25
21/10/15,257903355.0,21.6,22.0,22.15,21.6
22/10/15,540580515.0,21.95,22.15,22.15,21.85
23/10/15,475320335.0,22.2,22.65,22.8,22.15
26/10/15,307254750.0,22.8,22.4,23.2,22.35
