Date,Value,Open,Close,High,Low
15/07/15,36320.0,0.69,0.72,0.72,0.69
16/07/15,18900.0,0.7,0.7,0.7,0.7
20/07/15,164780.0,0.7,0.68,0.7,0.68
22/07/15,13799.999999999998,0.69,0.69,0.69,0.69
23/07/15,59880.0,0.72,0.72,0.73,0.72
23/07/15,59880.0,0.72,0.72,0.73,0.72
23/07/15,59880.0,0.72,0.72,0.73,0.72
24/07/15,2130.0,0.71,0.71,0.71,0.71
04/08/15,13799.999999999998,0.69,0.69,0.69,0.69
17/08/15,32010.0,0.69,0.68,0.69,0.68
18/08/15,36400.0,0.65,0.65,0.65,0.65
19/08/15,26400.0,0.66,0.66,0.66,0.66
20/08/15,38580.0,0.66,0.66,0.67,0.66
24/08/15,567160.0,0.65,0.61,0.65,0.61
26/08/15,58500.0,0.65,0.65,0.65,0.65
27/08/15,75400.0,0.65,0.65,0.65,0.65
04/09/15,151010.0,0.72,0.8,0.88,0.72
09/09/15,16500.0,0.75,0.75,0.75,0.75
10/09/15,501170.0,0.73,0.75,0.75,0.62
11/09/15,4500.0,0.75,0.75,0.75,0.75
14/09/15,5840.0,0.73,0.73,0.73,0.73
17/09/15,12280.0,0.66,0.71,0.71,0.66
22/09/15,14730.0,0.73,0.7,0.73,0.7
02/10/15,14920.0,0.66,0.7,0.7,0.66
05/10/15,66100.0,0.67,0.66,0.67,0.66
08/10/15,3960.0,0.66,0.66,0.66,0.66
09/10/15,465740.0,0.67,0.75,0.78,0.67
12/10/15,1540.0,0.77,0.77,0.77,0.77
13/10/15,6450.0,0.71,0.77,0.77,0.71
14/10/15,16650.0,0.75,0.71,0.75,0.71
15/10/15,10610.0,0.71,0.7,0.71,0.7
16/10/15,209440.0,0.74,0.77,0.81,0.74
19/10/15,7285600.0,0.8,0.96,1.1,0.8
20/10/15,1787400.0,1.0,0.83,1.0,0.82
21/10/15,1221040.0,0.81,0.85,0.91,0.79
22/10/15,373330.0,0.81,0.84,0.86,0.78
23/10/15,299290.0,0.82,0.81,0.83,0.77
26/10/15,133850.0,0.79,0.8,0.8,0.77
27/10/15,466160.0,0.78,0.75,0.84,0.73
28/10/15,716480.0,0.75,0.8,0.88,0.75
29/10/15,166460.0,0.82,0.76,0.82,0.76
30/10/15,47390.0,0.76,0.78,0.78,0.75
02/11/15,1480.0,0.74,0.74,0.74,0.74
03/11/15,3108100.0,0.75,0.89,0.95,0.75
04/11/15,786500.0,0.86,0.85,0.92,0.85
05/11/15,363600.0,0.85,0.84,0.85,0.84
09/11/15,184890.0,0.82,0.77,0.82,0.77
10/11/15,137990.0,0.77,0.75,0.77,0.75
11/11/15,22500.0,0.75,0.75,0.75,0.75
12/11/15,22500.0,0.75,0.75,0.75,0.75
13/11/15,153500.0,0.78,0.75,0.79,0.75
16/11/15,80130.0,0.74,0.75,0.75,0.74
17/11/15,416380.0,0.74,0.72,0.75,0.7
20/11/15,78750.0,0.75,0.75,0.75,0.75
23/11/15,40070.0,0.71,0.72,0.72,0.71
25/11/15,5040.0,0.72,0.72,0.72,0.72
26/11/15,1440.0,0.72,0.72,0.72,0.72
27/11/15,4320.0,0.72,0.72,0.72,0.72
02/12/15,8640.0,0.72,0.72,0.72,0.72
03/12/15,2160.0,0.72,0.72,0.72,0.72
04/12/15,36740.0,0.73,0.72,0.73,0.72
07/12/15,40200.0,0.72,0.71,0.72,0.71
08/12/15,740.0,0.74,0.74,0.74,0.74
10/12/15,6390.0,0.71,0.71,0.71,0.71
11/12/15,50400.0,0.72,0.72,0.72,0.72
14/12/15,1440.0,0.72,0.72,0.72,0.72
15/12/15,35860.0,0.75,0.7,0.75,0.7
17/12/15,14130.0,0.71,0.7,0.71,0.7
22/12/15,750.0,0.75,0.75,0.75,0.75
29/12/15,40470.0,0.71,0.71,0.71,0.71
06/01/16,19600.0,0.7,0.7,0.7,0.7
08/01/16,30800.0,0.7,0.7,0.7,0.7
11/01/16,93100.0,0.7,0.7,0.7,0.7
15/01/16,70000.0,0.7,0.7,0.7,0.7
18/01/16,34500.0,0.69,0.69,0.69,0.69
20/01/16,124010.0,0.68,0.65,0.68,0.65
22/01/16,36480.0,0.67,0.67,0.68,0.67
25/01/16,38020.0,0.67,0.68,0.68,0.67
27/01/16,35200.0,0.7,0.71,0.71,0.7
29/01/16,47140.0,0.7,0.77,0.77,0.7
03/02/16,19000.0,0.76,0.76,0.76,0.76
04/02/16,17200.0,0.77,0.8,0.8,0.77
09/02/16,16740.0,0.78,0.72,0.78,0.72
11/02/16,62250.0,0.73,0.74,0.74,0.73
12/02/16,46380.0,0.76,0.77,0.8,0.76
15/02/16,15400.0,0.77,0.77,0.77,0.77
16/02/16,15000.0,0.75,0.75,0.75,0.75
18/02/16,157540.0,0.77,0.81,0.83,0.77
19/02/16,33540.0,0.78,0.78,0.78,0.78
24/02/16,7700.0,0.77,0.77,0.77,0.77
26/02/16,151950.0,0.77,0.77,0.77,0.74
29/02/16,7700.0,0.77,0.77,0.77,0.77
02/03/16,397030.0,0.73,0.81,0.82,0.73
03/03/16,79790.0,0.79,0.79,0.79,0.79
04/03/16,241110.0,0.77,0.77,0.79,0.77
07/03/16,12750.0,0.75,0.75,0.75,0.75
08/03/16,4500.0,0.75,0.75,0.75,0.75
09/03/16,6160.0,0.77,0.77,0.77,0.77
14/03/16,359250.0,0.75,0.74,0.75,0.74
15/03/16,38000.0,0.76,0.76,0.76,0.76
17/03/16,361550.0,0.79,0.79,0.84,0.77
18/03/16,96550.0,0.77,0.77,0.78,0.77
23/03/16,64600.0,0.76,0.76,0.76,0.76
29/03/16,800.0,0.8,0.8,0.8,0.8
31/03/16,81560.0,0.76,0.8,0.8,0.76
01/04/16,167560.0,0.78,0.76,0.78,0.76
04/04/16,90330.0,0.79,0.78,0.8,0.78
07/04/16,149380.0,0.77,0.77,0.77,0.77
08/04/16,1552040.0,0.8,0.85,0.9,0.8
11/04/16,85760.0,0.85,0.82,0.85,0.81
12/04/16,364500.0,0.82,0.81,0.88,0.81
14/04/16,32400.0,0.81,0.81,0.81,0.81
