Date,Value,Open,Close,High,Low
15/07/15,4500.0,4.5,4.5,4.5,4.5
03/08/15,13200.000000000002,4.4,4.4,4.4,4.4
04/08/15,17960.0,4.49,4.49,4.49,4.49
17/08/15,8980.0,4.49,4.49,4.49,4.49
20/08/15,4490.0,4.49,4.49,4.49,4.49
24/08/15,37390.0,4.16,4.15,4.16,4.15
25/08/15,4000.0,4.0,4.0,4.0,4.0
27/08/15,12750.0,4.25,4.25,4.25,4.25
01/09/15,448000.0,4.0,4.0,4.0,4.0
04/09/15,12720.0,4.24,4.24,4.24,4.24
07/09/15,4240.0,4.24,4.24,4.24,4.24
08/09/15,3810.0,3.81,3.81,3.81,3.81
09/09/15,380070.0,3.82,3.8,3.82,3.8
18/09/15,3810.0,3.81,3.81,3.81,3.81
28/09/15,19500.0,3.9,3.9,3.9,3.9
30/09/15,4190.0,4.19,4.19,4.19,4.19
01/10/15,16760.0,4.19,4.19,4.19,4.19
05/10/15,49830.0,4.1,4.19,4.19,4.1
07/10/15,8380.0,4.19,4.19,4.19,4.19
26/10/15,80200.0,4.01,4.01,4.01,4.01
27/10/15,76100.0,4.01,4.0,4.01,4.0
28/10/15,89730.0,3.91,3.9,3.91,3.9
29/10/15,217030.0,3.9,3.8,3.9,3.8
30/10/15,156090.0,3.8,4.09,4.09,3.8
05/11/15,115400.0,3.82,3.99,3.99,3.7
06/11/15,257600.0,3.82,4.0,4.0,3.8
09/11/15,852420.0,3.85,4.0,4.0,3.4
16/11/15,35060.0,3.52,3.5,3.52,3.5
17/11/15,153030.0,3.75,3.5,3.75,3.5
20/11/15,122500.0,3.5,3.5,3.5,3.5
23/11/15,55330.0,3.5,3.45,3.5,3.41
24/11/15,177330.0,3.43,3.3,3.45,3.3
27/11/15,14760.0,3.69,3.69,3.69,3.69
02/12/15,3690.0,3.69,3.69,3.69,3.69
04/12/15,29310.0,3.69,3.66,3.69,3.66
09/12/15,3700.0,3.7,3.7,3.7,3.7
14/12/15,54100.0,3.5,3.35,3.5,3.35
15/12/15,3780.0,3.78,3.78,3.78,3.78
22/12/15,15520.0,3.78,4.18,4.18,3.78
04/01/16,66890.0,4.18,4.18,4.19,4.18
05/01/16,54340.0,4.18,4.18,4.18,4.18
07/01/16,50040.0,4.17,4.17,4.17,4.17
12/01/16,4150.0,4.15,4.15,4.15,4.15
28/01/16,47450.0,3.95,3.95,4.0,3.95
29/01/16,19750.0,3.95,3.95,3.95,3.95
03/02/16,156000.0,4.0,4.0,4.0,4.0
16/02/16,28000.0,4.0,4.0,4.0,4.0
23/02/16,23400.0,3.9,3.9,3.9,3.9
24/02/16,20250.0,4.05,4.05,4.05,4.05
26/02/16,132600.0,3.9,3.9,3.9,3.9
29/02/16,78000.0,3.9,3.9,3.9,3.9
03/03/16,85800.0,3.9,3.9,3.9,3.9
04/03/16,12150.0,4.05,4.05,4.05,4.05
07/03/16,80000.0,4.0,4.0,4.0,4.0
09/03/16,15600.0,3.9,3.9,3.9,3.9
10/03/16,14800.0,3.7,3.7,3.7,3.7
14/03/16,44590.0,4.05,4.09,4.09,4.05
28/03/16,20250.0,4.05,4.05,4.05,4.05
31/03/16,2013760.0,4.1,4.5,4.87,4.1
01/04/16,591110.0,4.5,4.5,4.74,4.5
04/04/16,223840.0,4.5,4.6,4.6,4.5
05/04/16,196150.0,4.6,4.56,4.6,4.52
06/04/16,440680.0,4.6,4.62,4.62,4.56
07/04/16,729150.0,4.62,4.65,4.65,4.6
08/04/16,187140.0,4.68,4.65,4.68,4.65
11/04/16,563380.0,4.64,4.66,4.7,4.64
12/04/16,1427190.0,4.67,4.62,4.68,4.6
13/04/16,783860.0,4.45,4.18,4.45,4.0
14/04/16,374450.0,4.18,4.12,4.31,4.11
15/04/16,41120.0,4.12,4.11,4.12,4.11
18/04/16,173520.0,4.07,4.0,4.07,4.0
19/04/16,120630.0,4.0,4.05,4.05,3.96
20/04/16,158520.0,3.96,4.0,4.0,3.96
21/04/16,20500.0,4.1,4.1,4.1,4.1
22/04/16,41000.0,4.1,4.1,4.1,4.1
26/04/16,16010.0,4.01,4.0,4.01,4.0
27/04/16,4000.0,4.0,4.0,4.0,4.0
28/04/16,190200.0,4.0,4.0,4.19,3.99
02/05/16,11940.0,3.98,3.98,3.98,3.98
03/05/16,48360.0,3.98,4.1,4.1,3.98
06/05/16,16560.0,4.14,4.14,4.14,4.14
06/05/16,16560.0,4.14,4.14,4.14,4.14
10/05/16,8260.0,4.13,4.13,4.13,4.13
11/05/16,204150.0,4.15,4.0,4.15,4.0
12/05/16,57290.0,4.09,4.1,4.1,4.09
16/05/16,240750.0,4.0,4.05,4.05,4.0
